%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	ethVlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPdssF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF
A	5	0x0400000000004001	1556247635.224454	1556247635.224454	0.000000	1	3	eth:ipv4:tcp	22:ef:03:1a:97:b9	b0:fc:0d:c9:00:4c	0x0800		52.94.235.36	us	"Amazon Technologies Inc"	443	192.168.10.203	07	"Private network"	55498	6	0x00	1	22:ef:03:1a:97:b9_b0:fc:0d:c9:00:4c_1	-_AmazonTec,US	443	https	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0x0011	65535	0	233	233	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2232641211	1	0	0	1	0	0	0	9300	9300	9300	9300	0	0	0	0	0x0414	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0	0	0xc3	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	3	1	5	5
A	4	0x0400000000004000	1556247627.347216	1556247777.836078	150.488862	1	3	eth:ipv4:tcp	b0:fc:0d:c9:00:4c	22:ef:03:1a:97:b9	0x0800		192.168.10.203	07	"Private network"	41976	52.94.238.79	us	"Amazon Technologies Inc"	443	6	0x00	1	b0:fc:0d:c9:00:4c_22:ef:03:1a:97:b9_12	AmazonTec,US_-	443	https	12	7	4254	2274	0	709	354.5	314.3496	0	30.0637	12.54074	13.3744	0.07974012	28.26787	0.2631579	0.3033088	0x0811	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2379396504	12	4254	0	12	2274	0	709	594	805.5388	594	867	0	6	1	0	0x0018	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	0.03249	155.8897	22.29994	50.49219	0	0	0x03	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	5	1	4	6	1.2
B	4	0x0400000000004001	1556247627.381307	1556247933.725780	306.344473	1	3	eth:ipv4:tcp	22:ef:03:1a:97:b9	b0:fc:0d:c9:00:4c	0x0800		52.94.238.79	us	"Amazon Technologies Inc"	443	192.168.10.203	07	"Private network"	41976	6	0x00	1	22:ef:03:1a:97:b9_b0:fc:0d:c9:00:4c_7	-_AmazonTec,US	443	https	7	12	2274	4254	0	379	324.8571	122.7845	0	155.8909	43.7635	43.12398	0.02285009	7.423016	-0.2631579	-0.3033088	0x0811	28642	1	216	230	1	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2597275424	7	2274	0	7	3545	0	379	548	3222.021	548	9300	0	6	1	0	0x041c	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	0.00121	30.08161	12.52949	13.39505	34.82943	52.23876	0x43	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	5	3	5	5
A	14	0x0400000000004000	1556247958.459953	1556247959.077529	0.617576	1	3	eth:ipv4:tcp	b0:fc:0d:c9:00:4c	22:ef:03:1a:97:b9	0x0800		192.168.10.203	07	"Private network"	43049	52.94.240.242	us	"Amazon Technologies Inc"	443	6	0x00	1	b0:fc:0d:c9:00:4c_22:ef:03:1a:97:b9_13	AmazonTec,US_-	443	https	13	10	1751	5434	0	1341	134.6923	336.0946	0	0.496596	0.04750585	0.1217737	21.05004	2835.279	0.1304348	-0.5125957	0x0a13	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1445231525	12	1751	0	12	5434	0	1341	14600	24927.25	14600	26304	0	5	1	0	0x011b	0x0000	1	5	0x0000011e	1460	64	0x0000	0x00	0	0x00	3172201	0	0.004	12688.804603	1556235269.655351	0.011858	0.00383	0.031146	0.01446533	0.006113886	0.013455	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	6	1	2	6	1
B	14	0x0400000000004001	1556247958.471811	1556247959.074893	0.603082	1	3	eth:ipv4:tcp	22:ef:03:1a:97:b9	b0:fc:0d:c9:00:4c	0x0800		52.94.240.242	us	"Amazon Technologies Inc"	443	192.168.10.203	07	"Private network"	43049	6	0x00	1	22:ef:03:1a:97:b9_b0:fc:0d:c9:00:4c_10	-_AmazonTec,US	443	https	10	13	5434	1751	0	1576	543.4	609.1845	0	0.512001	0.0603082	0.1399903	16.58149	9010.384	-0.1304348	0.5125957	0x0a31	1	2	225	236	1	0x00	0x0844	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1623812563	10	5434	0	10	1751	0	4496	8190	29018.35	8190	30720	0	3	1	0	0x031b	0x0000	1	6	0x0000001e	1460	64	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0.001597	0.001138	0.499238	0.04299423	0.1233443	0.05745956	0.1234957	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	6	1	5	5
A	10	0x0400000000004000	1556247791.546577	1556247791.546577	0.000000	1	3	eth:ipv4:udp	b0:fc:0d:c9:00:4c	22:ef:03:1a:97:b9	0x0800		192.168.10.203	07	"Private network"	68	192.168.10.254	07	"Private network"	67	17	0x00	1	b0:fc:0d:c9:00:4c_22:ef:03:1a:97:b9_1	AmazonTec,US_-	67	bootps	1	1	300	304	300	300	300	0	0	0	0	0	0	0	0	-0.006622517	0x0001	65535	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0.100186	0.100186	0.100186	0.100186	0	0.100186	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	5	1	4	2	0.4
B	10	0x0400000000004001	1556247791.646763	1556247791.646763	0.000000	1	3	eth:ipv4:udp	22:ef:03:1a:97:b9	b0:fc:0d:c9:00:4c	0x0800		192.168.10.254	07	"Private network"	67	192.168.10.203	07	"Private network"	68	17	0x00	1	22:ef:03:1a:97:b9_b0:fc:0d:c9:00:4c_1	-_AmazonTec,US	67	bootps	1	1	304	300	304	304	304	0	0	0	0	0	0	0	0	0.006622517	0x0001	65535	0	64	64	0	0x00	0x0840	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0.100186	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	5	3	1	1
A	11	0x0400000000004000	1556247807.893437	1556247807.893437	0.000000	1	3	eth:ipv4:udp	b0:fc:0d:c9:00:4c	22:ef:03:1a:97:b9	0x0800		192.168.10.203	07	"Private network"	12975	155.33.33.75	us	"Northeastern University"	53	17	0x00	1	b0:fc:0d:c9:00:4c_22:ef:03:1a:97:b9_1	AmazonTec,US_-	53	domain	1	1	43	59	43	43	43	0	0	0	0	0	0	0	0	-0.1568628	0x0001	65535	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0.018227	0.018227	0.018227	0.018227	0	0.018227	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	5	1	5	4	0.8
B	11	0x0400000000004001	1556247807.911664	1556247807.911664	0.000000	1	3	eth:ipv4:udp	22:ef:03:1a:97:b9	b0:fc:0d:c9:00:4c	0x0800		155.33.33.75	us	"Northeastern University"	53	192.168.10.203	07	"Private network"	12975	17	0x00	1	22:ef:03:1a:97:b9_b0:fc:0d:c9:00:4c_1	-_AmazonTec,US	53	domain	1	1	59	43	59	59	59	0	0	0	0	0	0	0	0	0.1568628	0x0001	65535	0	56	56	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0.018227	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	5	4	3	3
A	13	0x0400000000004000	1556247958.448267	1556247958.448267	0.000000	1	3	eth:ipv4:udp	b0:fc:0d:c9:00:4c	22:ef:03:1a:97:b9	0x0800		192.168.10.203	07	"Private network"	17346	155.33.33.75	us	"Northeastern University"	53	17	0x00	1	b0:fc:0d:c9:00:4c_22:ef:03:1a:97:b9_1	AmazonTec,US_-	53	domain	1	1	32	48	32	32	32	0	0	0	0	0	0	0	0	-0.2	0x0001	65535	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0.003222	0.003222	0.003222	0.003222	0	0.003222	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	6	1	5	4	0.6666667
