%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	ethVlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPdssF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF
A	15	0x0400000000004000	1647980329.615610	1647980332.085857	2.470247	1	3	eth:ipv4:tcp	e4:26:86:f2:ef:b7	f6:0f:24:e1:12:64	0x0800		192.168.2.7	07	"Private network"	49613	34.217.170.24	us	"Amazon Technologies Inc"	443	6	0x00	1	e4:26:86:f2:ef:b7_f6:0f:24:e1:12:64_14	DWnetTech,CN_-	443	https	14	11	2091	3570	0	1448	149.3571	343.5661	0	1.661872	0.1764462	0.4062462	5.667449	846.4741	0.12	-0.2612613	0x0a13	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2420262808	13	2091	0	13	3570	0	1606	14600	25253.17	14600	26208	0	5	1	0	0x011b	0x0000	14	44	0x0000011e	1460	32	0x0000	0x00	0	0x00	4294946935	2989321371	0.01	42949468.390005	1605030863.695853	0.061673	0.061294	0.081269	0.0640097	0.005440391	0.064036	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	4	1	12	12	3
B	15	0x0400000000004001	1647980329.677283	1647980332.083275	2.405992	1	3	eth:ipv4:tcp	f6:0f:24:e1:12:64	e4:26:86:f2:ef:b7	0x0800		34.217.170.24	us	"Amazon Technologies Inc"	443	192.168.2.7	07	"Private network"	49613	6	0x00	1	f6:0f:24:e1:12:64_e4:26:86:f2:ef:b7_11	-_DWnetTech,CN	443	https	11	14	3570	2091	0	1448	324.5454	471.4106	0	1.765778	0.2187265	0.4801657	4.571918	1483.795	-0.12	0.2612613	0x0213	1	7521	48	48	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2260528157	11	3570	0	11	2091	0	3114	62643	61043.62	60800	62643	3	0	0	0	0x031b	0x0000	11	35	0x0000011e	1460	128	0x0000	0x00	0	0x00	2989321371	4294946929	0.001	2989321.512985	1644991010.570290	0.002363	0.002363	1.704484	0.3087669	0.5621473	0.3727766	0.5621735	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	4	11	11	11
A	20	0x0400000000004000	1647980332.101749	1647980337.942838	5.841089	1	3	eth:ipv4:tcp	e4:26:86:f2:ef:b7	f6:0f:24:e1:12:64	0x0800		192.168.2.7	07	"Private network"	49617	34.217.170.24	us	"Amazon Technologies Inc"	443	6	0x00	1	e4:26:86:f2:ef:b7_f6:0f:24:e1:12:64_14	DWnetTech,CN_-	443	https	14	10	2020	4161	0	1448	144.2857	342.1708	0	5.165574	0.4172207	1.262918	2.396813	345.8259	0.1666667	-0.3463841	0x0a13	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1081232010	13	2020	0	13	4161	0	1606	14600	25253.17	14600	26208	0	5	1	0	0x011b	0x0000	14	44	0x0000011e	1460	32	0x0000	0x00	0	0x00	4294947521	2989327229	0.01	42949474.250004	1605030863.692834	0.063791	0.063584	0.069142	0.06447259	0.001498251	0.066166	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	4	1	12	12	3
B	20	0x0400000000004001	1647980332.165540	1647980337.938950	5.773410	1	3	eth:ipv4:tcp	f6:0f:24:e1:12:64	e4:26:86:f2:ef:b7	0x0800		34.217.170.24	us	"Amazon Technologies Inc"	443	192.168.2.7	07	"Private network"	49617	6	0x00	1	f6:0f:24:e1:12:64_e4:26:86:f2:ef:b7_10	-_DWnetTech,CN	443	https	10	14	4161	2020	0	1448	416.1	517.4943	0	5.265969	0.577341	1.485789	1.732079	720.718	-0.1666667	0.3463841	0x0213	1	9876	47	47	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3177029394	10	4161	0	10	2021	0	3114	62643	61232.12	60928	62643	3	0	0	0	0x031b	0x0000	10	32	0x0000011e	1460	128	0x0000	0x00	0	0x00	2989327229	4294947514	0.001	2989327.370985	1644991010.567965	0.002375	0.002375	5.202248	0.7908359	1.729707	0.8553085	1.729708	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	4	11	11	11
A	27	0x0400000000004000	1647980337.939680	1647980338.992218	1.052538	1	3	eth:ipv4:tcp	e4:26:86:f2:ef:b7	f6:0f:24:e1:12:64	0x0800		192.168.2.7	07	"Private network"	49624	34.217.170.24	us	"Amazon Technologies Inc"	443	6	0x00	1	e4:26:86:f2:ef:b7_f6:0f:24:e1:12:64_13	DWnetTech,CN_-	443	https	13	11	2977	4246	0	1448	229	437.0876	0	0.669298	0.08096446	0.1601636	12.3511	2828.401	0.08333334	-0.1756888	0x0a13	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2303541610	12	2977	0	12	4246	0	1606	14600	24843.96	14600	26208	0	5	1	0	0x011b	0x0000	13	41	0x0000011e	1460	32	0x0000	0x00	0	0x00	4294947626	2989328277	0.01	42949475.300004	1605030863.692214	0.061843	0.060717	0.08587	0.0645503	0.006721691	0.065842	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	4	1	10	10	2.5
B	27	0x0400000000004001	1647980338.001523	1647980338.990674	0.989151	1	3	eth:ipv4:tcp	f6:0f:24:e1:12:64	e4:26:86:f2:ef:b7	0x0800		34.217.170.24	us	"Amazon Technologies Inc"	443	192.168.2.7	07	"Private network"	49624	6	0x00	1	f6:0f:24:e1:12:64_e4:26:86:f2:ef:b7_11	-_DWnetTech,CN	443	https	11	13	4246	2977	0	1448	386	515.3733	0	0.735637	0.08992282	0.1888281	11.12065	4292.57	-0.08333334	0.1756888	0x0213	1	98	48	48	0	0x00	0x2000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	22786904	11	4246	0	11	2977	0	3114	62643	60362.75	59904	62643	3	0	0	0	0x031b	0x0000	11	35	0x0000011e	1460	128	0x0000	0x00	0	0x00	2989328279	4294947619	0.001	2989328.420985	1644991010.569689	0.003999	0.001544	0.673308	0.1093789	0.2242172	0.1739292	0.2243179	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	4	9	9	9
A	25	0x0400000000004000	1647980337.052477	1647980339.380237	2.327760	1	3	eth:ipv4:tcp	e4:26:86:f2:ef:b7	f6:0f:24:e1:12:64	0x0800		192.168.2.7	07	"Private network"	49622	34.217.170.24	us	"Amazon Technologies Inc"	443	6	0x00	1	e4:26:86:f2:ef:b7_f6:0f:24:e1:12:64_14	DWnetTech,CN_-	443	https	14	11	2091	3570	0	1448	149.3571	343.5661	0	1.707144	0.1662686	0.4124717	6.014366	898.2885	0.12	-0.2612613	0x0a13	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3054592425	13	2091	0	13	3570	0	1606	14600	25253.17	14600	26208	0	5	1	0	0x011b	0x0000	14	44	0x0000011e	1460	32	0x0000	0x00	0	0x00	4294947665	2989328666	0.01	42949475.690004	1605030863.690233	0.067023	0.06565	0.091037	0.069339	0.006843095	0.074111	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	4	1	8	8	2
B	25	0x0400000000004001	1647980337.119500	1647980339.378040	2.258540	1	3	eth:ipv4:tcp	f6:0f:24:e1:12:64	e4:26:86:f2:ef:b7	0x0800		34.217.170.24	us	"Amazon Technologies Inc"	443	192.168.2.7	07	"Private network"	49622	6	0x00	1	f6:0f:24:e1:12:64_e4:26:86:f2:ef:b7_11	-_DWnetTech,CN	443	https	11	14	3570	2091	0	1448	324.5454	471.4106	0	1.812616	0.2053218	0.4869909	4.870403	1580.667	-0.12	0.2612613	0x0213	1	53591	48	48	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	827094550	11	3570	0	11	2091	0	3114	62643	61043.62	60800	62643	3	0	0	0	0x031b	0x0000	11	35	0x0000011e	1460	128	0x0000	0x00	0	0x00	2989328667	4294947658	0.001	2989328.808985	1644991010.569055	0.007088	0.002197	1.746966	0.2840665	0.5757887	0.3534055	0.5758293	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	4	7	7	7
A	29	0x0400000000004000	1647980339.005757	1647980340.251363	1.245606	1	3	eth:ipv4:tcp	e4:26:86:f2:ef:b7	f6:0f:24:e1:12:64	0x0800		192.168.2.7	07	"Private network"	49627	34.217.170.24	us	"Amazon Technologies Inc"	443	6	0x00	1	e4:26:86:f2:ef:b7_f6:0f:24:e1:12:64_14	DWnetTech,CN_-	443	https	14	13	2095	4951	0	1448	149.6429	343.6706	0	0.727407	0.08897186	0.1785174	11.23951	1681.912	0.03703704	-0.4053364	0x0a13	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	493272587	13	2095	0	13	4951	0	1606	14600	27441.69	14600	29088	0	5	1	0	0x011b	0x0000	14	44	0x0000011e	1460	32	0x0000	0x00	0	0x00	4294947752	2989329535	0.01	42949476.560004	1605030863.691359	0.061723	0.061219	0.718989	0.1714863	0.2315861	0.06406	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	4	1	6	6	1.5
B	29	0x0400000000004001	1647980339.067480	1647980340.247534	1.180054	1	3	eth:ipv4:tcp	f6:0f:24:e1:12:64	e4:26:86:f2:ef:b7	0x0800		34.217.170.24	us	"Amazon Technologies Inc"	443	192.168.2.7	07	"Private network"	49627	6	0x00	1	f6:0f:24:e1:12:64_e4:26:86:f2:ef:b7_13	-_DWnetTech,CN	443	https	13	14	4951	2095	0	1448	380.8462	528.2964	0	0.657096	0.09077339	0.1713964	11.01645	4195.571	-0.03703704	0.4053364	0x0213	1	53963	47	47	0	0x00	0x2000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1313937613	13	4951	0	13	2095	0	3114	62643	60919.37	60800	62643	3	0	0	0	0x031b	0x0000	13	41	0x0000011e	1460	128	0x0000	0x00	0	0x00	2989329536	4294947745	0.001	2989329.677986	1644991010.569549	0.002337	0.001721	0.246172	0.03960022	0.07868076	0.2110865	0.244587	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	4	5	5	5
