%dir,flowInd,flowStat,timeFirst,timeLast,duration,numHdrDesc,numHdrs,hdrDesc,srcMac,dstMac,ethType,vlanID,srcIP,srcIPCC,srcIPOrg,srcPort,dstIP,dstIPCC,dstIPOrg,dstPort,l4Proto,macStat,macPairs,srcMac_dstMac_numP,srcMacLbl_dstMacLbl,dstPortClassN,dstPortClass,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,tcpFStat,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,ipToS,ipFlags,ipOptCnt,ipOptCpCl_Num,ip6OptCntHH_D,ip6OptHH_D,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpBFlgtMx,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpFlags,tcpAnomaly,tcpOptPktCnt,tcpOptCnt,tcpOptions,tcpMSS,tcpWS,tcpMPTBF,tcpMPF,tcpMPAID,tcpMPDSSF,tcpTmS,tcpTmER,tcpEcI,tcpUtm,tcpBtm,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,tcpStatesAFlags,icmpStat,icmpTCcnt,icmpBFTypH_TypL_Code,icmpTmGtw,icmpEchoSuccRatio,icmpPFindex,connSip,connDip,connSipDip,connSipDprt,connF,connG,connNumPCnt,connNumBCnt
A,15,0x0400000000004000,1460732929.233553,1460732929.313059,0.079506,1,3,eth:ipv4:tcp,bc:f5:ac:f4:c0:9d,b0:c5:54:25:5b:0e,0x0800,,10.10.10.28,04,Private network,48910,10.10.10.37,04,Private network,80,6,0x00,1,bc:f5:ac:f4:c0:9d_b0:c5:54:25:5b:0e_5,"LGElectro,KR_DLinkInte,SG",80,http,5,5,693,666,0,693,138.6,229.2028,0,0.069181,0.0159012,0.02320818,62.88833,8716.323,0.0,0.01986755,0x0a13,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3070528407,4,693,0,4,666,0,693,65535,82999.79,65535,88960,0,2,1,0,0x011b,0x0000,5,17,0x0000011e,1460,64,0x0000,0x00,0,0x00,703334,4294950757,1.0,703334.0,1460029595.3821354,0.006293008,0.005296,0.06580599,0.0306916,0.02417227,0.007564,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,4,4,4.0,1,10,1496
B,15,0x0400000000004001,1460732929.239846,1460732929.318355,0.078509,1,3,eth:ipv4:tcp,b0:c5:54:25:5b:0e,bc:f5:ac:f4:c0:9d,0x0800,,10.10.10.37,04,Private network,80,10.10.10.28,04,Private network,48910,6,0x00,1,b0:c5:54:25:5b:0e_bc:f5:ac:f4:c0:9d_5,"DLinkInte,SG_LGElectro,KR",80,http,5,5,666,693,0,666,133.2,220.2728,0,0.054853,0.0157018,0.01668076,63.68696,8483.104,0.0,-0.01986755,0x0a13,1,54527,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1848667038,5,666,0,5,693,0,666,5792,6845.222,5792,7178,0,1,1,0,0x031b,0x0000,5,17,0x0000011e,1460,2,0x0000,0x00,0,0x00,4294950759,703334,1.0,4294950759.0,1.8446744070875333e+19,0.001270992,0.001270992,0.004626016,0.002664803,0.001122584,0.0333564,0.02419832,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,3,3,3.0,1,175,28527
A,16,0x0400000000004000,1460732929.327877,1460732929.548988,0.221111,1,3,eth:ipv4:tcp,bc:f5:ac:f4:c0:9d,b0:c5:54:25:5b:0e,0x0800,,10.10.10.28,04,Private network,53619,10.10.10.37,04,Private network,80,6,0x00,1,bc:f5:ac:f4:c0:9d_b0:c5:54:25:5b:0e_5,"LGElectro,KR_DLinkInte,SG",80,http,5,5,803,558,0,803,160.6,265.5841,0,0.211117,0.0442222,0.07244971,22.61308,3631.66,0.0,0.1800147,0x0a13,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2032603190,4,803,0,4,558,0,803,65535,82901.87,65535,88768,0,2,1,0,0x011b,0x0000,5,17,0x0000011e,1460,64,0x0000,0x00,0,0x00,703358,4294950781,1.0,703358.0,1460029571.3527153,0.006030016,0.005613952,0.206665,0.08604758,0.08237779,0.007228992,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,2,2,2.0,1,10,1496
B,16,0x0400000000004001,1460732929.333907,1460732929.554602,0.220695,1,3,eth:ipv4:tcp,b0:c5:54:25:5b:0e,bc:f5:ac:f4:c0:9d,0x0800,,10.10.10.37,04,Private network,80,10.10.10.28,04,Private network,53619,6,0x00,1,b0:c5:54:25:5b:0e_bc:f5:ac:f4:c0:9d_5,"DLinkInte,SG_LGElectro,KR",80,http,5,5,558,803,0,558,111.6,184.5529,0,0.196879,0.044139,0.06317367,22.6557,2528.376,0.0,-0.1800147,0x0a13,1,59490,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1847613194,5,558,0,5,803,0,558,5792,7012.399,5792,7398,0,1,1,0,0x031b,0x0000,5,17,0x0000011e,1460,2,0x0000,0x00,0,0x00,4294950782,703358,1.0,4294950782.0,1.8446744070875333e+19,0.001198976,0.001198976,0.005736064,0.00305321,0.001578325,0.08910079,0.08239291,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,1,1,1.0,1,175,28527
A,19,0x0400000000004000,1460732932.162339,1460732933.768141,1.605802,1,3,eth:ipv4:tcp,b0:c5:54:25:5b:0e,28:b2:bd:c3:41:79,0x0800,,10.10.10.37,04,Private network,41472,52.8.178.58,us,MAINT-APNIC-AP,443,6,0x00,1,b0:c5:54:25:5b:0e_28:b2:bd:c3:41:79_14,"DLinkInte,SG_IntelCorp,MY",443,https,14,9,713,3925,0,326,50.92857,85.66994,0,0.229122,0.1147001,0.07256633,8.718385,444.0149,0.2173913,-0.6925399,0x0a13,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1881583124,13,713,0,13,3925,0,326,5840,13806.21,5840,14048,0,3,1,0,0x011b,0x0000,14,44,0x0000011e,1460,2,0x0000,0x00,0,0x00,4294951204,245689581,1.0,4294951204.0,1.8446744070875333e+19,0.16572,0.16374,0.170948,0.166574,0.001792673,0.170776,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,10,1,2,4,0.4,2,183,29947
B,19,0x0400000000004001,1460732932.328059,1460732933.76188,1.433821,1,3,eth:ipv4:tcp,28:b2:bd:c3:41:79,b0:c5:54:25:5b:0e,0x0800,,52.8.178.58,us,MAINT-APNIC-AP,443,10.10.10.37,04,Private network,41472,6,0x00,1,28:b2:bd:c3:41:79_b0:c5:54:25:5b:0e_9,"IntelCorp,MY_DLinkInte,SG",443,https,9,14,3925,713,0,1368,436.1111,472.3669,0,0.292512,0.1593134,0.1021108,6.276934,2737.441,-0.2173913,0.6925399,0x0a13,1,36793,40,40,0,0x08,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2514774137,9,3925,0,9,713,0,2736,5792,7574.614,5792,8192,0,3,1,0,0x031b,0x0000,9,29,0x0000011e,1380,512,0x0000,0x00,0,0x00,245689581,4294951187,1.0,245689581.0,1215043352.1670787,0.005056,0.005056,0.121564,0.04329592,0.03661939,0.2098699,0.03666324,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,10,1,3,3.0,3,9,3925
A,21,0x0400000000004000,1460732933.769741,1460732941.189343,7.419602,1,3,eth:ipv4:tcp,b0:c5:54:25:5b:0e,28:b2:bd:c3:41:79,0x0800,,10.10.10.37,04,Private network,41412,54.229.64.81,us,Amazon Technologies Inc,443,6,0x00,1,b0:c5:54:25:5b:0e_28:b2:bd:c3:41:79_16,"DLinkInte,SG_IntelCorp,MY",443,https,16,10,1475,4351,0,762,92.1875,184.9019,0,6.733275,0.4637251,1.555564,2.15645,198.7977,0.2307692,-0.4936492,0x0a13,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1919471504,15,1475,0,15,4351,0,762,5840,13929.52,5840,14048,0,3,1,0,0x011b,0x0000,16,50,0x0000011e,1460,2,0x0000,0x00,0,0x00,4294951946,13286098,0.001,4294952.149999,1456437989.21444,0.02388499,0.02237498,0.04783101,0.0300852,0.007680583,0.02819398,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,9,1,2,2,0.2222222,1,187,30223
B,21,0x0400000000004001,1460732933.793626,1460732941.187378,7.393752,1,3,eth:ipv4:tcp,28:b2:bd:c3:41:79,b0:c5:54:25:5b:0e,0x0800,,54.229.64.81,us,Amazon Technologies Inc,443,10.10.10.37,04,Private network,41412,6,0x00,1,28:b2:bd:c3:41:79_b0:c5:54:25:5b:0e_10,"IntelCorp,MY_DLinkInte,SG",443,https,10,16,4351,1475,0,1368,435.1,447.8637,0,6.798326,0.7393752,1.904768,1.352493,588.4698,-0.2307692,0.4936492,0x0a13,1,7452,45,45,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2410528713,10,4351,0,10,1475,0,2736,5792,8543.189,5792,9728,0,4,1,0,0x031b,0x0000,10,32,0x0000011e,1380,512,0x0000,0x00,0,0x00,13286098,4294951944,0.001,13286.098631,1460719655.2595775,0.004308992,0.001267,6.759323,0.4521245,1.565047,0.4822097,1.565066,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,9,1,1,1.0,1,10,4351
A,22,0x0400000000004000,1460732975.676512,1460732975.792399,0.115887,1,3,eth:ipv4:tcp,bc:f5:ac:f4:c0:9d,b0:c5:54:25:5b:0e,0x0800,,10.10.10.28,04,Private network,37894,10.10.10.37,04,Private network,80,6,0x00,1,bc:f5:ac:f4:c0:9d_b0:c5:54:25:5b:0e_7,"LGElectro,KR_DLinkInte,SG",80,http,7,6,691,2633,0,691,98.71429,201.4815,0,0.109947,0.01655529,0.03324686,60.40367,5962.705,0.07692308,-0.5842358,0x0a13,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2620698338,6,691,0,6,2633,0,691,65535,89140.91,65535,93440,0,3,1,0,0x011b,0x0000,7,23,0x0000011e,1460,64,0x0000,0x00,0,0x00,707982,4294955399,1.0,707982.0,1460024993.2125015,0.001782016,0.001782016,0.04059597,0.02194999,0.01512025,0.003702016,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,18,18,18.0,1,57,8654
B,22,0x0400000000004001,1460732975.678294,1460732975.795503,0.117209,1,3,eth:ipv4:tcp,b0:c5:54:25:5b:0e,bc:f5:ac:f4:c0:9d,0x0800,,10.10.10.37,04,Private network,80,10.10.10.28,04,Private network,37894,6,0x00,1,b0:c5:54:25:5b:0e_bc:f5:ac:f4:c0:9d_6,"DLinkInte,SG_LGElectro,KR",80,http,6,7,2633,691,0,1448,438.8333,529.0268,0,0.07437,0.01953483,0.02395604,51.19061,22464.14,-0.07692308,0.5842358,0x0a13,1,2332,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2577127582,6,2633,0,6,691,0,2633,5792,6941.727,5792,7174,0,1,1,0,0x031b,0x0000,6,20,0x0000011e,1460,2,0x0000,0x00,0,0x00,4294955407,707982,1.0,4294955407.0,1.8446744070875329e+19,0.00192,0.00192,0.07115699,0.03627666,0.03030614,0.05822664,0.03386863,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,17,17,17.0,1,339,53499
