%dir,flowInd,flowStat,timeFirst,timeLast,duration,numHdrDesc,numHdrs,hdrDesc,srcMac,dstMac,ethType,vlanID,srcIP,srcIPCC,srcIPOrg,srcPort,dstIP,dstIPCC,dstIPOrg,dstPort,l4Proto,macStat,macPairs,srcMac_dstMac_numP,srcMacLbl_dstMacLbl,dstPortClassN,dstPortClass,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,tcpFStat,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,ipToS,ipFlags,ipOptCnt,ipOptCpCl_Num,ip6OptCntHH_D,ip6OptHH_D,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpBFlgtMx,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpFlags,tcpAnomaly,tcpOptPktCnt,tcpOptCnt,tcpOptions,tcpMSS,tcpWS,tcpMPTBF,tcpMPF,tcpMPAID,tcpMPDSSF,tcpTmS,tcpTmER,tcpEcI,tcpUtm,tcpBtm,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,tcpStatesAFlags,icmpStat,icmpTCcnt,icmpBFTypH_TypL_Code,icmpTmGtw,icmpEchoSuccRatio,icmpPFindex,connSip,connDip,connSipDip,connSipDprt,connF,connG,connNumPCnt,connNumBCnt
A,14,0x0400000000004000,1464018028.612092,1464018030.904576,2.292484,1,3,eth:ipv4:tcp,b0:c5:54:25:5b:0e,00:b5:6d:06:08:ba,0x0800,,10.10.10.37,04,Private network,51585,54.238.198.198,us,Amazon Technologies Inc,443,6,0x00,1,b0:c5:54:25:5b:0e_00:b5:6d:06:08:ba_14,"DLinkInte,SG_DavidElec,TW",443,https,14,9,713,3925,0,326,50.92857,85.66994,0,0.286466,0.1637489,0.1039208,6.106913,311.0163,0.2173913,-0.6925399,0x0a13,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1773544342,13,713,0,13,3925,0,326,5840,13806.21,5840,14048,0,3,1,0,0x011b,0x0000,14,44,0x0000011e,1460,2,0x0000,0x00,0,0x00,4294949461,241616398,1.0,4294949461.0,1.844674407087862e+19,0.271511,0.271473,0.275829,0.273183,0.001468156,0.273626,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,9,1,2,4,0.4444444,2,102,15201
B,14,0x0400000000004001,1464018028.883603,1464018030.902783,2.01918,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,b0:c5:54:25:5b:0e,0x0800,,54.238.198.198,us,Amazon Technologies Inc,443,10.10.10.37,04,Private network,51585,6,0x00,1,00:b5:6d:06:08:ba_b0:c5:54:25:5b:0e_9,"DavidElec,TW_DLinkInte,SG",443,https,9,14,3925,713,0,1368,436.1111,472.3669,0,0.37367,0.2243533,0.1359473,4.457255,1943.858,-0.2173913,0.6925399,0x0a13,1,55046,43,43,0,0x08,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,167004196,9,3925,0,9,713,0,2736,5792,7574.614,5792,8192,0,3,1,0,0x031b,0x0000,9,29,0x0000011e,1380,512,0x0000,0x00,0,0x00,241616398,4294949434,0.1,24161640.160036,1439856390.6798317,0.002115008,0.001552,0.101935,0.029166,0.0314234,0.302349,0.03145768,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,9,1,3,3.0,3,9,3925
A,16,0x0400000000004000,1464018030.798972,1464018038.204687,7.405715,1,3,eth:ipv4:tcp,b0:c5:54:25:5b:0e,00:b5:6d:06:08:ba,0x0800,,10.10.10.37,04,Private network,58790,52.18.83.30,us,MAINT-APNIC-AP,443,6,0x00,1,b0:c5:54:25:5b:0e_00:b5:6d:06:08:ba_16,"DLinkInte,SG_DavidElec,TW",443,https,16,10,1475,4351,0,762,92.1875,184.9019,0,6.701886,0.4628572,1.548045,2.160494,199.1705,0.2307692,-0.4936492,0x0a13,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1802684766,15,1475,0,15,4351,0,762,5840,13929.52,5840,14048,0,3,1,0,0x011b,0x0000,16,50,0x0000011e,1460,2,0x0000,0x00,0,0x00,4294950191,246727806,0.001,4294950.394999,1459723088.2428539,0.02410598,0.02122298,0.049213,0.0274178,0.007139144,0.02509894,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,9,1,2,2,0.2222222,1,103,15518
B,16,0x0400000000004001,1464018030.823078,1464018038.203224,7.380146,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,b0:c5:54:25:5b:0e,0x0800,,52.18.83.30,us,MAINT-APNIC-AP,443,10.10.10.37,04,Private network,58790,6,0x00,1,00:b5:6d:06:08:ba_b0:c5:54:25:5b:0e_10,"DavidElec,TW_DLinkInte,SG",443,https,10,16,4351,1475,0,1368,435.1,447.8637,0,6.782457,0.7380146,1.900234,1.354987,589.5547,-0.2307692,0.4936492,0x0a13,1,16958,45,45,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2737187380,10,4351,0,10,1475,0,2736,5792,8543.189,5792,9728,0,4,1,0,0x031b,0x0000,10,32,0x0000011e,1380,512,0x0000,0x00,0,0x00,246727806,4294950189,0.001,246727.817719,1463771311.542819,0.0009929599,0.000934,6.733244,0.4534388,1.558345,0.4808566,1.558362,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,9,1,1,1.0,1,10,4351
A,1,0x0000000000000004,1464018015.045131,1464018015.049928,0.004797,1,2,eth:eapol,b0:c5:54:25:5b:0e,28:b2:bd:c3:41:78,0x888e,,-,-,-,0,-,-,-,0,0,0x00,1,b0:c5:54:25:5b:0e_28:b2:bd:c3:41:78_2,"DLinkInte,SG_IntelCorp,MY",0,unknown,2,0,220,0,99,121,110.0,7.778174,0,0.004797,0.0023985,0.001695996,416.9272,45862.0,1.0,1.0,0x0000,65535,0,0,0,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,1,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,0,0,0,0,0.0,0,0,0
A,3,0x0400000000004000,1464018015.880253,1464018016.048732,0.168479,1,3,eth:ipv4:udp,b0:c5:54:25:5b:0e,01:00:5e:00:00:fb,0x0800,,192.168.0.20,07,Private network,5353,224.0.0.251,10,mDNS,5353,17,0x00,1,b0:c5:54:25:5b:0e_01:00:5e:00:00:fb_3,"DLinkInte,SG_IPv4Multi",5353,mdns,3,0,731,0,179,373,243.6667,67.3072,0,0.08994899,0.05615966,0.02990796,17.80637,4338.82,1.0,1.0,0x0001,0,0,255,255,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,1,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,2,1,1,1.0,1,3,731
A,4,0x0400000000004000,1464018018.688981,1464018018.777016,0.088035,1,3,eth:ipv4:udp,b0:c5:54:25:5b:0e,ff:ff:ff:ff:ff:ff,0x0800,,0.0.0.0,-,-,68,255.255.255.255,11,Broadcast,67,17,0x00,1,b0:c5:54:25:5b:0e_ff:ff:ff:ff:ff:ff_2,"DLinkInte,SG_Broadcast",67,bootps,2,0,602,0,300,302,301.0,0.7071068,0,0.088035,0.0440175,0.03112507,22.71824,6838.189,1.0,1.0,0x0001,0,0,64,64,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,1,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,2,1,1,1.0,1,2,602
A,2,0x0000000000000044,1464018015.878978,1464018019.399216,3.520238,1,2,eth:arp,b0:c5:54:25:5b:0e,ff:ff:ff:ff:ff:ff,0x0806,,-,-,-,0,-,-,-,0,0,0x00,1,b0:c5:54:25:5b:0e_ff:ff:ff:ff:ff:ff_3,"DLinkInte,SG_Broadcast",0,unknown,3,0,84,0,28,28,28.0,0.0,0,2.520643,1.173413,0.8296238,0.8522151,23.86202,1.0,1.0,0x0000,65535,0,0,0,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,1,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,0,0,0,0,0.0,0,0,0
A,7,0x0400000000004000,1464018019.400768,1464018019.400768,0.0,1,3,eth:ipv4:udp,b0:c5:54:25:5b:0e,00:b5:6d:06:08:ba,0x0800,,10.10.10.37,04,Private network,36960,192.168.0.1,07,Private network,53,17,0x00,1,b0:c5:54:25:5b:0e_00:b5:6d:06:08:ba_1,"DLinkInte,SG_DavidElec,TW",53,domain,1,0,32,0,32,32,32.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0x0001,65535,0,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,1,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,9,1,1,9,1.0,9,229,34741
A,8,0x0400000000004001,1464018019.40205,1464018019.40205,0.0,1,3,eth:ipv4:icmp,00:b5:6d:06:08:ba,b0:c5:54:25:5b:0e,0x0800,,130.83.253.186,de,TU Darmstadt,0,10.10.10.37,04,Private network,0,1,0x00,1,00:b5:6d:06:08:ba_b0:c5:54:25:5b:0e_1,"DavidElec,TW_DLinkInte,SG",0,unknown,1,0,28,0,28,28,28.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0x0001,65535,0,252,252,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,1,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x01,1,0x00000000_0x00000008_0x0002,0x00000000,0,8,1,8,1,2,2.0,2,1,28
