%dir,flowInd,flowStat,timeFirst,timeLast,duration,numHdrDesc,numHdrs,hdrDesc,srcMac,dstMac,ethType,vlanID,srcIP,srcIPCC,srcIPOrg,srcPort,dstIP,dstIPCC,dstIPOrg,dstPort,l4Proto,macStat,macPairs,srcMac_dstMac_numP,srcMacLbl_dstMacLbl,dstPortClassN,dstPortClass,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,tcpFStat,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,ipToS,ipFlags,ipOptCnt,ipOptCpCl_Num,ip6OptCntHH_D,ip6OptHH_D,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpBFlgtMx,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpFlags,tcpAnomaly,tcpOptPktCnt,tcpOptCnt,tcpOptions,tcpMSS,tcpWS,tcpMPTBF,tcpMPF,tcpMPAID,tcpMPDSSF,tcpTmS,tcpTmER,tcpEcI,tcpUtm,tcpBtm,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,tcpStatesAFlags,icmpStat,icmpTCcnt,icmpBFTypH_TypL_Code,icmpTmGtw,icmpEchoSuccRatio,icmpPFindex,connSip,connDip,connSipDip,connSipDprt,connF,connG,connNumPCnt,connNumBCnt
A,4,0x0400000000004000,1471952914.747006,1471952914.982402,0.235396,1,3,eth:ipv4:tcp,1c:5f:2b:aa:fd:4e,00:b5:6d:06:08:ba,0x0800,,10.10.10.87,04,Private network,37733,52.28.38.154,us,MAINT-APNIC-AP,443,6,0x00,1,1c:5f:2b:aa:fd:4e_00:b5:6d:06:08:ba_9,"DLinkInte,SG_DavidElec,TW",443,https,9,8,1503,751,0,961,167.0,286.6682,0,0.18146,0.02615511,0.05218257,38.23344,6384.985,0.05882353,0.3336291,0x0a13,0,1,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1839492239,6,1503,0,6,720,0,961,5840,3033.002,0,7006,1,1,2,0,0x011f,0x0000,7,23,0x0000011e,1460,2,0x0000,0x00,0,0x00,313839,244974473,1.0,313839.0,1471639075.6304564,0.00220096,0.002059968,0.179421,0.02923025,0.05310821,0.002608,0.0,0x52,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,2,1,2,6,3,3,23,3980
B,4,0x0400000000004001,1471952914.749207,1471952914.981967,0.23276,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,1c:5f:2b:aa:fd:4e,0x0800,,52.28.38.154,us,MAINT-APNIC-AP,443,10.10.10.87,04,Private network,37733,6,0x00,1,00:b5:6d:06:08:ba_1c:5f:2b:aa:fd:4e_8,"DavidElec,TW_DLinkInte,SG",443,https,8,9,751,1503,0,583,93.875,172.9402,0,0.177208,0.029095,0.05268889,34.37017,3226.5,-0.05882353,-0.3336291,0x0a13,1,46237,50,50,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1650030780,8,751,0,8,1503,0,614,17898,20454.52,17898,20992,0,2,1,0,0x031b,0x0000,8,26,0x0000011e,1380,256,0x0000,0x00,0,0x00,244974475,313839,1.0,244974475.0,1226978439.2714455,0.00040704,0.000385984,0.003694016,0.00113664,0.0009949387,0.03036689,0.05311753,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,2,1,5,5,5,8,751
A,5,0x0400000000004000,1471952932.54316,1471952933.121806,0.578646,1,3,eth:ipv4:tcp,1c:5f:2b:aa:fd:4e,00:b5:6d:06:08:ba,0x0800,,10.10.10.87,04,Private network,37738,52.28.38.154,us,MAINT-APNIC-AP,443,6,0x00,1,1c:5f:2b:aa:fd:4e_00:b5:6d:06:08:ba_10,"DLinkInte,SG_DavidElec,TW",443,https,10,8,3117,767,0,1368,311.7,466.5222,0,0.556231,0.0578646,0.1554455,17.28172,5386.713,0.1111111,0.6050463,0x0a13,0,1,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2111440050,7,3117,0,7,736,0,1419,5840,3037.706,0,7038,1,1,2,0,0x011f,0x0000,8,26,0x0000011e,1460,2,0x0000,0x00,0,0x00,318372,244979006,0.001,318.372015,1471952615.1120837,0.002928,0.001505,0.554318,0.07654,0.1654034,0.003286016,0.0,0x52,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,2,1,2,6,3,3,44,9388
B,5,0x0400000000004001,1471952932.546088,1471952933.121477,0.575389,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,1c:5f:2b:aa:fd:4e,0x0800,,52.28.38.154,us,MAINT-APNIC-AP,443,10.10.10.87,04,Private network,37738,6,0x00,1,00:b5:6d:06:08:ba_1c:5f:2b:aa:fd:4e_8,"DavidElec,TW_DLinkInte,SG",443,https,8,10,767,3117,0,599,95.875,177.667,0,0.513304,0.07192362,0.1528764,13.90364,1333.011,-0.1111111,-0.6050463,0x0a13,1,17055,50,50,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3091769107,8,767,0,8,3117,0,630,17898,23362.39,17898,24576,0,3,1,0,0x031b,0x0000,8,26,0x0000011e,1380,256,0x0000,0x00,0,0x00,244979008,318372,0.001,244979.019636,1471707954.119828,0.000358016,0.000329,0.00492096,0.0014016,0.001401583,0.0779416,0.1654093,0x12,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,2,1,5,5,5,16,1518
A,6,0x0400000000004000,1471952940.939115,1471952941.840416,0.901301,1,3,eth:ipv4:tcp,1c:5f:2b:aa:fd:4e,00:b5:6d:06:08:ba,0x0800,,10.10.10.87,04,Private network,37740,52.28.38.154,us,MAINT-APNIC-AP,443,6,0x00,1,1c:5f:2b:aa:fd:4e_00:b5:6d:06:08:ba_9,"DLinkInte,SG_DavidElec,TW",443,https,9,8,1537,751,0,995,170.7778,295.4606,0,0.842268,0.1001446,0.2433149,9.985565,1705.313,0.05882353,0.3435315,0x0a13,0,1,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2241504812,6,1537,0,6,720,0,995,5840,3033.002,0,7006,1,1,2,0,0x011f,0x0000,7,23,0x0000011e,1460,2,0x0000,0x00,0,0x00,320552,244981186,0.001,320.552015,1471952621.3639295,0.002678976,0.002356032,0.840299,0.1131321,0.2513599,0.00312896,0.0,0x52,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,2,1,2,6,3,3,57,10925
B,6,0x0400000000004001,1471952940.941794,1471952941.839963,0.898169,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,1c:5f:2b:aa:fd:4e,0x0800,,52.28.38.154,us,MAINT-APNIC-AP,443,10.10.10.87,04,Private network,37740,6,0x00,1,00:b5:6d:06:08:ba_1c:5f:2b:aa:fd:4e_8,"DavidElec,TW_DLinkInte,SG",443,https,8,9,751,1537,0,583,93.875,172.9402,0,0.837779,0.1122711,0.2508718,8.90701,836.1456,-0.05882353,-0.3435315,0x0a13,1,11123,50,50,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,338948903,8,751,0,8,1537,0,614,17898,20454.52,17898,20992,0,2,1,0,0x031b,0x0000,8,26,0x0000011e,1380,256,0x0000,0x00,0,0x00,244981188,320552,0.001,244981.199636,1471707960.2244742,0.000449984,0.000398976,0.003676992,0.001153992,0.0009717662,0.1142861,0.2513617,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,2,1,5,5,5,24,2269
A,2,0x0000000000000044,1471952895.351737,1471952970.467802,75.116065,1,2,eth:arp,00:b5:6d:06:08:ba,1c:5f:2b:aa:fd:4e,0x0806,,-,-,-,0,-,-,-,0,0,0x00,1,00:b5:6d:06:08:ba_1c:5f:2b:aa:fd:4e_4,"DavidElec,TW_DLinkInte,SG",0,unknown,4,4,112,184,28,28,28.0,0.0,0,35.05601,18.77902,12.58498,0.05325092,1.491026,0.0,-0.2432432,0x0000,65535,0,0,0,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,1,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,0,0,0,0,0,0,0,0
B,2,0x0000000000000045,1471952895.351993,1471952970.467774,75.115781,1,2,eth:arp,1c:5f:2b:aa:fd:4e,00:b5:6d:06:08:ba,0x0806,,-,-,-,0,-,-,-,0,0,0x00,1,1c:5f:2b:aa:fd:4e_00:b5:6d:06:08:ba_4,"DLinkInte,SG_DavidElec,TW",0,unknown,4,4,184,112,46,46,46.0,0.0,0,35.05604,18.77895,12.58505,0.05325112,2.449552,0.0,0.2432432,0x0000,65535,0,0,0,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,1,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,0,0,0,0,0,0,0,0
A,1,0x0400000000004000,1471952896.307111,1471952973.1336,76.826489,1,3,eth:ipv4:tcp,1c:5f:2b:aa:fd:4e,00:b5:6d:06:08:ba,0x0800,,10.10.10.87,04,Private network,42418,52.28.131.102,us,MAINT-APNIC-AP,443,6,0x00,1,1c:5f:2b:aa:fd:4e_00:b5:6d:06:08:ba_32,"DLinkInte,SG_DavidElec,TW",443,https,32,33,8666,10354,0,1380,270.8125,387.2294,0,5.012033,2.400828,2.288467,0.416523,112.7996,-0.01538462,-0.08874869,0x0811,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1629977052,32,8666,0,32,10354,2,2279,13309,16527.83,13309,16528,0,3,1,0,0x0018,0x0120,0,0,0x00000000,0,1,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.0,0.002099008,5.0117,2.294723,2.33604,0.0,0.0,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,4,4,4,1,78,14823
B,1,0x0400000000004001,1471952891.292869,1471952973.133244,81.840375,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,1c:5f:2b:aa:fd:4e,0x0800,,52.28.131.102,us,MAINT-APNIC-AP,443,10.10.10.87,04,Private network,42418,6,0x00,1,00:b5:6d:06:08:ba_1c:5f:2b:aa:fd:4e_33,"DavidElec,TW_DLinkInte,SG",443,https,33,32,10354,8666,0,1093,313.7576,453.8518,0,5.013901,2.480011,2.286164,0.4032239,126.5146,0.01538462,0.08874869,0x0811,1,1,50,50,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1761195870,29,10356,0,33,8666,2,1093,1513,1838.111,1513,1858,0,1,1,0,0x0018,0x0298,0,0,0x00000000,0,1,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.0,0.000332992,0.196679,0.03755434,0.05331898,2.332277,2.336648,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,3,3,3,1,51,10354
