%dir,flowInd,flowStat,timeFirst,timeLast,duration,numHdrDesc,numHdrs,hdrDesc,srcMac,dstMac,ethType,vlanID,srcIP,srcIPCC,srcIPOrg,srcPort,dstIP,dstIPCC,dstIPOrg,dstPort,l4Proto,macStat,macPairs,srcMac_dstMac_numP,srcMacLbl_dstMacLbl,dstPortClassN,dstPortClass,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,tcpFStat,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,ipToS,ipFlags,ipOptCnt,ipOptCpCl_Num,ip6OptCntHH_D,ip6OptHH_D,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpBFlgtMx,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpFlags,tcpAnomaly,tcpOptPktCnt,tcpOptCnt,tcpOptions,tcpMSS,tcpWS,tcpMPTBF,tcpMPF,tcpMPAID,tcpMPDSSF,tcpTmS,tcpTmER,tcpEcI,tcpUtm,tcpBtm,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,tcpStatesAFlags,icmpStat,icmpTCcnt,icmpBFTypH_TypL_Code,icmpTmGtw,icmpEchoSuccRatio,icmpPFindex,connSip,connDip,connSipDip,connSipDprt,connF,connG,connNumPCnt,connNumBCnt
A,16,0x0400000000004000,1464018414.184406,1464018415.583216,1.39881,1,3,eth:ipv4:tcp,90:8d:78:a8:e1:43,00:b5:6d:06:08:ba,0x0800,,10.10.10.72,04,Private network,57014,50.112.127.36,us,Amazoncom,80,6,0x00,1,90:8d:78:a8:e1:43_00:b5:6d:06:08:ba_6,"DLinkInte,SG_DavidElec,TW",80,http,6,4,137,659,0,137,22.83333,42.40079,0,0.830144,0.233135,0.244235,4.28936,97.94039,0.2,-0.6557789,0x0a13,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2545119870,5,137,0,5,659,0,137,5840,6705.926,5840,7158,0,1,1,0,0x011b,0x0000,6,20,0x0000011e,1460,2,0x0000,0x00,0,0x00,4294933216,4198893677,1.0,4294933216.0,1.844674407087864e+19,0.164796,0.164653,0.167419,0.1654727,0.0009265892,0.166821,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,5,1,2,2,0.4,1.0,44,9195
B,16,0x0400000000004001,1464018414.349202,1464018415.581725,1.232523,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,90:8d:78:a8:e1:43,0x0800,,50.112.127.36,us,Amazoncom,80,10.10.10.72,04,Private network,57014,6,0x00,1,00:b5:6d:06:08:ba_90:8d:78:a8:e1:43_4,"DavidElec,TW_DLinkInte,SG",80,http,4,6,659,137,0,659,164.75,234.6041,0,1.002981,0.3081307,0.3539465,3.245376,534.6757,-0.2,0.6557789,0x0a13,1,5956,30,30,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,440619792,4,659,0,4,137,0,659,14480,15226.35,14480,15616,0,1,1,0,0x031b,0x0000,4,14,0x0000011e,1380,256,0x0000,0x00,0,0x00,4198893677,4294933174,1.0,4198893677.0,1.844674407097468e+19,0.002025024,0.001491008,0.837958,0.1522394,0.2751409,0.3177121,0.2751425,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,5,1,1,1.0,1.0,4,659
A,20,0x0400000000004000,1464018428.791562,1464018429.431509,0.639947,1,3,eth:ipv4:tcp,90:8d:78:a8:e1:43,00:b5:6d:06:08:ba,0x0800,,10.10.10.72,04,Private network,57878,52.28.38.154,us,MAINT-APNIC-AP,443,6,0x00,1,90:8d:78:a8:e1:43_00:b5:6d:06:08:ba_12,"DLinkInte,SG_DavidElec,TW",443,https,12,9,863,4637,0,522,71.91666,139.661,0,0.255702,0.05332892,0.08418769,18.75155,1348.549,0.1428571,-0.6861818,0x0a13,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3732174271,11,863,0,11,4637,0,522,5840,13554.55,5840,14048,0,3,1,0,0x041e,0x0000,12,38,0x0000011e,1460,2,0x0000,0x00,0,0x00,4294936678,114737462,0.001,4294936.881999,1459723493.113027,0.002328,0.002132032,0.253386,0.06316235,0.09606844,0.01033805,0.0,0x42,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,5,1,2,2,0.4,1.0,62,11193
B,20,0x0400000000004001,1464018428.79389,1464018429.417211,0.623321,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,90:8d:78:a8:e1:43,0x0800,,52.28.38.154,us,MAINT-APNIC-AP,443,10.10.10.72,04,Private network,57878,6,0x00,1,00:b5:6d:06:08:ba_90:8d:78:a8:e1:43_9,"DavidElec,TW_DLinkInte,SG",443,https,9,12,4637,863,0,1368,515.2222,489.8277,0,0.269189,0.06925789,0.08915891,14.43879,7439.185,-0.1428571,0.6861818,0x0a13,1,25439,50,50,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1412438516,9,4600,0,9,863,0,3817,17898,20575.85,17898,21248,0,3,1,0,0x021a,0x0000,9,29,0x0000011e,1380,256,0x0000,0x00,0,0x00,114737462,4294936611,0.001,114737.46745,1463903692.1317232,0.008010048,0.002146,0.266116,0.03802176,0.06526545,0.1011841,0.116141,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,5,1,1,1.0,1.0,9,4637
A,21,0x0400000000004000,1464018429.633917,1464018430.192706,0.558789,1,3,eth:ipv4:tcp,90:8d:78:a8:e1:43,00:b5:6d:06:08:ba,0x0800,,10.10.10.72,04,Private network,57880,52.28.38.154,us,MAINT-APNIC-AP,443,6,0x00,1,90:8d:78:a8:e1:43_00:b5:6d:06:08:ba_14,"DLinkInte,SG_DavidElec,TW",443,https,14,11,1593,4685,0,730,113.7857,208.317,0,0.203913,0.0399135,0.0614082,25.05418,2850.808,0.12,-0.4925135,0x0a13,0,1,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3740549088,11,1593,0,11,4648,0,730,5840,6641.727,0,14048,1,3,2,0,0x011f,0x0000,12,38,0x0000011e,1460,2,0x0000,0x00,0,0x00,4294936867,114737654,0.001,4294937.070999,1459723493.2489407,0.002409984,0.002094976,0.183689,0.02295972,0.04885482,0.003284992,0.0,0x52,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,6,1,2,2,0.3333333,1.0,84,14162
B,21,0x0400000000004001,1464018429.636327,1464018430.19122,0.554893,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,90:8d:78:a8:e1:43,0x0800,,52.28.38.154,us,MAINT-APNIC-AP,443,10.10.10.72,04,Private network,57880,6,0x00,1,00:b5:6d:06:08:ba_90:8d:78:a8:e1:43_11,"DavidElec,TW_DLinkInte,SG",443,https,11,14,4685,1593,0,1368,425.9091,482.4656,0,0.217357,0.05044483,0.06987611,19.82364,8443.069,-0.12,0.4925135,0x0a13,1,34221,50,50,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3150734565,11,4685,0,11,1593,0,3817,17898,22085.85,17898,22784,0,4,1,0,0x031b,0x0000,11,35,0x0000011e,1380,256,0x0000,0x00,0,0x00,114737656,4294936867,0.001,114737.66145,1463903693.1579988,0.000875008,0.000875008,0.214409,0.02753431,0.05234232,0.05049403,0.07159967,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,6,1,1,1.0,1.0,20,9322
A,24,0x0400000000004000,1464018430.427962,1464018431.651471,1.223509,1,3,eth:ipv4:tcp,90:8d:78:a8:e1:43,00:b5:6d:06:08:ba,0x0800,,10.10.10.72,04,Private network,57881,52.28.38.154,us,MAINT-APNIC-AP,443,6,0x00,1,90:8d:78:a8:e1:43_00:b5:6d:06:08:ba_12,"DLinkInte,SG_DavidElec,TW",443,https,12,9,735,4493,0,394,61.25,109.8815,0,0.601517,0.1019591,0.1676881,9.807857,600.7312,0.1428571,-0.7188217,0x0a13,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3748924074,11,735,0,11,4493,0,394,5840,13554.55,5840,14048,0,3,1,0,0x041e,0x0000,12,38,0x0000011e,1460,2,0x0000,0x00,0,0x00,4294937233,114737943,1.0,4294937233.0,1.8446744070878632e+19,0.002544,0.002385024,0.597615,0.1395287,0.2300616,0.003457024,0.0,0x42,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,8,1,2,4,0.5,2.0,125,17224
B,24,0x0400000000004001,1464018430.430506,1464018431.340113,0.909607,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,90:8d:78:a8:e1:43,0x0800,,52.28.38.154,us,MAINT-APNIC-AP,443,10.10.10.72,04,Private network,57881,6,0x00,1,00:b5:6d:06:08:ba_90:8d:78:a8:e1:43_9,"DavidElec,TW_DLinkInte,SG",443,https,9,12,4493,735,0,1368,499.2222,490.6641,0,0.558156,0.1010674,0.1624134,9.894383,4939.496,-0.1428571,0.7188217,0x0a13,1,20570,50,50,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,286311981,9,4456,0,9,735,0,3817,17898,20575.85,17898,21248,0,3,1,0,0x021a,0x0000,9,29,0x0000011e,1380,256,0x0000,0x00,0,0x00,114737943,4294937005,0.001,114737.94845,1463903694.41571,0.000913024,0.000812992,0.311358,0.05325392,0.09042592,0.1927826,0.2471947,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,8,1,3,3.0,3.0,29,13815
A,30,0x0400000000004000,1464018431.347636,1464018439.26404,7.916404,1,3,eth:ipv4:tcp,90:8d:78:a8:e1:43,00:b5:6d:06:08:ba,0x0800,,10.10.10.72,04,Private network,55998,52.28.161.134,us,MAINT-APNIC-AP,443,6,0x00,1,90:8d:78:a8:e1:43_00:b5:6d:06:08:ba_19,"DLinkInte,SG_DavidElec,TW",443,https,19,19,1609,5175,0,1066,84.68421,231.5693,0,5.005425,0.4166529,1.102388,2.40008,203.2489,0.0,-0.5256486,0x4a13,0,1,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3771869154,16,1609,0,16,5085,0,1066,5840,6562.267,0,14120,1,3,2,0,0x011f,0x0020,2,8,0x0000013e,1460,2,0x0000,0x00,0,0x00,4294937156,0,0.004,17179749.439994,1446838682.359862,0.002351008,0.002317984,5.00494,0.4184168,1.129043,0.003245984,0.0,0x52,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,9,1,4,4,0.4444444,1.0,283,23967
B,30,0x0400000000004001,1464018431.349987,1464018439.2628,7.912813,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,90:8d:78:a8:e1:43,0x0800,,52.28.161.134,us,MAINT-APNIC-AP,443,10.10.10.72,04,Private network,55998,6,0x00,1,00:b5:6d:06:08:ba_90:8d:78:a8:e1:43_19,"DavidElec,TW_DLinkInte,SG",443,https,19,19,5175,1609,0,1380,272.3684,423.7063,0,5.002477,0.4164639,1.101835,2.401169,654.0026,0.0,0.5256486,0x0a11,1,25787,50,50,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,296104885,16,5123,0,19,1609,0,3464,2048,4741.401,2048,5256,0,2,1,0,0x031b,0x0050,1,6,0x0000001e,1380,8,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.000894976,0.000116992,0.857091,0.08194222,0.1985607,0.500359,1.14637,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,9,3,3,3.0,1.0,35,9252
