%dir,flowInd,flowStat,timeFirst,timeLast,duration,numHdrDesc,numHdrs,hdrDesc,srcMac,dstMac,ethType,vlanID,srcIP,srcIPCC,srcIPOrg,srcPort,dstIP,dstIPCC,dstIPOrg,dstPort,l4Proto,macStat,macPairs,srcMac_dstMac_numP,srcMacLbl_dstMacLbl,dstPortClassN,dstPortClass,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,tcpFStat,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,ipToS,ipFlags,ipOptCnt,ipOptCpCl_Num,ip6OptCntHH_D,ip6OptHH_D,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpBFlgtMx,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpFlags,tcpAnomaly,tcpOptPktCnt,tcpOptCnt,tcpOptions,tcpMSS,tcpWS,tcpMPTBF,tcpMPF,tcpMPAID,tcpMPDSSF,tcpTmS,tcpTmER,tcpEcI,tcpUtm,tcpBtm,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,tcpStatesAFlags,icmpStat,icmpTCcnt,icmpBFTypH_TypL_Code,icmpTmGtw,icmpEchoSuccRatio,icmpPFindex,connSip,connDip,connSipDip,connSipDprt,connF,connG,connNumPCnt,connNumBCnt
A,16,0x0400000000004000,1469007771.424843,1469007772.761972,1.337129,1,3,eth:ipv4:tcp,90:8d:78:a9:3d:6f,00:b5:6d:06:08:ba,0x0800,,10.10.10.176,04,Private network,35122,50.112.127.36,us,Amazoncom,80,6,0x00,1,90:8d:78:a9:3d:6f_00:b5:6d:06:08:ba_6,"DLinkInte,SG_DavidElec,TW",80,http,6,4,137,660,0,137,22.83333,42.40079,0,0.838869,0.2228548,0.2535436,4.487226,102.4583,0.2,-0.6562108,0x0a13,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,375477842,5,137,0,5,660,0,137,5840,6707.24,5840,7160,0,1,1,0,0x011b,0x0000,6,20,0x0000011e,1460,2,0x0000,0x00,0,0x00,4294933918,1151272193,1.0,4294933918.0,1.8446744070883625e+19,0.161921,0.161683,0.164043,0.1623658,0.0007981873,0.163678,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,5,1,2,2,0.4,1.0,34,6444
B,16,0x0400000000004001,1469007771.586764,1469007772.76067,1.173906,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,90:8d:78:a9:3d:6f,0x0800,,50.112.127.36,us,Amazoncom,80,10.10.10.176,04,Private network,35122,6,0x00,1,00:b5:6d:06:08:ba_90:8d:78:a9:3d:6f_4,"DavidElec,TW_DLinkInte,SG",80,http,4,6,660,137,0,660,165.0,234.9601,0,1.007617,0.2934765,0.3603926,3.407428,562.2256,-0.2,0.6562108,0x0a13,1,32085,28,28,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2757545443,4,660,0,4,137,0,660,14480,15226.35,14480,15616,0,1,1,0,0x031b,0x0000,4,14,0x0000011e,1380,256,0x0000,0x00,0,0x00,1151272193,4294933877,0.1,115127221.015529,1353880551.4452596,0.001756992,0.001301952,0.845801,0.1432992,0.2812447,0.3056649,0.2812458,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,5,1,1,1.0,1.0,4,660
A,20,0x0400000000004000,1469007800.564824,1469007801.117744,0.55292,1,3,eth:ipv4:tcp,90:8d:78:a9:3d:6f,00:b5:6d:06:08:ba,0x0800,,10.10.10.176,04,Private network,40112,52.58.227.57,us,Amazon Technologies Inc,443,6,0x00,1,90:8d:78:a9:3d:6f_00:b5:6d:06:08:ba_12,"DLinkInte,SG_DavidElec,TW",443,https,12,9,863,4637,0,522,71.91666,139.661,0,0.285742,0.04607667,0.07512613,21.70296,1560.804,0.1428571,-0.6861818,0x0a13,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,824535214,11,863,0,11,4637,0,522,5840,13554.55,5840,14048,0,3,1,0,0x041e,0x0000,12,38,0x0000011e,1460,2,0x0000,0x00,0,0x00,4294941007,273243200,0.001,4294941.210999,1464712860.1568885,0.002772992,0.002500992,0.283277,0.069814,0.1075944,0.004134976,0.0,0x42,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,6,1,2,2,0.3333333,1.0,55,8629
B,20,0x0400000000004001,1469007800.567597,1469007801.102976,0.535379,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,90:8d:78:a9:3d:6f,0x0800,,52.58.227.57,us,Amazon Technologies Inc,443,10.10.10.176,04,Private network,40112,6,0x00,1,00:b5:6d:06:08:ba_90:8d:78:a9:3d:6f_9,"DavidElec,TW_DLinkInte,SG",443,https,9,12,4637,863,0,1368,515.2222,489.8277,0,0.243369,0.05948656,0.07488572,16.81052,8661.154,-0.1428571,0.6861818,0x0a13,1,12515,50,50,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1680498343,9,4600,0,9,863,0,3817,17898,20575.85,17898,21248,0,3,1,0,0x021a,0x0000,9,29,0x0000011e,1380,256,0x0000,0x00,0,0x00,273243200,4294940932,0.001,273243.212978,1468734558.3978775,0.001361984,0.001361984,0.137696,0.02740333,0.03468247,0.09721734,0.1130461,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,6,1,1,1.0,1.0,9,4637
A,24,0x0400000000004000,1469007802.421486,1469007802.891155,0.469669,1,3,eth:ipv4:tcp,90:8d:78:a9:3d:6f,00:b5:6d:06:08:ba,0x0800,,10.10.10.176,04,Private network,40115,52.58.227.57,us,Amazon Technologies Inc,443,6,0x00,1,90:8d:78:a9:3d:6f_00:b5:6d:06:08:ba_14,"DLinkInte,SG_DavidElec,TW",443,https,14,10,1967,4685,0,1368,140.5,330.2487,0,0.199766,0.03354779,0.05549319,29.80823,4188.056,0.1666667,-0.4085989,0x0a13,0,1,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,857144514,11,1967,0,11,4648,0,1626,5840,6641.727,0,14048,1,3,2,0,0x011f,0x0000,12,38,0x0000011e,1460,2,0x0000,0x00,0,0x00,4294941449,273243645,1.0,4294941449.0,1.8446744070883617e+19,0.002668992,0.002509984,0.198536,0.0229434,0.05477175,0.003622976,0.0,0x52,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,6,1,4,4,0.6666667,1.0,90,13342
B,24,0x0400000000004001,1469007802.424155,1469007802.889611,0.465456,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,90:8d:78:a9:3d:6f,0x0800,,52.58.227.57,us,Amazon Technologies Inc,443,10.10.10.176,04,Private network,40115,6,0x00,1,00:b5:6d:06:08:ba_90:8d:78:a9:3d:6f_10,"DavidElec,TW_DLinkInte,SG",443,https,10,14,4685,1967,0,1368,468.5,488.2195,0,0.196019,0.0465456,0.06178986,21.48431,10065.4,-0.1666667,0.4085989,0x0a13,1,50469,50,50,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1586619494,10,4685,0,10,1967,0,3817,17898,24084.58,17898,25600,0,3,1,0,0x031b,0x0000,10,32,0x0000011e,1380,256,0x0000,0x00,0,0x00,273243647,4294941449,1.0,273243647.0,1195764155.5527697,0.000953984,0.00084096,0.145256,0.025911,0.0371243,0.0488544,0.06616765,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,6,3,3,3.0,1.0,28,13815
A,21,0x0400000000004000,1469007802.108409,1469007803.779605,1.671196,1,3,eth:ipv4:tcp,90:8d:78:a9:3d:6f,00:b5:6d:06:08:ba,0x0800,,10.10.10.176,04,Private network,40113,52.58.227.57,us,Amazon Technologies Inc,443,6,0x00,1,90:8d:78:a9:3d:6f_00:b5:6d:06:08:ba_12,"DLinkInte,SG_DavidElec,TW",443,https,12,9,735,4493,0,394,61.25,109.8815,0,0.803751,0.1392663,0.2406826,7.180486,439.8048,0.1428571,-0.7188217,0x0a13,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,841958396,11,735,0,11,4493,0,394,5840,13554.55,5840,14048,0,3,1,0,0x041e,0x0000,12,38,0x0000011e,1460,2,0x0000,0x00,0,0x00,4294941672,273243667,1.0,4294941672.0,1.8446744070883617e+19,0.002672,0.002582,0.550014,0.129252,0.2113693,0.003995,0.0,0x42,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,8,1,2,4,0.5,2.0,109,14425
B,21,0x0400000000004001,1469007802.111081,1469007802.968892,0.857811,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,90:8d:78:a9:3d:6f,0x0800,,52.58.227.57,us,Amazon Technologies Inc,443,10.10.10.176,04,Private network,40113,6,0x00,1,00:b5:6d:06:08:ba_90:8d:78:a9:3d:6f_9,"DavidElec,TW_DLinkInte,SG",443,https,9,12,4493,735,0,1368,499.2222,490.6641,0,0.509231,0.09531234,0.148896,10.49182,5237.75,-0.1428571,0.7188217,0x0a13,1,44921,50,50,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1536174163,9,4456,0,9,735,0,3817,17898,20575.85,17898,21248,0,3,1,0,0x021a,0x0000,9,29,0x0000011e,1380,256,0x0000,0x00,0,0x00,273243667,4294941332,1.0,273243667.0,1195764135.2524357,0.001323,0.001100992,0.8107129,0.09549049,0.2124173,0.2247425,0.2996633,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,8,1,3,3.0,3.0,28,13815
A,27,0x0400000000004000,1469007803.472205,1469007811.952548,8.480343,1,3,eth:ipv4:tcp,90:8d:78:a9:3d:6f,00:b5:6d:06:08:ba,0x0800,,10.10.10.176,04,Private network,43841,52.28.131.102,us,MAINT-APNIC-AP,443,6,0x00,1,90:8d:78:a9:3d:6f_00:b5:6d:06:08:ba_16,"DLinkInte,SG_DavidElec,TW",443,https,16,16,543,4077,0,207,33.9375,65.15464,0,4.999224,0.5300215,1.329418,1.886716,64.03043,0.0,-0.7649351,0x4a13,0,1,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,863645878,13,543,0,13,3987,0,207,5840,5473.624,0,11360,1,2,2,0,0x011f,0x0020,2,8,0x0000013e,1460,2,0x0000,0x00,0,0x00,4294941596,0,0.004,17179767.199995,1451828036.385357,0.002206016,0.002016,4.998508,0.3181134,1.164586,0.003044992,0.0,0x52,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,9,1,2,2,0.2222222,1.0,244,19070
B,27,0x0400000000004001,1469007803.474411,1469007811.951516,8.477105,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,90:8d:78:a9:3d:6f,0x0800,,52.28.131.102,us,MAINT-APNIC-AP,443,10.10.10.176,04,Private network,43841,6,0x00,1,00:b5:6d:06:08:ba_90:8d:78:a9:3d:6f_16,"DavidElec,TW_DLinkInte,SG",443,https,16,16,4077,543,0,1380,254.8125,410.9536,0,4.960089,0.5298191,1.325232,1.887437,480.9425,0.0,0.7649351,0x0a11,1,34105,50,50,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1437146152,13,4025,0,16,543,0,3464,2048,3114.911,2048,3120,0,1,1,0,0x031b,0x0050,1,6,0x0000001e,1380,8,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.000838976,0.000668992,3.170514,0.2313704,0.7582732,0.5494838,1.38969,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,9,1,1,1.0,1.0,16,4077
