%dir,flowInd,flowStat,timeFirst,timeLast,duration,numHdrDesc,numHdrs,hdrDesc,srcMac,dstMac,ethType,vlanID,srcIP,srcIPCC,srcIPOrg,srcPort,dstIP,dstIPCC,dstIPOrg,dstPort,l4Proto,macStat,macPairs,srcMac_dstMac_numP,srcMacLbl_dstMacLbl,dstPortClassN,dstPortClass,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,tcpFStat,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,ipToS,ipFlags,ipOptCnt,ipOptCpCl_Num,ip6OptCntHH_D,ip6OptHH_D,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpBFlgtMx,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpFlags,tcpAnomaly,tcpOptPktCnt,tcpOptCnt,tcpOptions,tcpMSS,tcpWS,tcpMPTBF,tcpMPF,tcpMPAID,tcpMPDSSF,tcpTmS,tcpTmER,tcpEcI,tcpUtm,tcpBtm,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,tcpStatesAFlags,icmpStat,icmpTCcnt,icmpBFTypH_TypL_Code,icmpTmGtw,icmpEchoSuccRatio,icmpPFindex,connSip,connDip,connSipDip,connSipDprt,connF,connG,connNumPCnt,connNumBCnt
A,4,0x0000000000000004,1465912386.056256,1465912386.056256,0.0,1,2,eth:llc,74:da:38:80:79:fc,ff:ff:ff:ff:ff:ff,0x0001,,-,-,-,0,-,-,-,0,0,0x00,1,74:da:38:80:79:fc_ff:ff:ff:ff:ff:ff_1,"EdimaxTec,TW_Broadcast",0,unknown,1,0,3,0,3,3,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,0x0000,65535,0,0,0,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0,65535,0,0,0,0,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,0,0,0,0,0.0,0,0,0
A,1,0x0000000000000004,1465912372.82458,1465912386.068145,13.243565,1,2,eth:eapol,74:da:38:80:79:fc,28:b2:bd:c3:41:78,0x888e,,-,-,-,0,-,-,-,0,0,0x00,1,74:da:38:80:79:fc_28:b2:bd:c3:41:78_4,"EdimaxTec,TW_IntelCorp,MY",0,unknown,4,0,440,0,99,121,110.0,8.599094,0,13.23138,3.310891,4.708879,0.3020335,33.22368,1,1,0x0000,65535,0,0,0,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0,65535,0,0,0,0,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,0,0,0,0,0.0,0,0,0
A,5,0x0400000002004000,1465912387.32849,1465912387.32849,0.0,1,4,eth:ipv4:udp:ssdp,74:da:38:80:79:fc,01:00:5e:7f:ff:fa,0x0800,,192.168.2.3,07,Private network,36747,239.255.255.250,10,Organization-Local Scope,1900,17,0x00,1,74:da:38:80:79:fc_01:00:5e:7f:ff:fa_1,"EdimaxTec,TW_IPv4Multi",1900,ssdp,1,0,137,0,137,137,137.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,0x0001,65535,0,1,1,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0,65535,0,0,0,0,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,2,1,1,1.0,1,1,137
A,2,0x0400000000004000,1465912375.059894,1465912387.585732,12.525838,1,3,eth:ipv4:udp,74:da:38:80:79:fc,ff:ff:ff:ff:ff:ff,0x0800,,0.0.0.0,-,-,68,255.255.255.255,11,Broadcast,67,17,0x00,1,74:da:38:80:79:fc_ff:ff:ff:ff:ff:ff_4,"EdimaxTec,TW_Broadcast",67,bootps,4,0,2192,0,548,548,548.0,0.0,0,12.51322,3.131459,4.453119,0.3193399,174.9983,1,1,0x0001,0,0,64,64,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0,65535,0,0,0,0,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,2,1,1,1.0,1,4,2192
A,3,0x0000000000000044,1465912375.06763,1465912388.993537,13.925907,1,2,eth:arp,74:da:38:80:79:fc,ff:ff:ff:ff:ff:ff,0x0806,,-,-,-,0,-,-,-,0,0,0x00,1,74:da:38:80:79:fc_ff:ff:ff:ff:ff:ff_4,"EdimaxTec,TW_Broadcast",0,unknown,4,0,130,0,28,46,32.5,5.857687,0,12.12306,3.481477,3.733551,0.2872344,9.335119,1,1,0x0000,65535,0,0,0,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0,65535,0,0,0,0,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,0,0,0,0,0.0,0,0,0
A,6,0x0400000002004000,1465912389.341649,1465912393.362329,4.02068,1,4,eth:ipv4:udp:ssdp,74:da:38:80:79:fc,01:00:5e:7f:ff:fa,0x0800,,10.10.10.227,04,Private network,36747,239.255.255.250,10,Organization-Local Scope,1900,17,0x00,1,74:da:38:80:79:fc_01:00:5e:7f:ff:fa_3,"EdimaxTec,TW_IPv4Multi",1900,ssdp,3,0,366,0,101,133,122.0,12.12779,0,2.012649,1.340227,0.6976625,0.7461424,91.02938,1,1,0x0001,0,0,1,1,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0,65535,0,0,0,0,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,4,1,3,3,0.75,1,38,6051
A,9,0x0400000002004000,1465912395.378785,1465912398.43331,3.054525,1,4,eth:ipv4:udp:ssdp,74:da:38:80:79:fc,01:00:5e:7f:ff:fa,0x0800,,10.10.10.227,04,Private network,1900,239.255.255.250,10,Organization-Local Scope,1900,17,0x00,1,74:da:38:80:79:fc_01:00:5e:7f:ff:fa_15,"EdimaxTec,TW_IPv4Multi",1900,ssdp,15,0,3338,0,144,292,222.5333,50.63248,0,1.008355,0.203635,0.3798814,4.910748,1092.805,1,1,0x0001,0,0,1,1,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0,65535,0,0,0,0,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,4,1,2,2,0.5,1,38,6051
A,7,0x0400000000004000,1465912394.668609,1465912399.708916,5.040307,1,3,eth:ipv4:igmp,74:da:38:80:79:fc,01:00:5e:00:00:16,0x0800,,10.10.10.227,04,Private network,0,224.0.0.22,10,IGMP,0,2,0x00,1,74:da:38:80:79:fc_01:00:5e:00:00:16_4,"EdimaxTec,TW_IPv4Multi",0,unknown,4,0,32,0,8,8,8.0,0.0,0,4.750731,1.260077,1.745881,0.7936025,6.34882,1,1,0x0001,0,0,1,1,0,0xc0,0x0040,4,0x80_0x00100000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0,65535,0,0,0,0,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,4,1,1,1,0.25,1,38,6051
A,10,0x0400000002004000,1465912398.908391,1465912404.938658,6.030267,1,4,eth:ipv4:udp:ssdp,74:da:38:80:79:fc,01:00:5e:7f:ff:fa,0x0800,,10.10.10.227,04,Private network,51351,239.255.255.250,10,Organization-Local Scope,1900,17,0x00,1,74:da:38:80:79:fc_01:00:5e:7f:ff:fa_4,"EdimaxTec,TW_IPv4Multi",1900,ssdp,4,0,503,0,101,137,125.75,12.44802,0,2.010522,1.507567,0.6541083,0.6633206,83.41256,1,1,0x0001,0,0,1,1,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0,65535,0,0,0,0,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,3,1,1,1,0.3333333,1,38,6051
A,11,0x0400000000004000,1465912406.526826,1465912406.738775,0.211949,1,3,eth:ipv4:udp,74:da:38:80:79:fc,ff:ff:ff:ff:ff:ff,0x0800,,10.10.10.227,04,Private network,42949,255.255.255.255,11,Broadcast,42949,17,0x00,1,74:da:38:80:79:fc_ff:ff:ff:ff:ff:ff_3,"EdimaxTec,TW_Broadcast",42949,unknown,3,0,174,0,58,58,58.0,0.0,0,0.106173,0.07064967,0.03678336,14.15435,820.9522,1,1,0x0001,0,0,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0,65535,0,0,0,0,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,2,1,1,1,0.5,1,38,6051
