%dir,flowInd,flowStat,timeFirst,timeLast,duration,numHdrDesc,numHdrs,hdrDesc,srcMac,dstMac,ethType,vlanID,srcIP,srcIPCC,srcIPOrg,srcPort,dstIP,dstIPCC,dstIPOrg,dstPort,l4Proto,macStat,macPairs,srcMac_dstMac_numP,srcMacLbl_dstMacLbl,dstPortClassN,dstPortClass,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,tcpFStat,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,ipToS,ipFlags,ipOptCnt,ipOptCpCl_Num,ip6OptCntHH_D,ip6OptHH_D,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpBFlgtMx,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpFlags,tcpAnomaly,tcpOptPktCnt,tcpOptCnt,tcpOptions,tcpMSS,tcpWS,tcpMPTBF,tcpMPF,tcpMPAID,tcpMPDSSF,tcpTmS,tcpTmER,tcpEcI,tcpUtm,tcpBtm,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,tcpStatesAFlags,icmpStat,icmpTCcnt,icmpBFTypH_TypL_Code,icmpTmGtw,icmpEchoSuccRatio,icmpPFindex,connSip,connDip,connSipDip,connSipDprt,connF,connG,connNumPCnt,connNumBCnt
A,4,0x0000000000000004,1469018354.667094,1469018354.667094,0.0,1,2,eth:llc,74:da:38:80:79:fc,ff:ff:ff:ff:ff:ff,0x0001,,-,-,-,0,-,-,-,0,0,0x00,1,74:da:38:80:79:fc_ff:ff:ff:ff:ff:ff_1,"EdimaxTec,TW_Broadcast",0,unknown,1,0,3,0,3,3,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,0x0000,65535,0,0,0,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0,65535,0,0,0,0,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,0,0,0,0,0.0,0,0,0
A,1,0x0000000000000004,1469018342.076662,1469018354.67675,12.600088,1,2,eth:eapol,74:da:38:80:79:fc,28:b2:bd:c3:41:78,0x888e,,-,-,-,0,-,-,-,0,0,0x00,1,74:da:38:80:79:fc_28:b2:bd:c3:41:78_4,"EdimaxTec,TW_IntelCorp,MY",0,unknown,4,0,462,0,99,121,115.5,8.25,0,12.59282,3.150022,4.48214,0.3174581,36.66641,1,1,0x0000,65535,0,0,0,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0,65535,0,0,0,0,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,0,0,0,0,0.0,0,0,0
A,2,0x0400000000004000,1469018344.349736,1469018355.721219,11.371483,1,3,eth:ipv4:udp,74:da:38:80:79:fc,ff:ff:ff:ff:ff:ff,0x0800,,0.0.0.0,-,-,68,255.255.255.255,11,Broadcast,67,17,0x00,1,74:da:38:80:79:fc_ff:ff:ff:ff:ff:ff_4,"EdimaxTec,TW_Broadcast",67,bootps,4,0,2192,0,548,548,548.0,0.0,0,11.34353,2.842871,4.034852,0.3517571,192.7629,1,1,0x0001,0,0,64,64,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0,65535,0,0,0,0,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,2,1,1,1.0,1,4,2192
A,3,0x0000000000000044,1469018344.351236,1469018357.712549,13.361313,1,2,eth:arp,74:da:38:80:79:fc,ff:ff:ff:ff:ff:ff,0x0806,,-,-,-,0,-,-,-,0,0,0x00,1,74:da:38:80:79:fc_ff:ff:ff:ff:ff:ff_5,"EdimaxTec,TW_Broadcast",0,unknown,5,0,176,0,28,46,35.2,7.440968,0,10.6306,2.672263,3.290518,0.3742147,13.17236,1,1,0x0000,65535,0,0,0,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0,65535,0,0,0,0,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,0,0,0,0,0.0,0,0,0
A,5,0x0400000002004000,1469018356.227279,1469018362.253201,6.025922,1,4,eth:ipv4:udp:ssdp,74:da:38:80:79:fc,01:00:5e:7f:ff:fa,0x0800,,10.10.10.227,04,Private network,39340,239.255.255.250,10,Organization-Local Scope,1900,17,0x00,1,74:da:38:80:79:fc_01:00:5e:7f:ff:fa_4,"EdimaxTec,TW_IPv4Multi",1900,ssdp,4,0,503,0,101,137,125.75,12.44802,0,2.022276,1.50648,0.6528845,0.6637989,83.47271,1,1,0x0001,0,0,1,1,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0,65535,0,0,0,0,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,4,1,3,3,0.75,1,38,6177
A,8,0x0400000002004000,1469018364.273592,1469018367.315357,3.041765,1,4,eth:ipv4:udp:ssdp,74:da:38:80:79:fc,01:00:5e:7f:ff:fa,0x0800,,10.10.10.227,04,Private network,1900,239.255.255.250,10,Organization-Local Scope,1900,17,0x00,1,74:da:38:80:79:fc_01:00:5e:7f:ff:fa_15,"EdimaxTec,TW_IPv4Multi",1900,ssdp,15,0,3338,0,144,292,222.5333,50.63248,0,1.00816,0.2027843,0.3795142,4.931347,1097.389,1,1,0x0001,0,0,1,1,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0,65535,0,0,0,0,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,4,1,2,2,0.5,1,38,6177
A,6,0x0400000000004000,1469018363.312084,1469018372.602099,9.290015,1,3,eth:ipv4:igmp,74:da:38:80:79:fc,01:00:5e:00:00:16,0x0800,,10.10.10.227,04,Private network,0,224.0.0.22,10,IGMP,0,2,0x00,1,74:da:38:80:79:fc_01:00:5e:00:00:16_3,"EdimaxTec,TW_IPv4Multi",0,unknown,3,0,24,0,8,8,8.0,0.0,0,9.139833,3.096672,3.48929,0.3229274,2.583419,1,1,0x0001,0,0,1,1,0,0xc0,0x0040,3,0x80_0x00100000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0,65535,0,0,0,0,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,4,1,1,1,0.25,1,38,6177
A,9,0x0400000002004000,1469018366.625049,1469018372.653281,6.028232,1,4,eth:ipv4:udp:ssdp,74:da:38:80:79:fc,01:00:5e:7f:ff:fa,0x0800,,10.10.10.227,04,Private network,35052,239.255.255.250,10,Organization-Local Scope,1900,17,0x00,1,74:da:38:80:79:fc_01:00:5e:7f:ff:fa_4,"EdimaxTec,TW_IPv4Multi",1900,ssdp,4,0,503,0,101,137,125.75,12.44802,0,2.012063,1.507058,0.6539472,0.6635445,83.44071,1,1,0x0001,0,0,1,1,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0,65535,0,0,0,0,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,3,1,1,1,0.3333333,1,38,6177
A,10,0x0400000000004000,1469018375.203548,1469018375.425315,0.221767,1,3,eth:ipv4:udp,74:da:38:80:79:fc,ff:ff:ff:ff:ff:ff,0x0800,,10.10.10.227,04,Private network,2224,255.255.255.255,11,Broadcast,2224,17,0x00,1,74:da:38:80:79:fc_ff:ff:ff:ff:ff:ff_3,"EdimaxTec,TW_Broadcast",2224,efi-mg,3,0,171,0,57,57,57.0,0.0,0,0.112321,0.07392233,0.03859648,13.52771,771.0796,1,1,0x0001,0,0,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0,65535,0,0,0,0,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,2,1,1,1,0.5,1,38,6177
A,7,0x0400000000004000,1469018363.713182,1469018395.514549,31.801367,1,3,eth:ipv4:udp,74:da:38:80:79:fc,01:00:5e:00:00:fb,0x0800,,10.10.10.227,04,Private network,5353,224.0.0.251,10,mDNS,5353,17,0x00,1,74:da:38:80:79:fc_01:00:5e:00:00:fb_9,"EdimaxTec,TW_IPv4Multi",5353,mdns,9,0,1638,0,106,220,182.0,48.18528,0,16.00902,3.533485,4.747647,0.2830067,51.50722,1,1,0x0001,0,0,255,255,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0,65535,0,0,0,0,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,1,1,1.0,1,38,6177
