%dir,flowInd,flowStat,timeFirst,timeLast,duration,numHdrDesc,numHdrs,hdrDesc,srcMac,dstMac,ethType,vlanID,srcIP,srcIPCC,srcIPOrg,srcPort,dstIP,dstIPCC,dstIPOrg,dstPort,l4Proto,macStat,macPairs,srcMac_dstMac_numP,srcMacLbl_dstMacLbl,dstPortClassN,dstPortClass,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,tcpFStat,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,ipToS,ipFlags,ipOptCnt,ipOptCpCl_Num,ip6OptCntHH_D,ip6OptHH_D,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpBFlgtMx,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpFlags,tcpAnomaly,tcpOptPktCnt,tcpOptCnt,tcpOptions,tcpMSS,tcpWS,tcpMPTBF,tcpMPF,tcpMPAID,tcpMPDSSF,tcpTmS,tcpTmER,tcpEcI,tcpUtm,tcpBtm,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,tcpStatesAFlags,icmpStat,icmpTCcnt,icmpBFTypH_TypL_Code,icmpTmGtw,icmpEchoSuccRatio,icmpPFindex,connSip,connDip,connSipDip,connSipDprt,connF,connG,connNumPCnt,connNumBCnt
A,6,0x0400000000004000,1465918643.4421,1465918643.46825,0.02615,1,3,eth:ipv4:tcp,74:da:38:4a:76:49,00:b5:6d:06:08:ba,0x0800,,10.10.10.186,04,Private network,4289,74.125.136.103,us,Google LLC,80,6,0x00,1,74:da:38:4a:76:49_00:b5:6d:06:08:ba_4,"EdimaxTec,TW_DavidElec,TW",80,http,4,2,0,0,0,0,0.0,0.0,0,0.013013,0.0065375,0.004939414,152.9637,0.0,0.3333333,0.0,0x0213,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1090767309,3,0,0,3,0,0,0,5840,5840.0,5840,5840,0,0,0,0,0x0113,0x0000,4,14,0x0000011e,1460,2,0x0000,0x00,0,0x00,4294915634,3332995631,1.0,4294915634.0,1.8446744070880555e+19,0.01118099,0.010996,0.01118099,0.0110885,6.540467e-05,0.01301299,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,2,1,2,2,1.0,1.0,5,32
B,6,0x0400000000004001,1465918643.453281,1465918643.466495,0.013214,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,74:da:38:4a:76:49,0x0800,,74.125.136.103,us,Google LLC,80,10.10.10.186,04,Private network,4289,6,0x00,1,00:b5:6d:06:08:ba_74:da:38:4a:76:49_2,"DavidElec,TW_EdimaxTec,TW",80,http,2,4,0,0,0,0,0.0,0.0,0,0.013214,0.006607,0.004671854,151.3546,0.0,-0.3333333,0.0,0x0a13,4,4,43,43,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3348281028,2,0,0,2,0,0,0,42780,42810.0,42780,42880,0,1,1,0,0x0313,0x3000,2,8,0x0000011e,1380,128,0x0000,0x00,0,0x00,3332995631,4294915631,1.0,3332995631.0,1.8446744071842476e+19,0.001832,0.001754976,0.002218016,0.001909248,0.0001500215,0.01299774,0.0001636588,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,2,1,1,1.0,1.0,2,0
A,9,0x0400000000004000,1465918672.094199,1465918672.120824,0.026625,1,3,eth:ipv4:tcp,74:da:38:4a:76:49,00:b5:6d:06:08:ba,0x0800,,10.10.10.186,04,Private network,4600,74.125.136.104,us,Google LLC,80,6,0x00,1,74:da:38:4a:76:49_00:b5:6d:06:08:ba_4,"EdimaxTec,TW_DavidElec,TW",80,http,4,2,0,0,0,0,0.0,0.0,0,0.013286,0.00665625,0.005042476,150.2347,0.0,0.3333333,0.0,0x0213,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1129550653,3,0,0,3,0,0,0,5840,5840.0,5840,5840,0,0,0,0,0x0113,0x0000,4,14,0x0000011e,1460,2,0x0000,0x00,0,0x00,4294922778,3360543345,1.0,4294922778.0,1.8446744070880549e+19,0.011432,0.011179,0.011432,0.0113055,8.944878e-05,0.013286,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,6,1,2,2,0.3333333,1.0,33,3644
B,9,0x0400000000004001,1465918672.105631,1465918672.119021,0.01339,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,74:da:38:4a:76:49,0x0800,,74.125.136.104,us,Google LLC,80,10.10.10.186,04,Private network,4600,6,0x00,1,00:b5:6d:06:08:ba_74:da:38:4a:76:49_2,"DavidElec,TW_EdimaxTec,TW",80,http,2,4,0,0,0,0,0.0,0.0,0,0.01339,0.006695,0.00473408,149.3652,0.0,-0.3333333,0.0,0x0a13,10,10,43,43,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,762810466,2,0,0,2,0,0,0,42780,42810.0,42780,42880,0,1,1,0,0x0313,0x3000,2,8,0x0000011e,1380,128,0x0000,0x00,0,0x00,3360543345,4294922774,1.0,3360543345.0,1.8446744071814928e+19,0.001854,0.001803,0.002211,0.0019305,0.0001350003,0.013236,0.0001619449,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,6,1,1,1.0,1.0,2,0
A,13,0x0400000000004000,1465918677.147544,1465918677.509325,0.361781,1,3,eth:ipv4:tcp,74:da:38:4a:76:49,00:b5:6d:06:08:ba,0x0800,,10.10.10.186,04,Private network,3800,54.217.230.12,us,Amazoncom,8767,6,0x00,1,74:da:38:4a:76:49_00:b5:6d:06:08:ba_6,"EdimaxTec,TW_DavidElec,TW",8767,unknown,6,6,475,231,0,428,79.16666,140.4019,0,0.192807,0.06029683,0.05916794,16.58462,1312.949,0.0,0.3456091,0x0213,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1955495239,5,475,0,5,231,0,428,5840,5840.0,5840,5840,0,0,0,0,0x011b,0x0000,6,20,0x0000011e,1460,2,0x0000,0x00,0,0x00,4294924125,1978938534,1.0,4294924125.0,1.8446744070880545e+19,0.02420099,0.02414102,0.190406,0.06517034,0.05164712,0.02552301,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,5,1,2,2,0.4,1.0,33,3644
B,13,0x0400000000004001,1465918677.171745,1465918677.538547,0.366802,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,74:da:38:4a:76:49,0x0800,,54.217.230.12,us,Amazoncom,8767,10.10.10.186,04,Private network,3800,6,0x00,1,00:b5:6d:06:08:ba_74:da:38:4a:76:49_6,"DavidElec,TW_EdimaxTec,TW",8767,unknown,6,6,231,475,0,231,38.5,71.4933,0,0.166232,0.06113367,0.04385298,16.3576,629.7675,0.0,-0.3456091,0x0a13,1,19821,34,34,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,664587683,6,231,0,6,475,0,231,28960,29712.63,28960,30080,0,2,1,0,0x031b,0x0000,6,20,0x0000011e,1380,128,0x0000,0x00,0,0x00,1978938542,4294924125,1.0,1978938542.0,1.8446744073196528e+19,0.001322016,0.001322016,0.04397197,0.008890165,0.01404921,0.07406051,0.05352387,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,5,1,1,1.0,1.0,6,231
A,2,0x0400000000004000,1465918643.12428,1465918643.148366,0.024086,1,3,eth:ipv4:udp,74:da:38:4a:76:49,ff:ff:ff:ff:ff:ff,0x0800,,0.0.0.0,-,-,68,255.255.255.255,11,Broadcast,67,17,0x00,1,74:da:38:4a:76:49_ff:ff:ff:ff:ff:ff_2,"EdimaxTec,TW_Broadcast",67,bootps,2,0,1096,0,548,548,548.0,0.0,0,0.024086,0.012043,0.008515688,83.03579,45503.61,1.0,1.0,0x0001,0,0,64,64,0,0x00,0x0800,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,1,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,2,1,1,1.0,1.0,2,1096
A,7,0x0000000000000004,1465918662.782701,1465918662.782701,0.0,1,2,eth:llc,74:da:38:4a:76:49,ff:ff:ff:ff:ff:ff,0x0001,,-,-,-,0,-,-,-,0,0,0x00,1,74:da:38:4a:76:49_ff:ff:ff:ff:ff:ff_1,"EdimaxTec,TW_Broadcast",0,unknown,1,0,3,0,3,3,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0x0000,65535,0,0,0,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,1,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,0,0,0,0,0.0,0.0,0,0
A,1,0x0000000000000004,1465918642.612973,1465918662.794262,20.181289,1,2,eth:eapol,74:da:38:4a:76:49,28:b2:bd:c3:41:78,0x888e,,-,-,-,0,-,-,-,0,0,0x00,1,74:da:38:4a:76:49_28:b2:bd:c3:41:78_4,"EdimaxTec,TW_IntelCorp,MY",0,unknown,4,0,440,0,99,121,110.0,8.599094,0,20.17266,5.045322,7.180417,0.1982034,21.80237,1.0,1.0,0x0000,65535,0,0,0,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,1,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,0,0,0,0,0.0,0.0,0,0
A,10,0x0400000000004000,1465918672.517372,1465918672.517372,0.0,1,3,eth:ipv4:udp,74:da:38:4a:76:49,00:b5:6d:06:08:ba,0x0800,,10.10.10.186,04,Private network,3072,82.219.4.31,gb,EXA-MNT,123,17,0x00,1,74:da:38:4a:76:49_00:b5:6d:06:08:ba_1,"EdimaxTec,TW_DavidElec,TW",123,ntp,1,1,48,48,48,48,48.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0x0001,65535,0,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,1,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.02208003,0.02208003,0.02208003,0.02208003,0.0,0.02208003,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,4,1,2,2,0.5,1.0,34,3648
