%dir,flowInd,flowStat,timeFirst,timeLast,duration,numHdrDesc,numHdrs,hdrDesc,srcMac,dstMac,ethType,vlanID,srcIP,srcIPCC,srcIPOrg,srcPort,dstIP,dstIPCC,dstIPOrg,dstPort,l4Proto,macStat,macPairs,srcMac_dstMac_numP,srcMacLbl_dstMacLbl,dstPortClassN,dstPortClass,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,tcpFStat,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,ipToS,ipFlags,ipOptCnt,ipOptCpCl_Num,ip6OptCntHH_D,ip6OptHH_D,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpBFlgtMx,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpFlags,tcpAnomaly,tcpOptPktCnt,tcpOptCnt,tcpOptions,tcpMSS,tcpWS,tcpMPTBF,tcpMPF,tcpMPAID,tcpMPDSSF,tcpTmS,tcpTmER,tcpEcI,tcpUtm,tcpBtm,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,tcpStatesAFlags,icmpStat,icmpTCcnt,icmpBFTypH_TypL_Code,icmpTmGtw,icmpEchoSuccRatio,icmpPFindex,connSip,connDip,connSipDip,connSipDprt,connF,connG,connNumPCnt,connNumBCnt
A,13,0x0400000000004000,1471860564.460672,1471860564.460672,0.0,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,ac:cf:23:62:3c:6e,0x0800,,52.24.113.48,us,MAINT-APNIC-AP,7533,10.10.10.149,04,Private network,9627,6,0x00,1,00:b5:6d:06:08:ba_ac:cf:23:62:3c:6e_1,"DavidElec,TW_Hiflyinge,CN",9627,unknown,1,1,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0x0011,65535,0,40,40,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,216232559,1,0,0,1,0,0,0,2048,2048.0,2048,2048,0,0,0,0,0x0111,0x3000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.0,0.03039501,0.03039501,0.03039501,0.0,0.0,0.0,0x83,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,2,2,2.0,1.0,9,141
B,13,0x0400000000004001,1471860564.491067,1471860564.491067,0.0,1,3,eth:ipv4:tcp,ac:cf:23:62:3c:6e,00:b5:6d:06:08:ba,0x0800,,10.10.10.149,04,Private network,9627,52.24.113.48,us,MAINT-APNIC-AP,7533,6,0x00,1,ac:cf:23:62:3c:6e_00:b5:6d:06:08:ba_1,"Hiflyinge,CN_DavidElec,TW",9627,unknown,1,1,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0x0011,65535,0,255,255,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,6796,1,0,0,1,0,0,0,1500,1500.0,1500,1500,0,0,0,0,0x0414,0x2000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.03039501,0.0,0x43,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,1,1,1.0,1.0,25,578
A,9,0x0400000000004000,1471860560.242298,1471860561.325032,1.082734,1,3,eth:ipv4:tcp,ac:cf:23:62:3c:6e,00:b5:6d:06:08:ba,0x0800,,10.10.10.149,04,Private network,13455,52.10.39.38,us,MAINT-APNIC-AP,7531,6,0x00,1,ac:cf:23:62:3c:6e_00:b5:6d:06:08:ba_6,"Hiflyinge,CN_DavidElec,TW",7531,unknown,6,4,25,25,0,25,4.166667,7.73737,0,0.455166,0.1804557,0.1353462,5.541527,23.0897,0.2,0.0,0x0011,1,7,255,255,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,6509,5,25,0,5,25,0,25,1500,1483.275,1474,1500,2,0,0,0,0x011b,0x0000,1,1,0x00000004,1400,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.166121,0.16593,0.166361,0.166117,0.0001253617,0.179403,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,6,1,2,2,0.3333333,1.0,25,578
B,9,0x0400000000004001,1471860560.408419,1471860561.320395,0.911976,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,ac:cf:23:62:3c:6e,0x0800,,52.10.39.38,us,MAINT-APNIC-AP,7531,10.10.10.149,04,Private network,13455,6,0x00,1,00:b5:6d:06:08:ba_ac:cf:23:62:3c:6e_4,"DavidElec,TW_Hiflyinge,CN",7531,unknown,4,6,25,25,0,25,6.25,8.900003,0,0.725121,0.227994,0.2547791,4.38608,27.413,-0.2,0.0,0x0011,1,54638,38,38,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3187791651,4,25,0,4,25,0,25,2048,2048.0,2048,2048,0,0,0,0,0x031b,0x0000,1,1,0x00000004,1380,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.01328198,0.004636992,0.559065,0.1191098,0.1786262,0.2852269,0.1786262,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,6,1,1,1.0,1.0,4,25
A,1,0x0000000000000004,1471860557.720525,1471860558.060588,0.340063,1,2,eth:eapol,ac:cf:23:62:3c:6e,28:b2:bd:c3:41:78,0x888e,,-,-,-,0,-,-,-,0,0,0x00,1,ac:cf:23:62:3c:6e_28:b2:bd:c3:41:78_3,"Hiflyinge,CN_IntelCorp,MY",0,unknown,3,0,319,0,99,121,106.3333,7.632776,0,0.196336,0.1133543,0.06337802,8.821895,938.0615,1.0,1.0,0x0000,65535,0,0,0,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,0,0,0,0,0.0,0.0,0,0
A,2,0x0400000000004000,1471860558.051872,1471860558.060753,0.008881,1,3,eth:ipv4:udp,ac:cf:23:62:3c:6e,ff:ff:ff:ff:ff:ff,0x0800,,0.0.0.0,-,-,68,255.255.255.255,11,Broadcast,67,17,0x00,1,ac:cf:23:62:3c:6e_ff:ff:ff:ff:ff:ff_2,"Hiflyinge,CN_Broadcast",67,bootps,2,0,616,0,308,308,308.0,0.0,0,0.008881,0.0044405,0.003139908,225.1999,69361.56,1.0,1.0,0x0001,1,1,255,255,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,2,1,1,1.0,1.0,2,616
A,3,0x0400000000004001,1471860558.052032,1471860558.133118,0.081086,1,3,eth:ipv4:udp,00:b5:6d:06:08:ba,ac:cf:23:62:3c:6e,0x0800,,10.10.10.1,04,Private network,67,10.10.10.149,04,Private network,68,17,0x00,1,00:b5:6d:06:08:ba_ac:cf:23:62:3c:6e_2,"DavidElec,TW_Hiflyinge,CN",67,bootps,2,0,600,0,300,300,300.0,0.0,0,0.081086,0.040543,0.02866823,24.66517,7399.551,-1.0,1.0,0x0001,21,21,64,64,0,0xc0,0x0800,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,5,4,1,1.0,0.25,8,1024
A,5,0x0400000000004000,1471860558.806506,1471860560.160033,1.353527,1,3,eth:ipv4:udp,ac:cf:23:62:3c:6e,ff:ff:ff:ff:ff:ff,0x0800,,10.10.10.149,04,Private network,48899,255.255.255.255,11,Broadcast,49999,17,0x00,1,ac:cf:23:62:3c:6e_ff:ff:ff:ff:ff:ff_8,"Hiflyinge,CN_Broadcast",49999,unknown,8,0,200,0,25,25,25.0,0.0,0,0.434936,0.1691909,0.180418,5.910484,147.7621,1.0,1.0,0x0001,1,2,255,255,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,5,1,1,1,0.2,1.0,28,651
A,4,0x0000000000000044,1471860558.153519,1471860560.168392,2.014873,1,2,eth:arp,ac:cf:23:62:3c:6e,ff:ff:ff:ff:ff:ff,0x0806,,-,-,-,0,-,-,-,0,0,0x00,1,ac:cf:23:62:3c:6e_ff:ff:ff:ff:ff:ff_4,"Hiflyinge,CN_Broadcast",0,unknown,4,0,112,0,28,28,28.0,0.0,0,0.978388,0.5037183,0.331106,1.985237,55.58663,1.0,1.0,0x0000,65535,0,0,0,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,0,0,0,0,0.0,0.0,0,0
A,8,0x0400000000004000,1471860560.232623,1471860560.248438,0.015815,1,3,eth:ipv4:udp,ac:cf:23:62:3c:6e,00:b5:6d:06:08:ba,0x0800,,10.10.10.149,04,Private network,49152,10.10.10.1,04,Private network,53,17,0x00,1,ac:cf:23:62:3c:6e_00:b5:6d:06:08:ba_3,"Hiflyinge,CN_DavidElec,TW",53,domain,3,3,100,196,32,35,33.33333,0.8871509,0,0.008828,0.005271667,0.002878197,189.6933,6323.111,0.0,-0.3243243,0x0001,1,2,255,255,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,7.2e-05,6.6992e-05,7.2e-05,6.966401e-05,1.458646e-06,0.006986992,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,4,1,3,2,0.5,0.6666667,28,651
