%dir,flowInd,flowStat,timeFirst,timeLast,duration,numHdrDesc,numHdrs,hdrDesc,srcMac,dstMac,ethType,vlanID,srcIP,srcIPCC,srcIPOrg,srcPort,dstIP,dstIPCC,dstIPOrg,dstPort,l4Proto,macStat,macPairs,srcMac_dstMac_numP,srcMacLbl_dstMacLbl,dstPortClassN,dstPortClass,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,tcpFStat,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,ipToS,ipFlags,ipOptCnt,ipOptCpCl_Num,ip6OptCntHH_D,ip6OptHH_D,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpBFlgtMx,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpFlags,tcpAnomaly,tcpOptPktCnt,tcpOptCnt,tcpOptions,tcpMSS,tcpWS,tcpMPTBF,tcpMPF,tcpMPAID,tcpMPDSSF,tcpTmS,tcpTmER,tcpEcI,tcpUtm,tcpBtm,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,tcpStatesAFlags,icmpStat,icmpTCcnt,icmpBFTypH_TypL_Code,icmpTmGtw,icmpEchoSuccRatio,icmpPFindex,connSip,connDip,connSipDip,connSipDprt,connF,connG,connNumPCnt,connNumBCnt
A,19,0x0400000000004000,1473259538.278883,1473259538.591206,0.312323,1,3,eth:ipv4:tcp,00:17:88:24:76:ff,00:b5:6d:06:08:ba,0x0800,,10.10.10.6,04,Private network,53410,162.13.31.14,gb,RSPC-MNT,80,6,0x00,1,00:17:88:24:76:ff_00:b5:6d:06:08:ba_13,"PhilipsLi,AE_DavidElec,TW",80,http,13,14,2694,5559,0,1257,207.2308,408.5168,0,0.196449,0.02402485,0.04725328,41.62357,8625.686,-0.03703704,-0.3471465,0x0813,1,8190,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,886983140,12,2694,0,12,5559,0,1257,29200,39585.35,29200,42408,0,5,1,0,0x011b,0x0000,13,41,0x0000011e,1460,0,0x0000,0x00,0,0x00,4294940788,85734197,1.0,4294940788.0,1.8446744070887873e+19,0.016108,0.01571898,0.03158304,0.02191521,0.005824944,0.01647501,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,11,1,6,12,1.090909,2.0,152,22859
B,19,0x0400000000004001,1473259538.294991,1473259538.590871,0.29588,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,00:17:88:24:76:ff,0x0800,,162.13.31.14,gb,RSPC-MNT,80,10.10.10.6,04,Private network,53410,6,0x00,1,00:b5:6d:06:08:ba_00:17:88:24:76:ff_14,"DavidElec,TW_PhilipsLi,AE",80,http,14,13,5559,2694,0,1368,397.0714,503.4019,0,0.212976,0.02113428,0.04915026,47.31648,18788.02,0.03703704,0.3471465,0x0813,1,10658,237,237,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1139478554,14,5559,0,14,2694,0,2309,4140,6636.1,4140,6834,0,3,1,0,0x031b,0x0000,14,44,0x00000116,1380,0,0x0000,0x00,0,0x00,85734197,4294940786,1.0,85734197.0,1387525341.246048,0.000367008,0.00033504,0.196932,0.01573977,0.04850399,0.03765498,0.04885251,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,11,5,11,11.0,2.2,24,7397
A,26,0x0400000000004000,1473259538.592136,1473259538.653082,0.060946,1,3,eth:ipv4:tcp,00:17:88:24:76:ff,00:b5:6d:06:08:ba,0x0800,,10.10.10.6,04,Private network,53411,162.13.31.14,gb,RSPC-MNT,80,6,0x00,1,00:17:88:24:76:ff_00:b5:6d:06:08:ba_5,"PhilipsLi,AE_DavidElec,TW",80,http,5,5,1194,855,0,1194,238.8,394.9034,0,0.041588,0.0121892,0.01384892,82.03984,19591.11,0.0,0.1654466,0x0813,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3485402783,4,1194,0,4,855,0,1194,29200,30005.8,29200,30780,0,1,1,0,0x011b,0x0000,5,17,0x0000011e,1460,0,0x0000,0x00,0,0x00,4294940794,85734255,1.0,4294940794.0,1.8446744070887873e+19,0.01816499,0.01800602,0.04118797,0.0273428,0.009534501,0.01853997,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,11,1,4,10,0.9090909,2.5,152,22859
B,26,0x0400000000004001,1473259538.610301,1473259538.671088,0.060787,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,00:17:88:24:76:ff,0x0800,,162.13.31.14,gb,RSPC-MNT,80,10.10.10.6,04,Private network,53411,6,0x00,1,00:b5:6d:06:08:ba_00:17:88:24:76:ff_5,"DavidElec,TW_PhilipsLi,AE",80,http,5,5,855,1194,0,855,171.0,282.7826,0,0.022975,0.0121574,0.008072225,82.25443,14065.51,0.0,-0.1654466,0x0813,2,868,235,235,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,335571637,5,855,0,5,1194,0,855,4140,5047.321,4140,5334,0,1,1,0,0x031b,0x0000,5,17,0x00000116,1380,0,0x0000,0x00,0,0x00,85734275,4294940794,1.0,85734275.0,1387525263.10731,0.000374976,0.000374976,0.001014016,0.0005485952,0.0002173282,0.02789139,0.009536978,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,11,3,9,9.0,3.0,24,7397
A,28,0x0400000000004000,1473259538.654959,1473259538.706582,0.051623,1,3,eth:ipv4:tcp,00:17:88:24:76:ff,00:b5:6d:06:08:ba,0x0800,,10.10.10.6,04,Private network,53412,162.13.31.14,gb,RSPC-MNT,80,6,0x00,1,00:17:88:24:76:ff_00:b5:6d:06:08:ba_5,"PhilipsLi,AE_DavidElec,TW",80,http,5,5,1210,983,0,1210,242.0,400.1953,0,0.03297,0.0103246,0.01110249,96.85605,23439.16,0.0,0.1035112,0x0813,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3894004697,4,1210,0,4,983,0,1210,29200,29849.23,29200,30473,0,1,1,0,0x011b,0x0000,5,17,0x0000011e,1460,0,0x0000,0x00,0,0x00,4294940799,85734308,1.0,4294940799.0,1.8446744070887873e+19,0.01749805,0.01738899,0.032568,0.02348541,0.00625045,0.017832,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,11,1,2,8,0.7272727,4.0,152,22859
B,28,0x0400000000004001,1473259538.672457,1473259538.723971,0.051514,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,00:17:88:24:76:ff,0x0800,,162.13.31.14,gb,RSPC-MNT,80,10.10.10.6,04,Private network,53412,6,0x00,1,00:b5:6d:06:08:ba_00:17:88:24:76:ff_5,"DavidElec,TW_PhilipsLi,AE",80,http,5,5,983,1210,0,983,196.6,325.1173,0,0.018363,0.0103028,0.006795705,97.061,19082.19,0.0,-0.1035112,0x0813,2,822,236,236,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,4090111219,5,983,0,5,1210,0,983,4140,5059.479,4140,5350,0,1,1,0,0x031b,0x0000,5,17,0x00000116,1380,0,0x0000,0x00,0,0x00,85734327,4294940799,1.0,85734327.0,1387525211.2416494,0.000333952,0.000333952,0.000974016,0.000525376,0.0002139931,0.02401079,0.006254112,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,11,1,7,7.0,7.0,24,7397
A,34,0x0400000000004000,1473259539.183766,1473259539.254062,0.070296,1,3,eth:ipv4:tcp,00:17:88:24:76:ff,00:b5:6d:06:08:ba,0x0800,,10.10.10.6,04,Private network,37692,5.79.62.93,gb,RSPC-MNT,80,6,0x00,1,00:17:88:24:76:ff_00:b5:6d:06:08:ba_6,"PhilipsLi,AE_DavidElec,TW",80,http,6,6,1718,871,0,1120,286.3333,373.2231,0,0.037409,0.011716,0.01174967,85.35336,24439.51,0.0,0.3271534,0x0813,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,4096241037,5,1718,0,5,871,0,1120,29200,29855.35,29200,30485,0,1,1,0,0x011b,0x0000,6,20,0x0000011e,1460,0,0x0000,0x00,0,0x00,4294940854,85734858,1.0,4294940854.0,1.8446744070887873e+19,0.015758,0.015528,0.03700499,0.02272916,0.008881252,0.016112,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,10,1,6,8,0.8,1.333333,158,24534
B,34,0x0400000000004001,1473259539.199524,1473259539.269608,0.070084,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,00:17:88:24:76:ff,0x0800,,5.79.62.93,gb,RSPC-MNT,80,10.10.10.6,04,Private network,37692,6,0x00,1,00:b5:6d:06:08:ba_00:17:88:24:76:ff_6,"DavidElec,TW_PhilipsLi,AE",80,http,6,6,871,1718,0,871,145.1667,282.2985,0,0.021424,0.01168067,0.007018521,85.61156,12427.94,0.0,-0.3271534,0x0813,2,929,237,237,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2714075759,6,871,0,6,1718,0,871,4140,5488.582,4140,5858,0,2,1,0,0x031b,0x0000,6,20,0x00000116,1380,0,0x0000,0x00,0,0x00,85734874,4294940854,1.0,85734874.0,1387524665.3320029,0.000354,0.000354,0.001049008,0.0005195013,0.0002222446,0.02324866,0.008884032,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,10,5,7,7.0,1.4,15,1742
A,51,0x0400000000004000,1473259543.200632,1473259543.28677,0.086138,1,3,eth:ipv4:tcp,00:17:88:24:76:ff,00:b5:6d:06:08:ba,0x0800,,10.10.10.6,04,Private network,37693,5.79.62.93,gb,RSPC-MNT,80,6,0x00,1,00:17:88:24:76:ff_00:b5:6d:06:08:ba_6,"PhilipsLi,AE_DavidElec,TW",80,http,6,6,1622,871,0,1024,270.3333,346.3603,0,0.046072,0.01435633,0.01443909,69.65567,18830.25,0.0,0.3012435,0x0813,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1685096036,5,1622,0,5,871,0,1024,29200,29855.35,29200,30485,0,1,1,0,0x011b,0x0000,6,20,0x0000011e,1460,0,0x0000,0x00,0,0x00,4294941257,85738888,1.0,4294941257.0,1.8446744070887868e+19,0.019246,0.01846902,0.04570599,0.02786767,0.01111019,0.01963,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,10,1,4,10,1.0,2.5,221,33179
B,51,0x0400000000004001,1473259543.219878,1473259543.305239,0.085361,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,00:17:88:24:76:ff,0x0800,,5.79.62.93,gb,RSPC-MNT,80,10.10.10.6,04,Private network,37693,6,0x00,1,00:b5:6d:06:08:ba_00:17:88:24:76:ff_6,"DavidElec,TW_PhilipsLi,AE",80,http,6,6,871,1622,0,871,145.1667,282.2985,0,0.026421,0.01422683,0.008584949,70.28971,10203.72,0.0,-0.3012435,0x0813,2,1277,236,236,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3822893628,6,871,0,6,1622,0,871,4140,5415.632,4140,5762,0,2,1,0,0x031b,0x0000,6,20,0x00000116,1380,0,0x0000,0x00,0,0x00,85738908,4294941257,1.0,85738908.0,1387520635.296322,0.000384,0.000366016,0.001312992,0.0005843387,0.0003035728,0.028452,0.01111434,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,10,3,9,9.0,3.0,18,2613
