%dir,flowInd,flowStat,timeFirst,timeLast,duration,numHdrDesc,numHdrs,hdrDesc,srcMac,dstMac,ethType,vlanID,srcIP,srcIPCC,srcIPOrg,srcPort,dstIP,dstIPCC,dstIPOrg,dstPort,l4Proto,macStat,macPairs,srcMac_dstMac_numP,srcMacLbl_dstMacLbl,dstPortClassN,dstPortClass,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,tcpFStat,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,ipToS,ipFlags,ipOptCnt,ipOptCpCl_Num,ip6OptCntHH_D,ip6OptHH_D,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpBFlgtMx,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpFlags,tcpAnomaly,tcpOptPktCnt,tcpOptCnt,tcpOptions,tcpMSS,tcpWS,tcpMPTBF,tcpMPF,tcpMPAID,tcpMPDSSF,tcpTmS,tcpTmER,tcpEcI,tcpUtm,tcpBtm,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,tcpStatesAFlags,icmpStat,icmpTCcnt,icmpBFTypH_TypL_Code,icmpTmGtw,icmpEchoSuccRatio,icmpPFindex,connSip,connDip,connSipDip,connSipDprt,connF,connG,connNumPCnt,connNumBCnt
A,29,0x0400000000004000,1473261494.286535,1473261494.30624,0.019705,1,3,eth:ipv4:tcp,38:0b:40:ef:85:41,00:17:88:24:76:ff,0x0800,,10.10.10.30,04,Private network,42090,10.10.10.6,04,Private network,80,6,0x00,1,38:0b:40:ef:85:41_00:17:88:24:76:ff_7,"SamsungEl,KR_PhilipsLi,AE",80,http,7,7,319,546,0,319,45.57143,93.01387,0.0,0.009862,0.002815,0.00275117,355.2398,16188.79,0.0,-0.2624277,0x0a13,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2731019024,6,319,0,6,547,0,319,65535,85747.43,65535,88704,0,2,1,0,0x011b,0x0000,7,23,0x0000011e,1460,128,0x0000,0x00,0,0x00,14484314,169062,1.0,14484314.0,1458777180.129732,0.000436992,0.000252992,0.008258016,0.001903687,0.002606735,0.002821984,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,118,118,118.0,1,375,13561
B,29,0x0408000000004001,1473261494.286972,1473261494.306493,0.019521,1,3,eth:ipv4:tcp,00:17:88:24:76:ff,38:0b:40:ef:85:41,0x0800,,10.10.10.6,04,Private network,80,10.10.10.30,04,Private network,42090,6,0x00,1,00:17:88:24:76:ff_38:0b:40:ef:85:41_7,"PhilipsLi,AE_SamsungEl,KR",80,http,7,7,546,319,0,528,78.0,160.2059,-1.6e-05,0.010218,0.002788714,0.00294357,358.5882,27969.88,0.0,0.2624277,0x0a13,2,7025,64,64,0,0x00,0x8044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3193736980,4,548,0,7,319,0,528,28960,29905.88,28960,30032,0,1,1,0,0x031b,0x0240,7,23,0x0000011e,1460,8,0x0000,0x00,0,0x00,169062,14484314,1.0,169062.0,1473092432.155032,0.002384992,0.001132992,0.004216992,0.002234423,0.0007725006,0.00413811,0.002718791,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,117,117,117.0,1,350,60319
A,32,0x0400000000004000,1473261494.471852,1473261494.494989,0.023137,1,3,eth:ipv4:tcp,38:0b:40:ef:85:41,00:17:88:24:76:ff,0x0800,,10.10.10.30,04,Private network,51286,10.10.10.6,04,Private network,80,6,0x00,1,38:0b:40:ef:85:41_00:17:88:24:76:ff_7,"SamsungEl,KR_PhilipsLi,AE",80,http,7,7,318,545,0,318,45.42857,92.7223,0.0,0.015193,0.003305286,0.004490743,302.5457,13744.22,0.0,-0.2630359,0x0a13,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2882483479,6,318,0,6,544,0,318,65535,85747.43,65535,88704,0,2,1,0,0x011b,0x0000,7,23,0x0000011e,1460,128,0x0000,0x00,0,0x00,14484352,169081,1.0,14484352.0,1458777142.106776,0.000464,0.000239008,0.01388202,0.004367291,0.005435517,0.002027008,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,116,116,116.0,1,375,13561
B,32,0x0400000000004001,1473261494.472316,1473261494.495228,0.022912,1,3,eth:ipv4:tcp,00:17:88:24:76:ff,38:0b:40:ef:85:41,0x0800,,10.10.10.6,04,Private network,80,10.10.10.30,04,Private network,51286,6,0x00,1,00:17:88:24:76:ff_38:0b:40:ef:85:41_7,"PhilipsLi,AE_SamsungEl,KR",80,http,7,7,545,318,0,527,77.85714,159.9044,0.0,0.015041,0.003273143,0.004385133,305.5168,23786.66,0.0,0.2630359,0x0a13,1,58739,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3583406339,7,545,0,7,318,0,527,28960,29905.88,28960,30032,0,1,1,0,0x031b,0x0000,7,23,0x0000011e,1460,8,0x0000,0x00,0,0x00,169081,14484352,1.0,169081.0,1473092413.130676,0.001563008,0.001195008,0.003004992,0.00163685,0.0004863605,0.006004142,0.005457233,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,115,115,115.0,1,350,60319
A,34,0x0400000000004000,1473261494.573379,1473261494.596133,0.022754,1,3,eth:ipv4:tcp,38:0b:40:ef:85:41,00:17:88:24:76:ff,0x0800,,10.10.10.30,04,Private network,44877,10.10.10.6,04,Private network,80,6,0x00,1,38:0b:40:ef:85:41_00:17:88:24:76:ff_7,"SamsungEl,KR_PhilipsLi,AE",80,http,7,7,319,546,0,319,45.57143,93.01387,0.0,0.015676,0.003250571,0.004681849,307.6382,14019.51,0.0,-0.2624277,0x0a13,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,587480532,6,319,0,6,545,0,319,65535,85747.43,65535,88704,0,2,1,0,0x011b,0x0000,7,23,0x0000011e,1460,128,0x0000,0x00,0,0x00,14484372,169091,1.0,14484372.0,1458777122.3427513,0.000331968,0.000198016,0.01421402,0.004393572,0.005595069,0.001614016,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,114,114,114.0,1,375,13561
B,34,0x0400000000004001,1473261494.573711,1473261494.596331,0.02262,1,3,eth:ipv4:tcp,00:17:88:24:76:ff,38:0b:40:ef:85:41,0x0800,,10.10.10.6,04,Private network,80,10.10.10.30,04,Private network,44877,6,0x00,1,00:17:88:24:76:ff_38:0b:40:ef:85:41_7,"PhilipsLi,AE_SamsungEl,KR",80,http,7,7,546,319,0,528,78.0,160.2091,0.0,0.015403,0.003231429,0.004512438,309.4607,24137.93,0.0,0.2624277,0x0a13,1,4527,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3504506157,7,546,0,7,319,0,528,28960,29905.88,28960,30032,0,1,1,0,0x031b,0x0000,7,23,0x0000011e,1460,8,0x0000,0x00,0,0x00,169091,14484372,1.0,169091.0,1473092403.3625512,0.001282048,0.001129024,0.002662016,0.001521728,0.0004009073,0.0059153,0.005609414,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,113,113,113.0,1,350,60319
A,69,0x0400000000004000,1473261507.887328,1473261507.905881,0.018553,1,3,eth:ipv4:tcp,38:0b:40:ef:85:41,00:17:88:24:76:ff,0x0800,,10.10.10.30,04,Private network,45061,10.10.10.6,04,Private network,80,6,0x00,1,38:0b:40:ef:85:41_00:17:88:24:76:ff_7,"SamsungEl,KR_PhilipsLi,AE",80,http,7,7,319,546,0,319,45.57143,93.01387,0.0,0.010523,0.002650429,0.00301602,377.2975,17193.98,0.0,-0.2624277,0x0a13,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2058340835,6,319,0,6,545,0,319,65535,85747.43,65535,88704,0,2,1,0,0x011b,0x0000,7,23,0x0000011e,1460,128,0x0000,0x00,0,0x00,14487034,170422,1.0,14487034.0,1458774473.393787,0.000428032,0.000289984,0.009067008,0.002976722,0.003479946,0.002041024,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,184,184,184.0,1,594,21309
B,69,0x0400000000004001,1473261507.887756,1473261507.906171,0.018415,1,3,eth:ipv4:tcp,00:17:88:24:76:ff,38:0b:40:ef:85:41,0x0800,,10.10.10.6,04,Private network,80,10.10.10.30,04,Private network,45061,6,0x00,1,00:17:88:24:76:ff_38:0b:40:ef:85:41_7,"PhilipsLi,AE_SamsungEl,KR",80,http,7,7,546,319,0,528,78.0,160.2091,0.0,0.010225,0.002630714,0.002916807,380.1249,29649.74,0.0,0.2624277,0x0a13,1,22410,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3673673277,7,546,0,7,319,0,528,28960,29905.88,28960,30032,0,1,1,0,0x031b,0x0000,7,23,0x0000011e,1460,8,0x0000,0x00,0,0x00,170422,14487034,1.0,170422.0,1473091085.4227867,0.001612992,0.00114304,0.003301952,0.001720137,0.0005690111,0.00469686,0.003526159,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,183,183,183.0,1,544,93014
A,1,0x0400000000004000,1473261462.229686,1473261462.268092,0.038406,1,3,eth:ipv4:tcp,38:0b:40:ef:85:41,00:17:88:24:76:ff,0x0800,,10.10.10.30,04,Private network,47650,10.10.10.6,04,Private network,80,6,0x00,1,38:0b:40:ef:85:41_00:17:88:24:76:ff_8,"SamsungEl,KR_PhilipsLi,AE",80,http,8,7,192,2727,0,192,24.0,53.05055,0.0,0.030489,0.00480075,0.008817577,208.3008,4999.219,0.06666667,-0.8684481,0x4813,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,4185943962,7,192,0,7,2529,1,0,65535,6062.396,685,65535,1,3,1,0,0x011b,0x0008,8,29,0x0000013e,1460,128,0x0000,0x00,0,0x00,14477907,165857,1.0,14477907.0,1458783555.1804028,0.0,0.000127008,0.005023008,0.002033807,0.001882377,0.0,0.0,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,340,340,340.0,1,1098,37277
B,1,0x0400000000004001,1473261462.232986,1473261462.268219,0.035233,1,3,eth:ipv4:tcp,00:17:88:24:76:ff,38:0b:40:ef:85:41,0x0800,,10.10.10.6,04,Private network,80,10.10.10.30,04,Private network,47650,6,0x00,1,00:17:88:24:76:ff_38:0b:40:ef:85:41_7,"PhilipsLi,AE_SamsungEl,KR",80,http,7,8,2727,192,0,1448,389.5714,444.9599,0.0,0.016097,0.005033286,0.005068871,198.6774,77399.03,-0.06666667,0.8684481,0x0013,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2777380376,6,2529,1,7,0,0,2312,3754,3754.0,3754,3754,0,0,0,0,0x0119,0x0002,7,21,0x00000102,0,1,0x0000,0x00,0,0x00,165858,14477906,1.0,165858.0,1473095604.1931028,0.0,0.003585984,0.01588299,0.007270425,0.006755761,0.009304232,0.007013106,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,339,339,339.0,1,991,185868
