%dir,flowInd,flowStat,timeFirst,timeLast,duration,numHdrDesc,numHdrs,hdrDesc,srcMac,dstMac,ethType,vlanID,srcIP,srcIPCC,srcIPOrg,srcPort,dstIP,dstIPCC,dstIPOrg,dstPort,l4Proto,macStat,macPairs,srcMac_dstMac_numP,srcMacLbl_dstMacLbl,dstPortClassN,dstPortClass,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,tcpFStat,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,ipToS,ipFlags,ipOptCnt,ipOptCpCl_Num,ip6OptCntHH_D,ip6OptHH_D,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpBFlgtMx,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpFlags,tcpAnomaly,tcpOptPktCnt,tcpOptCnt,tcpOptions,tcpMSS,tcpWS,tcpMPTBF,tcpMPF,tcpMPAID,tcpMPDSSF,tcpTmS,tcpTmER,tcpEcI,tcpUtm,tcpBtm,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,tcpStatesAFlags,icmpStat,icmpTCcnt,icmpBFTypH_TypL_Code,icmpTmGtw,icmpEchoSuccRatio,icmpPFindex,connSip,connDip,connSipDip,connSipDprt,connF,connG,connNumPCnt,connNumBCnt
A,24,0x0400000000004000,1471878091.492983,1471878091.510966,0.017983,1,3,eth:ipv4:tcp,38:0b:40:ef:85:41,00:17:88:24:76:ff,0x0800,,10.10.10.30,4,Private network,46866,10.10.10.6,4,Private network,80,6,0x00,1,38:0b:40:ef:85:41_00:17:88:24:76:ff_7,"SamsungEl,KR_PhilipsLi,AE",80,http,7,7,321,546,0,321,45.85714,93.59702,0.0,0.009957,0.002569,0.002844586,389.2565,17850.19,0.0,-0.2595156,0x0a13,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,676471974,6,321,0,6,545,0,321,65535,85747.43,65535,88704,0,2,1,0,0x011b,0x0000,7,23,0x0000011e,1460,128,0x0000,0x00,0,0x00,1664886,688210,1.0,1664886.0,1470213205.415986,0.000400992,0.000309984,0.008661984,0.002838999,0.003305566,0.001825984,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,107,107,107,1,335,12495
B,24,0x0400000000004001,1471878091.493384,1471878091.511276,0.017892,1,3,eth:ipv4:tcp,00:17:88:24:76:ff,38:0b:40:ef:85:41,0x0800,,10.10.10.6,4,Private network,80,10.10.10.30,4,Private network,46866,6,0x00,1,00:17:88:24:76:ff_38:0b:40:ef:85:41_7,"PhilipsLi,AE_SamsungEl,KR",80,http,7,7,546,321,0,528,78.0,160.2091,0.0,0.009935,0.002556,0.002825608,391.2363,30516.43,0.0,0.2595156,0x0a13,1,32927,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3580428493,7,546,0,7,321,0,528,28960,29905.88,28960,30032,0,1,1,0,0x031b,0x0000,7,23,0x0000011e,1460,8,0x0000,0x00,0,0x00,688211,1664886,1.0,688211.0,1471189880.1748917,0.001424992,0.001210976,0.003175008,0.001631429,0.0005314215,0.004470428,0.003348011,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,106,106,106,1,304,49537
A,27,0x0400000000004000,1471878091.662872,1471878091.685808,0.022936,1,3,eth:ipv4:tcp,38:0b:40:ef:85:41,00:17:88:24:76:ff,0x0800,,10.10.10.30,4,Private network,53420,10.10.10.6,4,Private network,80,6,0x00,1,38:0b:40:ef:85:41_00:17:88:24:76:ff_7,"SamsungEl,KR_PhilipsLi,AE",80,http,7,7,320,545,0,320,45.71429,93.30544,0.0,0.014559,0.003276571,0.004276028,305.1971,13951.87,0.0,-0.2601156,0x0a13,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3356947713,6,320,0,6,544,0,320,65535,85747.43,65535,88704,0,2,1,0,0x011b,0x0000,7,23,0x0000011e,1460,128,0x0000,0x00,0,0x00,1664921,688228,1.0,1664921.0,1470213170.29082,0.000438016,0.000275008,0.01325395,0.004181294,0.005180954,0.002232,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,105,105,105,1,335,12495
B,27,0x0400000000004001,1471878091.66331,1471878091.686083,0.022773,1,3,eth:ipv4:tcp,00:17:88:24:76:ff,38:0b:40:ef:85:41,0x0800,,10.10.10.6,4,Private network,80,10.10.10.30,4,Private network,53420,6,0x00,1,00:17:88:24:76:ff_38:0b:40:ef:85:41_7,"PhilipsLi,AE_SamsungEl,KR",80,http,7,7,545,320,0,527,77.85714,159.9044,0.0,0.014649,0.003253286,0.004256259,307.3816,23931.85,0.0,0.2601156,0x0a13,1,43597,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2407868974,7,545,0,7,320,0,527,28960,29905.88,28960,30032,0,1,1,0,0x031b,0x0000,7,23,0x0000011e,1460,8,0x0000,0x00,0,0x00,688228,1664921,1.0,688228.0,1471189863.31832,0.001793984,0.001305024,0.003189952,0.001763429,0.0005212065,0.005944722,0.005207105,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,104,104,104,1,304,49537
A,29,0x0400000000004000,1471878091.764889,1471878091.789186,0.024297,1,3,eth:ipv4:tcp,38:0b:40:ef:85:41,00:17:88:24:76:ff,0x0800,,10.10.10.30,4,Private network,58447,10.10.10.6,4,Private network,80,6,0x00,1,38:0b:40:ef:85:41_00:17:88:24:76:ff_7,"SamsungEl,KR_PhilipsLi,AE",80,http,7,7,321,546,0,321,45.85714,93.59702,0.0,0.014791,0.003471,0.004379055,288.1014,13211.51,0.0,-0.2595156,0x0a13,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3578592738,6,321,0,6,547,0,321,65535,85747.43,65535,88704,0,2,1,0,0x011b,0x0000,7,23,0x0000011e,1460,128,0x0000,0x00,0,0x00,1664942,688238,1.0,1664942.0,1470213149.3206985,0.000419008,0.000232,0.01299603,0.002681547,0.004214776,0.004371008,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,103,103,103,1,335,12495
B,29,0x0408000000004001,1471878091.765308,1471878091.789418,0.02411,1,3,eth:ipv4:tcp,00:17:88:24:76:ff,38:0b:40:ef:85:41,0x0800,,10.10.10.6,4,Private network,80,10.10.10.30,4,Private network,58447,6,0x00,1,00:17:88:24:76:ff_38:0b:40:ef:85:41_7,"PhilipsLi,AE_SamsungEl,KR",80,http,7,7,546,321,0,528,78.0,160.2059,-2.4e-05,0.014735,0.003444286,0.004267043,290.336,22646.21,0.0,0.2595156,0x0a13,2,37068,64,64,0,0x00,0x8044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1749225631,4,548,0,7,321,0,528,28960,29905.88,28960,30032,0,1,1,0,0x031b,0x0240,7,23,0x0000011e,1460,8,0x0000,0x00,0,0x00,688238,1664942,1.0,688238.0,1471189853.3438983,0.003952,0.001267008,0.004117952,0.002691849,0.001021377,0.005373396,0.004336767,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,102,102,102,1,304,49537
A,58,0x0400000000004000,1471878102.445535,1471878102.468437,0.022902,1,3,eth:ipv4:tcp,38:0b:40:ef:85:41,00:17:88:24:76:ff,0x0800,,10.10.10.30,4,Private network,57310,10.10.10.6,4,Private network,80,6,0x00,1,38:0b:40:ef:85:41_00:17:88:24:76:ff_7,"SamsungEl,KR_PhilipsLi,AE",80,http,7,7,320,545,0,320,45.71429,93.30544,0.0,0.010121,0.003271714,0.002959828,305.6501,13972.58,0.0,-0.2601156,0x0a13,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,636668417,6,320,0,6,544,0,320,65535,85747.43,65535,88704,0,2,1,0,0x011b,0x0000,7,23,0x0000011e,1460,128,0x0000,0x00,0,0x00,1667078,689306,1.0,1667078.0,1470211024.285565,0.000324,0.000212992,0.008926016,0.002891991,0.003422702,0.006527008,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,163,163,163,1,524,19299
B,58,0x0400000000004001,1471878102.445859,1471878102.46865,0.022791,1,3,eth:ipv4:tcp,00:17:88:24:76:ff,38:0b:40:ef:85:41,0x0800,,10.10.10.6,4,Private network,80,10.10.10.30,4,Private network,57310,6,0x00,1,00:17:88:24:76:ff_38:0b:40:ef:85:41_7,"PhilipsLi,AE_SamsungEl,KR",80,http,7,7,545,320,0,527,77.85714,159.9044,0.0,0.009945,0.003255857,0.003166856,307.1388,23912.95,0.0,0.2601156,0x0a13,1,34893,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3308719315,7,545,0,7,320,0,527,28960,29905.88,28960,30032,0,1,1,0,0x031b,0x0000,7,23,0x0000011e,1460,8,0x0000,0x00,0,0x00,689306,1667078,1.0,689306.0,1471188796.4985647,0.006203008,0.001152,0.008059008,0.003653143,0.002484356,0.006545133,0.004229292,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,162,162,162,1,471,77251
A,1,0x0400000000004000,1471878072.369318,1471878072.369318,0.0,1,3,eth:ipv4:tcp,38:0b:40:ef:85:41,00:17:88:24:76:ff,0x0800,,10.10.10.30,4,Private network,54168,10.10.10.6,4,Private network,80,6,0x00,1,38:0b:40:ef:85:41_00:17:88:24:76:ff_1,"SamsungEl,KR_PhilipsLi,AE",80,http,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0x0013,65535,0,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2091811618,1,0,0,1,0,0,0,695,695.0,695,695,0,0,0,0,0x0111,0x1000,1,3,0x00000102,0,1,0x0000,0x00,0,0x00,1661057,686295,0.004,6644.228316,1471871428.4017465,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x83,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,281,281,281,1,893,31621
A,2,0x0400000000004000,1471878072.840142,1471878072.854563,0.014421,1,3,eth:ipv4:tcp,38:0b:40:ef:85:41,00:17:88:24:76:ff,0x0800,,10.10.10.30,4,Private network,60148,10.10.10.6,4,Private network,80,6,0x00,1,38:0b:40:ef:85:41_00:17:88:24:76:ff_6,"SamsungEl,KR_PhilipsLi,AE",80,http,6,5,202,664,0,202,33.66667,62.51795,0.0,0.004263,0.0024035,0.001358218,416.0599,14007.35,0.09090909,-0.5334873,0x0a13,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,731152265,5,202,0,5,665,0,202,65535,84610.89,65535,88960,0,2,1,0,0x011b,0x0000,6,20,0x0000011e,1460,128,0x0000,0x00,0,0x00,1661155,686344,1.0,1661155.0,1470216917.4159477,0.000364992,0.000289984,0.00219904,0.0008584064,0.0006268788,0.003859008,0.0,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,280,280,280,1,893,31621
