%dir,flowInd,flowStat,timeFirst,timeLast,duration,numHdrDesc,numHdrs,hdrDesc,srcMac,dstMac,ethType,vlanID,srcIP,srcIPCC,srcIPOrg,srcPort,dstIP,dstIPCC,dstIPOrg,dstPort,l4Proto,macStat,macPairs,srcMac_dstMac_numP,srcMacLbl_dstMacLbl,dstPortClassN,dstPortClass,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,tcpFStat,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,ipToS,ipFlags,ipOptCnt,ipOptCpCl_Num,ip6OptCntHH_D,ip6OptHH_D,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpBFlgtMx,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpFlags,tcpAnomaly,tcpOptPktCnt,tcpOptCnt,tcpOptions,tcpMSS,tcpWS,tcpMPTBF,tcpMPF,tcpMPAID,tcpMPDSSF,tcpTmS,tcpTmER,tcpEcI,tcpUtm,tcpBtm,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,tcpStatesAFlags,icmpStat,icmpTCcnt,icmpBFTypH_TypL_Code,icmpTmGtw,icmpEchoSuccRatio,icmpPFindex,connSip,connDip,connSipDip,connSipDprt,connF,connG,connNumPCnt,connNumBCnt
A,10,0x0400000000004000,1473673188.002174,1473673188.002174,0.0,1,3,eth:ipv4:tcp,38:0b:40:ef:85:41,00:1a:22:03:cb:be,0x0800,,10.10.10.30,04,Private network,41566,10.10.10.129,04,Private network,80,6,0x00,1,38:0b:40:ef:85:41_00:1a:22:03:cb:be_1,"SamsungEl,KR_eQ3Entwic,DE",80,http,1,1,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0x0013,65535,0,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3945342573,0,0,0,0,0,0,0,65535,65535.0,65535,65535,0,0,0,0,0x0002,0x3000,1,5,0x0000011e,1460,0,0x0000,0x00,0,0x00,30643298,0,0.004,122573.197822,1473550615.197618,0.000519,0.000519,0.000519,0.000519,0.0,0.000519,0.0,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,2,2,2,2.0,1,1,0
B,10,0x0400000000004001,1473673188.002693,1473673188.002693,0.0,1,3,eth:ipv4:tcp,00:1a:22:03:cb:be,38:0b:40:ef:85:41,0x0800,,10.10.10.129,04,Private network,80,10.10.10.30,04,Private network,41566,6,0x00,1,00:1a:22:03:cb:be_38:0b:40:ef:85:41_1,"eQ3Entwic,DE_SamsungEl,KR",80,http,1,1,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0x0011,65535,0,128,128,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0004,0x2000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.000519,0.0,0x43,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,2,1,1,1,0.5,1,16,574
A,12,0x0400000000004000,1473673188.997548,1473673188.997548,0.0,1,3,eth:ipv4:tcp,38:0b:40:ef:85:41,00:1a:22:03:cb:be,0x0800,,10.10.10.30,04,Private network,41566,10.10.10.129,04,Private network,80,6,0x00,1,38:0b:40:ef:85:41_00:1a:22:03:cb:be_1,"SamsungEl,KR_eQ3Entwic,DE",80,http,1,1,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0x0013,65535,0,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3945342573,0,0,0,0,0,0,0,65535,65535.0,65535,65535,0,0,0,0,0x0002,0x3000,1,5,0x0000011e,1460,0,0x0000,0x00,0,0x00,30643498,0,0.004,122573.997822,1473550615.1177664,0.000405952,0.000405952,0.000405952,0.000405952,0.0,0.000405952,0.0,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,2,2,2,2.0,1,2,0
B,12,0x0400000000004001,1473673188.997954,1473673188.997954,0.0,1,3,eth:ipv4:tcp,00:1a:22:03:cb:be,38:0b:40:ef:85:41,0x0800,,10.10.10.129,04,Private network,80,10.10.10.30,04,Private network,41566,6,0x00,1,00:1a:22:03:cb:be_38:0b:40:ef:85:41_1,"eQ3Entwic,DE_SamsungEl,KR",80,http,1,1,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0x0011,65535,0,128,128,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0004,0x2000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.000405952,0.0,0x43,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,2,1,1,1,0.5,1,20,578
A,13,0x0400000000004000,1473673205.218245,1473673205.218245,0.0,1,3,eth:ipv4:tcp,38:0b:40:ef:85:41,00:1a:22:03:cb:be,0x0800,,10.10.10.30,04,Private network,43201,10.10.10.129,04,Private network,80,6,0x00,1,38:0b:40:ef:85:41_00:1a:22:03:cb:be_1,"SamsungEl,KR_eQ3Entwic,DE",80,http,1,1,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0x0013,65535,0,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1377864583,0,0,0,0,0,0,0,65535,65535.0,65535,65535,0,0,0,0,0x0002,0x3000,1,5,0x0000011e,1460,0,0x0000,0x00,0,0x00,30646741,0,0.004,122586.969823,1473550619.2526813,0.000382016,0.000382016,0.000382016,0.000382016,0.0,0.000382016,0.0,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,2,2,2,2.0,1,3,0
B,13,0x0400000000004001,1473673205.218627,1473673205.218627,0.0,1,3,eth:ipv4:tcp,00:1a:22:03:cb:be,38:0b:40:ef:85:41,0x0800,,10.10.10.129,04,Private network,80,10.10.10.30,04,Private network,43201,6,0x00,1,00:1a:22:03:cb:be_38:0b:40:ef:85:41_1,"eQ3Entwic,DE_SamsungEl,KR",80,http,1,1,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0x0011,65535,0,128,128,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0004,0x2000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.000382016,0.0,0x43,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,2,1,1,1,0.5,1,26,586
A,14,0x0400000000004000,1473673206.217299,1473673206.217299,0.0,1,3,eth:ipv4:tcp,38:0b:40:ef:85:41,00:1a:22:03:cb:be,0x0800,,10.10.10.30,04,Private network,43201,10.10.10.129,04,Private network,80,6,0x00,1,38:0b:40:ef:85:41_00:1a:22:03:cb:be_1,"SamsungEl,KR_eQ3Entwic,DE",80,http,1,1,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0x0013,65535,0,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1377864583,0,0,0,0,0,0,0,65535,65535.0,65535,65535,0,0,0,0,0x0002,0x3000,1,5,0x0000011e,1460,0,0x0000,0x00,0,0x00,30646942,0,0.004,122587.773823,1473550619.1776812,0.00038,0.00038,0.00038,0.00038,0.0,0.00038,0.0,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,2,2,2,2.0,1,4,0
B,14,0x0400000000004001,1473673206.217679,1473673206.217679,0.0,1,3,eth:ipv4:tcp,00:1a:22:03:cb:be,38:0b:40:ef:85:41,0x0800,,10.10.10.129,04,Private network,80,10.10.10.30,04,Private network,43201,6,0x00,1,00:1a:22:03:cb:be_38:0b:40:ef:85:41_1,"eQ3Entwic,DE_SamsungEl,KR",80,http,1,1,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0x0011,65535,0,128,128,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0004,0x2000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.00038,0.0,0x43,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,2,1,1,1,0.5,1,28,590
A,5,0x0400000000004000,1473673176.114176,1473673176.114176,0.0,1,3,eth:ipv4:udp,00:1a:22:03:cb:be,00:b5:6d:06:08:ba,0x0800,,10.10.10.129,04,Private network,1025,10.10.10.1,04,Private network,53,17,0x00,1,00:1a:22:03:cb:be_00:b5:6d:06:08:ba_1,"eQ3Entwic,DE_DavidElec,TW",53,domain,1,1,35,78,35,35,35.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.380531,0x0001,65535,0,128,128,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,8.4e-05,8.4e-05,8.4e-05,8.4e-05,0.0,8.4e-05,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,4,1,2,2,0.5,1,30,594
B,5,0x0400000000004001,1473673176.11426,1473673176.11426,0.0,1,3,eth:ipv4:udp,00:b5:6d:06:08:ba,00:1a:22:03:cb:be,0x0800,,10.10.10.1,04,Private network,53,10.10.10.129,04,Private network,1025,17,0x00,1,00:b5:6d:06:08:ba_00:1a:22:03:cb:be_1,"DavidElec,TW_eQ3Entwic,DE",53,domain,1,1,78,35,78,78,78.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.380531,0x0001,65535,0,64,64,0,0x00,0x0840,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,8.4e-05,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,4,1,1,1.0,1,1,78
