%dir,flowInd,flowStat,timeFirst,timeLast,duration,numHdrDesc,numHdrs,hdrDesc,srcMac,dstMac,ethType,vlanID,srcIP,srcIPCC,srcIPOrg,srcPort,dstIP,dstIPCC,dstIPOrg,dstPort,l4Proto,macStat,macPairs,srcMac_dstMac_numP,srcMacLbl_dstMacLbl,dstPortClassN,dstPortClass,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,tcpFStat,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,ipToS,ipFlags,ipOptCnt,ipOptCpCl_Num,ip6OptCntHH_D,ip6OptHH_D,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpBFlgtMx,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpFlags,tcpAnomaly,tcpOptPktCnt,tcpOptCnt,tcpOptions,tcpMSS,tcpWS,tcpMPTBF,tcpMPF,tcpMPAID,tcpMPDSSF,tcpTmS,tcpTmER,tcpEcI,tcpUtm,tcpBtm,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,tcpStatesAFlags,icmpStat,icmpTCcnt,icmpBFTypH_TypL_Code,icmpTmGtw,icmpEchoSuccRatio,icmpPFindex,connSip,connDip,connSipDip,connSipDprt,connF,connG,connNumPCnt,connNumBCnt
A,10,0x0400000000004000,1473324815.650228,1473324815.650256,2.8e-05,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,50:c7:bf:00:fc:a3,0x0800,,52.209.224.132,us,Amazon Technologies Inc,50443,10.10.10.228,04,Private network,52550,6,0x00,1,00:b5:6d:06:08:ba_50:c7:bf:00:fc:a3_2,"DavidElec,TW_TPLinkTec,CN",52550,unknown,2,1,37,0,0,37,18.5,13.08148,0,2.8e-05,1.4e-05,9.899495e-06,71428.57,1321428.0,0.3333333,1.0,0x0013,1,1,44,44,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3316657223,2,37,0,2,0,0,0,136,136.0,136,136,0,0,0,0,0x0119,0x3000,2,6,0x00000102,0,0,0x0000,0x00,0,0x00,609176681,4294924211,0.01,6091766.673838,1467233049.10421,0.0,0.000883008,0.000883008,0.000883008,0.0,0.0,0.0,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,2,2,2.0,1.0,2,37
B,10,0x0400000000004001,1473324815.651139,1473324815.651139,0.0,1,3,eth:ipv4:tcp,50:c7:bf:00:fc:a3,00:b5:6d:06:08:ba,0x0800,,10.10.10.228,04,Private network,52550,52.209.224.132,us,Amazon Technologies Inc,50443,6,0x00,1,50:c7:bf:00:fc:a3_00:b5:6d:06:08:ba_1,"TPLinkTec,CN_DavidElec,TW",52550,unknown,1,2,0,37,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.3333333,-1.0,0x0011,65535,0,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3329122906,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0004,0x2000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.000883008,0.0,0x43,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,1,1,1.0,1.0,14,974
A,1,0x0000000000000004,1473324811.37014,1473324811.380656,0.010516,1,2,eth:eapol,50:c7:bf:00:fc:a3,28:b2:bd:c3:41:78,0x888e,,-,-,-,0,-,-,-,0,0,0x00,1,50:c7:bf:00:fc:a3_28:b2:bd:c3:41:78_2,"TPLinkTec,CN_IntelCorp,MY",0,unknown,2,0,220,0,99,121,110.0,7.778174,0,0.010516,0.005258,0.003717967,190.1864,20920.5,1.0,1.0,0x0000,65535,0,0,0,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,0,0,0,0,0.0,0.0,0,0
A,2,0x0400000000004000,1473324813.255076,1473324813.260067,0.004991,1,3,eth:ipv4:udp,50:c7:bf:00:fc:a3,ff:ff:ff:ff:ff:ff,0x0800,,0.0.0.0,-,-,68,255.255.255.255,11,Broadcast,67,17,0x00,1,50:c7:bf:00:fc:a3_ff:ff:ff:ff:ff:ff_2,"TPLinkTec,CN_Broadcast",67,bootps,2,0,1096,0,548,548,548.0,0.0,0,0.004991,0.0024955,0.001764585,400.7213,219595.3,1.0,1.0,0x0001,0,0,64,64,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,1,1,1.0,1.0,2,1096
A,3,0x0400000000004001,1473324813.255328,1473324813.323235,0.067907,1,3,eth:ipv4:udp,00:b5:6d:06:08:ba,50:c7:bf:00:fc:a3,0x0800,,10.10.10.1,04,Private network,67,10.10.10.228,04,Private network,68,17,0x00,1,00:b5:6d:06:08:ba_50:c7:bf:00:fc:a3_2,"DavidElec,TW_TPLinkTec,CN",67,bootps,2,0,600,0,300,300,300.0,0.0,0,0.067907,0.0339535,0.02400875,29.45205,8835.613,-1.0,1.0,0x0001,15,15,64,64,0,0xc0,0x0800,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,3,5,1,1.0,0.2,4,1145
A,6,0x0400000000004000,1473324813.526375,1473324813.526375,0.0,1,3,eth:ipv4:udp,50:c7:bf:00:fc:a3,00:b5:6d:06:08:ba,0x0800,,10.10.10.228,04,Private network,35154,10.10.10.1,04,Private network,53,17,0x00,1,50:c7:bf:00:fc:a3_00:b5:6d:06:08:ba_1,"TPLinkTec,CN_DavidElec,TW",53,domain,1,1,33,173,33,33,33.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6796116,0x0001,65535,0,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.001681984,0.001681984,0.001681984,0.001681984,0.0,0.001681984,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,3,1,4,4,1.333333,1.0,27,4666
B,6,0x0400000000004001,1473324813.528057,1473324813.528057,0.0,1,3,eth:ipv4:udp,00:b5:6d:06:08:ba,50:c7:bf:00:fc:a3,0x0800,,10.10.10.1,04,Private network,53,10.10.10.228,04,Private network,35154,17,0x00,1,00:b5:6d:06:08:ba_50:c7:bf:00:fc:a3_1,"DavidElec,TW_TPLinkTec,CN",53,domain,1,1,173,33,173,173,173.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6796116,0x0001,65535,0,64,64,0,0x00,0x0840,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.001681984,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,3,3,3,3.0,1.0,4,1145
A,4,0x0000000000000044,1473324813.523973,1473324813.644045,0.120072,1,2,eth:arp,50:c7:bf:00:fc:a3,ff:ff:ff:ff:ff:ff,0x0806,,-,-,-,0,-,-,-,0,0,0x00,1,50:c7:bf:00:fc:a3_ff:ff:ff:ff:ff:ff_2,"TPLinkTec,CN_Broadcast",0,unknown,2,0,56,0,28,28,28.0,0.0,0,0.120072,0.060036,0.04245186,16.65667,466.3868,1.0,1.0,0x0000,65535,0,0,0,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,0,0,0,0,0.0,0.0,0,0
A,8,0x0400000000004000,1473324813.748484,1473324813.748484,0.0,1,3,eth:ipv4:udp,50:c7:bf:00:fc:a3,00:b5:6d:06:08:ba,0x0800,,10.10.10.228,04,Private network,60604,10.10.10.1,04,Private network,53,17,0x00,1,50:c7:bf:00:fc:a3_00:b5:6d:06:08:ba_1,"TPLinkTec,CN_DavidElec,TW",53,domain,1,1,38,372,38,38,38.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8146341,0x0001,65535,0,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.01455302,0.01455302,0.01455302,0.01455302,0.0,0.01455302,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,3,1,2,2,0.6666667,1.0,27,4666
B,8,0x0400000000004001,1473324813.763037,1473324813.763037,0.0,1,3,eth:ipv4:udp,00:b5:6d:06:08:ba,50:c7:bf:00:fc:a3,0x0800,,10.10.10.1,04,Private network,53,10.10.10.228,04,Private network,60604,17,0x00,1,00:b5:6d:06:08:ba_50:c7:bf:00:fc:a3_1,"DavidElec,TW_TPLinkTec,CN",53,domain,1,1,372,38,372,372,372.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.8146341,0x0001,65535,0,64,64,0,0x00,0x0840,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.01455302,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,3,1,1,1.0,1.0,4,1145
