%dir,flowInd,flowStat,timeFirst,timeLast,duration,numHdrDesc,numHdrs,hdrDesc,srcMac,dstMac,ethType,vlanID,srcIP,srcIPCC,srcIPOrg,srcPort,dstIP,dstIPCC,dstIPOrg,dstPort,l4Proto,macStat,macPairs,srcMac_dstMac_numP,srcMacLbl_dstMacLbl,dstPortClassN,dstPortClass,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,tcpFStat,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,ipToS,ipFlags,ipOptCnt,ipOptCpCl_Num,ip6OptCntHH_D,ip6OptHH_D,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpBFlgtMx,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpFlags,tcpAnomaly,tcpOptPktCnt,tcpOptCnt,tcpOptions,tcpMSS,tcpWS,tcpMPTBF,tcpMPF,tcpMPAID,tcpMPDSSF,tcpTmS,tcpTmER,tcpEcI,tcpUtm,tcpBtm,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,tcpStatesAFlags,icmpStat,icmpTCcnt,icmpBFTypH_TypL_Code,icmpTmGtw,icmpEchoSuccRatio,icmpPFindex,connSip,connDip,connSipDip,connSipDprt,connF,connG,connNumPCnt,connNumBCnt
A,10,0x0400000000004000,1471867795.111254,1471867798.315819,3.204565,1,3,eth:ipv4:tcp,50:c7:bf:00:fc:a3,00:b5:6d:06:08:ba,0x0800,,10.10.10.228,04,Private network,38855,52.49.65.150,us,Amazon Technologies Inc,50443,6,0x00,1,50:c7:bf:00:fc:a3_00:b5:6d:06:08:ba_15,"TPLinkTec,CN_DavidElec,TW",50443,unknown,15,13,1110,4195,0,522,74.0,130.884,0,2.280353,0.2136377,0.5193998,4.680822,346.3809,0.07142857,-0.5815269,0x0a13,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3281591028,14,1110,0,14,4196,0,522,5840,13878.75,5840,14048,0,3,1,0,0x041e,0x0000,15,47,0x0000011e,1460,2,0x0000,0x00,0,0x00,4294911378,244919454,0.1,429491144.199917,1042376654.2086473,0.02288,0.017866,0.082088,0.03046316,0.01508965,0.024452,0.0,0x42,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,3,1,2,2,0.6666667,1.0,18,1229
B,10,0x0400000000004001,1471867795.134134,1471867798.245966,3.111832,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,50:c7:bf:00:fc:a3,0x0800,,52.49.65.150,us,Amazon Technologies Inc,50443,10.10.10.228,04,Private network,38855,6,0x00,1,00:b5:6d:06:08:ba_50:c7:bf:00:fc:a3_13,"DavidElec,TW_TPLinkTec,CN",50443,unknown,13,15,4195,1110,0,1368,322.6923,435.7497,0,2.322506,0.2393717,0.559129,4.177604,1348.081,-0.07142857,0.5815269,0x0a13,1,5377,43,43,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,154161783,13,4195,0,13,1110,0,3573,17898,21938.51,17898,22272,0,4,1,0,0x031b,0x0000,13,41,0x0000011e,1380,256,0x0000,0x00,0,0x00,244919454,4294911355,0.1,24491945.764958,1447375853.387906,0.001572,0.001157008,2.298478,0.2074773,0.5261964,0.2379404,0.5264127,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,3,1,1,1.0,1.0,13,4195
A,1,0x0400000000004000,1471867756.073642,1471867763.901321,7.827679,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,50:c7:bf:00:fc:a3,0x0800,,52.49.107.41,us,Amazon Technologies Inc,50443,10.10.10.228,04,Private network,42233,6,0x00,1,00:b5:6d:06:08:ba_50:c7:bf:00:fc:a3_8,"DavidElec,TW_TPLinkTec,CN",42233,unknown,8,0,259,0,0,37,32.375,9.500267,0,3.980024,0.9784599,1.208224,1.022014,33.08771,1.0,1.0,0x0013,1,1,43,43,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,461815924,2,37,0,8,0,0,0,91,91.0,91,91,0,0,0,0,0x0119,0x0000,8,24,0x00000102,0,1,0x0000,0x00,0,0x00,244910336,4294913422,0.1,24491033.964945,1447376730.2707891,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,1,1,1.0,1.0,8,259
A,4,0x0400000000004000,1471867794.80783,1471867794.812299,0.004469,1,3,eth:ipv4:udp,50:c7:bf:00:fc:a3,ff:ff:ff:ff:ff:ff,0x0800,,0.0.0.0,-,-,68,255.255.255.255,11,Broadcast,67,17,0x00,1,50:c7:bf:00:fc:a3_ff:ff:ff:ff:ff:ff_2,"TPLinkTec,CN_Broadcast",67,bootps,2,0,1096,0,548,548,548.0,0.0,0,0.004469,0.0022345,0.00158003,447.5274,245245.0,1.0,1.0,0x0001,0,0,64,64,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,1,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,1,1,1.0,1.0,2,1096
A,5,0x0400000000004001,1471867794.807997,1471867794.879666,0.071669,1,3,eth:ipv4:udp,00:b5:6d:06:08:ba,50:c7:bf:00:fc:a3,0x0800,,10.10.10.1,04,Private network,67,10.10.10.228,04,Private network,68,17,0x00,1,00:b5:6d:06:08:ba_50:c7:bf:00:fc:a3_2,"DavidElec,TW_TPLinkTec,CN",67,bootps,2,0,600,0,300,300,300.0,0.0,0,0.071669,0.0358345,0.02533882,27.90607,8371.82,-1.0,1.0,0x0001,14,14,64,64,0,0xc0,0x0800,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,1,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,4,9,1,1.0,0.1111111,6,2152
A,7,0x0400000000004000,1471867794.927174,1471867794.927174,0.0,1,3,eth:ipv4:udp,50:c7:bf:00:fc:a3,00:b5:6d:06:08:ba,0x0800,,10.10.10.228,04,Private network,51572,10.10.10.1,04,Private network,53,17,0x00,1,50:c7:bf:00:fc:a3_00:b5:6d:06:08:ba_1,"TPLinkTec,CN_DavidElec,TW",53,domain,1,1,33,503,33,33,33.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8768657,0x0001,65535,0,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,1,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.01269197,0.01269197,0.01269197,0.01269197,0.0,0.01269197,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,4,1,8,8,2.0,1.0,41,3731
B,7,0x0400000000004001,1471867794.939866,1471867794.939866,0.0,1,3,eth:ipv4:udp,00:b5:6d:06:08:ba,50:c7:bf:00:fc:a3,0x0800,,10.10.10.1,04,Private network,53,10.10.10.228,04,Private network,51572,17,0x00,1,00:b5:6d:06:08:ba_50:c7:bf:00:fc:a3_1,"DavidElec,TW_TPLinkTec,CN",53,domain,1,1,503,33,503,503,503.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.8768657,0x0001,65535,0,64,64,0,0x00,0x0840,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,1,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.01269197,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,4,7,7,7.0,1.0,6,2152
A,9,0x0400000000004000,1471867795.101812,1471867795.101812,0.0,1,3,eth:ipv4:udp,50:c7:bf:00:fc:a3,00:b5:6d:06:08:ba,0x0800,,10.10.10.228,04,Private network,56147,10.10.10.1,04,Private network,53,17,0x00,1,50:c7:bf:00:fc:a3_00:b5:6d:06:08:ba_1,"TPLinkTec,CN_DavidElec,TW",53,domain,1,1,38,372,38,38,38.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8146341,0x0001,65535,0,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,1,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.006526,0.006526,0.006526,0.006526,0.0,0.006526,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,4,1,6,6,1.5,1.0,41,3731
B,9,0x0400000000004001,1471867795.108338,1471867795.108338,0.0,1,3,eth:ipv4:udp,00:b5:6d:06:08:ba,50:c7:bf:00:fc:a3,0x0800,,10.10.10.1,04,Private network,53,10.10.10.228,04,Private network,56147,17,0x00,1,00:b5:6d:06:08:ba_50:c7:bf:00:fc:a3_1,"DavidElec,TW_TPLinkTec,CN",53,domain,1,1,372,38,372,372,372.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.8146341,0x0001,65535,0,64,64,0,0x00,0x0840,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,1,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.006526,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,4,5,5,5.0,1.0,6,2152
A,6,0x0000000000000044,1471867794.924827,1471867796.288858,1.364031,1,2,eth:arp,50:c7:bf:00:fc:a3,ff:ff:ff:ff:ff:ff,0x0806,,-,-,-,0,-,-,-,0,0,0x00,1,50:c7:bf:00:fc:a3_ff:ff:ff:ff:ff:ff_2,"TPLinkTec,CN_Broadcast",0,unknown,2,0,56,0,28,28,28.0,0.0,0,1.364031,0.6820155,0.4822578,1.466242,41.05479,1.0,1.0,0x0000,65535,0,0,0,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,1,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,0,0,0,0,0.0,0.0,0,0
