%dir,flowInd,flowStat,timeFirst,timeLast,duration,numHdrDesc,numHdrs,hdrDesc,srcMac,dstMac,ethType,vlanID,srcIP,srcIPCC,srcIPOrg,srcPort,dstIP,dstIPCC,dstIPOrg,dstPort,l4Proto,macStat,macPairs,srcMac_dstMac_numP,srcMacLbl_dstMacLbl,dstPortClassN,dstPortClass,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,tcpFStat,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,ipToS,ipFlags,ipOptCnt,ipOptCpCl_Num,ip6OptCntHH_D,ip6OptHH_D,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpBFlgtMx,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpFlags,tcpAnomaly,tcpOptPktCnt,tcpOptCnt,tcpOptions,tcpMSS,tcpWS,tcpMPTBF,tcpMPF,tcpMPAID,tcpMPDSSF,tcpTmS,tcpTmER,tcpEcI,tcpUtm,tcpBtm,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,tcpStatesAFlags,icmpStat,icmpTCcnt,icmpBFTypH_TypL_Code,icmpTmGtw,icmpEchoSuccRatio,icmpPFindex,connSip,connDip,connSipDip,connSipDprt,connF,connG,connNumPCnt,connNumBCnt
A,28,0x0400000000004000,1473429121.047888,1473429122.397553,1.349665,1,3,eth:ipv4:tcp,94:10:3e:41:c2:05,00:b5:6d:06:08:ba,0x0800,,10.10.10.158,04,Private network,3983,107.22.199.21,us,Amazoncom,8443,6,0x00,1,94:10:3e:41:c2:05_00:b5:6d:06:08:ba_31,"BelkinInt,US_DavidElec,TW",8443,pcsync-https,31,26,19092,6616,0,1368,615.871,615.9124,0,0.149537,0.04353759,0.04629292,22.96866,14145.73,0.0877193,0.4852964,0x0a13,0,1,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,532336026,27,19092,0,27,6579,0,4104,5840,5755.982,0,16784,1,4,2,0,0x011f,0x0000,28,86,0x0000011e,1460,2,0x0000,0x00,0,0x00,4294916879,1065712180,1.0,4294916879.0,1.8446744070888063e+19,0.100034,0.001669,0.136718,0.07429095,0.03785302,0.103705,0.0,0x52,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,8,1,2,2,0.25,1.0,68,24907
B,28,0x0400000000004001,1473429121.147922,1473429122.396213,1.248291,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,94:10:3e:41:c2:05,0x0800,,107.22.199.21,us,Amazoncom,8443,10.10.10.158,04,Private network,3983,6,0x00,1,00:b5:6d:06:08:ba_94:10:3e:41:c2:05_26,"DavidElec,TW_BelkinInt,US",8443,pcsync-https,26,31,6616,19092,0,1368,254.4615,460.0857,0,0.271321,0.04801119,0.06210568,20.82848,5300.046,-0.0877193,-0.4852964,0x0a13,1,19180,32,32,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1815947177,26,6616,0,26,19092,0,4899,14480,42382.12,14480,42496,0,10,1,0,0x031b,0x0000,26,80,0x0000011e,1380,256,0x0000,0x00,0,0x00,1065712209,4294916879,1.0,1065712209.0,407716913.10760087,0.003670992,0.001180992,0.169055,0.02672672,0.03548902,0.1010177,0.05188759,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,8,1,1,1.0,1.0,26,6616
A,34,0x0400000000004000,1473429146.392347,1473429147.529647,1.1373,1,3,eth:ipv4:tcp,94:10:3e:41:c2:05,00:b5:6d:06:08:ba,0x0800,,10.10.10.158,04,Private network,3447,184.72.236.164,us,Amazoncom,8443,6,0x00,1,94:10:3e:41:c2:05_00:b5:6d:06:08:ba_30,"BelkinInt,US_DavidElec,TW",8443,pcsync-https,30,25,18093,5400,0,1368,603.1,614.3201,0,0.122527,0.03791,0.03905021,26.37826,15908.73,0.09090909,0.5402886,0x0a13,0,1,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,577422224,26,18093,0,26,5363,0,4104,5840,5755.584,0,16784,1,4,2,0,0x011f,0x0000,27,83,0x0000011e,1460,2,0x0000,0x00,0,0x00,4294923162,65335984,0.1,429492322.599934,1043936825.2905304,0.098465,0.000204,0.117165,0.06845241,0.03570182,0.100648,0.0,0x52,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,10,1,2,4,0.4,2.0,130,48774
B,34,0x0400000000004001,1473429146.490812,1473429147.52687,1.036058,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,94:10:3e:41:c2:05,0x0800,,184.72.236.164,us,Amazoncom,8443,10.10.10.158,04,Private network,3447,6,0x00,1,00:b5:6d:06:08:ba_94:10:3e:41:c2:05_25,"DavidElec,TW_BelkinInt,US",8443,pcsync-https,25,30,5400,18093,0,1368,216.0,415.0096,0,0.214061,0.04144232,0.04902824,24.12992,5212.063,-0.09090909,-0.5402886,0x0a13,1,61814,32,32,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,4091011402,25,5400,0,25,18093,0,4899,14480,42333.31,14480,42496,0,10,1,0,0x031b,0x0000,25,77,0x0000011e,1380,256,0x0000,0x00,0,0x00,65336010,4294923162,0.1,6533601.097358,1466895546.2786632,0.002183008,0.001481008,0.113549,0.01718553,0.02292176,0.08563794,0.04242673,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,10,1,3,3.0,3.0,25,5400
A,36,0x0400000000004000,1473429147.363806,1473429147.686798,0.322992,1,3,eth:ipv4:tcp,94:10:3e:41:c2:05,00:b5:6d:06:08:ba,0x0800,,10.10.10.158,04,Private network,3358,50.19.247.85,us,Amazoncom,3475,6,0x00,1,94:10:3e:41:c2:05_00:b5:6d:06:08:ba_6,"BelkinInt,US_DavidElec,TW",3475,genisar-port,6,4,349,13,0,349,58.16667,108.0137,0,0.107162,0.053832,0.04381553,18.57631,1080.522,0.2,0.9281768,0x0213,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,568032803,5,349,0,5,13,0,349,5840,5840.0,5840,5840,0,0,0,0,0x011b,0x0000,6,20,0x0000011e,1460,2,0x0000,0x00,0,0x00,4294923227,2108191776,1.0,4294923227.0,1.8446744070888057e+19,0.105498,0.105298,0.106226,0.1058082,0.0003452974,0.10661,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,9,1,2,2,0.2222222,1.0,145,57390
B,36,0x0400000000004001,1473429147.469304,1473429147.685847,0.216543,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,94:10:3e:41:c2:05,0x0800,,50.19.247.85,us,Amazoncom,3475,10.10.10.158,04,Private network,3358,6,0x00,1,00:b5:6d:06:08:ba_94:10:3e:41:c2:05_4,"DavidElec,TW_BelkinInt,US",3475,genisar-port,4,6,13,349,0,13,3.25,4.628002,0,0.107859,0.05413575,0.0419378,18.47208,60.03426,-0.2,-0.9281768,0x0a13,1,47807,27,27,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3961189083,4,13,0,4,349,0,13,14480,15226.35,14480,15616,0,1,1,0,0x031b,0x0000,4,14,0x0000011e,1380,256,0x0000,0x00,0,0x00,2108191776,4294923200,1.0,2108191776.0,1.8446744073074788e+19,0.001112,0.00082304,0.002457984,0.001350677,0.0004687228,0.1071589,0.0005821781,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,9,1,1,1.0,1.0,4,13
A,35,0x0400000000004000,1473429147.360187,1473429148.220944,0.860757,1,3,eth:ipv4:tcp,94:10:3e:41:c2:05,00:b5:6d:06:08:ba,0x0800,,10.10.10.158,04,Private network,3400,23.21.60.181,us,Amazoncom,8443,6,0x00,1,94:10:3e:41:c2:05_00:b5:6d:06:08:ba_21,"BelkinInt,US_DavidElec,TW",8443,pcsync-https,21,16,8843,5496,0,1368,421.0952,562.1486,0,0.121301,0.04098843,0.04484446,24.39713,10273.52,0.1351351,0.2334193,0x0a13,0,1,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,577166034,17,8843,0,17,5459,0,4104,5840,5724.01,0,16784,1,4,2,0,0x011f,0x0000,18,56,0x0000011e,1460,2,0x0000,0x00,0,0x00,4294923335,808554676,0.001,4294923.538998,1469134225.1546886,0.10132,0.03502701,0.116028,0.09824881,0.01641676,0.102494,0.0,0x52,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,8,1,2,2,0.25,1.0,145,57390
B,35,0x0400000000004001,1473429147.461507,1473429148.219416,0.757909,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,94:10:3e:41:c2:05,0x0800,,23.21.60.181,us,Amazoncom,8443,10.10.10.158,04,Private network,3400,6,0x00,1,00:b5:6d:06:08:ba_94:10:3e:41:c2:05_16,"DavidElec,TW_BelkinInt,US",8443,pcsync-https,16,21,5496,8843,0,1368,343.5,481.2947,0,0.178709,0.04736931,0.05401435,21.11071,7251.53,-0.1351351,-0.2334193,0x0a13,1,30864,30,30,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1164705037,16,5496,0,16,8843,0,4899,14480,33496.47,14480,35072,0,7,1,0,0x031b,0x0000,16,50,0x0000011e,1380,256,0x0000,0x00,0,0x00,808554702,4294923335,0.001,808554.740404,1472620594.392723,0.001173984,0.000808,0.074664,0.009603113,0.01645432,0.1078519,0.02324338,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,8,1,1,1.0,1.0,16,5496
A,2,0x0000000000000004,1473429085.43221,1473429085.43221,0.0,1,2,eth:llc,94:10:3e:41:c2:05,ff:ff:ff:ff:ff:ff,0x0001,,-,-,-,0,-,-,-,0,0,0x00,1,94:10:3e:41:c2:05_ff:ff:ff:ff:ff:ff_1,"BelkinInt,US_Broadcast",0,unknown,1,0,3,0,3,3,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0x0000,65535,0,0,0,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,1,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,0,0,0,0,0.0,0.0,0,0
A,1,0x0000000000000004,1473429083.439422,1473429085.443388,2.003966,1,2,eth:eapol,94:10:3e:41:c2:05,28:b2:bd:c3:41:78,0x888e,,-,-,-,0,-,-,-,0,0,0x00,1,94:10:3e:41:c2:05_28:b2:bd:c3:41:78_4,"BelkinInt,US_IntelCorp,MY",0,unknown,4,0,440,0,99,121,110.0,8.599094,0,1.995643,0.5009915,0.7094358,1.996042,219.5646,1.0,1.0,0x0000,65535,0,0,0,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,1,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,0,0,0,0,0.0,0.0,0,0
