%dir,flowInd,flowStat,timeFirst,timeLast,duration,numHdrDesc,numHdrs,hdrDesc,srcMac,dstMac,ethType,vlanID,srcIP,srcIPCC,srcIPOrg,srcPort,dstIP,dstIPCC,dstIPOrg,dstPort,l4Proto,macStat,macPairs,srcMac_dstMac_numP,srcMacLbl_dstMacLbl,dstPortClassN,dstPortClass,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,tcpFStat,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,ipToS,ipFlags,ipOptCnt,ipOptCpCl_Num,ip6OptCntHH_D,ip6OptHH_D,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpBFlgtMx,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpFlags,tcpAnomaly,tcpOptPktCnt,tcpOptCnt,tcpOptions,tcpMSS,tcpWS,tcpMPTBF,tcpMPF,tcpMPAID,tcpMPDSSF,tcpTmS,tcpTmER,tcpEcI,tcpUtm,tcpBtm,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,tcpStatesAFlags,icmpStat,icmpTCcnt,icmpBFTypH_TypL_Code,icmpTmGtw,icmpEchoSuccRatio,icmpPFindex,connSip,connDip,connSipDip,connSipDprt,connF,connG,connNumPCnt,connNumBCnt
A,15,0x0400000000004000,1473770691.427999,1473770692.984971,1.556972,1,3,eth:ipv4:tcp,94:10:3e:41:c2:05,00:b5:6d:06:08:ba,0x0800,,10.10.10.158,04,Private network,3979,107.22.199.21,us,Amazoncom,8443,6,0x00,1,94:10:3e:41:c2:05_00:b5:6d:06:08:ba_37,"BelkinInt,US_DavidElec,TW",8443,pcsync-https,37,32,24938,7080,0,1368,674.0,610.8363,0,0.17903,0.04208033,0.04544874,23.76407,16016.99,0.07246377,0.5577488,0x0a13,0,1,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2811150086,33,24938,0,33,7043,0,4104,5840,5756.803,0,16784,1,4,2,0,0x011f,0x0000,34,104,0x0000011e,1460,2,0x0000,0x00,0,0x00,4294915265,1151103949,1.0,4294915265.0,1.8446744070888407e+19,0.101107,8.4992e-05,0.175832,0.06582142,0.05100879,0.102876,0.0,0x52,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,5,1,2,2,0.4,1.0,56,25648
B,15,0x0400000000004001,1473770691.529106,1473770692.983445,1.454339,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,94:10:3e:41:c2:05,0x0800,,107.22.199.21,us,Amazoncom,8443,10.10.10.158,04,Private network,3979,6,0x00,1,00:b5:6d:06:08:ba_94:10:3e:41:c2:05_32,"DavidElec,TW_BelkinInt,US",8443,pcsync-https,32,37,7080,24938,0,1368,221.25,435.1973,0,0.235435,0.04544809,0.05494159,22.00312,4868.191,-0.07246377,-0.5577488,0x0a13,1,39003,32,32,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1574183556,32,7080,0,32,24938,0,4899,14480,42482.6,14480,42496,0,10,1,0,0x031b,0x0000,32,98,0x0000011e,1380,256,0x0000,0x00,0,0x00,1151103979,4294915265,1.0,1151103979.0,322666713.41924566,0.001769024,0.00088,0.132196,0.01801801,0.02710306,0.08383943,0.0577622,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,5,1,1,1.0,1.0,32,7080
A,18,0x0400000000004000,1473770705.463864,1473770708.410115,2.946251,1,3,eth:ipv4:tcp,94:10:3e:41:c2:05,00:b5:6d:06:08:ba,0x0800,,10.10.10.158,04,Private network,4015,174.129.195.166,us,Amazoncom,8443,6,0x00,1,94:10:3e:41:c2:05_00:b5:6d:06:08:ba_21,"BelkinInt,US_DavidElec,TW",8443,pcsync-https,21,15,8843,5496,0,1368,421.0952,562.1435,0,1.69309,0.1402977,0.3456385,7.127703,3001.442,0.1666667,0.2334193,0x0a13,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2816628650,20,8843,0,20,5496,0,4104,5840,16751.1,5840,16784,0,4,1,0,0x041e,0x0000,21,65,0x0000011e,1460,2,0x0000,0x00,0,0x00,4294919147,279617463,0.001,4294919.350998,1469475789.1742108,0.09991302,0.03580601,0.110344,0.09634607,0.01557276,0.101452,0.0,0x42,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,5,1,2,2,0.4,1.0,93,35166
B,18,0x0400000000004001,1473770705.563777,1473770706.675193,1.111416,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,94:10:3e:41:c2:05,0x0800,,174.129.195.166,us,Amazoncom,8443,10.10.10.158,04,Private network,4015,6,0x00,1,00:b5:6d:06:08:ba_94:10:3e:41:c2:05_15,"DavidElec,TW_BelkinInt,US",8443,pcsync-https,15,21,5496,8843,0,1368,366.4,489.1026,0,0.435409,0.07409441,0.1094008,13.4963,4945.043,-0.1666667,-0.2334193,0x0a13,1,19395,42,42,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,637478197,15,5496,0,15,8843,0,4899,14480,32821.24,14480,35072,0,7,1,0,0x031b,0x0000,15,47,0x0000011e,1380,256,0x0000,0x00,0,0x00,279617463,4294918688,0.1,27961746.716662,1445808960.1664724,0.001538944,0.001190976,1.734922,0.1170889,0.359774,0.213435,0.3601108,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,5,1,1,1.0,1.0,15,5496
A,29,0x0400000000004000,1473770716.528446,1473770718.073622,1.545176,1,3,eth:ipv4:tcp,94:10:3e:41:c2:05,00:b5:6d:06:08:ba,0x0800,,10.10.10.158,04,Private network,4032,174.129.195.166,us,Amazoncom,8443,6,0x00,1,94:10:3e:41:c2:05_00:b5:6d:06:08:ba_29,"BelkinInt,US_DavidElec,TW",8443,pcsync-https,29,23,18093,5400,0,1368,623.8965,610.395,0,0.384077,0.05328193,0.07452809,18.76809,11709.35,0.1153846,0.5402886,0x0a13,0,1,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2821091230,26,18093,0,26,5363,0,4104,5840,8222.263,0,16784,1,4,2,0,0x011f,0x0000,27,83,0x0000011e,1460,2,0x0000,0x00,0,0x00,4294921539,279620182,1.0,4294921539.0,1.84467440708884e+19,0.098576,0.006117984,0.11891,0.07416517,0.03141826,0.100434,0.0,0x52,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,8,1,2,2,0.25,1.0,144,58636
B,29,0x0400000000004001,1473770716.627022,1473770718.071801,1.444779,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,94:10:3e:41:c2:05,0x0800,,174.129.195.166,us,Amazoncom,8443,10.10.10.158,04,Private network,4032,6,0x00,1,00:b5:6d:06:08:ba_94:10:3e:41:c2:05_23,"DavidElec,TW_BelkinInt,US",8443,pcsync-https,23,29,5400,18093,0,1368,234.7826,427.7673,0,0.520303,0.06281649,0.1071561,15.91939,3737.596,-0.1153846,-0.5402886,0x0a13,1,10890,42,42,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3169622332,23,5400,0,23,18093,0,4899,14480,42150.69,14480,42496,0,11,1,0,0x031b,0x0000,23,71,0x0000011e,1380,256,0x0000,0x00,0,0x00,279620312,4294921537,0.001,279620.325281,1473491098.2756243,0.001857984,0.001604,0.426556,0.04685996,0.1051394,0.1210251,0.1097333,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,8,1,1,1.0,1.0,38,10896
A,28,0x0400000000004000,1473770710.094239,1473770710.405183,0.310944,1,3,eth:ipv4:tcp,94:10:3e:41:c2:05,00:b5:6d:06:08:ba,0x0800,,10.10.10.158,04,Private network,3271,23.23.244.247,us,Amazoncom,3475,6,0x00,1,94:10:3e:41:c2:05_00:b5:6d:06:08:ba_6,"BelkinInt,US_DavidElec,TW",3475,genisar-port,6,4,349,14,0,349,58.16667,108.0137,0,0.104106,0.051824,0.04231824,19.29608,1122.389,0.2,0.922865,0x0213,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2822958434,5,349,0,5,14,0,349,5840,5840.0,5840,5840,0,0,0,0,0x011b,0x0000,6,20,0x0000011e,1460,2,0x0000,0x00,0,0x00,4294919645,2535612676,1.0,4294919645.0,1.84467440708884e+19,0.101226,0.101074,0.101715,0.1014255,0.0002333247,0.102543,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,8,1,2,2,0.25,1.0,147,58780
B,28,0x0400000000004001,1473770710.195465,1473770710.402792,0.207327,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,94:10:3e:41:c2:05,0x0800,,23.23.244.247,us,Amazoncom,3475,10.10.10.158,04,Private network,3271,6,0x00,1,00:b5:6d:06:08:ba_94:10:3e:41:c2:05_4,"DavidElec,TW_BelkinInt,US",3475,genisar-port,4,6,14,349,0,14,3.5,4.984002,0,0.103394,0.05183175,0.04026647,19.29319,67.52618,-0.2,-0.922865,0x0a13,1,53406,27,27,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3434590084,4,14,0,4,349,0,14,14480,15226.35,14480,15616,0,1,1,0,0x031b,0x0000,4,14,0x0000011e,1380,256,0x0000,0x00,0,0x00,2535612676,4294919619,1.0,2535612676.0,1.8446744072647709e+19,0.001317008,0.000904,0.002391008,0.001642336,0.0004605428,0.1030678,0.0005162752,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,8,1,1,1.0,1.0,4,14
A,36,0x0400000000004000,1473770732.451933,1473770733.34407,0.892137,1,3,eth:ipv4:tcp,94:10:3e:41:c2:05,00:b5:6d:06:08:ba,0x0800,,10.10.10.158,04,Private network,3420,23.21.60.181,us,Amazoncom,8443,6,0x00,1,94:10:3e:41:c2:05_00:b5:6d:06:08:ba_23,"BelkinInt,US_DavidElec,TW",8443,pcsync-https,23,18,9863,6472,0,1368,428.8261,563.513,0,0.127177,0.03878856,0.04602972,25.78079,11055.48,0.1219512,0.2075911,0x0a13,0,1,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2843596580,19,9863,0,19,6435,0,4104,5840,5740.79,0,16784,1,4,2,0,0x011f,0x0000,20,62,0x0000011e,1460,2,0x0000,0x00,0,0x00,4294925353,893950077,0.001,4294925.556998,1469475808.2078009,0.106252,0.03902101,0.12558,0.1044871,0.01668594,0.107218,0.0,0x52,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,9,1,2,2,0.2222222,1.0,189,73758
B,36,0x0400000000004001,1473770732.558185,1473770733.342857,0.784672,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,94:10:3e:41:c2:05,0x0800,,23.21.60.181,us,Amazoncom,8443,10.10.10.158,04,Private network,3420,6,0x00,1,00:b5:6d:06:08:ba_94:10:3e:41:c2:05_18,"DavidElec,TW_BelkinInt,US",8443,pcsync-https,18,23,6472,9863,0,1368,359.5555,517.3389,0,0.178092,0.0435929,0.05375618,22.93952,8248.032,-0.1219512,-0.2075911,0x0a13,1,39698,30,30,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,431909137,18,6472,0,18,9863,0,4899,14480,36784.69,14480,37888,0,8,1,0,0x031b,0x0000,18,56,0x0000011e,1380,256,0x0000,0x00,0,0x00,893950105,4294925353,0.001,893950.14746,1472876783.3407123,0.000965952,2.4e-05,0.06974099,0.007654892,0.01510938,0.112142,0.02251031,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,9,1,1,1.0,1.0,18,6472
