%dir,flowInd,flowStat,timeFirst,timeLast,duration,numHdrDesc,numHdrs,hdrDesc,srcMac,dstMac,ethType,vlanID,srcIP,srcIPCC,srcIPOrg,srcPort,dstIP,dstIPCC,dstIPOrg,dstPort,l4Proto,macStat,macPairs,srcMac_dstMac_numP,srcMacLbl_dstMacLbl,dstPortClassN,dstPortClass,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,tcpFStat,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,ipToS,ipFlags,ipOptCnt,ipOptCpCl_Num,ip6OptCntHH_D,ip6OptHH_D,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpBFlgtMx,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpFlags,tcpAnomaly,tcpOptPktCnt,tcpOptCnt,tcpOptions,tcpMSS,tcpWS,tcpMPTBF,tcpMPF,tcpMPAID,tcpMPDSSF,tcpTmS,tcpTmER,tcpEcI,tcpUtm,tcpBtm,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,tcpStatesAFlags,icmpStat,icmpTCcnt,icmpBFTypH_TypL_Code,icmpTmGtw,icmpEchoSuccRatio,icmpPFindex,connSip,connDip,connSipDip,connSipDprt,connF,connG,connNumPCnt,connNumBCnt
A,22,0x0400000000004000,1473269441.741495,1473269443.728906,1.987411,1,3,eth:ipv4:tcp,94:10:3e:cd:37:65,00:b5:6d:06:08:ba,0x0800,,10.10.10.144,04,Private network,4031,54.243.146.41,us,Amazon Technologies Inc,8443,6,0x00,1,94:10:3e:cd:37:65_00:b5:6d:06:08:ba_34,"BelkinInt,US_DavidElec,TW",8443,pcsync-https,34,30,24087,7144,0,1380,708.4412,640.0645,0,0.594322,0.05845327,0.1048012,17.10768,12119.79,0.0625,0.5425059,0x0a11,0,1,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1167729476,31,24087,0,31,7107,0,4141,5840,8270.879,0,16880,1,4,2,0,0x011f,0x0000,1,6,0x0000001e,1460,2,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.09801101,0.003376,0.20817,0.07092804,0.0493122,0.09887802,0.0,0x52,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,9,1,2,3,0.3333333,1.5,67,25547
B,22,0x0400000000004001,1473269441.839506,1473269443.727947,1.888441,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,94:10:3e:cd:37:65,0x0800,,54.243.146.41,us,Amazon Technologies Inc,8443,10.10.10.144,04,Private network,4031,6,0x00,1,00:b5:6d:06:08:ba_94:10:3e:cd:37:65_30,"DavidElec,TW_BelkinInt,US",8443,pcsync-https,30,34,7144,24087,0,1380,238.1333,448.4047,0,0.693669,0.06294803,0.1273596,15.88612,3783.015,-0.0625,-0.5425059,0x0a11,1,58778,27,27,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3796510275,30,7144,0,30,24087,0,4899,14600,42214.41,14600,42240,0,10,1,0,0x031b,0x0000,1,6,0x0000001e,1380,256,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.000867008,0.000144,0.668751,0.05284857,0.1482644,0.1237766,0.1562499,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,9,1,2,2.0,2.0,30,7144
A,25,0x0400000000004000,1473269443.788583,1473269444.696112,0.907529,1,3,eth:ipv4:tcp,94:10:3e:cd:37:65,00:b5:6d:06:08:ba,0x0800,,10.10.10.144,04,Private network,4168,54.243.222.76,us,Amazon Technologies Inc,8443,6,0x00,1,94:10:3e:cd:37:65_00:b5:6d:06:08:ba_23,"BelkinInt,US_DavidElec,TW",8443,pcsync-https,23,20,9900,6472,0,1380,430.4348,564.473,0,0.117687,0.03945778,0.04212485,25.34354,10908.74,0.06976745,0.2093819,0x0a11,0,1,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1166442278,20,9900,0,20,6435,0,2827,5840,8254.936,0,16880,1,4,2,0,0x011f,0x0000,1,6,0x0000001e,1460,2,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.1006581,0.000657024,0.115985,0.08642285,0.03089724,0.101305,0.0,0x52,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,8,1,2,2,0.25,1.0,89,35447
B,25,0x0400000000004001,1473269443.889241,1473269444.694651,0.80541,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,94:10:3e:cd:37:65,0x0800,,54.243.222.76,us,Amazon Technologies Inc,8443,10.10.10.144,04,Private network,4168,6,0x00,1,00:b5:6d:06:08:ba_94:10:3e:cd:37:65_20,"DavidElec,TW_BelkinInt,US",8443,pcsync-https,20,23,6472,9900,0,1380,323.6,503.6817,0,0.189389,0.0402705,0.05509369,24.83207,8035.659,-0.06976745,-0.2093819,0x0a11,1,46478,32,32,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2893869685,20,6472,0,20,9900,0,4899,14600,37086.15,14600,38144,0,10,1,0,0x031b,0x0000,1,6,0x0000001e,1380,256,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.000646976,0.00061,0.086721,0.01133103,0.01899797,0.09775389,0.03627068,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,8,1,1,1.0,1.0,20,6472
A,20,0x0400000000004000,1473269440.142203,1473269440.467338,0.325135,1,3,eth:ipv4:tcp,94:10:3e:cd:37:65,00:b5:6d:06:08:ba,0x0800,,10.10.10.144,04,Private network,3732,50.19.247.85,us,Amazoncom,3475,6,0x00,1,94:10:3e:cd:37:65_00:b5:6d:06:08:ba_6,"BelkinInt,US_DavidElec,TW",3475,genisar-port,6,4,349,13,0,349,58.16667,108.0137,0,0.10808,0.05418917,0.04435186,18.45387,1073.4,0.2,0.9281768,0x0211,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1170763726,5,349,0,5,13,0,349,5840,5840.0,5840,5840,0,0,0,0,0x011b,0x0000,1,6,0x0000001e,1460,2,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.106852,0.106636,0.107214,0.1069638,0.0001908262,0.107817,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,7,1,2,2,0.2857143,1.0,90,35491
B,20,0x0400000000004001,1473269440.249055,1473269440.466528,0.217473,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,94:10:3e:cd:37:65,0x0800,,50.19.247.85,us,Amazoncom,3475,10.10.10.144,04,Private network,3732,6,0x00,1,00:b5:6d:06:08:ba_94:10:3e:cd:37:65_4,"DavidElec,TW_BelkinInt,US",3475,genisar-port,4,6,13,349,0,13,3.25,4.628002,0,0.108505,0.05436825,0.04226573,18.39309,59.77753,-0.2,-0.9281768,0x0a11,1,14490,28,28,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1184320672,4,13,0,4,349,0,13,14600,15435.7,14600,15872,0,1,1,0,0x031b,0x0000,1,6,0x0000001e,1380,256,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.000964992,0.000809984,0.001753984,0.001118656,0.0002813992,0.1080824,0.0003400002,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,7,1,1,1.0,1.0,4,13
A,39,0x0400000000004000,1473269499.61157,1473269500.33635,0.72478,1,3,eth:ipv4:tcp,94:10:3e:cd:37:65,00:b5:6d:06:08:ba,0x0800,,10.10.10.144,04,Private network,4439,107.22.199.21,us,Amazoncom,8443,6,0x00,1,94:10:3e:cd:37:65_00:b5:6d:06:08:ba_14,"BelkinInt,US_DavidElec,TW",8443,pcsync-https,14,10,1299,5688,0,709,92.78571,184.5787,0,0.148358,0.05177,0.04931409,19.31621,1792.268,0.1666667,-0.6281666,0x0a11,0,1,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1223416381,11,1299,0,11,5651,0,709,5840,7868.178,0,16880,1,4,2,0,0x011f,0x0000,1,6,0x0000001e,1460,2,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.100776,0.09581299,0.132904,0.103354,0.009475606,0.102543,0.0,0x52,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,7,1,2,2,0.2857143,1.0,116,37355
B,39,0x0400000000004001,1473269499.712346,1473269500.333973,0.621627,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,94:10:3e:cd:37:65,0x0800,,107.22.199.21,us,Amazoncom,8443,10.10.10.144,04,Private network,4439,6,0x00,1,00:b5:6d:06:08:ba_94:10:3e:cd:37:65_10,"DavidElec,TW_BelkinInt,US",8443,pcsync-https,10,14,5688,1299,0,1380,568.8,518.5628,0,0.188265,0.0621627,0.06767045,16.08682,9150.182,-0.1666667,0.6281666,0x0a11,1,22799,32,32,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1245053406,10,5688,0,10,1299,0,4899,14600,17439.77,14600,18176,0,3,1,0,0x031b,0x0000,1,6,0x0000001e,1380,256,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.00176704,0.001259008,0.084616,0.02578562,0.02353301,0.1291396,0.02536906,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,7,1,1,1.0,1.0,10,5688
A,41,0x0400000000004000,1473269522.309676,1473269523.016675,0.706999,1,3,eth:ipv4:tcp,94:10:3e:cd:37:65,00:b5:6d:06:08:ba,0x0800,,10.10.10.144,04,Private network,3396,23.21.60.181,us,Amazoncom,8443,6,0x00,1,94:10:3e:cd:37:65_00:b5:6d:06:08:ba_14,"BelkinInt,US_DavidElec,TW",8443,pcsync-https,14,10,1411,5576,0,821,100.7857,209.0507,0,0.146115,0.05049993,0.05004649,19.80201,1995.76,0.1666667,-0.5961071,0x0a11,0,1,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1249005917,11,1411,0,11,5539,0,821,5840,7868.178,0,16880,1,4,2,0,0x011f,0x0000,1,6,0x0000001e,1460,2,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.105614,0.101195,0.124691,0.1070527,0.005845885,0.109267,0.0,0x52,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,7,1,2,2,0.2857143,1.0,132,38852
B,41,0x0400000000004001,1473269522.41529,1473269523.014388,0.599098,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,94:10:3e:cd:37:65,0x0800,,23.21.60.181,us,Amazoncom,8443,10.10.10.144,04,Private network,3396,6,0x00,1,00:b5:6d:06:08:ba_94:10:3e:cd:37:65_10,"DavidElec,TW_BelkinInt,US",8443,pcsync-https,10,14,5576,1411,0,1380,557.6,517.1102,0,0.208279,0.05990981,0.06792496,16.69176,9307.325,-0.1666667,0.5961071,0x0a11,1,53687,30,30,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,4290622318,10,5576,0,10,1411,0,4899,14600,17607.96,14600,18432,0,3,1,0,0x031b,0x0000,1,6,0x0000001e,1380,256,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.003653024,0.002125952,0.100202,0.0271877,0.02491353,0.1342404,0.0255902,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,7,1,1,1.0,1.0,10,5576
