%dir,flowInd,flowStat,timeFirst,timeLast,duration,numHdrDesc,numHdrs,hdrDesc,srcMac,dstMac,ethType,vlanID,srcIP,srcIPCC,srcIPOrg,srcPort,dstIP,dstIPCC,dstIPOrg,dstPort,l4Proto,macStat,macPairs,srcMac_dstMac_numP,srcMacLbl_dstMacLbl,dstPortClassN,dstPortClass,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,tcpFStat,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,ipToS,ipFlags,ipOptCnt,ipOptCpCl_Num,ip6OptCntHH_D,ip6OptHH_D,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpBFlgtMx,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpFlags,tcpAnomaly,tcpOptPktCnt,tcpOptCnt,tcpOptions,tcpMSS,tcpWS,tcpMPTBF,tcpMPF,tcpMPAID,tcpMPDSSF,tcpTmS,tcpTmER,tcpEcI,tcpUtm,tcpBtm,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,tcpStatesAFlags,icmpStat,icmpTCcnt,icmpBFTypH_TypL_Code,icmpTmGtw,icmpEchoSuccRatio,icmpPFindex,connSip,connDip,connSipDip,connSipDprt,connF,connG,connNumPCnt,connNumBCnt
A,17,0x0400000000004000,1471526689.507222,1471526691.470918,1.963696,1,3,eth:ipv4:tcp,94:10:3e:cd:37:65,00:b5:6d:06:08:ba,0x0800,,10.10.10.144,04,Private network,4568,23.23.97.224,us,Amazoncom,8443,6,0x00,1,94:10:3e:cd:37:65_00:b5:6d:06:08:ba_35,"BelkinInt,US_DavidElec,TW",8443,pcsync-https,35,30,24087,7144,0,1380,688.2,638.5681,0,0.612755,0.0561056,0.1052587,17.82353,12266.16,0.07692308,0.5425059,0x0a11,0,1,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2166574741,31,24087,0,31,7107,0,4141,5840,5789.615,0,16880,1,4,2,0,0x011f,0x0000,1,6,0x0000001e,1460,2,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.100285,0.000963008,0.152056,0.07612845,0.03867996,0.101508,0.0,0x52,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,7,1,2,2,0.2857143,1.0,60,25349
B,17,0x0400000000004001,1471526689.607507,1471526691.470158,1.862651,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,94:10:3e:cd:37:65,0x0800,,23.23.97.224,us,Amazoncom,8443,10.10.10.144,04,Private network,4568,6,0x00,1,00:b5:6d:06:08:ba_94:10:3e:cd:37:65_30,"DavidElec,TW_BelkinInt,US",8443,pcsync-https,30,35,7144,24087,0,1380,238.1333,448.322,0,0.713953,0.06208837,0.1304955,16.10608,3835.394,-0.07692308,-0.5425059,0x0a11,1,52045,28,28,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,612842308,30,7144,0,30,24087,0,4899,14600,42214.41,14600,42240,0,10,1,0,0x031b,0x0000,1,6,0x0000001e,1380,256,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.001222976,0.000187968,0.618988,0.05237849,0.1443506,0.1285069,0.1494431,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,7,1,1,1.0,1.0,30,7144
A,20,0x0400000000004000,1471526695.142751,1471526695.999958,0.857207,1,3,eth:ipv4:tcp,94:10:3e:cd:37:65,00:b5:6d:06:08:ba,0x0800,,10.10.10.144,04,Private network,4902,23.23.236.208,us,Amazoncom,8443,6,0x00,1,94:10:3e:cd:37:65_00:b5:6d:06:08:ba_22,"BelkinInt,US_DavidElec,TW",8443,pcsync-https,22,17,9863,6472,0,1380,448.3182,571.9753,0,0.122152,0.03896395,0.04364752,25.66475,11505.97,0.1282051,0.2075911,0x0a11,0,1,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2168341885,19,9863,0,19,6435,0,4140,5840,8247.966,0,16880,1,4,2,0,0x011f,0x0000,1,6,0x0000001e,1460,2,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.098456,0.03197005,0.120524,0.09754224,0.01712324,0.099136,0.0,0x52,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,7,1,2,2,0.2857143,1.0,84,35278
B,20,0x0400000000004001,1471526695.241207,1471526695.996783,0.755576,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,94:10:3e:cd:37:65,0x0800,,23.23.236.208,us,Amazoncom,8443,10.10.10.144,04,Private network,4902,6,0x00,1,00:b5:6d:06:08:ba_94:10:3e:cd:37:65_17,"DavidElec,TW_BelkinInt,US",8443,pcsync-https,17,22,6472,9863,0,1380,380.7059,526.5936,0,0.163518,0.04444565,0.05098497,22.49939,8565.65,-0.1282051,-0.2075911,0x0a11,1,64797,27,27,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3567825117,17,6472,0,17,9863,0,4899,14600,36572.77,14600,38144,0,8,1,0,0x031b,0x0000,1,6,0x0000001e,1380,256,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.00068,0.000622016,0.059448,0.008607197,0.01280622,0.1061494,0.02138234,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,7,1,1,1.0,1.0,17,6472
A,13,0x0400000000004000,1471526686.366632,1471526686.69281,0.326178,1,3,eth:ipv4:tcp,94:10:3e:cd:37:65,00:b5:6d:06:08:ba,0x0800,,10.10.10.144,04,Private network,4634,23.23.244.247,us,Amazoncom,3475,6,0x00,1,94:10:3e:cd:37:65_00:b5:6d:06:08:ba_6,"BelkinInt,US_DavidElec,TW",3475,genisar-port,6,4,349,13,0,349,58.16667,108.0137,0,0.109353,0.054363,0.04449349,18.39486,1069.968,0.2,0.9281768,0x0211,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2164599610,5,349,0,5,13,0,349,5840,5840.0,5840,5840,0,0,0,0,0x011b,0x0000,1,6,0x0000001e,1460,2,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.10754,0.105862,0.10754,0.1066448,0.0004221822,0.109353,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,6,1,2,2,0.3333333,1.0,85,35308
B,13,0x0400000000004001,1471526686.474172,1471526686.691945,0.217773,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,94:10:3e:cd:37:65,0x0800,,23.23.244.247,us,Amazoncom,3475,10.10.10.144,04,Private network,4634,6,0x00,1,00:b5:6d:06:08:ba_94:10:3e:cd:37:65_4,"DavidElec,TW_BelkinInt,US",3475,genisar-port,4,6,13,349,0,13,3.25,4.628002,0,0.108562,0.05444325,0.04226773,18.36775,59.69519,-0.2,-0.9281768,0x0a11,1,51933,27,27,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3032035928,4,13,0,4,349,0,13,14600,15435.7,14600,15872,0,1,1,0,0x031b,0x0000,1,6,0x0000001e,1380,256,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.001812992,0.00086496,0.002640992,0.001806832,0.0004576294,0.1084516,0.0006226255,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,6,1,1,1.0,1.0,4,13
A,29,0x0400000000004000,1471526706.043673,1471526706.726917,0.683244,1,3,eth:ipv4:tcp,94:10:3e:cd:37:65,00:b5:6d:06:08:ba,0x0800,,10.10.10.144,04,Private network,3560,54.225.150.170,us,Amazon Technologies Inc,8443,6,0x00,1,94:10:3e:cd:37:65_00:b5:6d:06:08:ba_14,"BelkinInt,US_DavidElec,TW",8443,pcsync-https,14,10,1299,5688,0,709,92.78571,184.5787,0,0.142843,0.04880314,0.04455784,20.49048,1901.224,0.1666667,-0.6281666,0x0a11,0,1,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2172711164,11,1299,0,11,5651,0,709,5840,7868.178,0,16880,1,4,2,0,0x011f,0x0000,1,6,0x0000001e,1460,2,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.09305199,0.08792704,0.127783,0.09578381,0.01021153,0.09822201,0.0,0x52,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,6,2,2,2,0.3333333,1.0,106,36925
B,29,0x0400000000004001,1471526706.136725,1471526706.72452,0.587795,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,94:10:3e:cd:37:65,0x0800,,54.225.150.170,us,Amazon Technologies Inc,8443,10.10.10.144,04,Private network,3560,6,0x00,1,00:b5:6d:06:08:ba_94:10:3e:cd:37:65_10,"DavidElec,TW_BelkinInt,US",8443,pcsync-https,10,14,5688,1299,0,1380,568.8,518.5628,0,0.218769,0.0587795,0.06874596,17.01273,9676.843,-0.1666667,0.6281666,0x0a11,1,46882,32,32,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3266060889,10,5688,0,10,1299,0,4899,14600,17439.77,14600,18176,0,3,1,0,0x031b,0x0000,1,6,0x0000001e,1380,256,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.005170016,0.001315008,0.123623,0.03441593,0.03365941,0.1301997,0.0351743,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,2,6,1,1,0.5,1.0,10,5688
A,33,0x0400000000004000,1471526708.850039,1471526710.0877,1.237661,1,3,eth:ipv4:tcp,94:10:3e:cd:37:65,00:b5:6d:06:08:ba,0x0800,,10.10.10.144,04,Private network,3643,54.235.111.253,us,Amazon Technologies Inc,8443,6,0x00,1,94:10:3e:cd:37:65_00:b5:6d:06:08:ba_41,"BelkinInt,US_DavidElec,TW",8443,pcsync-https,41,32,32153,6472,0,1380,784.2195,633.1251,0,0.117068,0.03018685,0.03547747,33.127,25978.84,0.1232877,0.6648803,0x0a11,0,1,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2180696100,38,32153,0,38,6435,0,4141,5840,8271.174,0,16880,1,4,2,0,0x011f,0x0000,1,6,0x0000001e,1460,2,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.09774201,0.000731968,0.115449,0.06266415,0.03883029,0.09909005,0.0,0x52,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,6,1,2,2,0.3333333,1.0,149,69147
B,33,0x0400000000004001,1471526708.947781,1471526710.086801,1.13902,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,94:10:3e:cd:37:65,0x0800,,54.235.111.253,us,Amazon Technologies Inc,8443,10.10.10.144,04,Private network,3643,6,0x00,1,00:b5:6d:06:08:ba_94:10:3e:cd:37:65_32,"DavidElec,TW_BelkinInt,US",8443,pcsync-https,32,41,6472,32153,0,1380,202.25,427.7422,0,0.166759,0.03559437,0.04149039,28.09433,5682.078,-0.1232877,-0.6648803,0x0a11,1,24886,32,32,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1153482530,32,6472,0,32,32153,0,4899,14600,42227.46,14600,42240,0,10,1,0,0x031b,0x0000,1,6,0x0000001e,1380,256,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.001348032,0.000626,0.066895,0.01020057,0.01328027,0.07286473,0.04103848,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,6,1,1,1.0,1.0,32,6472
