%dir,flowInd,flowStat,timeFirst,timeLast,duration,numHdrDesc,numHdrs,hdrDesc,srcMac,dstMac,ethType,vlanID,srcIP,srcIPCC,srcIPOrg,srcPort,dstIP,dstIPCC,dstIPOrg,dstPort,l4Proto,macStat,macPairs,srcMac_dstMac_numP,srcMacLbl_dstMacLbl,dstPortClassN,dstPortClass,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,tcpFStat,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,ipToS,ipFlags,ipOptCnt,ipOptCpCl_Num,ip6OptCntHH_D,ip6OptHH_D,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpBFlgtMx,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpFlags,tcpAnomaly,tcpOptPktCnt,tcpOptCnt,tcpOptions,tcpMSS,tcpWS,tcpMPTBF,tcpMPF,tcpMPAID,tcpMPDSSF,tcpTmS,tcpTmER,tcpEcI,tcpUtm,tcpBtm,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,tcpStatesAFlags,icmpStat,icmpTCcnt,icmpBFTypH_TypL_Code,icmpTmGtw,icmpEchoSuccRatio,icmpPFindex,connSip,connDip,connSipDip,connSipDprt,connF,connG,connNumPCnt,connNumBCnt
A,10,0x0400000000004000,1471524567.082918,1471524572.692469,5.609551,1,3,eth:ipv4:tcp,94:10:3e:35:01:c1,00:b5:6d:06:08:ba,0x0800,,10.10.10.252,04,Private network,4853,23.23.97.224,us,Amazoncom,8443,6,0x00,1,94:10:3e:35:01:c1_00:b5:6d:06:08:ba_47,"BelkinInt,US_DavidElec,TW",8443,pcsync-https,47,37,39708,6616,0,1380,844.8511,623.0272,0,4.037738,0.1193522,0.572552,8.378568,7078.642,0.1190476,0.7143597,0x0a11,0,1,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2936468652,43,39708,0,43,6579,0,4178,5840,5789.837,0,16880,1,4,2,0,0x011f,0x0000,1,6,0x0000001e,1460,2,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.107379,0.000173984,0.151477,0.06480813,0.0450309,0.112302,0.0,0x52,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,5,1,2,2,0.4,1.0,68,46410
B,10,0x0400000000004001,1471524567.190297,1471524572.685467,5.49517,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,94:10:3e:35:01:c1,0x0800,,23.23.97.224,us,Amazoncom,8443,10.10.10.252,04,Private network,4853,6,0x00,1,00:b5:6d:06:08:ba_94:10:3e:35:01:c1_37,"DavidElec,TW_BelkinInt,US",8443,pcsync-https,37,47,6616,39708,0,1380,178.8108,403.6584,0,4.165433,0.1485181,0.6617308,6.733186,1203.966,-0.1190476,-0.7143597,0x0a11,1,4689,28,28,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,4235848244,37,6616,0,37,39708,0,4899,14600,42237.61,14600,42240,0,10,1,0,0x031b,0x0000,1,6,0x0000001e,1380,256,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.004923008,2.016e-06,4.062906,0.2035111,0.8228698,0.2683192,0.824101,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,5,1,1,1.0,1.0,37,6616
A,13,0x0400000000004000,1471524577.342967,1471524577.666904,0.323937,1,3,eth:ipv4:tcp,94:10:3e:35:01:c1,00:b5:6d:06:08:ba,0x0800,,10.10.10.252,04,Private network,4957,23.23.244.247,us,Amazoncom,3475,6,0x00,1,94:10:3e:35:01:c1_00:b5:6d:06:08:ba_6,"BelkinInt,US_DavidElec,TW",3475,genisar-port,6,4,349,12,0,349,58.16667,108.0137,0,0.11118,0.0539895,0.04430574,18.52212,1077.37,0.2,0.933518,0x0211,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2950600013,5,349,0,5,12,0,349,5840,5840.0,5840,5840,0,0,0,0,0x011b,0x0000,1,6,0x0000001e,1460,2,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.09869098,0.09855001,0.108989,0.1036787,0.004226458,0.100146,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,8,1,2,2,0.25,1.0,158,110346
B,13,0x0400000000004001,1471524577.441658,1471524577.666015,0.224357,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,94:10:3e:35:01:c1,0x0800,,23.23.244.247,us,Amazoncom,3475,10.10.10.252,04,Private network,4957,6,0x00,1,00:b5:6d:06:08:ba_94:10:3e:35:01:c1_4,"DavidElec,TW_BelkinInt,US",3475,genisar-port,4,6,12,349,0,12,3.0,4.272002,0,0.112186,0.05608925,0.04035372,17.82873,53.48619,-0.2,-0.933518,0x0a11,1,23118,27,27,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,462172840,4,12,0,4,349,0,12,14600,15435.7,14600,15872,0,1,1,0,0x031b,0x0000,1,6,0x0000001e,1380,256,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.001455008,0.000889024,0.003686016,0.002229515,0.0008790913,0.1059083,0.004316914,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,8,1,1,1.0,1.0,4,12
A,15,0x0400000000004000,1471524580.98523,1471524582.082699,1.097469,1,3,eth:ipv4:tcp,94:10:3e:35:01:c1,00:b5:6d:06:08:ba,0x0800,,10.10.10.252,04,Private network,4857,23.23.97.224,us,Amazoncom,8443,6,0x00,1,94:10:3e:35:01:c1_00:b5:6d:06:08:ba_30,"BelkinInt,US_DavidElec,TW",8443,pcsync-https,30,24,18914,6472,0,1380,630.4667,620.2311,0,0.151818,0.0365823,0.04310578,27.33562,17234.2,0.1111111,0.4901127,0x0a11,0,1,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2962144205,27,18914,0,27,6435,0,5554,5840,8269.861,0,16880,1,4,2,0,0x011f,0x0000,1,6,0x0000001e,1460,2,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.09482297,0.000593984,0.133988,0.07695583,0.03456211,0.104326,0.0,0x52,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,7,1,2,4,0.5714286,2.0,158,110346
B,15,0x0400000000004001,1471524581.080053,1471524582.07985,0.999797,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,94:10:3e:35:01:c1,0x0800,,23.23.97.224,us,Amazoncom,8443,10.10.10.252,04,Private network,4857,6,0x00,1,00:b5:6d:06:08:ba_94:10:3e:35:01:c1_24,"DavidElec,TW_BelkinInt,US",8443,pcsync-https,24,30,6472,18914,0,1380,269.6667,475.1477,0,0.171492,0.04165821,0.04830388,24.00487,6473.314,-0.1111111,-0.4901127,0x0a11,1,33432,28,28,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,92368518,24,6472,0,24,18914,0,4899,14600,41992.74,14600,42240,0,10,1,0,0x031b,0x0000,1,6,0x0000001e,1380,256,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.009503,0.000286016,0.074516,0.01581499,0.01415794,0.09277082,0.03734953,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,7,1,3,3.0,3.0,61,13088
A,2,0x0400000000004000,1471524557.860684,1471524557.888174,0.02749,1,3,eth:ipv4:udp,94:10:3e:35:01:c1,ff:ff:ff:ff:ff:ff,0x0800,,0.0.0.0,-,-,68,255.255.255.255,11,Broadcast,67,17,0x00,1,94:10:3e:35:01:c1_ff:ff:ff:ff:ff:ff_2,"BelkinInt,US_Broadcast",67,bootps,2,0,600,0,300,300,300.0,0.0,0,0.02749,0.013745,0.009719183,72.75373,21826.12,1.0,1.0,0x0001,0,0,64,64,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,1,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,1,1,1.0,1.0,2,600
A,3,0x0400000000004001,1471524557.860848,1471524557.954722,0.093874,1,3,eth:ipv4:udp,00:b5:6d:06:08:ba,94:10:3e:35:01:c1,0x0800,,10.10.10.1,04,Private network,67,10.10.10.252,04,Private network,68,17,0x00,1,00:b5:6d:06:08:ba_94:10:3e:35:01:c1_2,"DavidElec,TW_BelkinInt,US",67,bootps,2,0,600,0,300,300,300.0,0.0,0,0.093874,0.046937,0.03318947,21.30515,6391.546,-1.0,1.0,0x0001,18,18,64,64,0,0xc0,0x0800,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,1,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,6,7,1,1.0,0.1428571,7,1525
A,4,0x0000000000000044,1471524558.521721,1471524561.543876,3.022155,1,2,eth:arp,94:10:3e:35:01:c1,ff:ff:ff:ff:ff:ff,0x0806,,-,-,-,0,-,-,-,0,0,0x00,1,94:10:3e:35:01:c1_ff:ff:ff:ff:ff:ff_2,"BelkinInt,US_Broadcast",0,unknown,2,0,74,0,28,46,37.0,6.363961,0,3.022155,1.511078,1.068493,0.6617794,24.48584,1.0,1.0,0x0000,65535,0,0,0,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,1,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,0,0,0,0,0.0,0.0,0,0
A,6,0x0400000000004000,1471524561.54612,1471524562.543363,0.997243,1,3,eth:ipv4:icmp,94:10:3e:35:01:c1,00:b5:6d:06:08:ba,0x0800,,10.10.10.252,04,Private network,0,4.2.2.2,us,MAINT-APNIC-AP,0,1,0x00,1,94:10:3e:35:01:c1_00:b5:6d:06:08:ba_2,"BelkinInt,US_DavidElec,TW",0,unknown,2,2,112,112,56,56,56.0,0.0,0,0.997243,0.4986215,0.3525786,2.005529,112.3096,0.0,0.0,0x0001,0,0,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,1,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.001756992,0.001625024,0.001756992,0.001691008,4.665771e-05,0.997243,0.0,0x00,0x01,2,0x00000000_0x00000100_0x0001,0x00000000,1,0,6,1,2,5,0.8333333,2.5,161,110514
