%dir,flowInd,flowStat,timeFirst,timeLast,duration,numHdrDesc,numHdrs,hdrDesc,srcMac,dstMac,ethType,vlanID,srcIP,srcIPCC,srcIPOrg,srcPort,dstIP,dstIPCC,dstIPOrg,dstPort,l4Proto,macStat,macPairs,srcMac_dstMac_numP,srcMacLbl_dstMacLbl,dstPortClassN,dstPortClass,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,tcpFStat,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,ipToS,ipFlags,ipOptCnt,ipOptCpCl_Num,ip6OptCntHH_D,ip6OptHH_D,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpBFlgtMx,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpFlags,tcpAnomaly,tcpOptPktCnt,tcpOptCnt,tcpOptions,tcpMSS,tcpWS,tcpMPTBF,tcpMPF,tcpMPAID,tcpMPDSSF,tcpTmS,tcpTmER,tcpEcI,tcpUtm,tcpBtm,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,tcpStatesAFlags,icmpStat,icmpTCcnt,icmpBFTypH_TypL_Code,icmpTmGtw,icmpEchoSuccRatio,icmpPFindex,connSip,connDip,connSipDip,connSipDprt,connF,connG,connNumPCnt,connNumBCnt
A,23,0x0400000000004000,1471525681.129925,1471525683.209942,2.080017,1,3,eth:ipv4:tcp,94:10:3e:34:0c:b5,00:b5:6d:06:08:ba,0x0800,,10.10.10.190,04,Private network,4268,184.73.174.14,us,Amazoncom,8443,6,0x00,1,94:10:3e:34:0c:b5_00:b5:6d:06:08:ba_29,"BelkinInt,US_DavidElec,TW",8443,pcsync-https,29,26,24011,2755,0,1368,827.9655,577.3721,0,0.84758,0.07172472,0.1417894,13.94219,11543.66,0.05454545,0.7941418,0x0a13,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,4048159598,28,24011,0,28,2756,0,4104,5840,9971.103,5840,11312,0,2,1,0,0x041e,0x0000,29,89,0x0000011e,1460,2,0x0000,0x00,0,0x00,4294955667,1287480862,0.1,429495573.099983,1042030110.3683589,0.098507,0.001641024,0.17113,0.06402349,0.05093981,0.100586,0.0,0x42,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,5,1,3,3,0.6,1.0,61,25354
B,23,0x0400000000004001,1471525681.228432,1471525683.200907,1.972475,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,94:10:3e:34:0c:b5,0x0800,,184.73.174.14,us,Amazoncom,8443,10.10.10.190,04,Private network,4268,6,0x00,1,00:b5:6d:06:08:ba_94:10:3e:34:0c:b5_26,"DavidElec,TW_BelkinInt,US",8443,pcsync-https,26,29,2755,24011,0,1368,105.9615,275.11,0,0.967406,0.07586443,0.166921,13.18141,1396.722,-0.05454545,-0.7941418,0x0a13,1,59882,32,32,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3384394175,26,2755,0,26,23974,0,1817,28960,82035.04,28960,84224,0,20,1,0,0x031b,0x0000,26,80,0x0000011e,1380,128,0x0000,0x00,0,0x00,1287480862,4294955622,0.001,1287480.923152,1470238203.2415352,0.002079008,0.001687,0.868454,0.04484279,0.1445197,0.1088663,0.1532345,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,5,2,2,2.0,1.0,26,2755
A,24,0x0400000000004000,1471525683.290438,1471525685.213719,1.923281,1,3,eth:ipv4:tcp,94:10:3e:34:0c:b5,00:b5:6d:06:08:ba,0x0800,,10.10.10.190,04,Private network,4269,184.73.174.14,us,Amazoncom,8443,6,0x00,1,94:10:3e:34:0c:b5_00:b5:6d:06:08:ba_30,"BelkinInt,US_DavidElec,TW",8443,pcsync-https,30,27,24059,4019,0,1368,801.9667,588.2986,0,0.753941,0.06410936,0.1278041,15.59834,12509.35,0.05263158,0.713726,0x0a13,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,4064502170,29,24059,0,29,4020,0,4104,5840,10373.37,5840,11312,0,2,1,0,0x041e,0x0000,30,92,0x0000011e,1460,2,0x0000,0x00,0,0x00,4294956168,1287481362,0.001,4294956.371999,1467230729.2893603,0.100777,0.009542016,0.2495279,0.08521648,0.07383054,0.102627,0.0,0x42,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,5,1,2,2,0.4,1.0,91,49439
B,24,0x0400000000004001,1471525683.391215,1471525685.204164,1.812949,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,94:10:3e:34:0c:b5,0x0800,,184.73.174.14,us,Amazoncom,8443,10.10.10.190,04,Private network,4269,6,0x00,1,00:b5:6d:06:08:ba_94:10:3e:34:0c:b5_27,"DavidElec,TW_BelkinInt,US",8443,pcsync-https,27,30,4019,24059,0,1368,148.8519,350.1818,0,0.857418,0.06714626,0.1453133,14.89286,2216.83,-0.05263158,-0.713726,0x0a13,1,11468,32,32,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2720662760,27,4019,0,27,24022,0,2143,28960,82691.73,28960,84224,0,20,1,0,0x031b,0x0000,27,83,0x0000011e,1380,128,0x0000,0x00,0,0x00,1287481362,4294956103,0.001,1287481.423152,1470238204.1877384,0.001849984,3.3984e-05,0.757057,0.03224183,0.1238874,0.1174583,0.1442187,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,5,1,1,1.0,1.0,53,6774
A,2,0x0000000000000004,1471525525.606682,1471525525.606682,0.0,1,2,eth:llc,94:10:3e:34:0c:b5,ff:ff:ff:ff:ff:ff,0x0001,,-,-,-,0,-,-,-,0,0,0x00,1,94:10:3e:34:0c:b5_ff:ff:ff:ff:ff:ff_1,"BelkinInt,US_Broadcast",0,unknown,1,0,3,0,3,3,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0x0000,65535,0,0,0,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,1,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,0,0,0,0,0.0,0.0,0,0
A,1,0x0000000000000004,1471525523.594087,1471525525.618391,2.024304,1,2,eth:eapol,94:10:3e:34:0c:b5,28:b2:bd:c3:41:78,0x888e,,-,-,-,0,-,-,-,0,0,0x00,1,94:10:3e:34:0c:b5_28:b2:bd:c3:41:78_4,"BelkinInt,US_IntelCorp,MY",0,unknown,4,0,440,0,99,121,110.0,8.599094,0,2.015895,0.506076,0.7166354,1.975988,217.3587,1.0,1.0,0x0000,65535,0,0,0,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,1,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,0,0,0,0,0.0,0.0,0,0
A,3,0x0400000000004000,1471525527.506331,1471525527.678718,0.172387,1,3,eth:ipv4:udp,94:10:3e:34:0c:b5,ff:ff:ff:ff:ff:ff,0x0800,,0.0.0.0,-,-,68,255.255.255.255,11,Broadcast,67,17,0x00,1,94:10:3e:34:0c:b5_ff:ff:ff:ff:ff:ff_5,"BelkinInt,US_Broadcast",67,bootps,5,0,2740,0,548,548,548.0,0.0,0,0.055938,0.0344774,0.01622796,29.00451,15894.47,1.0,1.0,0x0001,0,0,64,64,0,0x00,0x0800,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,1,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,1,1,1.0,1.0,5,2740
A,4,0x0000000000000044,1471525528.184595,1471525528.269966,0.085371,1,2,eth:arp,94:10:3e:34:0c:b5,ff:ff:ff:ff:ff:ff,0x0806,,-,-,-,0,-,-,-,0,0,0x00,1,94:10:3e:34:0c:b5_ff:ff:ff:ff:ff:ff_2,"BelkinInt,US_Broadcast",0,unknown,2,0,74,0,28,46,37.0,6.363961,0,0.085371,0.0426855,0.03018321,23.42716,866.8049,1.0,1.0,0x0000,65535,0,0,0,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,1,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,0,0,0,0,0.0,0.0,0,0
A,6,0x0400000000004000,1471525528.271833,1471525528.298535,0.026702,1,3,eth:ipv4:udp,94:10:3e:34:0c:b5,00:b5:6d:06:08:ba,0x0800,,10.10.10.190,04,Private network,3073,10.10.10.1,04,Private network,53,17,0x00,1,94:10:3e:34:0c:b5_00:b5:6d:06:08:ba_2,"BelkinInt,US_DavidElec,TW",53,domain,2,2,79,576,32,47,39.5,5.303301,0,0.026702,0.013351,0.009440582,74.90076,2958.58,0.0,-0.7587786,0x0001,8,8,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,1,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.001677024,8.4e-05,0.001677024,0.0008805119,0.000563219,0.02670201,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,7,1,8,6,0.8571429,0.75,140,66978
B,6,0x0400000000004001,1471525528.27351,1471525528.298619,0.025109,1,3,eth:ipv4:udp,00:b5:6d:06:08:ba,94:10:3e:34:0c:b5,0x0800,,10.10.10.1,04,Private network,53,10.10.10.190,04,Private network,3073,17,0x00,1,00:b5:6d:06:08:ba_94:10:3e:34:0c:b5_2,"DavidElec,TW_BelkinInt,US",53,domain,2,2,576,79,175,401,288.0,79.90307,0,0.025109,0.0125545,0.008877372,79.65271,22939.98,0.0,0.7587786,0x0001,6,6,64,64,0,0x00,0x0840,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,1,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.02502499,0.02502499,0.02502499,0.02502499,0.0,0.0259055,0.000563219,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,7,7,5,5.0,0.7142857,32,4628
