%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	1	0x0000000000000004	1473090305.422393000	1473090305.428339000	0.005946000	1	2	eth:eapol	20:f8:5e:ca:91:52	28:b2:bd:c3:41:78	0x888e		-	-	"-"	0	-	-	"-"	0	0	0x00	1	20:f8:5e:ca:91:52_28:b2:bd:c3:41:78_2	DeltaElec,TW_IntelCorp,MY	0	unknown	2	0	220	0	99	121	110	7.778174	0	0.005946	0.002973	0.002102229	336.3606	36999.66	1	1	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0	0	0	0
A	6	0x0400000000004000	1473090306.482206000	1473090306.482206000	0.000000000	1	3	eth:ipv4:udp	20:f8:5e:ca:91:52	00:b5:6d:06:08:ba	0x0800		10.10.10.123	04	"Private network"	59904	10.10.10.1	04	"Private network"	53	17	0x00	1	20:f8:5e:ca:91:52_00:b5:6d:06:08:ba_1	DeltaElec,TW_DavidElec,TW	53	domain	1	1	32	111	32	32	32	0	0	0	0	0	0	0	0	-0.5524476	0x0001	65535	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	9.3984e-05	9.3984e-05	9.3984e-05	9.3984e-05	0	9.3984e-05	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	2	1	3	2	1	0.6666667	16	453
B	6	0x0400000000004001	1473090306.482300000	1473090306.482300000	0.000000000	1	3	eth:ipv4:udp	00:b5:6d:06:08:ba	20:f8:5e:ca:91:52	0x0800		10.10.10.1	04	"Private network"	53	10.10.10.123	04	"Private network"	59904	17	0x00	1	00:b5:6d:06:08:ba_20:f8:5e:ca:91:52_1	DavidElec,TW_DeltaElec,TW	53	domain	1	1	111	32	111	111	111	0	0	0	0	0	0	0	0	0.5524476	0x0001	65535	0	64	64	0	0x00	0x0840	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	9.3984e-05	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	2	2	1	1	0.5	5	1311
A	7	0x0400000000004000	1473090306.503962000	1473090306.979979000	0.476017000	1	3	eth:ipv4:tcp	20:f8:5e:ca:91:52	00:b5:6d:06:08:ba	0x0800		10.10.10.123	04	"Private network"	62997	104.16.65.50	us	"Cloudflare"	80	6	0x00	1	20:f8:5e:ca:91:52_00:b5:6d:06:08:ba_8	DeltaElec,TW_DavidElec,TW	80	http	8	9	227	1230	0	96	28.375	31.57902	0	0.289842	0.05950212	0.09180425	16.80612	476.8737	-0.05882353	-0.6884008	0x0a13	1	1	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3727082533	7	227	0	7	1230	0	107	8688	8801.162	8429	9660	3	1	4	0	0x011b	0x0000	1	6	0x0000010e	1460	1	0x0000	0x00	0	0x00	1368495426	0	0.004	5473981.964000	1467616325.486826368	0.001448	0.000217024	0.27523	0.06226379	0.08305118	0.004692032	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	2	1	4	4	2	1	16	453
B	7	0x0400000000004001	1473090306.505410000	1473090306.977009000	0.471599000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	20:f8:5e:ca:91:52	0x0800		104.16.65.50	us	"Cloudflare"	80	10.10.10.123	04	"Private network"	62997	6	0x00	1	00:b5:6d:06:08:ba_20:f8:5e:ca:91:52_9	DavidElec,TW_DeltaElec,TW	80	http	9	8	1230	227	0	620	136.6667	228.4067	0	0.273959	0.05239989	0.07775967	19.08401	2608.148	0.05882353	0.6884008	0x0a11	1	56234	53	53	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2983976708	9	1230	0	9	227	0	625	29200	29667.41	29200	29696	0	1	1	0	0x031b	0x0000	1	3	0x0000000e	1380	1024	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.003244032	0.002969984	0.02604602	0.009816	0.007198121	0.07207979	0.08336253	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	2	3	3	3	1	15	1955
A	8	0x0400000000004000	1473090306.988344000	1473090307.296711000	0.308367000	1	3	eth:ipv4:tcp	20:f8:5e:ca:91:52	00:b5:6d:06:08:ba	0x0800		10.10.10.123	04	"Private network"	53235	104.16.65.50	us	"Cloudflare"	80	6	0x00	1	20:f8:5e:ca:91:52_00:b5:6d:06:08:ba_7	DeltaElec,TW_DavidElec,TW	80	http	7	6	194	725	0	117	27.71428	35.35977	0	0.287771	0.04405243	0.09088508	22.70022	629.1205	0.07692308	-0.5778019	0x0a13	1	1	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3727227609	6	194	0	6	725	0	146	8688	9175.595	8688	9660	2	1	3	0	0x011b	0x0000	1	6	0x0000010e	1460	1	0x0000	0x00	0	0x00	1368495926	0	0.004	5473983.964000	1467616323.3832489216	0.001481024	0.00021696	0.27858	0.04783749	0.09237196	0.007220032	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	2	1	2	2	1	1	16	453
B	8	0x0400000000004001	1473090306.989825000	1473090307.293965000	0.304140000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	20:f8:5e:ca:91:52	0x0800		104.16.65.50	us	"Cloudflare"	80	10.10.10.123	04	"Private network"	53235	6	0x00	1	00:b5:6d:06:08:ba_20:f8:5e:ca:91:52_6	DavidElec,TW_DeltaElec,TW	80	http	6	7	725	194	0	725	120.8333	241.868	0	0.277386	0.05069	0.09080759	19.72776	2383.771	-0.07692308	0.5778019	0x0a11	1	56073	53	53	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	4224063369	6	725	0	6	194	0	725	29200	29612.64	29200	29696	0	1	1	0	0x031b	0x0000	1	3	0x0000000e	1380	1024	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.005739008	0.002746016	0.009191008	0.005839716	0.00193324	0.05367721	0.09239218	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	2	1	1	1	1	15	1955
A	2	0x0400000000004000	1473090305.446521000	1473090307.371064000	1.924543000	1	3	eth:ipv4:udp	20:f8:5e:ca:91:52	ff:ff:ff:ff:ff:ff	0x0800		0.0.0.0	-	"-"	68	255.255.255.255	11	"Broadcast"	67	17	0x00	1	20:f8:5e:ca:91:52_ff:ff:ff:ff:ff:ff_4	DeltaElec,TW_Broadcast	67	bootps	4	0	1200	0	300	300	300	0	0	1.910295	0.4811357	0.6783623	2.078415	623.5247	1	1	0x0001	1	18	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1	1	4	1200
A	3	0x0400000000004001	1473090305.446655000	1473090307.445847000	1.999192000	1	3	eth:ipv4:udp	00:b5:6d:06:08:ba	20:f8:5e:ca:91:52	0x0800		10.10.10.1	04	"Private network"	67	10.10.10.123	04	"Private network"	68	17	0x00	1	00:b5:6d:06:08:ba_20:f8:5e:ca:91:52_4	DavidElec,TW_DeltaElec,TW	67	bootps	4	0	1200	0	300	300	300	0	0	1.853796	0.499798	0.6425041	2.000808	600.2425	-1	1	0x0001	1	246	64	64	0	0xc0	0x0800	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1	1	5	1311
A	4	0x0000000000000044	1473090305.517890000	1473090308.451320000	2.933430000	1	2	eth:arp	20:f8:5e:ca:91:52	ff:ff:ff:ff:ff:ff	0x0806		-	-	"-"	0	-	-	"-"	0	0	0x00	1	20:f8:5e:ca:91:52_ff:ff:ff:ff:ff:ff_4	DeltaElec,TW_Broadcast	0	unknown	4	0	184	0	46	46	46	0	0	1.002218	0.7333575	0.3219344	1.363591	62.72521	1	1	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0	0	0	0
A	5	0x0000000000000044	1473090306.455100000	1473090308.451346000	1.996246000	1	2	eth:arp	00:b5:6d:06:08:ba	20:f8:5e:ca:91:52	0x0806		-	-	"-"	0	-	-	"-"	0	0	0x00	1	00:b5:6d:06:08:ba_20:f8:5e:ca:91:52_2	DavidElec,TW_DeltaElec,TW	0	unknown	2	0	56	0	28	28	28	0	0	1.996246	0.998123	0.7057796	1.001881	28.05265	1	1	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0	0	0	0
