%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	15	0x0400000000004000	1460733518.233074000	1460733518.273730000	0.040656000	1	3	eth:ipv4:tcp	bc:f5:ac:f4:c0:9d	b0:c5:54:25:5b:0e	0x0800		10.10.10.28	04	"Private network"	44375	10.10.10.37	04	"Private network"	80	6	0x00	1	bc:f5:ac:f4:c0:9d_b0:c5:54:25:5b:0e_6	LGElectro,KR_DLinkInte,SG	80	http	6	5	693	666	0	693	115.5	214.4799	0	0.032939	0.006776	0.0101876	147.5797	17045.46	0.09090909	0.01986755	0x0a13	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2284231533	5	693	0	5	666	0	693	65535	84787.85	65535	88960	0	2	1	0	0x011b	0x0000	6	20	0x0000011e	1460	64	0x0000	0x00	0	0x00	762230	4294947865	1	762230.000000	1459971288.3147060352	0.0017	0.001557984	0.032168	0.0141714	0.01217371	0.002698	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	4	4	4	1	11	1496
B	15	0x0400000000004001	1460733518.234774000	1460733518.273193000	0.038419000	1	3	eth:ipv4:tcp	b0:c5:54:25:5b:0e	bc:f5:ac:f4:c0:9d	0x0800		10.10.10.37	04	"Private network"	80	10.10.10.28	04	"Private network"	44375	6	0x00	1	b0:c5:54:25:5b:0e_bc:f5:ac:f4:c0:9d_5	DLinkInte,SG_LGElectro,KR	80	http	5	6	666	693	0	666	133.2	220.2728	0	0.027279	0.007683801	0.008283109	130.1439	17335.17	-0.09090909	-0.01986755	0x0a13	1	1590	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2462298658	5	666	0	5	693	0	666	5792	6845.222	5792	7178	0	1	1	0	0x031b	0x0000	5	17	0x0000011e	1460	2	0x0000	0x00	0	0x00	4294947865	762230	1	4294947865.000000	18446744070875337269.2610060352	0.000998	0.000536992	0.002366016	0.001332835	0.0006370177	0.01550423	0.01219037	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	3	3	3	1	189	32961
A	16	0x0400000000004000	1460733518.293406000	1460733518.337048000	0.043642000	1	3	eth:ipv4:tcp	bc:f5:ac:f4:c0:9d	b0:c5:54:25:5b:0e	0x0800		10.10.10.28	04	"Private network"	34911	10.10.10.37	04	"Private network"	80	6	0x00	1	bc:f5:ac:f4:c0:9d_b0:c5:54:25:5b:0e_5	LGElectro,KR_DLinkInte,SG	80	http	5	5	803	558	0	803	160.6	265.5841	0	0.038984	0.0087284	0.0131407	114.5685	18399.71	0	0.1800147	0x0a13	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3488288928	4	803	0	4	558	0	803	65535	82901.87	65535	88768	0	2	1	0	0x011b	0x0000	5	17	0x0000011e	1460	64	0x0000	0x00	0	0x00	762236	4294947871	1	762236.000000	1459971282.2040550912	0.001283968	0.000846016	0.03856	0.016593	0.01494142	0.002294976	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	2	2	2	1	11	1496
B	16	0x0400000000004001	1460733518.294690000	1460733518.337894000	0.043204000	1	3	eth:ipv4:tcp	b0:c5:54:25:5b:0e	bc:f5:ac:f4:c0:9d	0x0800		10.10.10.37	04	"Private network"	80	10.10.10.28	04	"Private network"	34911	6	0x00	1	b0:c5:54:25:5b:0e_bc:f5:ac:f4:c0:9d_5	DLinkInte,SG_LGElectro,KR	80	http	5	5	558	803	0	558	111.6	184.5529	0	0.033265	0.0086408	0.01036784	115.73	12915.47	0	-0.1800147	0x0a13	1	3824	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2452339434	5	558	0	5	803	0	558	5792	7012.399	5792	7398	0	1	1	0	0x031b	0x0000	5	17	0x0000011e	1460	2	0x0000	0x00	0	0x00	4294947871	762236	1	4294947871.000000	18446744070875337263.2886550912	0.001011008	0.000424	0.002439008	0.001248806	0.0005575062	0.0178418	0.01495182	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1	1	189	32961
A	18	0x0400000000004000	1460733520.378206000	1460733521.840416000	1.462210000	1	3	eth:ipv4:tcp	b0:c5:54:25:5b:0e	28:b2:bd:c3:41:79	0x0800		10.10.10.37	04	"Private network"	41621	54.193.108.172	us	"Amazoncom"	443	6	0x00	1	b0:c5:54:25:5b:0e_28:b2:bd:c3:41:79_14	DLinkInte,SG_IntelCorp,MY	443	https	14	9	713	3925	0	326	50.92857	85.66994	0	0.171923	0.1044436	0.05615196	9.574548	487.618	0.2173913	-0.6925399	0x0a13	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2482278417	13	713	0	13	3925	0	326	5840	13806.21	5840	14048	0	3	1	0	0x011b	0x0000	14	44	0x0000011e	1460	2	0x0000	0x00	0	0x00	4294948222	245749203	1	4294948222.000000	18446744070875336915.2897377280	0.160623	0.160376	0.166442	0.1628989	0.002223311	0.16164	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	10	1	2	4	0.4	2	193	33723
B	18	0x0400000000004001	1460733520.538829000	1460733521.839485000	1.300656000	1	3	eth:ipv4:tcp	28:b2:bd:c3:41:79	b0:c5:54:25:5b:0e	0x0800		54.193.108.172	us	"Amazoncom"	443	10.10.10.37	04	"Private network"	41621	6	0x00	1	28:b2:bd:c3:41:79_b0:c5:54:25:5b:0e_9	IntelCorp,MY_DLinkInte,SG	443	https	9	14	3925	713	0	1368	436.1111	472.3669	0	0.239856	0.1445173	0.08732541	6.919585	3017.708	-0.2173913	0.6925399	0x0a13	1	16063	40	40	0	0x08	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2986026748	9	3925	0	9	713	0	2736	5792	7574.614	5792	8192	0	3	1	0	0x031b	0x0000	9	29	0x0000011e	1380	512	0x0000	0x00	0	0x00	245749203	4294948206	1	245749203.000000	1214984318.1966377280	0.001017024	0.000931008	0.079464	0.02406701	0.02730682	0.1869659	0.02739718	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	10	1	3	3	3	9	3925
A	20	0x0400000000004000	1460733521.846992000	1460733529.344752000	7.497760000	1	3	eth:ipv4:tcp	b0:c5:54:25:5b:0e	28:b2:bd:c3:41:79	0x0800		10.10.10.37	04	"Private network"	42781	54.229.64.81	us	"Amazon Technologies Inc"	443	6	0x00	1	b0:c5:54:25:5b:0e_28:b2:bd:c3:41:79_16	DLinkInte,SG_IntelCorp,MY	443	https	16	10	1475	4351	0	762	92.1875	184.9019	0	6.812145	0.46861	1.573967	2.133971	196.7254	0.2307692	-0.4936492	0x0a13	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2509602292	15	1475	0	15	4351	0	762	5840	13929.52	5840	14048	0	3	1	0	0x011b	0x0000	16	50	0x0000011e	1460	2	0x0000	0x00	0	0x00	4294948972	13344915	0.001	4294949.175999	1456438580.978617320	0.02407398	0.02379002	0.033234	0.026171	0.002662395	0.025056	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	9	1	2	2	0.2222222	1	193	33723
B	20	0x0400000000004001	1460733521.871066000	1460733529.343028000	7.471962000	1	3	eth:ipv4:tcp	28:b2:bd:c3:41:79	b0:c5:54:25:5b:0e	0x0800		54.229.64.81	us	"Amazon Technologies Inc"	443	10.10.10.37	04	"Private network"	42781	6	0x00	1	28:b2:bd:c3:41:79_b0:c5:54:25:5b:0e_10	IntelCorp,MY_DLinkInte,SG	443	https	10	16	4351	1475	0	1368	435.1	447.8637	0	6.87246	0.7471962	1.92562	1.338337	582.3102	-0.2307692	0.4936492	0x0a13	1	2044	45	45	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3085475278	10	4351	0	10	1475	0	2736	5792	8543.189	5792	9728	0	4	1	0	0x031b	0x0000	10	32	0x0000011e	1380	512	0x0000	0x00	0	0x00	13344915	4294948970	0.001	13344.915634	1460720185.2809950616	0.000982016	0.000814	6.843462	0.45994	1.584062	0.486111	1.584065	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	9	1	1	1	1	10	4351
A	21	0x0400000000004000	1460733553.078398000	1460733553.143759000	0.065361000	1	3	eth:ipv4:tcp	bc:f5:ac:f4:c0:9d	b0:c5:54:25:5b:0e	0x0800		10.10.10.28	04	"Private network"	52228	10.10.10.37	04	"Private network"	80	6	0x00	1	bc:f5:ac:f4:c0:9d_b0:c5:54:25:5b:0e_6	LGElectro,KR_DLinkInte,SG	80	http	6	6	691	2633	0	691	115.1667	213.8609	0	0.04206	0.0108935	0.01284651	91.79786	10572.05	0	-0.5842358	0x0a13	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3538596797	5	691	0	5	2633	0	691	65535	87298.44	65535	93440	0	3	1	0	0x011b	0x0000	6	20	0x0000011e	1460	64	0x0000	0x00	0	0x00	765717	4294951351	1	765717.000000	1459967836.2025079232	0.001763	0.001638992	0.04156501	0.02140983	0.01551904	0.004835	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	18	18	18	1	57	8654
B	21	0x0400000000004001	1460733553.080161000	1460733553.145398000	0.065237000	1	3	eth:ipv4:tcp	b0:c5:54:25:5b:0e	bc:f5:ac:f4:c0:9d	0x0800		10.10.10.37	04	"Private network"	80	10.10.10.28	04	"Private network"	52228	6	0x00	1	b0:c5:54:25:5b:0e_bc:f5:ac:f4:c0:9d_6	DLinkInte,SG_LGElectro,KR	80	http	6	6	2633	691	0	1448	438.8333	529.0268	0	0.030723	0.01087283	0.009975835	91.97234	40360.53	0	0.5842358	0x0a13	1	14403	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3000498672	6	2633	0	6	691	0	2633	5792	6941.727	5792	7174	0	1	1	0	0x031b	0x0000	6	20	0x0000011e	1460	2	0x0000	0x00	0	0x00	4294951352	765717	1	4294951352.000000	18446744070875333817.3664079232	0.003072	0.000494992	0.018013	0.004868164	0.005038482	0.026278	0.01631647	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	17	17	17	1	344	57221
