%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	3	0x0400000000004000	1471954634.950504000	1471954636.277396000	1.326892000	1	3	eth:ipv4:tcp	1c:5f:2b:aa:fd:4e	00:b5:6d:06:08:ba	0x0800		10.10.10.87	04	"Private network"	38690	52.58.68.165	us	"Amazon Technologies Inc"	443	6	0x00	1	1c:5f:2b:aa:fd:4e_00:b5:6d:06:08:ba_10	DLinkInte,SG_DavidElec,TW	443	https	10	8	3118	767	0	1368	311.8	466.6876	0	1.309623	0.1326892	0.3670862	7.536408	2349.852	0.1111111	0.605148	0x0a13	0	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2861936491	7	3118	0	7	736	0	1419	5840	3037.706	0	7038	1	1	2	0	0x011f	0x0000	8	26	0x0000011e	1460	2	0x0000	0x00	0	0x00	4294965422	245404409	0.001	4294965.626000	1467659671.3512061352	0.002404032	0.002224992	1.307511	0.1703528	0.3929002	0.002817024	0	0x52	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	2	1	2	5	2.5	2.5	11	3118
B	3	0x0400000000004001	1471954634.952908000	1471954636.276969000	1.324061000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	1c:5f:2b:aa:fd:4e	0x0800		52.58.68.165	us	"Amazon Technologies Inc"	443	10.10.10.87	04	"Private network"	38690	6	0x00	1	00:b5:6d:06:08:ba_1c:5f:2b:aa:fd:4e_8	DavidElec,TW_DLinkInte,SG	443	https	8	10	767	3118	0	599	95.875	177.667	0	1.266248	0.1655076	0.3803414	6.042017	579.2784	-0.1111111	-0.605148	0x0a13	1	20413	50	50	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2378296973	8	767	0	8	3118	0	630	17898	23362.39	17898	24576	0	3	1	0	0x031b	0x0000	8	26	0x0000011e	1380	256	0x0000	0x00	0	0x00	245404410	4294965422	0.001	245404.421656	1471709232.1669437056	0.000412992	0.00034496	0.005324992	0.00165387	0.001542037	0.1720067	0.3929032	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	2	1	4	4	4	8	767
A	5	0x0400000000004000	1471954657.869949000	1471954658.097701000	0.227752000	1	3	eth:ipv4:tcp	1c:5f:2b:aa:fd:4e	00:b5:6d:06:08:ba	0x0800		10.10.10.87	04	"Private network"	44176	52.58.68.165	us	"Amazon Technologies Inc"	443	6	0x00	1	1c:5f:2b:aa:fd:4e_00:b5:6d:06:08:ba_9	DLinkInte,SG_DavidElec,TW	443	https	9	8	1504	751	0	962	167.1111	286.9259	0	0.175536	0.02530578	0.0503576	39.51667	6603.674	0.05882353	0.3339246	0x0a13	0	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3233195369	6	1504	0	6	720	0	962	5840	3033.002	0	7006	1	1	2	0	0x011f	0x0000	7	23	0x0000011e	1460	2	0x0000	0x00	0	0x00	3581	245409864	0.001	3.581000	1471954655.3975686784	0.002596032	0.00251	0.173383	0.02842363	0.05112791	0.003011008	0	0x52	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	2	1	2	6	3	3	35	9300
B	5	0x0400000000004001	1471954657.872545000	1471954658.097281000	0.224736000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	1c:5f:2b:aa:fd:4e	0x0800		52.58.68.165	us	"Amazon Technologies Inc"	443	10.10.10.87	04	"Private network"	44176	6	0x00	1	00:b5:6d:06:08:ba_1c:5f:2b:aa:fd:4e_8	DavidElec,TW_DLinkInte,SG	443	https	8	9	751	1504	0	583	93.875	172.9402	0	0.170755	0.028092	0.05063433	35.59732	3341.699	-0.05882353	-0.3339246	0x0a13	1	19641	50	50	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3423098383	8	751	0	8	1504	0	614	17898	20454.52	17898	20992	0	2	1	0	0x031b	0x0000	8	26	0x0000011e	1380	256	0x0000	0x00	0	0x00	245409865	3581	0.001	245409.876656	1471709249.1915063488	0.000414976	0.000363008	0.003641024	0.001155116	0.000994227	0.02957875	0.05113757	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	2	1	5	5	5	16	1518
A	7	0x0400000000004000	1471954676.094837000	1471954676.641764000	0.546927000	1	3	eth:ipv4:tcp	1c:5f:2b:aa:fd:4e	00:b5:6d:06:08:ba	0x0800		10.10.10.87	04	"Private network"	44181	52.58.68.165	us	"Amazon Technologies Inc"	443	6	0x00	1	1c:5f:2b:aa:fd:4e_00:b5:6d:06:08:ba_15	DLinkInte,SG_DavidElec,TW	443	https	15	11	4615	4675	0	1368	307.6667	451.0068	0	0.46086	0.0364618	0.1098553	27.42596	8438.056	0.1538462	-0.006458558	0x0a13	0	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3511811414	12	4615	0	12	4644	0	3230	5840	7116.457	0	16784	1	4	2	0	0x011f	0x0000	13	41	0x0000011e	1460	2	0x0000	0x00	0	0x00	8217	245414500	1	8217.000000	1471946459.3319840192	0.002632	0.002333	0.458614	0.04490601	0.1233759	0.003049	0	0x52	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	3	1	2	6	2	3	64	17424
B	7	0x0400000000004001	1471954676.097469000	1471954676.641366000	0.543897000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	1c:5f:2b:aa:fd:4e	0x0800		52.58.68.165	us	"Amazon Technologies Inc"	443	10.10.10.87	04	"Private network"	44181	6	0x00	1	00:b5:6d:06:08:ba_1c:5f:2b:aa:fd:4e_11	DavidElec,TW_DLinkInte,SG	443	https	11	15	4675	4615	0	1368	425	483.356	0	0.456254	0.04944518	0.1224291	20.22442	8595.378	-0.1538462	0.006458558	0x0a13	1	5392	50	50	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2690592728	11	4675	0	11	4615	0	3819	17898	26424.62	17898	28416	0	3	1	0	0x031b	0x0000	11	35	0x0000011e	1380	256	0x0000	0x00	0	0x00	245414501	8217	1	245414501.000000	1226540175.1415872896	0.000417	0.000365	0.06198099	0.00596628	0.01449411	0.05087229	0.1242243	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	3	1	5	5	5	27	6193
A	6	0x0400000000004000	1471954676.093861000	1471954676.093861000	0.000000000	1	3	eth:ipv4:udp	1c:5f:2b:aa:fd:4e	00:b5:6d:06:08:ba	0x0800		10.10.10.87	04	"Private network"	54413	10.10.10.1	04	"Private network"	53	17	0x00	1	1c:5f:2b:aa:fd:4e_00:b5:6d:06:08:ba_1	DLinkInte,SG_DavidElec,TW	53	domain	1	1	35	133	35	35	35	0	0	0	0	0	0	0	0	-0.5833333	0x0001	65535	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	9.7e-05	9.7e-05	9.7e-05	9.7e-05	0	9.7e-05	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	2	1	2	2	1	1	88	22590
B	6	0x0400000000004001	1471954676.093958000	1471954676.093958000	0.000000000	1	3	eth:ipv4:udp	00:b5:6d:06:08:ba	1c:5f:2b:aa:fd:4e	0x0800		10.10.10.1	04	"Private network"	53	10.10.10.87	04	"Private network"	54413	17	0x00	1	00:b5:6d:06:08:ba_1c:5f:2b:aa:fd:4e_1	DavidElec,TW_DLinkInte,SG	53	domain	1	1	133	35	133	133	133	0	0	0	0	0	0	0	0	0.5833333	0x0001	65535	0	64	64	0	0x00	0x0840	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	9.7e-05	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	2	1	1	1	1	1	133
A	4	0x0000000000000044	1471954639.287687000	1471954708.014539000	68.726852000	1	2	eth:arp	00:b5:6d:06:08:ba	1c:5f:2b:aa:fd:4e	0x0806		-	-	"-"	0	-	-	"-"	0	0	0x00	1	00:b5:6d:06:08:ba_1c:5f:2b:aa:fd:4e_3	DavidElec,TW_DLinkInte,SG	0	unknown	3	3	84	138	28	28	28	0	0	40.06406	22.90895	12.03313	0.04365106	1.22223	0	-0.2432432	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0	0	0	0
B	4	0x0000000000000045	1471954639.287894000	1471954708.014500000	68.726606000	1	2	eth:arp	1c:5f:2b:aa:fd:4e	00:b5:6d:06:08:ba	0x0806		-	-	"-"	0	-	-	"-"	0	0	0x00	1	1c:5f:2b:aa:fd:4e_00:b5:6d:06:08:ba_3	DLinkInte,SG_DavidElec,TW	0	unknown	3	3	138	84	46	46	46	0	0	40.06417	22.90887	12.03312	0.04365122	2.007956	0	0.2432432	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0	0	0	0
A	2	0x0400000000004000	1471954634.281673000	1471954714.410150000	80.128477000	1	3	eth:ipv4:tcp	1c:5f:2b:aa:fd:4e	00:b5:6d:06:08:ba	0x0800		10.10.10.87	04	"Private network"	48736	52.28.161.134	us	"MAINT-APNIC-AP"	443	6	0x00	1	1c:5f:2b:aa:fd:4e_00:b5:6d:06:08:ba_18	DLinkInte,SG_DavidElec,TW	443	https	18	18	0	0	0	0	0	0	0	5.008154	4.451581	1.312389	0.2246392	0	0	0	0x0011	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	504944712	16	1	0	18	0	7	0	2920	2920	2920	2920	0	0	0	0	0x0010	0x0130	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	0.001965	5.007776	4.188684	1.619748	0	0	0x03	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	4	4	4	1	88	22590
B	2	0x0400000000004001	1471954634.281290000	1471954714.409751000	80.128461000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	1c:5f:2b:aa:fd:4e	0x0800		52.28.161.134	us	"MAINT-APNIC-AP"	443	10.10.10.87	04	"Private network"	48736	6	0x00	1	00:b5:6d:06:08:ba_1c:5f:2b:aa:fd:4e_18	DavidElec,TW_DLinkInte,SG	443	https	18	18	0	0	0	0	0	0	0	5.008113	4.451581	1.312771	0.2246393	0	0	0	0x0011	1	1	50	50	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3482652298	16	1	0	18	0	5	0	390	390	390	390	0	0	0	0	0x0010	0x02b8	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	0.000245984	4.728668	0.2630486	1.005368	4.451733	1.906397	0x03	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	3	3	3	1	54	11418
A	1	0x0400000000004000	1471954636.729317000	1471954718.041687000	81.312370000	1	3	eth:ipv4:tcp	1c:5f:2b:aa:fd:4e	00:b5:6d:06:08:ba	0x0800		10.10.10.87	04	"Private network"	48701	52.28.161.134	us	"MAINT-APNIC-AP"	443	6	0x00	1	1c:5f:2b:aa:fd:4e_00:b5:6d:06:08:ba_35	DLinkInte,SG_DavidElec,TW	443	https	35	36	13318	11418	0	1380	380.5143	495.2348	0	5.015909	2.323211	2.26322	0.4304388	163.7881	-0.01408451	0.07681113	0x0011	1	1	64	64	0	0x00	0x4040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3664310606	35	13318	0	35	11418	1	3541	16707	16707	16707	16707	0	0	0	0	0x0018	0x0120	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	0.001638016	5.015604	2.222961	2.304103	0	0	0x03	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	2	2	2	1	88	22590
B	1	0x0400000000004001	1471954631.720849000	1471954718.041305000	86.320456000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	1c:5f:2b:aa:fd:4e	0x0800		52.28.161.134	us	"MAINT-APNIC-AP"	443	10.10.10.87	04	"Private network"	48701	6	0x00	1	00:b5:6d:06:08:ba_1c:5f:2b:aa:fd:4e_36	DavidElec,TW_DLinkInte,SG	443	https	36	35	11418	13318	0	1097	317.1667	454.831	0	5.015987	2.39779	2.254389	0.4170506	132.2746	0.01408451	-0.07681113	0x0011	1	1	50	50	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3740556996	32	11420	0	36	13318	1	1097	2283	2283	2283	2283	0	0	0	0	0x0018	0x0218	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	0.00027	0.294772	0.04730581	0.06334967	2.270267	2.304974	0x03	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1	1	54	11418
