%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	16	0x0400000000004000	1466080710.188489000	1466080711.520434000	1.331945000	1	3	eth:ipv4:tcp	1c:5f:2b:aa:fd:4e	00:b5:6d:06:08:ba	0x0800		10.10.10.87	04	"Private network"	34668	54.244.232.183	us	"Amazon Technologies Inc"	80	6	0x00	1	1c:5f:2b:aa:fd:4e_00:b5:6d:06:08:ba_6	DLinkInte,SG_DavidElec,TW	80	http	6	4	137	201	0	137	22.83333	42.40079	0	0.834836	0.2219908	0.2520882	4.504691	102.8571	0.2	-0.1893491	0x0a13	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1382920671	5	137	0	5	201	0	137	5840	6544.304	5840	6912	0	1	1	0	0x011b	0x0000	6	20	0x0000011e	1460	2	0x0000	0x00	0	0x00	4294897241	4093359846	1	4294897241.000000	18446744070880735086.742957184	0.164127	0.163855	0.165265	0.164296	0.0004660347	0.164563	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	6	1	2	2	0.3333333	1	48	8684
B	16	0x0400000000004001	1466080710.352616000	1466080711.520016000	1.167400000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	1c:5f:2b:aa:fd:4e	0x0800		54.244.232.183	us	"Amazon Technologies Inc"	80	10.10.10.87	04	"Private network"	34668	6	0x00	1	00:b5:6d:06:08:ba_1c:5f:2b:aa:fd:4e_4	DavidElec,TW_DLinkInte,SG	80	http	4	6	201	137	0	201	50.25	71.55603	0	0.999113	0.29185	0.3571321	3.426418	172.1775	-0.2	0.1893491	0x0a13	1	6320	29	29	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2786365323	4	201	0	4	137	0	201	14480	15226.35	14480	15616	0	1	1	0	0x031b	0x0000	4	14	0x0000011e	1380	256	0x0000	0x00	0	0x00	4093359846	4294897200	0.1	409335990.699582	1056744721.3920343480	0.000436	0.00034	0.835176	0.1399713	0.2783163	0.3042673	0.2783167	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	6	1	1	1	1	4	201
A	25	0x0400000000004000	1466080783.435101000	1466080784.095977000	0.660876000	1	3	eth:ipv4:tcp	1c:5f:2b:aa:fd:4e	00:b5:6d:06:08:ba	0x0800		10.10.10.87	04	"Private network"	32858	52.28.38.154	us	"MAINT-APNIC-AP"	443	6	0x00	1	1c:5f:2b:aa:fd:4e_00:b5:6d:06:08:ba_12	DLinkInte,SG_DavidElec,TW	443	https	12	9	847	4637	0	506	70.58334	135.8474	0	0.330916	0.055073	0.09374193	18.15772	1281.632	0.1428571	-0.6911014	0x0a13	1	1	64	64	0	0x00	0x4040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2523486924	11	847	0	11	4637	0	506	5840	15352.1	5840	16784	0	4	1	0	0x041e	0x0000	12	38	0x0000011e	1460	2	0x0000	0x00	0	0x00	4294915384	630320362	0.001	4294915.587998	1461785869.899722488	0.004108992	0.002368	0.33043	0.08080968	0.1256694	0.004578016	0	0x42	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	7	1	2	2	0.2857143	1	87	16903
B	25	0x0400000000004001	1466080783.439210000	1466080784.083091000	0.643881000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	1c:5f:2b:aa:fd:4e	0x0800		52.28.38.154	us	"MAINT-APNIC-AP"	443	10.10.10.87	04	"Private network"	32858	6	0x00	1	00:b5:6d:06:08:ba_1c:5f:2b:aa:fd:4e_9	DavidElec,TW_DLinkInte,SG	443	https	9	12	4637	847	0	1368	515.2222	489.8277	0	0.289729	0.07154234	0.09360676	13.97774	7201.641	-0.1428571	0.6911014	0x0a13	1	716	50	50	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3976322729	9	4600	0	9	847	0	3817	17898	20575.85	17898	21248	0	3	1	0	0x021a	0x0000	9	29	0x0000011e	1380	256	0x0000	0x00	0	0x00	630320362	4294915298	0.001	630320.391939	1465450464.1094683376	0.000469024	0.000469024	0.202383	0.02667916	0.05169839	0.1074888	0.1358879	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	7	1	1	1	1	9	4637
A	26	0x0400000000004000	1466080784.513633000	1466080785.431770000	0.918137000	1	3	eth:ipv4:tcp	1c:5f:2b:aa:fd:4e	00:b5:6d:06:08:ba	0x0800		10.10.10.87	04	"Private network"	32860	52.28.38.154	us	"MAINT-APNIC-AP"	443	6	0x00	1	1c:5f:2b:aa:fd:4e_00:b5:6d:06:08:ba_14	DLinkInte,SG_DavidElec,TW	443	https	14	11	1577	4685	0	714	112.6429	205.2846	0	0.334745	0.06558122	0.09731179	15.24827	1717.609	0.12	-0.496327	0x0a13	0	1	64	64	0	0x00	0x4044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2541299246	11	1577	0	11	4648	0	714	5840	7325.454	0	16784	1	4	2	0	0x011f	0x0000	12	38	0x0000011e	1460	2	0x0000	0x00	0	0x00	4294915717	630320634	0.001	4294915.920998	1461785870.877240696	0.009483008	0.004316	0.334228	0.04453	0.08697819	0.009925024	0	0x52	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	7	1	4	4	0.5714286	1	120	21821
B	26	0x0400000000004001	1466080784.523116000	1466080785.431339000	0.908223000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	1c:5f:2b:aa:fd:4e	0x0800		52.28.38.154	us	"MAINT-APNIC-AP"	443	10.10.10.87	04	"Private network"	32860	6	0x00	1	00:b5:6d:06:08:ba_1c:5f:2b:aa:fd:4e_11	DavidElec,TW_DLinkInte,SG	443	https	11	14	4685	1577	0	1368	425.9091	482.4656	0	0.329368	0.08256572	0.1050769	12.11156	5158.425	-0.12	0.496327	0x0a13	1	16246	50	50	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3971965673	11	4685	0	11	1577	0	3817	17898	22085.85	17898	22784	0	4	1	0	0x031b	0x0000	11	35	0x0000011e	1380	256	0x0000	0x00	0	0x00	630320699	4294915717	0.001	630320.728939	1465450465.1113332400	0.000442016	0.000430976	0.255557	0.03890986	0.07110903	0.08343986	0.1123463	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	7	3	3	3	1	27	13373
A	29	0x0408000000004000	1466080785.085147000	1466080786.612455000	1.527308000	1	3	eth:ipv4:tcp	1c:5f:2b:aa:fd:4e	00:b5:6d:06:08:ba	0x0800		10.10.10.87	04	"Private network"	32861	52.28.38.154	us	"MAINT-APNIC-AP"	443	6	0x00	1	1c:5f:2b:aa:fd:4e_00:b5:6d:06:08:ba_12	DLinkInte,SG_DavidElec,TW	443	https	12	9	735	4493	0	394	61.25	109.8815	-2.5e-05	0.681954	0.1272757	0.2093301	7.856961	481.2389	0.1428571	-0.7188217	0x0a13	1	2	64	64	0	0x00	0x8044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2546849616	11	735	0	11	5574	0	394	5840	15323.13	5840	16784	1	4	2	0	0x041e	0x0000	12	38	0x0000011e	1460	2	0x0000	0x00	0	0x00	4294916013	630320868	1	4294916013.000000	18446744070880716389.2569643968	0.003356	0.002853984	0.681498	0.1587265	0.262494	0.003784	0	0x42	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	9	1	2	4	0.4444444	2	152	23689
B	29	0x0400000000004001	1466080785.088503000	1466080786.105373000	1.016870000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	1c:5f:2b:aa:fd:4e	0x0800		52.28.38.154	us	"MAINT-APNIC-AP"	443	10.10.10.87	04	"Private network"	32861	6	0x00	1	00:b5:6d:06:08:ba_1c:5f:2b:aa:fd:4e_9	DavidElec,TW_DLinkInte,SG	443	https	9	12	4493	735	0	1368	499.2222	490.6641	0	0.640816	0.1129856	0.1864859	8.850689	4418.46	-0.1428571	0.7188217	0x0a13	1	17459	50	50	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3097343061	9	4456	0	9	735	0	3817	17898	20575.85	17898	21248	0	3	1	0	0x021a	0x0000	9	29	0x0000011e	1380	256	0x0000	0x00	0	0x00	630320868	4294915716	0.1	63032087.739251	1403048699.1554533896	0.000428	0.000428	0.507082	0.06979559	0.1387433	0.2285221	0.2969054	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	9	1	3	3	3	29	13815
A	22	0x0400000000004000	1466080765.042833000	1466080781.810472000	16.767639000	1	3	eth:ipv4:tcp	38:0b:40:ef:85:41	1c:5f:2b:aa:fd:4e	0x0800		10.10.10.30	04	"Private network"	49441	10.10.10.87	04	"Private network"	80	6	0x00	1	38:0b:40:ef:85:41_1c:5f:2b:aa:fd:4e_8	SamsungEl,KR_DLinkInte,SG	80	http	8	7	1496	1138	0	803	187	282.8612	0	11.09425	2.095955	3.462845	0.4771095	89.21947	0.06666667	0.135915	0x0a13	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3563550844	7	1496	0	7	1138	0	803	65535	87678	65535	90112	0	3	1	0	0x011b	0x0000	8	26	0x0000011e	1460	128	0x0000	0x00	0	0x00	7848909	4294913582	0.1	784890.911696	1465295891.2106453352	0.000497	0.000425024	11.01501	1.665089	3.488257	0.002414	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	4	4	4	1	21	5472
B	22	0x0400000000004001	1466080765.043330000	1466080781.810897000	16.767567000	1	3	eth:ipv4:tcp	1c:5f:2b:aa:fd:4e	38:0b:40:ef:85:41	0x0800		10.10.10.87	04	"Private network"	80	10.10.10.30	04	"Private network"	49441	6	0x00	1	1c:5f:2b:aa:fd:4e_38:0b:40:ef:85:41_7	DLinkInte,SG_SamsungEl,KR	80	http	7	8	1138	1496	0	623	162.5714	220.9594	0	11.04211	2.395367	3.560115	0.4174726	67.86912	-0.06666667	-0.135915	0x0a13	1	53271	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2235298440	7	1138	0	7	1496	0	623	5792	8235.338	5792	8784	0	2	1	0	0x031b	0x0000	7	23	0x0000011e	1460	2	0x0000	0x00	0	0x00	4294914813	7848909	0.1	429491487.699922	1036589294.2743227352	0.001917	0.001917	4.925647	0.6636057	1.507625	2.328694	3.800114	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	3	3	3	1	272	29652
