%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	11	0x0400000000004000	1468596410.271410000	1468596410.790831000	0.519421000	1	3	eth:ipv4:tcp	1c:5f:2b:aa:fd:4e	00:b5:6d:06:08:ba	0x0800		10.10.10.87	04	"Private network"	60931	52.25.174.177	us	"MAINT-APNIC-AP"	80	6	0x00	1	1c:5f:2b:aa:fd:4e_00:b5:6d:06:08:ba_6	DLinkInte,SG_DavidElec,TW	80	http	6	4	234	206	0	234	39	72.42178	0	0.182645	0.08657017	0.07109895	11.55132	450.5016	0.2	0.06363636	0x0a13	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2491629707	5	234	0	5	206	0	234	5840	6544.304	5840	6912	0	1	1	0	0x011b	0x0000	6	20	0x0000011e	1460	2	0x0000	0x00	0	0x00	4294896096	3683482627	1	4294896096.000000	18446744070883251930.557017536	0.166951	0.166712	0.182292	0.1706715	0.005517622	0.167446	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	9	1	2	6	0.6666667	3	73	10300
B	11	0x0400000000004001	1468596410.438361000	1468596410.790425000	0.352064000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	1c:5f:2b:aa:fd:4e	0x0800		52.25.174.177	us	"MAINT-APNIC-AP"	80	10.10.10.87	04	"Private network"	60931	6	0x00	1	00:b5:6d:06:08:ba_1c:5f:2b:aa:fd:4e_4	DavidElec,TW_DLinkInte,SG	80	http	4	6	206	234	0	206	51.5	73.33603	0	0.168864	0.088016	0.0625091	11.36157	585.1208	-0.2	-0.06363636	0x0a13	1	10949	39	39	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2146389796	4	206	0	4	234	0	206	17898	18753.41	17898	19200	0	1	1	0	0x031b	0x0000	4	14	0x0000011e	1380	256	0x0000	0x00	0	0x00	3683482627	4294896054	1	3683482627.000000	18446744071494665399.151017536	0.000495008	0.00035296	0.002132992	0.00079832	0.0005555481	0.1714698	0.00554552	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	9	1	5	5	5	4	206
A	25	0x0400000000004000	1468596420.996903000	1468596421.315583000	0.318680000	1	3	eth:ipv4:tcp	1c:5f:2b:aa:fd:4e	00:b5:6d:06:08:ba	0x0800		10.10.10.87	04	"Private network"	39307	52.58.227.57	us	"Amazon Technologies Inc"	443	6	0x00	1	1c:5f:2b:aa:fd:4e_00:b5:6d:06:08:ba_9	DLinkInte,SG_DavidElec,TW	443	https	9	7	894	478	0	491	99.33334	151.0646	0	0.169494	0.03540889	0.04770516	28.2415	2805.322	0.125	0.303207	0x0a13	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2665263161	8	894	0	8	478	0	491	5840	6544.304	5840	6912	0	1	1	0	0x041e	0x0000	9	29	0x0000011e	1460	2	0x0000	0x00	0	0x00	4294898727	170399492	0.001	4294898.930997	1464301523.1119391392	0.002627008	1.7024e-05	0.169084	0.031505	0.05265474	0.003013056	0	0x42	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	8	1	4	4	0.5	1	82	11194
B	25	0x0400000000004001	1468596420.999530000	1468596421.314374000	0.314844000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	1c:5f:2b:aa:fd:4e	0x0800		52.58.227.57	us	"Amazon Technologies Inc"	443	10.10.10.87	04	"Private network"	39307	6	0x00	1	00:b5:6d:06:08:ba_1c:5f:2b:aa:fd:4e_7	DavidElec,TW_DLinkInte,SG	443	https	7	9	478	894	0	310	68.28571	97.91839	0	0.166419	0.04497771	0.05330442	22.23323	1518.212	-0.125	-0.303207	0x0a13	1	14607	50	50	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1793450407	7	447	0	7	894	0	310	17898	19719.59	17898	20224	0	2	1	0	0x021a	0x0000	7	23	0x0000011e	1380	256	0x0000	0x00	0	0x00	170399492	4294898685	0.001	170399.500094	1468426022.341294392	0.000386048	0.000326976	0.051894	0.01162634	0.01809639	0.04313134	0.05567766	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	8	3	3	3	1	14	4523
A	24	0x0400000000004000	1468596420.485397000	1468596421.709840000	1.224443000	1	3	eth:ipv4:tcp	1c:5f:2b:aa:fd:4e	00:b5:6d:06:08:ba	0x0800		10.10.10.87	04	"Private network"	39306	52.58.227.57	us	"Amazon Technologies Inc"	443	6	0x00	1	1c:5f:2b:aa:fd:4e_00:b5:6d:06:08:ba_12	DLinkInte,SG_DavidElec,TW	443	https	12	9	858	4369	0	433	71.5	126.1751	0	0.954339	0.1020369	0.2456573	9.800375	700.7268	0.1428571	-0.6717046	0x0a13	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2656424397	11	858	0	11	4369	0	433	5840	13554.55	5840	14048	0	3	1	0	0x041e	0x0000	12	38	0x0000011e	1460	2	0x0000	0x00	0	0x00	4294898826	170399581	1	4294898826.000000	18446744070883249211.1170396160	0.002622016	0.002622016	0.954024	0.2191066	0.368867	0.003086016	0	0x42	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	8	1	2	2	0.25	1	85	11194
B	24	0x0400000000004001	1468596420.488019000	1468596421.669310000	1.181291000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	1c:5f:2b:aa:fd:4e	0x0800		52.58.227.57	us	"Amazon Technologies Inc"	443	10.10.10.87	04	"Private network"	39306	6	0x00	1	00:b5:6d:06:08:ba_1c:5f:2b:aa:fd:4e_9	DavidElec,TW_DLinkInte,SG	443	https	9	12	4369	858	0	1368	485.4445	494.9642	0	0.912534	0.1312546	0.2612793	7.618783	3698.496	-0.1428571	0.6717046	0x0a13	1	31083	50	50	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1032653052	9	4338	0	9	858	0	3819	17898	19797.71	17898	20224	0	2	1	0	0x021a	0x0000	9	29	0x0000011e	1380	256	0x0000	0x00	0	0x00	170399581	4294898577	0.1	17039958.353915	1451556463.3236154120	0.000464	0.000315008	0.109584	0.02193342	0.03119257	0.2410401	0.3701835	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	8	1	1	1	1	16	4847
A	21	0x0400000000004000	1468596412.661129000	1468596412.841107000	0.179978000	1	3	eth:ipv4:tcp	1c:5f:2b:aa:fd:4e	00:b5:6d:06:08:ba	0x0800		10.10.10.87	04	"Private network"	43368	52.58.68.165	us	"Amazon Technologies Inc"	80	6	0x00	1	1c:5f:2b:aa:fd:4e_00:b5:6d:06:08:ba_6	DLinkInte,SG_DavidElec,TW	80	http	6	4	302	493	0	302	50.33333	93.46743	0	0.171677	0.02999633	0.05509819	33.33741	1677.983	0.2	-0.2402516	0x0a13	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2533510532	5	302	0	5	493	0	302	5840	6544.304	5840	6912	0	1	1	0	0x011b	0x0000	6	20	0x0000011e	1460	2	0x0000	0x00	0	0x00	4294896609	170398240	1	4294896609.000000	18446744070883251419.3588377280	0.002602944	0.002352	0.171214	0.04464498	0.06007903	0.003084992	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	8	1	2	4	0.5	2	95	12886
B	21	0x0400000000004001	1468596412.663732000	1468596412.840727000	0.176995000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	1c:5f:2b:aa:fd:4e	0x0800		52.58.68.165	us	"Amazon Technologies Inc"	80	10.10.10.87	04	"Private network"	43368	6	0x00	1	00:b5:6d:06:08:ba_1c:5f:2b:aa:fd:4e_4	DavidElec,TW_DLinkInte,SG	80	http	4	6	493	302	0	493	123.25	175.5081	0	0.168862	0.04424875	0.05912649	22.59951	2785.389	-0.2	0.2402516	0x0a13	1	40575	50	50	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1518348208	4	493	0	4	302	0	493	17898	18753.41	17898	19200	0	1	1	0	0x031b	0x0000	4	14	0x0000011e	1380	256	0x0000	0x00	0	0x00	170398240	4294896608	1	170398240.000000	1298198172.3208377280	0.000482048	0.000380032	0.002289024	0.0008628586	0.0006037831	0.04550784	0.06008207	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	8	1	3	3	3	4	493
A	19	0x0400000000004000	1468596412.112908000	1468596413.488803000	1.375895000	1	3	eth:ipv4:tcp	1c:5f:2b:aa:fd:4e	00:b5:6d:06:08:ba	0x0800		10.10.10.87	04	"Private network"	40431	50.112.127.36	us	"Amazoncom"	80	6	0x00	1	1c:5f:2b:aa:fd:4e_00:b5:6d:06:08:ba_6	DLinkInte,SG_DavidElec,TW	80	http	6	4	137	201	0	137	22.83333	42.40079	0	0.829767	0.2293158	0.2468381	4.360798	99.57155	0.2	-0.1893491	0x0a13	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2520913276	5	137	0	5	201	0	137	5840	6544.304	5840	6912	0	1	1	0	0x011b	0x0000	6	20	0x0000011e	1460	2	0x0000	0x00	0	0x00	4294896771	1048433614	1	4294896771.000000	18446744070883251258.3471695552	0.171937	0.17162	0.173174	0.1721592	0.0004885571	0.172396	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	7	1	2	2	0.2857143	1	95	12886
B	19	0x0400000000004001	1468596412.284845000	1468596413.488359000	1.203514000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	1c:5f:2b:aa:fd:4e	0x0800		50.112.127.36	us	"Amazoncom"	80	10.10.10.87	04	"Private network"	40431	6	0x00	1	00:b5:6d:06:08:ba_1c:5f:2b:aa:fd:4e_4	DavidElec,TW_DLinkInte,SG	80	http	4	6	201	137	0	201	50.25	71.55603	0	1.001949	0.3008785	0.3556012	3.323601	167.0109	-0.2	0.1893491	0x0a13	1	22691	28	28	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1435862707	4	201	0	4	137	0	201	14480	15226.35	14480	15616	0	1	1	0	0x031b	0x0000	4	14	0x0000011e	1380	256	0x0000	0x00	0	0x00	1048433614	4294896728	0.1	104843362.962288	1363753051.2065408552	0.000459008	0.000276032	0.830043	0.1433453	0.2750566	0.3155046	0.275057	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	7	1	1	1	1	4	201
