%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	15	0x0400000000004000	1461244243.245113000	1461244244.634943000	1.389830000	1	3	eth:ipv4:tcp	90:8d:78:a8:e1:43	00:b5:6d:06:08:ba	0x0800		10.10.10.72	04	"Private network"	35340	54.244.232.183	us	"Amazon Technologies Inc"	80	6	0x00	1	90:8d:78:a8:e1:43_00:b5:6d:06:08:ba_6	DLinkInte,SG_DavidElec,TW	80	http	6	4	137	659	0	137	22.83333	42.40079	0	0.875086	0.2316383	0.2639712	4.317075	98.5732	0.2	-0.6557789	0x0a13	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1689865317	5	137	0	5	659	0	137	5840	6705.926	5840	7158	0	1	1	0	0x011b	0x0000	6	20	0x0000011e	1460	2	0x0000	0x00	0	0x00	4294919415	2884256989	1	4294919415.000000	18446744070875876445.3582807488	0.164163	0.163879	0.166163	0.1645247	0.0007842171	0.165867	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	5	1	2	2	0.4	1	46	9580
B	15	0x0400000000004001	1461244243.409276000	1461244244.633826000	1.224550000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	90:8d:78:a8:e1:43	0x0800		54.244.232.183	us	"Amazon Technologies Inc"	80	10.10.10.72	04	"Private network"	35340	6	0x00	1	00:b5:6d:06:08:ba_90:8d:78:a8:e1:43_4	DavidElec,TW_DLinkInte,SG	80	http	4	6	659	137	0	659	164.75	234.6041	0	1.046171	0.3061375	0.3737225	3.266506	538.1569	-0.2	0.6557789	0x0a13	1	7022	30	30	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	143149825	4	659	0	4	137	0	659	14480	15226.35	14480	15616	0	1	1	0	0x031b	0x0000	4	14	0x0000011e	1380	256	0x0000	0x00	0	0x00	2884256989	4294919374	1	2884256989.000000	18446744072286538871.2465807488	0.001704	0.001116992	0.882292	0.1510398	0.2927754	0.3155646	0.2927764	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	5	1	1	1	1	4	659
A	19	0x0400000000004000	1461244258.149186000	1461244258.802726000	0.653540000	1	3	eth:ipv4:tcp	90:8d:78:a8:e1:43	00:b5:6d:06:08:ba	0x0800		10.10.10.72	04	"Private network"	44923	52.28.38.154	us	"MAINT-APNIC-AP"	443	6	0x00	1	90:8d:78:a8:e1:43_00:b5:6d:06:08:ba_12	DLinkInte,SG_DavidElec,TW	443	https	12	9	847	4653	0	506	70.58334	135.8474	0	0.268593	0.05446167	0.08786161	18.36154	1296.019	0.1428571	-0.692	0x0a13	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2621067023	11	847	0	11	4653	0	506	5840	13554.55	5840	14048	0	3	1	0	0x041e	0x0000	12	38	0x0000011e	1460	2	0x0000	0x00	0	0x00	4294922957	208927143	1	4294922957.000000	18446744070875872917.3862082944	0.002602992	0.002365984	0.267555	0.06626455	0.1015009	0.003478992	0	0x42	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	5	1	2	2	0.4	1	64	11562
B	19	0x0400000000004001	1461244258.151789000	1461244258.789233000	0.637444000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	90:8d:78:a8:e1:43	0x0800		52.28.38.154	us	"MAINT-APNIC-AP"	443	10.10.10.72	04	"Private network"	44923	6	0x00	1	00:b5:6d:06:08:ba_90:8d:78:a8:e1:43_9	DavidElec,TW_DLinkInte,SG	443	https	9	12	4653	847	0	1368	517	489.9605	0	0.264223	0.07082711	0.09058104	14.11889	7299.464	-0.1428571	0.692	0x0a13	1	16464	50	50	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1543808713	9	4616	0	9	847	0	3817	17898	20575.85	17898	21248	0	3	1	0	0x021a	0x0000	9	29	0x0000011e	1380	256	0x0000	0x00	0	0x00	208927143	4294922886	1	208927143.000000	1252317115.3253984832	0.000876	0.000876	0.26104	0.03319959	0.06555913	0.09946413	0.1208323	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	5	1	1	1	1	9	4653
A	20	0x0400000000004000	1461244259.012507000	1461244259.797951000	0.785444000	1	3	eth:ipv4:tcp	90:8d:78:a8:e1:43	00:b5:6d:06:08:ba	0x0800		10.10.10.72	04	"Private network"	44925	52.28.38.154	us	"MAINT-APNIC-AP"	443	6	0x00	1	90:8d:78:a8:e1:43_00:b5:6d:06:08:ba_14	DLinkInte,SG_DavidElec,TW	443	https	14	11	1593	4685	0	730	113.7857	208.317	0	0.452257	0.05610314	0.1120817	17.82431	2028.152	0.12	-0.4925135	0x0a13	0	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2645966673	11	1593	0	11	4648	0	730	5840	6641.727	0	14048	1	3	2	0	0x011f	0x0000	12	38	0x0000011e	1460	2	0x0000	0x00	0	0x00	4294923204	208927393	1	4294923204.000000	18446744070875872671.3570017536	0.00291	0.002669056	0.451342	0.04770583	0.1207607	0.003623	0	0x52	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	6	1	4	4	0.6666667	1	91	14665
B	20	0x0400000000004001	1461244259.015417000	1461244259.796542000	0.781125000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	90:8d:78:a8:e1:43	0x0800		52.28.38.154	us	"MAINT-APNIC-AP"	443	10.10.10.72	04	"Private network"	44925	6	0x00	1	00:b5:6d:06:08:ba_90:8d:78:a8:e1:43_11	DavidElec,TW_DLinkInte,SG	443	https	11	14	4685	1593	0	1368	425.9091	482.4656	0	0.448636	0.07101136	0.1223412	14.08225	5997.76	-0.12	0.4925135	0x0a13	1	7535	50	50	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3916219863	11	4685	0	11	1593	0	3817	17898	22085.85	17898	22784	0	4	1	0	0x031b	0x0000	11	35	0x0000011e	1380	256	0x0000	0x00	0	0x00	208927394	4294923204	1	208927394.000000	1252316865.1973050240	0.000713	0.000646976	0.16976	0.02252038	0.04249879	0.07022621	0.1280206	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	6	3	3	3	1	25	13155
A	23	0x0400000000004000	1461244259.794409000	1461244261.549937000	1.755528000	1	3	eth:ipv4:tcp	90:8d:78:a8:e1:43	00:b5:6d:06:08:ba	0x0800		10.10.10.72	04	"Private network"	44926	52.28.38.154	us	"MAINT-APNIC-AP"	443	6	0x00	1	90:8d:78:a8:e1:43_00:b5:6d:06:08:ba_12	DLinkInte,SG_DavidElec,TW	443	https	12	9	735	4493	0	394	61.25	109.8815	0	0.821356	0.146294	0.2572254	6.83555	418.6775	0.1428571	-0.7188217	0x0a13	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2652986415	11	735	0	11	4493	0	394	5840	13554.55	5840	14048	0	3	1	0	0x041e	0x0000	12	38	0x0000011e	1460	2	0x0000	0x00	0	0x00	4294923643	208927627	0.001	4294923.846998	1456949338.3629156408	0.002729984	0.002616	0.649188	0.1512852	0.250015	0.00481696	0	0x42	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	8	1	2	4	0.5	2	126	17487
B	23	0x0400000000004001	1461244259.797139000	1461244260.727026000	0.929887000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	90:8d:78:a8:e1:43	0x0800		52.28.38.154	us	"MAINT-APNIC-AP"	443	10.10.10.72	04	"Private network"	44926	6	0x00	1	00:b5:6d:06:08:ba_90:8d:78:a8:e1:43_9	DavidElec,TW_DLinkInte,SG	443	https	9	12	4493	735	0	1368	499.2222	490.6641	0	0.609701	0.1033208	0.1752246	9.678596	4831.77	-0.1428571	0.7188217	0x0a13	1	11876	50	50	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	4257847379	9	4456	0	9	735	0	3817	17898	20575.85	17898	21248	0	3	1	0	0x021a	0x0000	9	29	0x0000011e	1380	256	0x0000	0x00	0	0x00	208927627	4294923275	0.001	208927.636924	1461035333.539603976	0.002086976	0.000749	0.822911	0.09242142	0.2153497	0.2437066	0.3299742	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	8	1	3	3	3	29	13831
A	29	0x0400000000004000	1461244260.885392000	1461244261.551742000	0.666350000	1	3	eth:ipv4:tcp	90:8d:78:a8:e1:43	00:b5:6d:06:08:ba	0x0800		10.10.10.72	04	"Private network"	46922	52.26.98.232	us	"MAINT-APNIC-AP"	80	6	0x00	1	90:8d:78:a8:e1:43_00:b5:6d:06:08:ba_5	DLinkInte,SG_DavidElec,TW	80	http	5	5	161	200	0	161	32.2	53.24912	0	0.28315	0.13327	0.08300275	7.503564	241.6148	0	-0.1080332	0x0213	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2676553486	4	161	0	4	200	0	161	5840	5840	5840	5840	0	0	0	0	0x011b	0x0000	5	17	0x0000011e	1460	2	0x0000	0x00	0	0x00	4294923644	1845444381	0.001	4294923.847998	1456949338.1138189112	0.167894	0.167569	0.17737	0.171555	0.004001677	0.168519	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	9	1	2	6	0.6666667	3	282	24901
B	29	0x0400000000004001	1461244261.053286000	1461244261.719338000	0.666052000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	90:8d:78:a8:e1:43	0x0800		52.26.98.232	us	"MAINT-APNIC-AP"	80	10.10.10.72	04	"Private network"	46922	6	0x00	1	00:b5:6d:06:08:ba_90:8d:78:a8:e1:43_5	DavidElec,TW_DLinkInte,SG	80	http	5	5	200	161	0	200	40	66.14798	0	0.451344	0.1332104	0.1342159	7.506922	300.2769	0	0.1080332	0x0a13	1	42994	41	41	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1499958165	5	200	0	5	161	0	200	17898	18887.39	17898	19200	0	1	1	0	0x031b	0x0000	5	17	0x0000011e	1380	256	0x0000	0x00	0	0x00	1845444432	4294923644	1	1845444432.000000	18446744073325351445.2078461568	0.000625	0.000625	0.283775	0.0646052	0.09097449	0.2361602	0.09106246	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	9	1	5	5	5	5	200
A	34	0x0400000000004000	1461244264.003732000	1461244269.615688000	5.611956000	1	3	eth:ipv4:tcp	90:8d:78:a8:e1:43	00:b5:6d:06:08:ba	0x0800		10.10.10.72	04	"Private network"	52789	52.28.161.134	us	"MAINT-APNIC-AP"	443	6	0x00	1	90:8d:78:a8:e1:43_00:b5:6d:06:08:ba_16	DLinkInte,SG_DavidElec,TW	443	https	16	16	543	4077	0	207	33.9375	65.15464	0	4.998813	0.3507472	1.156334	2.851056	96.75771	0	-0.7649351	0x4a13	0	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2723941128	13	543	0	13	3987	0	207	5840	5473.624	0	11360	1	2	2	0	0x011f	0x0020	2	8	0x0000013e	1460	2	0x0000	0x00	0	0x00	4294924257	0	0.004	17179697.843992	1444064567.2888009000	0.00216	0.002064	4.998329	0.3183723	1.164476	0.002799	0	0x52	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	8	1	4	4	0.5	1	282	24901
