%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	15	0x0400000000004000	1471947224.896012000	1471947226.242469000	1.346457000	1	3	eth:ipv4:tcp	90:8d:78:dd:0d:60	00:b5:6d:06:08:ba	0x0800		10.10.10.39	04	"Private network"	45938	54.244.232.183	us	"Amazon Technologies Inc"	80	6	0x00	1	90:8d:78:dd:0d:60_00:b5:6d:06:08:ba_6	DLinkInte,SG_DavidElec,TW	80	http	6	4	137	201	0	137	22.83333	42.40079	0	0.829616	0.2244095	0.2498919	4.456139	101.7485	0.2	-0.1893491	0x0213	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1562090591	5	137	0	5	201	0	137	5840	5840	5840	5840	0	0	0	0	0x011b	0x0000	6	20	0x0000011e	1460	2	0x0000	0x00	0	0x00	4294917608	1265030294	0.001	4294917.811998	1467652309.1138834424	0.166178	0.166008	0.168089	0.166659	0.000683132	0.169348	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	5	1	2	2	0.4	1	38	6560
B	15	0x0400000000004001	1471947225.062190000	1471947226.238419000	1.176229000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	90:8d:78:dd:0d:60	0x0800		54.244.232.183	us	"Amazon Technologies Inc"	80	10.10.10.39	04	"Private network"	45938	6	0x00	1	00:b5:6d:06:08:ba_90:8d:78:dd:0d:60_4	DavidElec,TW_DLinkInte,SG	80	http	4	6	201	137	0	201	50.25	71.55603	0	1.004573	0.2940573	0.358839	3.400698	170.8851	-0.2	0.1893491	0x0a13	1	34515	40	40	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2504054943	4	201	0	4	137	0	201	14480	15226.35	14480	15616	0	1	1	0	0x031b	0x0000	4	14	0x0000011e	1380	256	0x0000	0x00	0	0x00	1265030294	4294917566	0.1	126503031.285042	1345444195.1910756720	0.00317	0.00317	0.838212	0.1434608	0.2781383	0.3101198	0.2781391	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	5	1	1	1	1	4	201
A	19	0x0400000000004000	1471947240.588705000	1471947241.172185000	0.583480000	1	3	eth:ipv4:tcp	90:8d:78:dd:0d:60	00:b5:6d:06:08:ba	0x0800		10.10.10.39	04	"Private network"	58997	52.28.38.154	us	"MAINT-APNIC-AP"	443	6	0x00	1	90:8d:78:dd:0d:60_00:b5:6d:06:08:ba_12	DLinkInte,SG_DavidElec,TW	443	https	12	9	847	4637	0	506	70.58334	135.8474	0	0.301052	0.04862333	0.07996219	20.56626	1451.635	0.1428571	-0.6911014	0x0a13	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3282311581	11	847	0	11	4637	0	506	5840	13554.55	5840	14048	0	3	1	0	0x041e	0x0000	12	38	0x0000011e	1460	2	0x0000	0x00	0	0x00	4294921341	243556025	0.001	4294921.544998	1467652320.4136278456	0.002501952	0.002222016	0.297689	0.07272821	0.113321	0.004268992	0	0x42	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	5	1	2	2	0.4	1	56	8214
B	19	0x0400000000004001	1471947240.591207000	1471947241.156842000	0.565635000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	90:8d:78:dd:0d:60	0x0800		52.28.38.154	us	"MAINT-APNIC-AP"	443	10.10.10.39	04	"Private network"	58997	6	0x00	1	00:b5:6d:06:08:ba_90:8d:78:dd:0d:60_9	DavidElec,TW_DLinkInte,SG	443	https	9	12	4637	847	0	1368	515.2222	489.8277	0	0.258714	0.06284833	0.08042502	15.91132	8197.866	-0.1428571	0.6911014	0x0a13	1	9472	50	50	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3897020747	9	4600	0	9	847	0	3817	17898	20575.85	17898	21248	0	3	1	0	0x021a	0x0000	9	29	0x0000011e	1380	256	0x0000	0x00	0	0x00	243556025	4294921262	0.001	243556.036568	1471703685.2186609344	0.00176704	0.00176704	0.156302	0.02876384	0.03876799	0.101492	0.119769	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	5	1	1	1	1	9	4637
A	20	0x0400000000004000	1471947241.692436000	1471947242.494229000	0.801793000	1	3	eth:ipv4:tcp	90:8d:78:dd:0d:60	00:b5:6d:06:08:ba	0x0800		10.10.10.39	04	"Private network"	58999	52.28.38.154	us	"MAINT-APNIC-AP"	443	6	0x00	1	90:8d:78:dd:0d:60_00:b5:6d:06:08:ba_14	DLinkInte,SG_DavidElec,TW	443	https	14	11	1593	4685	0	714	113.7857	207.3403	0	0.500732	0.05727093	0.1209924	17.46087	1986.797	0.12	-0.4925135	0x0a13	0	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3312249445	11	1593	0	11	4648	0	714	5840	6641.727	0	14048	1	3	2	0	0x011f	0x0000	12	38	0x0000011e	1460	2	0x0000	0x00	0	0x00	4294921671	243556358	0.001	4294921.874998	1467652321.325731256	0.002874048	0.002267008	0.499441	0.05166592	0.1339178	0.003906048	0	0x52	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	6	1	4	4	0.6666667	1	89	12473
B	20	0x0400000000004001	1471947241.695310000	1471947242.493173000	0.797863000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	90:8d:78:dd:0d:60	0x0800		52.28.38.154	us	"MAINT-APNIC-AP"	443	10.10.10.39	04	"Private network"	58999	6	0x00	1	00:b5:6d:06:08:ba_90:8d:78:dd:0d:60_11	DavidElec,TW_DLinkInte,SG	443	https	11	14	4685	1593	0	1368	425.9091	482.4656	0	0.497056	0.072533	0.1331591	13.78683	5871.936	-0.12	0.4925135	0x0a13	1	59513	50	50	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2890338597	11	4685	0	11	1593	0	3817	17898	22085.85	17898	22784	0	4	1	0	0x031b	0x0000	11	35	0x0000011e	1380	256	0x0000	0x00	0	0x00	243556359	4294921671	0.001	243556.370568	1471703686.3176160256	0.001032	0.000735008	0.139079	0.02282099	0.0348611	0.07448691	0.1383809	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	6	3	3	3	1	27	13373
A	21	0x0400000000004000	1471947242.163559000	1471947243.750189000	1.586630000	1	3	eth:ipv4:tcp	90:8d:78:dd:0d:60	00:b5:6d:06:08:ba	0x0800		10.10.10.39	04	"Private network"	59000	52.28.38.154	us	"MAINT-APNIC-AP"	443	6	0x00	1	90:8d:78:dd:0d:60_00:b5:6d:06:08:ba_12	DLinkInte,SG_DavidElec,TW	443	https	12	9	735	4493	0	394	61.25	109.8815	0	0.741508	0.1322192	0.2228949	7.5632	463.246	0.1428571	-0.7188217	0x0a13	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3309666261	11	735	0	11	4493	0	394	5840	13554.55	5840	14048	0	3	1	0	0x041e	0x0000	12	38	0x0000011e	1460	2	0x0000	0x00	0	0x00	4294921985	243556542	1	4294921985.000000	18446744070886576874.2864690496	0.001926992	0.001926992	0.740241	0.1714708	0.2855581	0.005558992	0	0x42	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	8	1	2	4	0.5	2	119	14813
B	21	0x0400000000004001	1471947242.165486000	1471947243.225528000	1.060042000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	90:8d:78:dd:0d:60	0x0800		52.28.38.154	us	"MAINT-APNIC-AP"	443	10.10.10.39	04	"Private network"	59000	6	0x00	1	00:b5:6d:06:08:ba_90:8d:78:dd:0d:60_9	DavidElec,TW_DLinkInte,SG	443	https	9	12	4493	735	0	1368	499.2222	490.6641	0	0.699769	0.1177825	0.2021915	8.49023	4238.511	-0.1428571	0.7188217	0x0a13	1	9593	50	50	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	826221640	9	4456	0	9	735	0	3817	17898	20575.85	17898	21248	0	3	1	0	0x021a	0x0000	9	29	0x0000011e	1380	256	0x0000	0x00	0	0x00	243556542	4294921669	0.1	24355654.562928	1447591589.1626773608	0.003632	0.001267008	0.524661	0.07212208	0.1410614	0.2435929	0.3184992	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	8	1	3	3	3	29	13815
A	29	0x0400000000004000	1471947243.496162000	1471947250.362363000	6.866201000	1	3	eth:ipv4:tcp	90:8d:78:dd:0d:60	00:b5:6d:06:08:ba	0x0800		10.10.10.39	04	"Private network"	47881	52.28.161.134	us	"MAINT-APNIC-AP"	443	6	0x00	1	90:8d:78:dd:0d:60_00:b5:6d:06:08:ba_16	DLinkInte,SG_DavidElec,TW	443	https	16	16	543	4077	0	207	33.9375	65.15464	0	5.001218	0.4291376	1.193318	2.330255	79.08303	0	-0.7649351	0x4a13	0	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3339737135	13	543	0	13	3987	0	207	5840	5473.624	0	11360	1	2	2	0	0x011f	0x0020	2	8	0x0000013e	1460	2	0x0000	0x00	0	0x00	4294921922	0	0.004	17179688.503991	1454767555.1736769960	0.002220032	0.001998976	4.999913	0.3184192	1.164862	0.002931008	0	0x52	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	9	1	2	2	0.2222222	1	232	19166
B	29	0x0400000000004001	1471947243.498382000	1471947250.361417000	6.863035000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	90:8d:78:dd:0d:60	0x0800		52.28.161.134	us	"MAINT-APNIC-AP"	443	10.10.10.39	04	"Private network"	47881	6	0x00	1	00:b5:6d:06:08:ba_90:8d:78:dd:0d:60_16	DavidElec,TW_DLinkInte,SG	443	https	16	16	4077	543	0	1380	254.8125	410.9536	0	4.96	0.4289397	1.187259	2.33133	594.052	0	0.7649351	0x0a11	1	62524	50	50	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3359628350	13	4025	0	16	543	0	3464	2048	3114.911	2048	3120	0	1	1	0	0x031b	0x0050	1	6	0x0000001e	1380	8	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.000710976	0.000677024	1.608706	0.1242755	0.3836508	0.4426947	1.226414	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	9	1	1	1	1	16	4077
