%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	17	0x0400000000004000	1461243464.118922000	1461243465.459797000	1.340875000	1	3	eth:ipv4:tcp	90:8d:78:a9:3d:6f	00:b5:6d:06:08:ba	0x0800		10.10.10.176	04	"Private network"	46034	50.112.127.36	us	"Amazoncom"	80	6	0x00	1	90:8d:78:a9:3d:6f_00:b5:6d:06:08:ba_6	DLinkInte,SG_DavidElec,TW	80	http	6	4	137	660	0	137	22.83333	42.40079	0	0.831896	0.2234792	0.2509109	4.47469	102.1721	0.2	-0.6562108	0x0a13	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3110749285	5	137	0	5	660	0	137	5840	6707.24	5840	7160	0	1	1	0	0x011b	0x0000	6	20	0x0000011e	1460	2	0x0000	0x00	0	0x00	4294917909	3505164244	1	4294917909.000000	18446744070875877172.235499328	0.165035	0.165035	0.167913	0.1660488	0.0008996355	0.166868	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	5	1	2	2	0.4	1	30	3914
B	17	0x0400000000004001	1461243464.283957000	1461243465.458546000	1.174589000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	90:8d:78:a9:3d:6f	0x0800		50.112.127.36	us	"Amazoncom"	80	10.10.10.176	04	"Private network"	46034	6	0x00	1	00:b5:6d:06:08:ba_90:8d:78:a9:3d:6f_4	DavidElec,TW_DLinkInte,SG	80	http	4	6	660	137	0	660	165	234.9601	0	1.004477	0.2936473	0.3589123	3.405446	561.8987	-0.2	0.6562108	0x0a13	1	65488	30	30	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	72226550	4	660	0	4	137	0	660	14480	15226.35	14480	15616	0	1	1	0	0x031b	0x0000	4	14	0x0000011e	1380	256	0x0000	0x00	0	0x00	3505164244	4294917867	0.1	350516429.623102	1110727036.2656365624	0.001833024	0.001251008	0.838808	0.1421394	0.2789097	0.3081881	0.2789111	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	5	1	1	1	1	4	660
A	19	0x0400000000004000	1461243477.675984000	1461243478.169475000	0.493491000	1	3	eth:ipv4:tcp	90:8d:78:a9:3d:6f	00:b5:6d:06:08:ba	0x0800		10.10.10.176	04	"Private network"	60869	52.28.38.154	us	"MAINT-APNIC-AP"	443	6	0x00	1	90:8d:78:a9:3d:6f_00:b5:6d:06:08:ba_12	DLinkInte,SG_DavidElec,TW	443	https	12	9	847	4637	0	506	70.58334	135.8474	0	0.203087	0.04112425	0.05866172	24.31655	1716.343	0.1428571	-0.6911014	0x0a13	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3310957539	11	847	0	11	4637	0	506	5840	13554.55	5840	14048	0	3	1	0	0x041e	0x0000	12	38	0x0000011e	1460	2	0x0000	0x00	0	0x00	4294921086	208731984	0.001	4294921.289998	1456948557.1681278456	0.002844032	0.002844032	0.198664	0.05104843	0.07475327	0.004592	0	0x42	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	5	1	2	2	0.4	1	46	5406
B	19	0x0400000000004001	1461243477.678828000	1461243478.152003000	0.473175000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	90:8d:78:a9:3d:6f	0x0800		52.28.38.154	us	"MAINT-APNIC-AP"	443	10.10.10.176	04	"Private network"	60869	6	0x00	1	00:b5:6d:06:08:ba_90:8d:78:a9:3d:6f_9	DavidElec,TW_DLinkInte,SG	443	https	9	12	4637	847	0	1368	515.2222	489.8277	0	0.164371	0.052575	0.06037195	19.02045	9799.757	-0.1428571	0.6911014	0x0a13	1	4591	50	50	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	564989795	9	4600	0	9	847	0	3817	17898	20575.85	17898	21248	0	3	1	0	0x021a	0x0000	9	29	0x0000011e	1380	256	0x0000	0x00	0	0x00	208731984	4294921032	0.001	208731.993914	1461034747.685230640	0.001747968	0.001747968	0.160936	0.02964324	0.03977157	0.08069167	0.08467484	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	5	1	1	1	1	9	4637
A	20	0x0400000000004000	1461243478.622079000	1461243479.419767000	0.797688000	1	3	eth:ipv4:tcp	90:8d:78:a9:3d:6f	00:b5:6d:06:08:ba	0x0800		10.10.10.176	04	"Private network"	60871	52.28.38.154	us	"MAINT-APNIC-AP"	443	6	0x00	1	90:8d:78:a9:3d:6f_00:b5:6d:06:08:ba_14	DLinkInte,SG_DavidElec,TW	443	https	14	11	2025	4685	0	1162	144.6429	298.0268	0	0.437684	0.05697771	0.1065916	17.55072	2538.586	0.12	-0.3964233	0x0a13	0	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3338671821	11	2025	0	11	4648	0	1162	5840	6641.727	0	14048	1	3	2	0	0x011f	0x0000	12	38	0x0000011e	1460	2	0x0000	0x00	0	0x00	4294921398	208732288	0.001	4294921.601998	1456948558.3061142584	0.00266304	0.002385024	0.436289	0.04589755	0.1168138	0.003900032	0	0x52	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	5	1	4	4	0.8	1	73	9044
B	20	0x0400000000004001	1461243478.624742000	1461243479.418405000	0.793663000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	90:8d:78:a9:3d:6f	0x0800		52.28.38.154	us	"MAINT-APNIC-AP"	443	10.10.10.176	04	"Private network"	60871	6	0x00	1	00:b5:6d:06:08:ba_90:8d:78:a9:3d:6f_11	DavidElec,TW_DLinkInte,SG	443	https	11	14	4685	2025	0	1368	425.9091	482.4656	0	0.433672	0.07215118	0.1164562	13.85979	5903.009	-0.12	0.3964233	0x0a13	1	57411	50	50	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	30676899	11	4685	0	11	2025	0	3817	17898	22669.46	17898	23552	0	4	1	0	0x031b	0x0000	11	35	0x0000011e	1380	256	0x0000	0x00	0	0x00	208732301	4294921398	0.001	208732.310914	1461034747.1482258288	0.001236992	0.001098016	0.154876	0.02630353	0.03874409	0.07220109	0.1230714	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	5	3	3	3	1	27	13373
A	21	0x0400000000004000	1461243479.158351000	1461243480.437492000	1.279141000	1	3	eth:ipv4:tcp	90:8d:78:a9:3d:6f	00:b5:6d:06:08:ba	0x0800		10.10.10.176	04	"Private network"	60872	52.28.38.154	us	"MAINT-APNIC-AP"	443	6	0x00	1	90:8d:78:a9:3d:6f_00:b5:6d:06:08:ba_12	DLinkInte,SG_DavidElec,TW	443	https	12	9	735	4493	0	394	61.25	109.8815	0	0.644987	0.1065951	0.1832634	9.381296	574.6044	0.1428571	-0.7188217	0x0a13	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3344272073	11	735	0	11	4493	0	394	5840	13554.55	5840	14048	0	3	1	0	0x041e	0x0000	12	38	0x0000011e	1460	2	0x0000	0x00	0	0x00	4294921653	208732460	1	4294921653.000000	18446744070875873443.3700303104	0.002610992	0.002465984	0.642398	0.1495092	0.2475077	0.003606992	0	0x42	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	7	1	2	4	0.5714286	2	97	10711
B	21	0x0400000000004001	1461243479.160962000	1461243480.055532000	0.894570000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	90:8d:78:a9:3d:6f	0x0800		52.28.38.154	us	"MAINT-APNIC-AP"	443	10.10.10.176	04	"Private network"	60872	6	0x00	1	00:b5:6d:06:08:ba_90:8d:78:a9:3d:6f_9	DavidElec,TW_DLinkInte,SG	443	https	9	12	4493	735	0	1368	499.2222	490.6641	0	0.602847	0.09939666	0.1723599	10.0607	5022.525	-0.1428571	0.7188217	0x0a13	1	39329	50	50	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	656446948	9	4456	0	9	735	0	3817	17898	20575.85	17898	21248	0	3	1	0	0x021a	0x0000	9	29	0x0000011e	1380	256	0x0000	0x00	0	0x00	208732460	4294921397	0.001	208732.469914	1461034748.3522478448	0.000996	0.000996	0.38196	0.05412509	0.1014546	0.2036343	0.2674941	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	7	1	3	3	3	29	13815
A	25	0x0400000000004000	1461243480.062368000	1461243489.756032000	9.693664000	1	3	eth:ipv4:tcp	90:8d:78:a9:3d:6f	00:b5:6d:06:08:ba	0x0800		10.10.10.176	04	"Private network"	56464	52.28.161.134	us	"MAINT-APNIC-AP"	443	6	0x00	1	90:8d:78:a9:3d:6f_00:b5:6d:06:08:ba_28	DLinkInte,SG_DavidElec,TW	443	https	28	25	4029	7254	0	1380	143.8929	319.113	0	5.009527	0.3462023	0.99165	2.888485	415.6323	0.05660377	-0.2858282	0x0a13	0	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3359341746	25	4029	0	25	7217	0	1802	5840	8131.799	0	16880	1	4	2	0	0x011f	0x0020	1	5	0x0000011e	1460	2	0x0000	0x00	0	0x00	4294921560	0	0.004	17179687.055991	1444063793.2182466856	0.002463	0.001777024	5.008868	0.3585612	1.027144	0.003162	0	0x52	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	9	1	4	4	0.4444444	1	262	20094
B	25	0x0400000000004001	1461243480.064831000	1461243489.754393000	9.689562000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	90:8d:78:a9:3d:6f	0x0800		52.28.161.134	us	"MAINT-APNIC-AP"	443	10.10.10.176	04	"Private network"	56464	6	0x00	1	00:b5:6d:06:08:ba_90:8d:78:a9:3d:6f_25	DavidElec,TW_DLinkInte,SG	443	https	25	28	7254	4029	0	1380	290.16	436.3833	0	4.967937	0.3875825	1.030243	2.580096	748.6407	-0.05660377	0.2858282	0x0a11	1	41606	50	50	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3617501956	23	7255	0	25	4029	0	3464	8192	8190.905	8064	8192	2	2	2	0	0x031b	0x0010	1	6	0x0000001e	1380	128	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.000699	0.000468992	1.977542	0.1146744	0.3692271	0.4732356	1.091492	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	9	3	3	3	1	41	11331
