%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	4	0x0000000000000004	1469017093.937688000	1469017093.937688000	0.000000000	1	2	eth:llc	74:da:38:80:79:fc	ff:ff:ff:ff:ff:ff	0x0001		-	-	"-"	0	-	-	"-"	0	0	0x00	1	74:da:38:80:79:fc_ff:ff:ff:ff:ff:ff_1	EdimaxTec,TW_Broadcast	0	unknown	1	0	3	0	3	3	3	0	0	0	0	0	0	0	1	1	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0	0	0	0
A	2	0x0400000000004000	1469017082.696209000	1469017094.987980000	12.291771000	1	3	eth:ipv4:udp	74:da:38:80:79:fc	ff:ff:ff:ff:ff:ff	0x0800		0.0.0.0	-	"-"	68	255.255.255.255	11	"Broadcast"	67	17	0x00	1	74:da:38:80:79:fc_ff:ff:ff:ff:ff:ff_4	EdimaxTec,TW_Broadcast	67	bootps	4	0	2192	0	548	548	548	0	0	12.28174	3.072943	4.37104	0.325421	178.3307	1	1	0x0001	0	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	2	1	1	1	1	4	2192
A	3	0x0000000000000044	1469017082.701465000	1469017097.262362000	14.560897000	1	2	eth:arp	74:da:38:80:79:fc	ff:ff:ff:ff:ff:ff	0x0806		-	-	"-"	0	-	-	"-"	0	0	0x00	1	74:da:38:80:79:fc_ff:ff:ff:ff:ff:ff_7	EdimaxTec,TW_Broadcast	0	unknown	7	0	250	0	28	46	35.71429	7.922844	0	10.2119	2.080128	2.907767	0.4807396	17.16927	1	1	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0	0	0	0
A	5	0x0400000002004000	1469017094.595399000	1469017100.622767000	6.027368000	1	4	eth:ipv4:udp:ssdp	74:da:38:80:79:fc	01:00:5e:7f:ff:fa	0x0800		10.10.10.227	04	"Private network"	36747	239.255.255.250	10	"Organization-Local Scope"	1900	17	0x00	1	74:da:38:80:79:fc_01:00:5e:7f:ff:fa_4	EdimaxTec,TW_IPv4Multi	1900	ssdp	4	0	503	0	101	137	125.75	12.44802	0	2.009735	1.506842	0.6539071	0.6636396	83.45267	1	1	0x0001	0	0	1	1	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	4	1	3	3	0.75	1	38	6180
A	6	0x0400000000004000	1469017102.592463000	1469017103.272296000	0.679833000	1	3	eth:ipv4:igmp	74:da:38:80:79:fc	01:00:5e:00:00:16	0x0800		10.10.10.227	04	"Private network"	0	224.0.0.22	10	"IGMP"	0	2	0x00	1	74:da:38:80:79:fc_01:00:5e:00:00:16_3	EdimaxTec,TW_IPv4Multi	0	unknown	3	0	24	0	8	8	8	0	0	0.5897	0.226611	0.2112381	4.412848	35.30279	1	1	0x0001	0	0	1	1	0	0xc0	0x0040	3	0x80_0x00100000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	4	1	1	1	0.25	1	38	6180
A	8	0x0400000002004000	1469017103.653478000	1469017106.696299000	3.042821000	1	4	eth:ipv4:udp:ssdp	74:da:38:80:79:fc	01:00:5e:7f:ff:fa	0x0800		10.10.10.227	04	"Private network"	1900	239.255.255.250	10	"Organization-Local Scope"	1900	17	0x00	1	74:da:38:80:79:fc_01:00:5e:7f:ff:fa_15	EdimaxTec,TW_IPv4Multi	1900	ssdp	15	0	3338	0	144	292	222.5333	50.63248	0	1.010444	0.2028548	0.3798325	4.929636	1097.008	1	1	0x0001	0	0	1	1	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	3	1	2	2	0.6666667	1	38	6180
A	9	0x0400000002004000	1469017105.776586000	1469017111.803398000	6.026812000	1	4	eth:ipv4:udp:ssdp	74:da:38:80:79:fc	01:00:5e:7f:ff:fa	0x0800		10.10.10.227	04	"Private network"	37851	239.255.255.250	10	"Organization-Local Scope"	1900	17	0x00	1	74:da:38:80:79:fc_01:00:5e:7f:ff:fa_4	EdimaxTec,TW_IPv4Multi	1900	ssdp	4	0	503	0	101	137	125.75	12.44802	0	2.009977	1.506703	0.6536942	0.6637008	83.46037	1	1	0x0001	0	0	1	1	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	3	1	1	1	0.3333333	1	38	6180
A	10	0x0400000000004000	1469017114.640573000	1469017114.852776000	0.212203000	1	3	eth:ipv4:udp	74:da:38:80:79:fc	ff:ff:ff:ff:ff:ff	0x0800		10.10.10.227	04	"Private network"	39464	255.255.255.255	11	"Broadcast"	39464	17	0x00	1	74:da:38:80:79:fc_ff:ff:ff:ff:ff:ff_3	EdimaxTec,TW_Broadcast	39464	unknown	3	0	174	0	58	58	58	0	0	0.109803	0.07073433	0.03718333	14.13741	819.9695	1	1	0x0001	0	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	2	1	1	1	0.5	1	38	6180
A	7	0x0400000000004000	1469017102.926861000	1469017134.723691000	31.796830000	1	3	eth:ipv4:udp	74:da:38:80:79:fc	01:00:5e:00:00:fb	0x0800		10.10.10.227	04	"Private network"	5353	224.0.0.251	10	"mDNS"	5353	17	0x00	1	74:da:38:80:79:fc_01:00:5e:00:00:fb_9	EdimaxTec,TW_IPv4Multi	5353	mdns	9	0	1638	0	106	220	182	48.18528	0	16.00843	3.532981	4.747846	0.2830471	51.51457	1	1	0x0001	0	0	255	255	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1	1	38	6180
A	1	0x0000000000000004	1469017080.463710000	1469017149.763594000	69.299884000	1	2	eth:eapol	74:da:38:80:79:fc	28:b2:bd:c3:41:78	0x888e		-	-	"-"	0	-	-	"-"	0	0	0x00	1	74:da:38:80:79:fc_28:b2:bd:c3:41:78_5	EdimaxTec,TW_IntelCorp,MY	0	unknown	5	0	539	0	99	121	107.8	8.63965	0	55.81596	13.85998	19.2472	0.07215019	7.777791	1	1	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0	0	0	0
