%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	6	0x0400000000004000	1465917947.440678000	1465917947.466907000	0.026229000	1	3	eth:ipv4:tcp	74:da:38:4a:76:49	00:b5:6d:06:08:ba	0x0800		10.10.10.186	04	"Private network"	3091	74.125.136.103	us	"Google LLC"	80	6	0x00	1	74:da:38:4a:76:49_00:b5:6d:06:08:ba_4	EdimaxTec,TW_DavidElec,TW	80	http	4	2	0	0	0	0	0	0	0	0.012948	0.00655725	0.004971001	152.503	0	0.3333333	0	0x0213	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1100202504	3	0	0	3	0	0	0	5840	5840	5840	5840	0	0	0	0	0x0113	0x0000	4	14	0x0000011e	1460	2	0x0000	0x00	0	0x00	4294916292	3548490540	1	4294916292.000000	18446744070880553271.3050532032	0.01108397	0.01108397	0.01118698	0.01113547	3.641883e-05	0.01290198	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	2	1	2	2	1	1	5	32
B	6	0x0400000000004001	1465917947.451762000	1465917947.465146000	0.013384000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	74:da:38:4a:76:49	0x0800		74.125.136.103	us	"Google LLC"	80	10.10.10.186	04	"Private network"	3091	6	0x00	1	00:b5:6d:06:08:ba_74:da:38:4a:76:49_2	DavidElec,TW_EdimaxTec,TW	80	http	2	4	0	0	0	0	0	0	0	0.013384	0.006692	0.004731959	149.4322	0	-0.3333333	0	0x0a13	1	1	43	43	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3758724634	2	0	0	2	0	0	0	42780	42810	42780	42880	0	1	1	0	0x0313	0x3000	2	8	0x0000011e	1380	128	0x0000	0x00	0	0x00	3548490540	4294916289	1	3548490540.000000	18446744071626979023.1289532032	0.001818016	0.001761024	0.002197024	0.00189852	0.00014383	0.01303399	0.0001483691	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	2	1	1	1	1	2	0
A	9	0x0400000000004000	1465917973.044332000	1465917973.070343000	0.026011000	1	3	eth:ipv4:tcp	74:da:38:4a:76:49	00:b5:6d:06:08:ba	0x0800		10.10.10.186	04	"Private network"	3755	74.125.136.104	us	"Google LLC"	80	6	0x00	1	74:da:38:4a:76:49_00:b5:6d:06:08:ba_4	EdimaxTec,TW_DavidElec,TW	80	http	4	2	0	0	0	0	0	0	0	0.012969	0.00650275	0.004928293	153.7811	0	0.3333333	0	0x0213	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1127303711	3	0	0	3	0	0	0	5840	5840	5840	5840	0	0	0	0	0x0113	0x0000	4	14	0x0000011e	1460	2	0x0000	0x00	0	0x00	4294922674	3520450556	1	4294922674.000000	18446744070880546915.1623523264	0.011138	0.010924	0.011138	0.011031	7.566018e-05	0.012969	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	6	1	2	2	0.3333333	1	33	3644
B	9	0x0400000000004001	1465917973.055470000	1465917973.068571000	0.013101000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	74:da:38:4a:76:49	0x0800		74.125.136.104	us	"Google LLC"	80	10.10.10.186	04	"Private network"	3755	6	0x00	1	00:b5:6d:06:08:ba_74:da:38:4a:76:49_2	DavidElec,TW_EdimaxTec,TW	80	http	2	4	0	0	0	0	0	0	0	0.013101	0.0065505	0.004631903	152.6601	0	-0.3333333	0	0x0a13	13	13	43	43	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	845724031	2	0	0	2	0	0	0	42780	42810	42780	42880	0	1	1	0	0x0313	0x3000	2	8	0x0000011e	1380	128	0x0000	0x00	0	0x00	3520450556	4294922670	1	3520450556.000000	18446744071655019033.4146490560	0.001831	0.001772	0.002177	0.00190275	0.0001325733	0.01293375	0.0001526438	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	6	1	1	1	1	2	0
A	13	0x0400000000004000	1465917977.763249000	1465917978.072842000	0.309593000	1	3	eth:ipv4:tcp	74:da:38:4a:76:49	00:b5:6d:06:08:ba	0x0800		10.10.10.186	04	"Private network"	3299	54.217.230.12	us	"Amazoncom"	8767	6	0x00	1	74:da:38:4a:76:49_00:b5:6d:06:08:ba_6	EdimaxTec,TW_DavidElec,TW	8767	unknown	6	6	475	231	0	428	79.16666	140.4019	0	0.141813	0.05159884	0.04580524	19.38028	1534.272	0	0.3456091	0x0213	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1252608376	5	475	0	5	231	0	428	5840	5840	5840	5840	0	0	0	0	0x011b	0x0000	6	20	0x0000011e	1460	2	0x0000	0x00	0	0x00	4294923924	1978763676	0.001	4294924.127998	1461623054.3994526264	0.02417197	0.02396704	0.14028	0.05606933	0.03925889	0.025544	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	5	1	2	2	0.4	1	33	3644
B	13	0x0400000000004001	1465917977.787421000	1465917978.096816000	0.309395000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	74:da:38:4a:76:49	0x0800		54.217.230.12	us	"Amazoncom"	8767	10.10.10.186	04	"Private network"	3299	6	0x00	1	00:b5:6d:06:08:ba_74:da:38:4a:76:49_6	DavidElec,TW_EdimaxTec,TW	8767	unknown	6	6	231	475	0	231	38.5	71.4933	0	0.116313	0.05156583	0.03195931	19.39269	746.6184	0	-0.3456091	0x0a13	1	9594	34	34	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	258204319	6	231	0	6	475	0	231	28960	29712.63	28960	30080	0	2	1	0	0x031b	0x0000	6	20	0x0000011e	1380	128	0x0000	0x00	0	0x00	1978763683	4294923924	0.001	1978763.776986	1463939215.1549733488	0.001372032	0.001178	0.04175405	0.008289848	0.01340324	0.06435918	0.04148382	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	5	1	1	1	1	6	231
A	2	0x0400000000004000	1465917944.090271000	1465917947.146289000	3.056018000	1	3	eth:ipv4:udp	74:da:38:4a:76:49	ff:ff:ff:ff:ff:ff	0x0800		0.0.0.0	-	"-"	68	255.255.255.255	11	"Broadcast"	67	17	0x00	1	74:da:38:4a:76:49_ff:ff:ff:ff:ff:ff_3	EdimaxTec,TW_Broadcast	67	bootps	3	0	1644	0	548	548	548	0	0	3.024018	1.018673	1.157824	0.9816695	537.955	1	1	0x0001	0	0	64	64	0	0x00	0x0800	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	2	1	1	1	1	3	1644
A	4	0x0000000000000044	1465917947.433935000	1465917952.448569000	5.014634000	1	2	eth:arp	00:b5:6d:06:08:ba	74:da:38:4a:76:49	0x0806		-	-	"-"	0	-	-	"-"	0	0	0x00	1	00:b5:6d:06:08:ba_74:da:38:4a:76:49_2	DavidElec,TW_EdimaxTec,TW	0	unknown	2	1	56	28	28	28	28	0	0	5.014634	2.507317	1.772941	0.3988327	11.16732	0.3333333	0.3333333	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0	0	0	0
B	4	0x0000000000000045	1465917952.451111000	1465917952.451111000	0.000000000	1	2	eth:arp	74:da:38:4a:76:49	00:b5:6d:06:08:ba	0x0806		-	-	"-"	0	-	-	"-"	0	0	0x00	1	74:da:38:4a:76:49_00:b5:6d:06:08:ba_1	EdimaxTec,TW_DavidElec,TW	0	unknown	1	2	28	56	28	28	28	0	0	0	0	0	0	0	-0.3333333	-0.3333333	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0	0	0	0
A	7	0x0000000000000004	1465917963.747400000	1465917963.747400000	0.000000000	1	2	eth:llc	74:da:38:4a:76:49	ff:ff:ff:ff:ff:ff	0x0001		-	-	"-"	0	-	-	"-"	0	0	0x00	1	74:da:38:4a:76:49_ff:ff:ff:ff:ff:ff_1	EdimaxTec,TW_Broadcast	0	unknown	1	0	3	0	3	3	3	0	0	0	0	0	0	0	1	1	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0	0	0	0
A	1	0x0000000000000004	1465917943.973464000	1465917963.759453000	19.785989000	1	2	eth:eapol	74:da:38:4a:76:49	28:b2:bd:c3:41:78	0x888e		-	-	"-"	0	-	-	"-"	0	0	0x00	1	74:da:38:4a:76:49_28:b2:bd:c3:41:78_4	EdimaxTec,TW_IntelCorp,MY	0	unknown	4	0	440	0	99	121	110	8.599094	0	19.77691	4.946497	7.039469	0.2021632	22.23796	1	1	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0	0	0	0
A	10	0x0400000000004000	1465917973.476898000	1465917973.476898000	0.000000000	1	3	eth:ipv4:udp	74:da:38:4a:76:49	00:b5:6d:06:08:ba	0x0800		10.10.10.186	04	"Private network"	3072	5.9.56.53	de	"HOS-GUN"	123	17	0x00	1	74:da:38:4a:76:49_00:b5:6d:06:08:ba_1	EdimaxTec,TW_DavidElec,TW	123	ntp	1	1	48	48	48	48	48	0	0	0	0	0	0	0	0	0	0x0001	65535	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.006298016	0.006298016	0.006298016	0.006298016	0	0.006298016	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	5	1	2	2	0.4	1	48	6192
B	10	0x0400000000004001	1465917973.483196000	1465917973.483196000	0.000000000	1	3	eth:ipv4:udp	00:b5:6d:06:08:ba	74:da:38:4a:76:49	0x0800		5.9.56.53	de	"HOS-GUN"	123	10.10.10.186	04	"Private network"	3072	17	0x00	1	00:b5:6d:06:08:ba_74:da:38:4a:76:49_1	DavidElec,TW_EdimaxTec,TW	123	ntp	1	1	48	48	48	48	48	0	0	0	0	0	0	0	0	0	0x0001	65535	0	49	49	0	0x10	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0.006298016	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	5	1	1	1	1	1	48
A	5	0x0400000000004000	1465917947.437069000	1465917973.685190000	26.248121000	1	3	eth:ipv4:udp	74:da:38:4a:76:49	00:b5:6d:06:08:ba	0x0800		10.10.10.186	04	"Private network"	3072	10.10.10.1	04	"Private network"	53	17	0x00	1	74:da:38:4a:76:49_00:b5:6d:06:08:ba_4	EdimaxTec,TW_DavidElec,TW	53	domain	4	4	128	835	30	34	32	1.20185	0	25.60148	6.56203	8.24769	0.1523919	4.87654	0	-0.7341641	0x0001	60	6383	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	7.5008e-05	7.5008e-05	0.001712	0.00049274	0.0005786195	25.60148	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	4	1	2	2	0.5	1	48	6192
B	5	0x0400000000004001	1465917947.437144000	1465917973.685284000	26.248140000	1	3	eth:ipv4:udp	00:b5:6d:06:08:ba	74:da:38:4a:76:49	0x0800		10.10.10.1	04	"Private network"	53	10.10.10.186	04	"Private network"	3072	17	0x00	1	00:b5:6d:06:08:ba_74:da:38:4a:76:49_4	DavidElec,TW_EdimaxTec,TW	53	domain	4	4	835	128	79	500	208.75	139.9456	0	25.6015	6.562035	8.247734	0.1523917	31.81178	0	0.7341641	0x0001	10	591	64	64	0	0x00	0x0840	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	25.60141	0.239711	25.60141	12.96191	10.53579	12.96241	10.53579	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	4	1	1	1	1	4	835
A	11	0x0400000000004000	1465917973.688725000	1465917973.898352000	0.209627000	1	3	eth:ipv4:udp	74:da:38:4a:76:49	ff:ff:ff:ff:ff:ff	0x0800		10.10.10.186	04	"Private network"	58294	255.255.255.255	11	"Broadcast"	58294	17	0x00	1	74:da:38:4a:76:49_ff:ff:ff:ff:ff:ff_3	EdimaxTec,TW_Broadcast	58294	unknown	3	0	174	0	58	58	58	0	0	0.105641	0.06987567	0.03630207	14.31113	830.0457	1	1	0x0001	0	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	3	1	3	1	0.3333333	0.3333333	48	6192
A	3	0x0000000000000044	1465917947.433914000	1465917976.963326000	29.529412000	1	2	eth:arp	74:da:38:4a:76:49	ff:ff:ff:ff:ff:ff	0x0806		-	-	"-"	0	-	-	"-"	0	0	0x00	1	74:da:38:4a:76:49_ff:ff:ff:ff:ff:ff_2	EdimaxTec,TW_Broadcast	0	unknown	2	0	56	0	28	28	28	0	0	29.52941	14.76471	10.44022	0.06772909	1.896414	1	1	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0	0	0	0
A	12	0x0400000000004000	1465917975.899411000	1465917977.722415000	1.823004000	1	3	eth:ipv4:udp	74:da:38:4a:76:49	00:b5:6d:06:08:ba	0x0800		10.10.10.186	04	"Private network"	58294	122.248.252.67	sg	"Amazon Asia-Pacific Resources "	8765	17	0x00	1	74:da:38:4a:76:49_00:b5:6d:06:08:ba_7	EdimaxTec,TW_DavidElec,TW	8765	ultraseek-http	7	2	2288	707	36	379	326.8571	93.07306	0	1.677147	0.2604291	0.4811631	3.839816	1255.071	0.5555556	0.5278798	0x0001	0	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	0.2577199	1.582809	0.9202645	0.4684897	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	3	1	4	4	1.333333	1	48	6192
B	12	0x0400000000004001	1465917976.157881000	1465917977.482970000	1.325089000	1	3	eth:ipv4:udp	00:b5:6d:06:08:ba	74:da:38:4a:76:49	0x0800		122.248.252.67	sg	"Amazon Asia-Pacific Resources "	8765	10.10.10.186	04	"Private network"	58294	17	0x00	1	00:b5:6d:06:08:ba_74:da:38:4a:76:49_2	DavidElec,TW_EdimaxTec,TW	8765	ultraseek-http	2	7	707	2288	85	622	353.5	189.8582	0	1.325089	0.6625445	0.4684897	1.509333	533.5491	-0.5555556	-0.5278798	0x0001	204	204	227	227	0	0x08	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	0.09433804	0.239445	0.1195014	0.07811163	1.039766	0.4749569	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	3	3	3	3	1	4	1414
