%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	1	0x0000000000000004	1473171024.317024000	1473171024.323366000	0.006342000	1	2	eth:eapol	3c:49:37:03:17:f0	28:b2:bd:c3:41:78	0x888e		-	-	"-"	0	-	-	"-"	0	0	0x00	1	3c:49:37:03:17:f0_28:b2:bd:c3:41:78_2	AssmannEl,DE_IntelCorp,MY	0	unknown	2	0	220	0	99	121	110	7.778174	0	0.006342	0.003171	0.002242235	315.3579	34689.38	1	1	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0	0	0	0
A	4	0x0800000000008001	1473171025.615016000	1473171025.615016000	0.000000000	1	4	eth:ipv6:ipv6.hopopts:icmpv6	3c:49:37:03:17:f0	33:33:00:00:00:16	0x86dd		fe80::3e49:37ff:fe03:17f0	02	"Link-local"	0	ff02::16	10	"MLDv2-capable routers"	0	58	0x00	1	3c:49:37:03:17:f0_33:33:00:00:00:16_1	AssmannEl,DE_IPv6Multi	0	unknown	1	0	20	0	20	20	20	0	0	0	0	0	0	0	-1	1	0x0001	65535	0	1	1	0	0x00	0x0000	0	0x00_0x00000000	2_0	0x00000022_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x01	1	0x00008000_0x00000000_0x0001	0x00000000	0	0	2	1	1	1	0.5	1	3	36
A	8	0x0400000000004000	1473171028.013931000	1473171028.013931000	0.000000000	1	3	eth:ipv4:icmp	00:b5:6d:06:08:ba	3c:49:37:03:17:f0	0x0800		10.10.10.1	04	"Private network"	0	10.10.10.207	04	"Private network"	0	1	0x00	1	00:b5:6d:06:08:ba_3c:49:37:03:17:f0_1	DavidElec,TW_AssmannEl,DE	0	unknown	1	0	20	0	20	20	20	0	0	0	0	0	0	0	1	1	0x0001	65535	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x01	1	0x00000000_0x00000100_0x0001	0x00000000	0	0	1	1	1	1	1	1	3	620
A	3	0x0400000000004000	1473171025.510520000	1473171028.127071000	2.616551000	1	3	eth:ipv4:udp	3c:49:37:03:17:f0	ff:ff:ff:ff:ff:ff	0x0800		0.0.0.0	-	"-"	68	255.255.255.255	11	"Broadcast"	67	17	0x00	1	3c:49:37:03:17:f0_ff:ff:ff:ff:ff:ff_2	AssmannEl,DE_Broadcast	67	bootps	2	0	1096	0	548	548	548	0	0	2.616551	1.308275	0.9250904	0.764365	418.872	1	1	0x0001	0	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1	1	2	1096
A	7	0x0400000000004000	1473171026.818513000	1473171028.132834000	1.314321000	1	3	eth:ipv4:udp	3c:49:37:03:17:f0	00:b5:6d:06:08:ba	0x0800		10.10.10.83	04	"Private network"	3072	192.168.1.13	07	"Private network"	69	17	0x00	1	3c:49:37:03:17:f0_00:b5:6d:06:08:ba_6	AssmannEl,DE_DavidElec,TW	69	tftp	6	0	162	0	27	27	27	0	0	0.750651	0.2190535	0.2231984	4.565094	123.2576	1	1	0x0001	0	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	2	1	1	1	1	6	162
A	9	0x0400000000004001	1473171028.013983000	1473171028.186408000	0.172425000	1	3	eth:ipv4:udp	00:b5:6d:06:08:ba	3c:49:37:03:17:f0	0x0800		10.10.10.1	04	"Private network"	67	10.10.10.207	04	"Private network"	68	17	0x00	1	00:b5:6d:06:08:ba_3c:49:37:03:17:f0_2	DavidElec,TW_AssmannEl,DE	67	bootps	2	0	600	0	300	300	300	0	0	0.172425	0.08621249	0.06096144	11.59925	3479.774	-1	1	0x0001	10	10	64	64	0	0xc0	0x0800	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	2	1	1	1	1	0	4198402
A	5	0x0000000000000044	1473171026.809825000	1473171028.897816000	2.087991000	1	2	eth:arp	3c:49:37:03:17:f0	ff:ff:ff:ff:ff:ff	0x0806		-	-	"-"	0	-	-	"-"	0	0	0x00	1	3c:49:37:03:17:f0_ff:ff:ff:ff:ff:ff_3	AssmannEl,DE_Broadcast	0	unknown	3	0	84	0	28	28	28	0	0	1.856516	0.695997	0.6733497	1.436788	40.23006	1	1	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0	0	0	0
A	6	0x0000000000000044	1473171026.809850000	1473171028.897840000	2.087990000	1	2	eth:arp	00:b5:6d:06:08:ba	3c:49:37:03:17:f0	0x0806		-	-	"-"	0	-	-	"-"	0	0	0x00	1	00:b5:6d:06:08:ba_3c:49:37:03:17:f0_2	DavidElec,TW_AssmannEl,DE	0	unknown	2	0	56	0	28	28	28	0	0	2.08799	1.043995	0.738216	0.957859	26.82005	1	1	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0	0	0	0
A	2	0x0800000000008001	1473171024.970021000	1473171029.108258000	4.138237000	1	3	eth:ipv6:icmpv6	3c:49:37:03:17:f0	33:33:00:00:00:02	0x86dd		fe80::3e49:37ff:fe03:17f0	02	"Link-local"	0	ff02::2	10	"Routers Address"	0	58	0x00	1	3c:49:37:03:17:f0_33:33:00:00:00:02_2	AssmannEl,DE_IPv6Multi	0	unknown	2	0	16	0	8	8	8	0	0	4.138237	2.069118	1.463088	0.4832976	3.866381	-1	1	0x0001	65535	0	255	255	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x01	2	0x00000020_0x00000000_0x0001	0x00000000	0	0	1	1	1	1	1	1	3	36
A	10	0x0400000000004000	1473171028.912154000	1473171033.732893000	4.820739000	1	3	eth:ipv4:udp	3c:49:37:03:17:f0	00:b5:6d:06:08:ba	0x0800		10.10.10.207	04	"Private network"	3072	192.168.1.13	07	"Private network"	69	17	0x00	1	3c:49:37:03:17:f0_00:b5:6d:06:08:ba_4	AssmannEl,DE_DavidElec,TW	69	tftp	4	0	108	0	27	27	27	0	0	1.999974	1.205185	0.617828	0.8297483	22.40321	1	1	0x0001	0	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1	1	4	108
