%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	10	0x0400000000004000	1471860427.221154000	1471860428.331854000	1.110700000	1	3	eth:ipv4:tcp	ac:cf:23:62:3c:6e	00:b5:6d:06:08:ba	0x0800		10.10.10.149	04	"Private network"	8670	52.10.39.38	us	"MAINT-APNIC-AP"	7531	6	0x00	1	ac:cf:23:62:3c:6e_00:b5:6d:06:08:ba_6	Hiflyinge,CN_DavidElec,TW	7531	unknown	6	4	25	25	0	25	4.166667	7.73737	0	0.462917	0.1851167	0.1373732	5.401999	22.50833	0.2	0	0x0011	1	7	255	255	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	6509	5	25	0	5	25	0	25	1500	1483.275	1474	1500	2	0	0	0	0x011b	0x0000	1	1	0x00000004	1400	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.166828	0.166496	0.167177	0.1668687	0.000197799	0.180052	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	6	1	2	2	0.3333333	1	23	553
B	10	0x0400000000004001	1471860427.387982000	1471860428.309984000	0.922002000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	ac:cf:23:62:3c:6e	0x0800		52.10.39.38	us	"MAINT-APNIC-AP"	7531	10.10.10.149	04	"Private network"	8670	6	0x00	1	00:b5:6d:06:08:ba_ac:cf:23:62:3c:6e_4	DavidElec,TW_Hiflyinge,CN	7531	unknown	4	6	25	25	0	25	6.25	8.900003	0	0.733985	0.2305005	0.2579308	4.338385	27.11491	-0.2	0	0x0011	1	55071	40	40	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	127781701	4	25	0	4	25	0	25	2048	2048	2048	2048	0	0	0	0	0x031b	0x0000	1	1	0x00000004	1380	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.013224	0.013224	0.567011	0.1233772	0.1797816	0.2902459	0.1797818	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	6	1	1	1	1	4	25
A	1	0x0400000000004000	1471860399.013460000	1471860424.947319000	25.933859000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	ac:cf:23:62:3c:6e	0x0800		52.24.113.48	us	"MAINT-APNIC-AP"	7533	10.10.10.149	04	"Private network"	13156	6	0x00	1	00:b5:6d:06:08:ba_ac:cf:23:62:3c:6e_5	DavidElec,TW_Hiflyinge,CN	13156	unknown	5	0	0	0	0	0	0	0	0	21.55629	5.186772	7.354432	0.1927982	0	1	0	0x0011	1	4	40	40	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3038936955	1	0	0	5	0	0	0	2048	2048	2048	2048	0	0	0	0	0x0111	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x83	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1	1	15	166
A	3	0x0000000000000004	1471860424.619140000	1471860424.951847000	0.332707000	1	2	eth:eapol	ac:cf:23:62:3c:6e	28:b2:bd:c3:41:78	0x888e		-	-	"-"	0	-	-	"-"	0	0	0x00	1	ac:cf:23:62:3c:6e_28:b2:bd:c3:41:78_3	Hiflyinge,CN_IntelCorp,MY	0	unknown	3	0	319	0	99	121	106.3333	7.632776	0	0.192137	0.1109023	0.06201895	9.016943	958.8016	1	1	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0	0	0	0
A	4	0x0400000000004000	1471860424.947191000	1471860424.976936000	0.029745000	1	3	eth:ipv4:udp	ac:cf:23:62:3c:6e	ff:ff:ff:ff:ff:ff	0x0800		0.0.0.0	-	"-"	68	255.255.255.255	11	"Broadcast"	67	17	0x00	1	ac:cf:23:62:3c:6e_ff:ff:ff:ff:ff:ff_2	Hiflyinge,CN_Broadcast	67	bootps	2	0	616	0	308	308	308	0	0	0.029745	0.0148725	0.01051645	67.23819	20709.36	1	1	0x0001	1	1	255	255	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	2	1	1	1	1	2	616
A	5	0x0400000000004001	1471860424.947373000	1471860425.021676000	0.074303000	1	3	eth:ipv4:udp	00:b5:6d:06:08:ba	ac:cf:23:62:3c:6e	0x0800		10.10.10.1	04	"Private network"	67	10.10.10.149	04	"Private network"	68	17	0x00	1	00:b5:6d:06:08:ba_ac:cf:23:62:3c:6e_2	DavidElec,TW_Hiflyinge,CN	67	bootps	2	0	600	0	300	300	300	0	0	0.07430298	0.03715149	0.02627007	26.91681	8075.044	-1	1	0x0001	18	18	64	64	0	0xc0	0x0800	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	5	4	1	1	0.25	9	1506
A	7	0x0400000000004000	1471860425.779209000	1471860427.168713000	1.389504000	1	3	eth:ipv4:udp	ac:cf:23:62:3c:6e	ff:ff:ff:ff:ff:ff	0x0800		10.10.10.149	04	"Private network"	48899	255.255.255.255	11	"Broadcast"	49999	17	0x00	1	ac:cf:23:62:3c:6e_ff:ff:ff:ff:ff:ff_7	Hiflyinge,CN_Broadcast	49999	unknown	7	0	175	0	25	25	25	0	0	0.477734	0.1985006	0.1880654	5.037769	125.9442	1	1	0x0001	1	3	255	255	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	5	1	1	1	0.2	1	27	674
A	6	0x0000000000000044	1471860425.127822000	1471860427.175961000	2.048139000	1	2	eth:arp	ac:cf:23:62:3c:6e	ff:ff:ff:ff:ff:ff	0x0806		-	-	"-"	0	-	-	"-"	0	0	0x00	1	ac:cf:23:62:3c:6e_ff:ff:ff:ff:ff:ff_4	Hiflyinge,CN_Broadcast	0	unknown	4	0	137	0	28	53	34.25	8.900002	0	0.925385	0.5120348	0.3311832	1.952992	66.88999	1	1	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0	0	0	0
A	9	0x0400000000004000	1471860427.205039000	1471860427.582972000	0.377933000	1	3	eth:ipv4:udp	ac:cf:23:62:3c:6e	00:b5:6d:06:08:ba	0x0800		10.10.10.149	04	"Private network"	49152	10.10.10.1	04	"Private network"	53	17	0x00	1	ac:cf:23:62:3c:6e_00:b5:6d:06:08:ba_3	Hiflyinge,CN_DavidElec,TW	53	domain	3	3	100	602	32	35	33.33333	0.8871509	0	0.371002	0.1259777	0.141479	7.937915	264.5972	0	-0.7150997	0x0001	1	5	255	255	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	8.4e-05	8.1984e-05	0.358639	0.1196017	0.1243991	0.006930992	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	4	1	3	2	0.5	0.6666667	27	674
B	9	0x0400000000004001	1471860427.205123000	1471860427.583054000	0.377931000	1	3	eth:ipv4:udp	00:b5:6d:06:08:ba	ac:cf:23:62:3c:6e	0x0800		10.10.10.1	04	"Private network"	53	10.10.10.149	04	"Private network"	49152	17	0x00	1	00:b5:6d:06:08:ba_ac:cf:23:62:3c:6e_3	DavidElec,TW_Hiflyinge,CN	53	domain	3	3	602	100	49	502	200.6667	156.9002	0	0.365486	0.125977	0.1242102	7.937957	1592.883	0	0.7150997	0x0001	2	65	64	64	0	0x00	0x0840	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.006846992	0.006846992	0.01236301	0.008685664	0.002123116	0.1282873	0.1244172	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	4	2	1	1	0.5	9	1506
A	12	0x0400000000004000	1471860428.484021000	1471860428.484021000	0.000000000	1	3	eth:ipv4:udp	ac:cf:23:62:3c:6e	00:b5:6d:06:08:ba	0x0800		10.10.10.149	04	"Private network"	49153	193.175.73.151	de	"Charite - Universitaetsmedizin"	123	17	0x00	1	ac:cf:23:62:3c:6e_00:b5:6d:06:08:ba_1	Hiflyinge,CN_DavidElec,TW	123	ntp	1	1	48	48	48	48	48	0	0	0	0	0	0	0	0	0	0x0001	65535	0	255	255	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.01792701	0.01792701	0.01792701	0.01792701	0	0.01792701	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	4	1	2	3	0.75	1.5	27	674
B	12	0x0400000000004001	1471860428.501948000	1471860428.501948000	0.000000000	1	3	eth:ipv4:udp	00:b5:6d:06:08:ba	ac:cf:23:62:3c:6e	0x0800		193.175.73.151	de	"Charite - Universitaetsmedizin"	123	10.10.10.149	04	"Private network"	49153	17	0x00	1	00:b5:6d:06:08:ba_ac:cf:23:62:3c:6e_1	DavidElec,TW_Hiflyinge,CN	123	ntp	1	1	48	48	48	48	48	0	0	0	0	0	0	0	0	0	0x0001	65535	0	49	49	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0.01792701	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	4	1	2	2	2	1	48
A	11	0x0400000000004000	1471860428.182182000	1471860454.859166000	26.676984000	1	3	eth:ipv4:tcp	ac:cf:23:62:3c:6e	00:b5:6d:06:08:ba	0x0800		10.10.10.149	04	"Private network"	9627	52.24.113.48	us	"MAINT-APNIC-AP"	7533	6	0x00	1	ac:cf:23:62:3c:6e_00:b5:6d:06:08:ba_7	Hiflyinge,CN_DavidElec,TW	7533	unknown	7	10	182	166	0	107	26	31.29087	0	25.7283	3.810997	8.171624	0.2623985	6.82236	-0.1764706	0.04597701	0x0011	1	24	255	255	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	6513	6	182	0	6	166	0	107	1500	1395.644	1334	1500	3	0	0	0	0x001a	0x0000	1	1	0x00000004	1400	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.166312	0.158586	0.202796	0.168964	0.01095278	0.178193	0	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	3	1	2	2	0.6666667	1	27	674
