%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	14	0x0400000000004000	1461682523.693991000	1461682523.693991000	0.000000000	1	3	eth:ipv4:tcp	38:0b:40:ef:85:41	00:17:88:24:76:ff	0x0800		10.10.10.30	04	"Private network"	51436	10.10.10.6	04	"Private network"	80	6	0x00	1	38:0b:40:ef:85:41_00:17:88:24:76:ff_1	SamsungEl,KR_PhilipsLi,AE	80	http	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0013	65535	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3885398451	0	0	0	0	0	0	0	14600	14600	14600	14600	0	0	0	0	0x0002	0x3000	1	5	0x0000011e	1460	0	0x0000	0x00	0	0x00	87753970	0	0.004	351015.896672	1461331508.1604593344	0.000385024	0.000385024	0.000385024	0.000385024	0	0.000385024	0	0x03	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	2	3	3	3	1	5	0
B	14	0x0400000000004001	1461682523.694376000	1461682523.694376000	0.000000000	1	3	eth:ipv4:tcp	00:17:88:24:76:ff	38:0b:40:ef:85:41	0x0800		10.10.10.6	04	"Private network"	80	10.10.10.30	04	"Private network"	51436	6	0x00	1	00:17:88:24:76:ff_38:0b:40:ef:85:41_1	PhilipsLi,AE_SamsungEl,KR	80	http	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0011	65535	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0x0414	0x2000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0.000385024	0	0x43	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	2	1	2	2	1	1	7	697
A	17	0x0400000000004000	1461682526.239648000	1461682526.568934000	0.329286000	1	3	eth:ipv4:tcp	00:17:88:24:76:ff	00:b5:6d:06:08:ba	0x0800		10.10.10.6	04	"Private network"	58766	162.13.31.14	gb	"RSPC-MNT"	80	6	0x00	1	00:17:88:24:76:ff_00:b5:6d:06:08:ba_13	PhilipsLi,AE_DavidElec,TW	80	http	13	14	2694	5559	0	1257	207.2308	408.5168	0	0.195495	0.02532969	0.04670242	39.47936	8181.337	-0.03703704	-0.3471465	0x0813	49790	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3157119903	12	2694	0	12	5559	0	1257	29200	39585.35	29200	42408	0	5	1	0	0x011b	0x0000	13	41	0x0000011e	1460	0	0x0000	0x00	0	0x00	4294940754	1393621991	1	4294940754.000000	18446744070876293388.1998316928	0.01839299	0.01808301	0.03273299	0.02349228	0.005341054	0.018732	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	10	1	6	10	1	1.666667	94	16154
B	17	0x0400000000004001	1461682526.258041000	1461682526.568650000	0.310609000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	00:17:88:24:76:ff	0x0800		162.13.31.14	gb	"RSPC-MNT"	80	10.10.10.6	04	"Private network"	58766	6	0x00	1	00:b5:6d:06:08:ba_00:17:88:24:76:ff_14	DavidElec,TW_PhilipsLi,AE	80	http	14	13	5559	2694	0	1368	397.0714	503.4019	0	0.214386	0.02218636	0.04953685	45.07274	17897.1	0.03703704	0.3471465	0x0813	1	9835	237	237	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1244499316	14	5559	0	14	2694	0	2309	4140	6636.1	4140	6834	0	3	1	0	0x031b	0x0000	14	44	0x00000116	1380	0	0x0000	0x00	0	0x00	1393621991	4294940752	1	1393621991.000000	68060535.1714316928	0.000339008	0.000284032	0.195986	0.01641047	0.04814648	0.03990275	0.04844182	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	10	5	9	9	1.8	24	7397
A	21	0x0400000000004000	1461682526.568250000	1461682526.624654000	0.056404000	1	3	eth:ipv4:tcp	00:17:88:24:76:ff	00:b5:6d:06:08:ba	0x0800		10.10.10.6	04	"Private network"	58767	162.13.31.14	gb	"RSPC-MNT"	80	6	0x00	1	00:17:88:24:76:ff_00:b5:6d:06:08:ba_5	PhilipsLi,AE_DavidElec,TW	80	http	5	5	1194	855	0	1194	238.8	394.9034	0	0.039826	0.0112808	0.01320764	88.64619	21168.71	0	0.1654466	0x0813	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3261396145	4	1194	0	4	855	0	1194	29200	30005.8	29200	30780	0	1	1	0	0x011b	0x0000	5	17	0x0000011e	1460	0	0x0000	0x00	0	0x00	4294940759	1393622047	1	4294940759.000000	18446744070876293383.1883742080	0.01541299	0.015352	0.03945696	0.02505439	0.00991178	0.01578099	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	10	1	4	8	0.8	2	94	16154
B	21	0x0400000000004001	1461682526.583663000	1461682526.640270000	0.056607000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	00:17:88:24:76:ff	0x0800		162.13.31.14	gb	"RSPC-MNT"	80	10.10.10.6	04	"Private network"	58767	6	0x00	1	00:b5:6d:06:08:ba_00:17:88:24:76:ff_5	DavidElec,TW_PhilipsLi,AE	80	http	5	5	855	1194	0	855	171	282.7826	0	0.024082	0.0113214	0.007824297	88.3283	15104.14	0	-0.1654466	0x0813	2	1361	234	234	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	581062605	5	855	0	5	1194	0	855	4140	5047.321	4140	5334	0	1	1	0	0x031b	0x0000	5	17	0x00000116	1380	0	0x0000	0x00	0	0x00	1393622064	4294940759	1	1393622064.000000	68060462.319872896	0.000368	0.000368	0.000940032	0.0005278208	0.0001978563	0.02558221	0.009913755	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	10	3	7	7	2.333333	24	7397
A	23	0x0400000000004000	1461682526.636455000	1461682526.683552000	0.047097000	1	3	eth:ipv4:tcp	00:17:88:24:76:ff	00:b5:6d:06:08:ba	0x0800		10.10.10.6	04	"Private network"	58768	162.13.31.14	gb	"RSPC-MNT"	80	6	0x00	1	00:17:88:24:76:ff_00:b5:6d:06:08:ba_5	PhilipsLi,AE_DavidElec,TW	80	http	5	5	1210	983	0	1210	242	400.1953	0	0.030862	0.0094194	0.01031857	106.1639	25691.66	0	0.1035112	0x0813	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3909569504	4	1210	0	4	983	0	1210	29200	29849.23	29200	30473	0	1	1	0	0x011b	0x0000	5	17	0x0000011e	1460	0	0x0000	0x00	0	0x00	4294940765	1393622106	1	4294940765.000000	18446744070876293377.652199936	0.01512102	0.01474502	0.03044602	0.02134382	0.006285716	0.01542003	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	10	1	2	6	0.6	3	94	16154
B	23	0x0400000000004001	1461682526.651576000	1461682526.698297000	0.046721000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	00:17:88:24:76:ff	0x0800		162.13.31.14	gb	"RSPC-MNT"	80	10.10.10.6	04	"Private network"	58768	6	0x00	1	00:b5:6d:06:08:ba_00:17:88:24:76:ff_5	DavidElec,TW_PhilipsLi,AE	80	http	5	5	983	1210	0	983	196.6	325.1173	0	0.016554	0.009344201	0.006092824	107.0183	21039.79	0	-0.1035112	0x0813	2	952	234	234	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	273121226	5	983	0	5	1210	0	983	4140	5059.479	4140	5350	0	1	1	0	0x031b	0x0000	5	17	0x00000116	1380	0	0x0000	0x00	0	0x00	1393622122	4294940765	1	1393622122.000000	68060404.2512298048	0.000299008	0.000299008	0.00096	0.0005088	0.000217539	0.02185262	0.006289479	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	10	1	5	5	5	24	7397
A	37	0x0400000000004000	1461682527.141509000	1461682527.578005000	0.436496000	1	3	eth:ipv4:tcp	00:17:88:24:76:ff	00:b5:6d:06:08:ba	0x0800		10.10.10.6	04	"Private network"	58385	5.79.62.93	gb	"RSPC-MNT"	80	6	0x00	1	00:17:88:24:76:ff_00:b5:6d:06:08:ba_6	PhilipsLi,AE_DavidElec,TW	80	http	6	6	1718	871	0	1120	286.3333	373.2231	0	0.407664	0.07274933	0.1341862	13.74583	3935.89	0	0.3271534	0x0813	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	4009450822	5	1718	0	5	871	0	1120	29200	29855.35	29200	30485	0	1	1	0	0x011b	0x0000	6	20	0x0000011e	1460	0	0x0000	0x00	0	0x00	4294940855	1393623002	1	4294940855.000000	18446744070876293288.2479382336	0.01379101	0.01356902	0.4072	0.1448215	0.163345	0.01404101	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	9	1	4	4	0.4444444	1	94	16154
B	37	0x0400000000004001	1461682527.155300000	1461682527.591574000	0.436274000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	00:17:88:24:76:ff	0x0800		5.79.62.93	gb	"RSPC-MNT"	80	10.10.10.6	04	"Private network"	58385	6	0x00	1	00:b5:6d:06:08:ba_00:17:88:24:76:ff_6	DavidElec,TW_PhilipsLi,AE	80	http	6	6	871	1718	0	871	145.1667	282.2985	0	0.393562	0.07271232	0.1248916	13.75283	1996.452	0	-0.3271534	0x0813	2	16261	234	234	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1835257017	6	871	0	6	1718	0	871	4140	5488.582	4140	5858	0	2	1	0	0x031b	0x0000	6	20	0x00000116	1380	0	0x0000	0x00	0	0x00	1393623017	4294940855	1	1393623017.000000	68059510.3163480448	0.00025	0.00025	0.000958976	0.0004819947	0.0002129628	0.1453035	0.1633451	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	9	3	3	3	1	12	1742
