%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	21	0x0400000000004000	1473672381.356662000	1473672381.375704000	0.019042000	1	3	eth:ipv4:tcp	38:0b:40:ef:85:41	00:17:88:24:76:ff	0x0800		10.10.10.30	04	"Private network"	41757	10.10.10.6	04	"Private network"	80	6	0x00	1	38:0b:40:ef:85:41_00:17:88:24:76:ff_7	SamsungEl,KR_PhilipsLi,AE	80	http	7	7	320	546	0	320	45.71429	93.30544	0	0.011015	0.002720286	0.003179815	367.6084	16804.96	0	-0.26097	0x0a13	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2961191017	6	320	0	6	547	0	320	65535	85747.43	65535	88704	0	2	1	0	0x011b	0x0000	7	23	0x0000011e	1460	128	0x0000	0x00	0	0x00	30481973	12583	1	30481973.000000	1443190408.2041845248	0.000435968	0.000257984	0.009216992	0.002045817	0.00293969	0.001792	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	104	104	104	1	331	12755
B	21	0x0408000000004001	1473672381.357098000	1473672381.375962000	0.018864000	1	3	eth:ipv4:tcp	00:17:88:24:76:ff	38:0b:40:ef:85:41	0x0800		10.10.10.6	04	"Private network"	80	10.10.10.30	04	"Private network"	41757	6	0x00	1	00:17:88:24:76:ff_38:0b:40:ef:85:41_7	PhilipsLi,AE_SamsungEl,KR	80	http	7	7	546	320	0	528	78	160.2059	-2.1e-05	0.010582	0.002694857	0.00302096	371.0772	28944.02	0	0.26097	0x0a13	2	21838	64	64	0	0x00	0x8044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	978150506	4	548	0	7	320	0	528	28960	29905.88	28960	30032	0	1	1	0	0x031b	0x0240	7	23	0x0000011e	1460	8	0x0000	0x00	0	0x00	12583	30481973	1	12583.000000	1473659798.2299845248	0.001356032	0.001148	0.003213024	0.001741156	0.0005437288	0.003786973	0.002989551	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	103	103	103	1	313	53405
A	24	0x0400000000004000	1473672381.605065000	1473672381.633721000	0.028656000	1	3	eth:ipv4:tcp	38:0b:40:ef:85:41	00:17:88:24:76:ff	0x0800		10.10.10.30	04	"Private network"	45750	10.10.10.6	04	"Private network"	80	6	0x00	1	38:0b:40:ef:85:41_00:17:88:24:76:ff_7	SamsungEl,KR_PhilipsLi,AE	80	http	7	7	319	545	0	319	45.57143	93.01387	0	0.020461	0.004093715	0.006144846	244.2769	11132.05	0	-0.2615741	0x0a13	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3335000695	6	319	0	6	544	0	319	65535	85747.43	65535	88704	0	2	1	0	0x011b	0x0000	7	23	0x0000011e	1460	128	0x0000	0x00	0	0x00	30482024	12609	1	30482024.000000	1443190357.2360807488	0.000409984	0.000216	0.01884896	0.00574357	0.007479568	0.002168	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	102	102	102	1	331	12755
B	24	0x0400000000004001	1473672381.605475000	1473672381.633937000	0.028462000	1	3	eth:ipv4:tcp	00:17:88:24:76:ff	38:0b:40:ef:85:41	0x0800		10.10.10.6	04	"Private network"	80	10.10.10.30	04	"Private network"	45750	6	0x00	1	00:17:88:24:76:ff_38:0b:40:ef:85:41_7	PhilipsLi,AE_SamsungEl,KR	80	http	7	7	545	319	0	527	77.85714	159.9044	0	0.020332	0.004066	0.006011847	245.942	19148.34	0	0.2615741	0x0a13	1	31974	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1342590423	7	545	0	7	319	0	527	28960	29905.88	28960	30032	0	1	1	0	0x031b	0x0000	7	23	0x0000011e	1460	8	0x0000	0x00	0	0x00	12609	30482024	1	12609.000000	1473659772.2576807488	0.001758016	0.001276992	0.00305696	0.00184587	0.0004456729	0.00758944	0.007492834	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	101	101	101	1	313	53405
A	26	0x0400000000004000	1473672381.751987000	1473672381.775672000	0.023685000	1	3	eth:ipv4:tcp	38:0b:40:ef:85:41	00:17:88:24:76:ff	0x0800		10.10.10.30	04	"Private network"	56781	10.10.10.6	04	"Private network"	80	6	0x00	1	38:0b:40:ef:85:41_00:17:88:24:76:ff_7	SamsungEl,KR_PhilipsLi,AE	80	http	7	7	320	546	0	320	45.71429	93.30544	0	0.015517	0.003383572	0.00458426	295.5457	13510.66	0	-0.26097	0x0a13	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3421751361	6	320	0	6	547	0	320	65535	85747.43	65535	88704	0	2	1	0	0x011b	0x0000	7	23	0x0000011e	1460	128	0x0000	0x00	0	0x00	30482053	12623	1	30482053.000000	1443190328.2577886720	0.000348992	0.000262016	0.01397402	0.002819884	0.004553344	0.001913984	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	102	102	102	1	337	12956
B	26	0x0408000000004001	1473672381.752336000	1473672381.775934000	0.023598000	1	3	eth:ipv4:tcp	00:17:88:24:76:ff	38:0b:40:ef:85:41	0x0800		10.10.10.6	04	"Private network"	80	10.10.10.30	04	"Private network"	56781	6	0x00	1	00:17:88:24:76:ff_38:0b:40:ef:85:41_7	PhilipsLi,AE_SamsungEl,KR	80	http	7	7	546	320	0	528	78	160.2059	-1.1e-05	0.015347	0.003371143	0.004468083	296.6353	23137.55	0	0.26097	0x0a13	2	26192	64	64	0	0x00	0x8044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	4105066268	4	548	0	7	320	0	528	28960	29905.88	28960	30032	0	1	1	0	0x031b	0x0240	7	23	0x0000011e	1460	8	0x0000	0x00	0	0x00	12623	30482053	1	12623.000000	1473659758.2839886720	0.001564992	0.001372992	0.003110016	0.001777143	0.0004650103	0.004597027	0.004577027	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	101	101	101	1	318	54277
A	54	0x0400000000004000	1473672390.192361000	1473672390.213007000	0.020646000	1	3	eth:ipv4:tcp	38:0b:40:ef:85:41	00:17:88:24:76:ff	0x0800		10.10.10.30	04	"Private network"	34301	10.10.10.6	04	"Private network"	80	6	0x00	1	38:0b:40:ef:85:41_00:17:88:24:76:ff_7	SamsungEl,KR_PhilipsLi,AE	80	http	7	7	319	545	0	319	45.57143	93.01387	0	0.009929	0.002949429	0.002798943	339.0487	15450.93	0	-0.2615741	0x0a13	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	964028537	6	319	0	6	544	0	319	65535	85747.43	65535	88704	0	2	1	0	0x011b	0x0000	7	23	0x0000011e	1460	128	0x0000	0x00	0	0x00	30483740	13467	1	30483740.000000	1443188650.2553602496	0.000403008	0.000276	0.008342	0.002768713	0.003181322	0.001824	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	144	144	144	1	473	17386
B	54	0x0400000000004001	1473672390.192764000	1473672390.213283000	0.020519000	1	3	eth:ipv4:tcp	00:17:88:24:76:ff	38:0b:40:ef:85:41	0x0800		10.10.10.6	04	"Private network"	80	10.10.10.30	04	"Private network"	34301	6	0x00	1	00:17:88:24:76:ff_38:0b:40:ef:85:41_7	PhilipsLi,AE_SamsungEl,KR	80	http	7	7	545	319	0	527	77.85714	159.9044	0	0.010813	0.002931286	0.003119788	341.1472	26560.75	0	0.2615741	0x0a13	1	33733	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3504781147	7	545	0	7	319	0	527	28960	29905.88	28960	30032	0	1	1	0	0x031b	0x0000	7	23	0x0000011e	1460	8	0x0000	0x00	0	0x00	13467	30483740	1	13467.000000	1473658923.2829602496	0.001420992	0.001369008	0.004624	0.002089431	0.0009120727	0.004858144	0.003309484	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	143	143	143	1	437	79374
A	1	0x0400000000004001	1473672356.211754000	1473672356.211754000	0.000000000	1	3	eth:ipv4:udp	00:b5:6d:06:08:ba	00:17:88:24:76:ff	0x0800		144.76.172.53	de	"Server Block"	123	10.10.10.6	04	"Private network"	35364	17	0x00	1	00:b5:6d:06:08:ba_00:17:88:24:76:ff_1	DavidElec,TW_PhilipsLi,AE	123	ntp	1	0	48	0	48	48	48	0	0	0	0	0	0	0	-1	1	0x0001	65535	0	50	50	0	0xc0	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	5	5	21	21	4.2	3	144
A	2	0x0400000000004000	1473672356.405063000	1473672356.426684000	0.021621000	1	3	eth:ipv4:tcp	38:0b:40:ef:85:41	00:17:88:24:76:ff	0x0800		10.10.10.30	04	"Private network"	39592	10.10.10.6	04	"Private network"	80	6	0x00	1	38:0b:40:ef:85:41_00:17:88:24:76:ff_9	SamsungEl,KR_PhilipsLi,AE	80	http	9	8	193	2672	0	193	21.44444	50.78264	0	0.009264	0.002402333	0.001900807	416.262	8926.507	0.05882353	-0.8652705	0x0813	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3675446352	8	193	0	8	2673	0	0	65535	4461.607	685	65535	1	4	1	0	0x011b	0x0000	9	29	0x0000011e	1460	128	0x0000	0x00	0	0x00	30476983	10088	1	30476983.000000	1443195373.1482237696	0	0.000139008	0.002195008	0.00077	0.0006186937	0	0	0x03	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	298	298	298	1	951	33060
