%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	44	0x0400000000004000	1471877436.579163000	1471877436.597878000	0.018715000	1	3	eth:ipv4:tcp	38:0b:40:ef:85:41	00:17:88:24:76:ff	0x0800		10.10.10.30	04	"Private network"	53534	10.10.10.6	04	"Private network"	80	6	0x00	1	38:0b:40:ef:85:41_00:17:88:24:76:ff_7	SamsungEl,KR_PhilipsLi,AE	80	http	7	7	321	546	0	321	45.85714	93.59702	0	0.009507	0.002673571	0.002659589	374.0315	17152.02	0	-0.2595156	0x0a13	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	700481442	6	321	0	6	545	0	321	65535	85747.43	65535	88704	0	2	1	0	0x011b	0x0000	7	23	0x0000011e	1460	128	0x0000	0x00	0	0x00	1533903	622719	1	1533903.000000	1470343533.877545856	0.000436992	0.000259008	0.008201024	0.002763008	0.003120193	0.001979008	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	154	154	154	1	482	17319
B	44	0x0400000000004001	1471877436.579600000	1471877436.598137000	0.018537000	1	3	eth:ipv4:tcp	00:17:88:24:76:ff	38:0b:40:ef:85:41	0x0800		10.10.10.6	04	"Private network"	80	10.10.10.30	04	"Private network"	53534	6	0x00	1	00:17:88:24:76:ff_38:0b:40:ef:85:41_7	PhilipsLi,AE_SamsungEl,KR	80	http	7	7	546	321	0	528	78	160.2091	0	0.009668	0.002648143	0.002756922	377.6231	29454.61	0	0.2595156	0x0a13	1	50542	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2426815759	7	546	0	7	321	0	528	28960	29905.88	28960	30032	0	1	1	0	0x031b	0x0000	7	23	0x0000011e	1460	8	0x0000	0x00	0	0x00	622720	1533903	1	622720.000000	1471254716.1136545856	0.001542016	0.001305984	0.003619008	0.001809143	0.0006251843	0.004572151	0.003182209	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	153	153	153	1	433	69549
A	47	0x0400000000004000	1471877436.761020000	1471877436.779282000	0.018262000	1	3	eth:ipv4:tcp	38:0b:40:ef:85:41	00:17:88:24:76:ff	0x0800		10.10.10.30	04	"Private network"	34243	10.10.10.6	04	"Private network"	80	6	0x00	1	38:0b:40:ef:85:41_00:17:88:24:76:ff_7	SamsungEl,KR_PhilipsLi,AE	80	http	7	7	320	545	0	320	45.71429	93.30544	0	0.009566	0.002608857	0.002739299	383.3096	17522.72	0	-0.2601156	0x0a13	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2378152017	6	320	0	6	544	0	320	65535	85747.43	65535	88704	0	2	1	0	0x011b	0x0000	7	23	0x0000011e	1460	128	0x0000	0x00	0	0x00	1533940	622738	1	1533940.000000	1470343496.1892919424	0.000420992	0.000345024	0.007756032	0.002621294	0.002937878	0.001897984	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	152	152	152	1	482	17319
B	47	0x0400000000004001	1471877436.761441000	1471877436.779627000	0.018186000	1	3	eth:ipv4:tcp	00:17:88:24:76:ff	38:0b:40:ef:85:41	0x0800		10.10.10.6	04	"Private network"	80	10.10.10.30	04	"Private network"	34243	6	0x00	1	00:17:88:24:76:ff_38:0b:40:ef:85:41_7	PhilipsLi,AE_SamsungEl,KR	80	http	7	7	545	320	0	527	77.85714	159.9044	0	0.009444	0.002598	0.002663501	384.9115	29968.11	0	0.2601156	0x0a13	1	57333	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1331453796	7	545	0	7	320	0	527	28960	29905.88	28960	30032	0	1	1	0	0x031b	0x0000	7	23	0x0000011e	1460	8	0x0000	0x00	0	0x00	622738	1533940	1	622738.000000	1471254698.2237919424	0.001476992	0.001476992	0.003067968	0.001874697	0.0004147261	0.004495991	0.002967006	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	151	151	151	1	433	69549
A	49	0x0400000000004000	1471877436.899377000	1471877436.918108000	0.018731000	1	3	eth:ipv4:tcp	38:0b:40:ef:85:41	00:17:88:24:76:ff	0x0800		10.10.10.30	04	"Private network"	33096	10.10.10.6	04	"Private network"	80	6	0x00	1	38:0b:40:ef:85:41_00:17:88:24:76:ff_7	SamsungEl,KR_PhilipsLi,AE	80	http	7	7	321	546	0	321	45.85714	93.59702	0	0.010275	0.002675857	0.002922531	373.712	17137.37	0	-0.2595156	0x0a13	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	975805033	6	321	0	6	545	0	321	65535	85747.43	65535	88704	0	2	1	0	0x011b	0x0000	7	23	0x0000011e	1460	128	0x0000	0x00	0	0x00	1533967	622751	1	1533967.000000	1470343469.3279965952	0.000409984	0.00024896	0.008214976	0.002735259	0.003144274	0.001993984	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	150	150	150	1	482	17319
B	49	0x0400000000004001	1471877436.899787000	1471877436.918357000	0.018570000	1	3	eth:ipv4:tcp	00:17:88:24:76:ff	38:0b:40:ef:85:41	0x0800		10.10.10.6	04	"Private network"	80	10.10.10.30	04	"Private network"	33096	6	0x00	1	00:17:88:24:76:ff_38:0b:40:ef:85:41_7	PhilipsLi,AE_SamsungEl,KR	80	http	7	7	546	321	0	528	78	160.2091	0	0.009745	0.002652857	0.002759933	376.9521	29402.26	0	0.2595156	0x0a13	1	60439	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	689400968	7	546	0	7	321	0	528	28960	29905.88	28960	30032	0	1	1	0	0x031b	0x0000	7	23	0x0000011e	1460	8	0x0000	0x00	0	0x00	622752	1533967	1	622752.000000	1471254684.3528965952	0.001584	0.001328	0.003073024	0.001943003	0.0004892174	0.004678262	0.003182105	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	149	149	149	1	433	69549
A	91	0x0400000000004000	1471877452.623051000	1471877452.640920000	0.017869000	1	3	eth:ipv4:tcp	38:0b:40:ef:85:41	00:17:88:24:76:ff	0x0800		10.10.10.30	04	"Private network"	60970	10.10.10.6	04	"Private network"	80	6	0x00	1	38:0b:40:ef:85:41_00:17:88:24:76:ff_7	SamsungEl,KR_PhilipsLi,AE	80	http	7	7	320	545	0	320	45.71429	93.30544	0	0.009826	0.002552714	0.002803528	391.7399	17908.11	0	-0.2601156	0x0a13	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2004212326	6	320	0	6	546	0	320	65535	85747.43	65535	88704	0	2	1	0	0x011b	0x0000	7	23	0x0000011e	1460	128	0x0000	0x00	0	0x00	1537112	624324	1	1537112.000000	1470340340.969872896	0.000371008	0.000262016	0.008491968	0.001919206	0.00269465	0.001811008	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	226	226	226	1	725	25950
B	91	0x0408000000004001	1471877452.623422000	1471877452.641182000	0.017760000	1	3	eth:ipv4:tcp	00:17:88:24:76:ff	38:0b:40:ef:85:41	0x0800		10.10.10.6	04	"Private network"	80	10.10.10.30	04	"Private network"	60970	6	0x00	1	00:17:88:24:76:ff_38:0b:40:ef:85:41_7	PhilipsLi,AE_SamsungEl,KR	80	http	7	7	545	320	0	527	77.85714	159.9012	-2.7e-05	0.009922	0.002537143	0.00283565	394.1442	30686.94	0	0.2601156	0x0a13	2	51572	64	64	0	0x00	0x8044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	176115637	4	547	0	7	320	0	527	28960	29905.88	28960	30032	0	1	1	0	0x031b	0x0240	7	23	0x0000011e	1460	8	0x0000	0x00	0	0x00	624324	1537112	1	624324.000000	1471253128.1231872896	0.00144	0.001258944	0.003025984	0.001652553	0.0004744066	0.00357176	0.002736092	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	225	225	225	1	658	106390
A	1	0x0400000000004000	1471877400.279638000	1471877400.298704000	0.019066000	1	3	eth:ipv4:tcp	38:0b:40:ef:85:41	00:17:88:24:76:ff	0x0800		10.10.10.30	04	"Private network"	55971	10.10.10.6	04	"Private network"	80	6	0x00	1	38:0b:40:ef:85:41_00:17:88:24:76:ff_6	SamsungEl,KR_PhilipsLi,AE	80	http	6	4	202	664	0	202	33.66667	62.51795	0	0.006364	0.003177667	0.002000907	314.6963	10594.78	0.2	-0.5334873	0x0813	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1626491016	5	202	0	5	665	0	0	65535	11589.44	685	65535	1	1	1	0	0x011b	0x0000	6	20	0x0000011e	1460	128	0x0000	0x00	0	0x00	1526643	619089	1	1526643.000000	1470350757.2351256576	0	0.000304	0.002188992	0.000972744	0.0006290718	0	0	0x03	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	364	364	364	1	1172	40260
B	1	0x0400000000004001	1471877400.286737000	1471877400.299008000	0.012271000	1	3	eth:ipv4:tcp	00:17:88:24:76:ff	38:0b:40:ef:85:41	0x0800		10.10.10.6	04	"Private network"	80	10.10.10.30	04	"Private network"	55971	6	0x00	1	00:17:88:24:76:ff_38:0b:40:ef:85:41_4	PhilipsLi,AE_SamsungEl,KR	80	http	4	6	664	202	0	647	166	228.4843	0	0.010395	0.00306775	0.003676503	325.9718	54111.32	-0.2	0.5334873	0x0013	1	58752	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3642777920	4	665	0	4	0	0	17	3754	3754	3754	3754	0	0	0	0	0x0119	0x0000	4	12	0x00000102	0	1	0x0000	0x00	0	0x00	619090	1526643	1	619090.000000	1471258310.2655256576	0	0.003212992	0.01009101	0.002838501	0.003262838	0.003811245	0.003322927	0x03	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	363	363	363	1	1049	188214
