%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	2	0x0400000000004000	1472558492.170751000	1472558492.178201000	0.007450000	1	3	eth:ipv4:udp	84:18:26:7b:5f:6b	ff:ff:ff:ff:ff:ff	0x0800		0.0.0.0	-	"-"	68	255.255.255.255	11	"Broadcast"	67	17	0x00	1	84:18:26:7b:5f:6b_ff:ff:ff:ff:ff:ff_2	OsramGmbH,DE_Broadcast	67	bootps	2	0	616	0	308	308	308	0	0	0.00745	0.003725	0.002633973	268.4564	82684.56	1	1	0x0001	1	1	255	255	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1	1	2	616
A	3	0x0400000000004001	1472558492.170884000	1472558492.252023000	0.081139000	1	3	eth:ipv4:udp	00:b5:6d:06:08:ba	84:18:26:7b:5f:6b	0x0800		10.10.10.1	04	"Private network"	67	10.10.10.114	04	"Private network"	68	17	0x00	1	00:b5:6d:06:08:ba_84:18:26:7b:5f:6b_2	DavidElec,TW_OsramGmbH,DE	67	bootps	2	0	600	0	300	300	300	0	0	0.081139	0.0405695	0.02868697	24.64906	7394.718	-1	1	0x0001	13	13	64	64	0	0xc0	0x0800	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	5	3	1	1	0.3333333	3	712
A	6	0x0400000000004000	1472558493.274471000	1472558493.274471000	0.000000000	1	3	eth:ipv4:igmp	84:18:26:7b:5f:6b	01:00:5e:00:00:fb	0x0800		10.10.10.114	04	"Private network"	0	224.0.0.251	10	"mDNS"	0	2	0x00	1	84:18:26:7b:5f:6b_01:00:5e:00:00:fb_1	OsramGmbH,DE_IPv4Multi	0	unknown	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0x0001	65535	0	1	1	0	0x00	0x0000	1	0x80_0x00100000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	5	1	2	2	0.4	1	154	21368
A	4	0x0000000000000044	1472558492.255975000	1472558493.515820000	1.259845000	1	2	eth:arp	84:18:26:7b:5f:6b	ff:ff:ff:ff:ff:ff	0x0806		-	-	"-"	0	-	-	"-"	0	0	0x00	1	84:18:26:7b:5f:6b_ff:ff:ff:ff:ff:ff_4	OsramGmbH,DE_Broadcast	0	unknown	4	0	112	0	28	28	28	0	0	0.500717	0.3149613	0.1433373	3.174994	88.89983	1	1	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0	0	0	0
A	8	0x0400000000004000	1472558493.518322000	1472558493.518322000	0.000000000	1	3	eth:ipv4:udp	84:18:26:7b:5f:6b	00:b5:6d:06:08:ba	0x0800		10.10.10.114	04	"Private network"	49153	10.10.10.1	04	"Private network"	53	17	0x00	1	84:18:26:7b:5f:6b_00:b5:6d:06:08:ba_1	OsramGmbH,DE_DavidElec,TW	53	domain	1	1	48	112	48	48	48	0	0	0	0	0	0	0	0	-0.4	0x0001	65535	0	255	255	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	8e-05	8e-05	8e-05	8e-05	0	8e-05	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	5	1	2	2	0.4	1	154	21368
B	8	0x0400000000004001	1472558493.518402000	1472558493.518402000	0.000000000	1	3	eth:ipv4:udp	00:b5:6d:06:08:ba	84:18:26:7b:5f:6b	0x0800		10.10.10.1	04	"Private network"	53	10.10.10.114	04	"Private network"	49153	17	0x00	1	00:b5:6d:06:08:ba_84:18:26:7b:5f:6b_1	DavidElec,TW_OsramGmbH,DE	53	domain	1	1	112	48	112	112	112	0	0	0	0	0	0	0	0	0.4	0x0001	65535	0	64	64	0	0x00	0x0840	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	8e-05	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	5	1	1	1	1	3	712
A	9	0x0400000000004000	1472558493.581071000	1472558493.581071000	0.000000000	1	3	eth:ipv4:igmp	84:18:26:7b:5f:6b	01:00:5e:00:00:01	0x0800		10.10.10.114	04	"Private network"	0	224.0.0.1	10	"All Systems on this Subnet"	0	2	0x00	1	84:18:26:7b:5f:6b_01:00:5e:00:00:01_1	OsramGmbH,DE_IPv4Multi	0	unknown	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0x0001	65535	0	1	1	0	0x00	0x0000	1	0x80_0x00100000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	4	1	1	1	0.25	1	154	21368
A	10	0x0400000000004000	1472558493.921372000	1472558493.921372000	0.000000000	1	3	eth:ipv4:udp	84:18:26:7b:5f:6b	00:b5:6d:06:08:ba	0x0800		10.10.10.114	04	"Private network"	49157	195.65.87.104	ch	"CH-UNISOURCE-MNT"	80	17	0x00	1	84:18:26:7b:5f:6b_00:b5:6d:06:08:ba_1	OsramGmbH,DE_DavidElec,TW	80	http	1	1	50	58	50	50	50	0	0	0	0	0	0	0	0	-0.07407407	0x0001	65535	0	255	255	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.008779968	0.008779968	0.008779968	0.008779968	0	0.008779968	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	3	1	2	4	1.333333	2	154	21368
B	10	0x0400000000004001	1472558493.930152000	1472558493.930152000	0.000000000	1	3	eth:ipv4:udp	00:b5:6d:06:08:ba	84:18:26:7b:5f:6b	0x0800		195.65.87.104	ch	"CH-UNISOURCE-MNT"	80	10.10.10.114	04	"Private network"	49157	17	0x00	1	00:b5:6d:06:08:ba_84:18:26:7b:5f:6b_1	DavidElec,TW_OsramGmbH,DE	80	http	1	1	58	50	58	58	58	0	0	0	0	0	0	0	0	0.07407407	0x0001	65535	0	48	48	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0.008779968	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	3	1	3	3	3	1	58
A	5	0x0400000000004000	1472558493.268663000	1472558528.165952000	34.897289000	1	3	eth:ipv4:udp	84:18:26:7b:5f:6b	01:00:5e:00:00:fb	0x0800		10.10.10.114	04	"Private network"	5353	224.0.0.251	10	"mDNS"	5353	17	0x00	1	84:18:26:7b:5f:6b_01:00:5e:00:00:fb_34	OsramGmbH,DE_IPv4Multi	5353	mdns	34	0	7740	0	192	354	227.6471	41.35083	0	13.47456	1.026391	2.907515	0.9742877	221.7937	1	1	0x0001	1	32	255	255	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	2	1	1	1	0.5	1	154	21368
