%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	2	0x0000000000000044	1473264838.025379000	1473264838.025379000	0.000000000	1	2	eth:arp	00:1a:22:03:cb:be	ff:ff:ff:ff:ff:ff	0x0806		-	-	"-"	0	-	-	"-"	0	0	0x00	1	00:1a:22:03:cb:be_ff:ff:ff:ff:ff:ff_1	eQ3Entwic,DE_Broadcast	0	unknown	1	0	46	0	46	46	46	0	0	0	0	0	0	0	1	1	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0	0	0	0
A	5	0x0400000000004000	1473264838.025770000	1473264838.025770000	0.000000000	1	3	eth:ipv4:udp	00:1a:22:03:cb:be	00:b5:6d:06:08:ba	0x0800		10.10.10.129	04	"Private network"	1025	10.10.10.1	04	"Private network"	53	17	0x00	1	00:1a:22:03:cb:be_00:b5:6d:06:08:ba_1	eQ3Entwic,DE_DavidElec,TW	53	domain	1	1	35	78	35	35	35	0	0	0	0	0	0	0	0	-0.380531	0x0001	65535	0	128	128	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	8.2e-05	8.2e-05	8.2e-05	8.2e-05	0	8.2e-05	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	3	1	2	2	0.6666667	1	27	572
B	5	0x0400000000004001	1473264838.025852000	1473264838.025852000	0.000000000	1	3	eth:ipv4:udp	00:b5:6d:06:08:ba	00:1a:22:03:cb:be	0x0800		10.10.10.1	04	"Private network"	53	10.10.10.129	04	"Private network"	1025	17	0x00	1	00:b5:6d:06:08:ba_00:1a:22:03:cb:be_1	DavidElec,TW_eQ3Entwic,DE	53	domain	1	1	78	35	78	78	78	0	0	0	0	0	0	0	0	0.380531	0x0001	65535	0	64	64	0	0x00	0x0840	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	8.2e-05	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	3	1	1	1	1	1	78
A	1	0x0400000000004000	1473264837.915119000	1473264839.115203000	1.200084000	1	3	eth:ipv4:udp	00:1a:22:03:cb:be	ff:ff:ff:ff:ff:ff	0x0800		0.0.0.0	-	"-"	68	255.255.255.255	11	"Broadcast"	67	17	0x00	1	00:1a:22:03:cb:be_ff:ff:ff:ff:ff:ff_3	eQ3Entwic,DE_Broadcast	67	bootps	3	0	900	0	300	300	300	0	0	1.198925	0.400028	0.415713	2.499825	749.9475	1	1	0x0001	1	5	128	128	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1	1	3	900
A	6	0x0400000000004000	1473264838.026374000	1473264839.209277000	1.182903000	1	3	eth:ipv4:udp	00:1a:22:03:cb:be	00:b5:6d:06:08:ba	0x0800		10.10.10.129	04	"Private network"	1024	81.14.202.21	de	"HTP-MNT"	123	17	0x00	1	00:1a:22:03:cb:be_00:b5:6d:06:08:ba_2	eQ3Entwic,DE_DavidElec,TW	123	ntp	2	2	96	96	48	48	48	0	0	1.182903	0.5914515	0.4182194	1.690756	81.15627	0	0	0x0001	3	3	128	128	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.0186	0.01842202	0.0186	0.01851101	6.292656e-05	1.182903	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	2	1	2	2	1	1	27	572
B	6	0x0400000000004001	1473264838.044974000	1473264839.227699000	1.182725000	1	3	eth:ipv4:udp	00:b5:6d:06:08:ba	00:1a:22:03:cb:be	0x0800		81.14.202.21	de	"HTP-MNT"	123	10.10.10.129	04	"Private network"	1024	17	0x00	1	00:b5:6d:06:08:ba_00:1a:22:03:cb:be_2	DavidElec,TW_eQ3Entwic,DE	123	ntp	2	2	96	96	48	48	48	0	0	1.182725	0.5913625	0.4181564	1.69101	81.16849	0	0	0x0001	1	1	46	46	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	1.164303	1.164303	1.164303	1.164303	0	1.182814	6.292656e-05	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	2	1	1	1	1	2	96
A	3	0x0000000000000044	1473264838.025418000	1473264843.037066000	5.011648000	1	2	eth:arp	00:b5:6d:06:08:ba	00:1a:22:03:cb:be	0x0806		-	-	"-"	0	-	-	"-"	0	0	0x00	1	00:b5:6d:06:08:ba_00:1a:22:03:cb:be_2	DavidElec,TW_eQ3Entwic,DE	0	unknown	2	1	56	46	28	28	28	0	0	5.011648	2.505824	1.771885	0.3990703	11.17397	0.3333333	0.09803922	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0	0	0	0
B	3	0x0000000000000045	1473264843.037332000	1473264843.037332000	0.000000000	1	2	eth:arp	00:1a:22:03:cb:be	00:b5:6d:06:08:ba	0x0806		-	-	"-"	0	-	-	"-"	0	0	0x00	1	00:1a:22:03:cb:be_00:b5:6d:06:08:ba_1	eQ3Entwic,DE_DavidElec,TW	0	unknown	1	2	46	56	46	46	46	0	0	0	0	0	0	0	-0.3333333	-0.09803922	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0	0	0	0
A	4	0x0400000000004000	1473264838.025515000	1473264847.014074000	8.988559000	1	3	eth:ipv4:igmp	00:1a:22:03:cb:be	01:00:5e:00:00:01	0x0800		10.10.10.129	04	"Private network"	0	224.0.0.1	10	"All Systems on this Subnet"	0	2	0x00	1	00:1a:22:03:cb:be_01:00:5e:00:00:01_2	eQ3Entwic,DE_IPv4Multi	0	unknown	2	0	0	0	0	0	0	0	0	8.988559	4.494279	3.177935	0.2225051	0	1	0	0x0001	6	6	1	1	0	0x00	0x0000	2	0x80_0x00100000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1	1	27	572
A	7	0x0000000000000044	1473264854.232285000	1473264854.232285000	0.000000000	1	2	eth:arp	00:1a:22:03:cb:be	24:77:03:7c:ea:dc	0x0806		-	-	"-"	0	-	-	"-"	0	0	0x00	1	00:1a:22:03:cb:be_24:77:03:7c:ea:dc_1	eQ3Entwic,DE_IntelCorp,MY	0	unknown	1	0	46	0	46	46	46	0	0	0	0	0	0	0	1	1	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0	0	0	0
