%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	1	0x0000000000000004	1473325024.986069000	1473325024.997560000	0.011491000	1	2	eth:eapol	50:c7:bf:00:c7:03	28:b2:bd:c3:41:78	0x888e		-	-	"-"	0	-	-	"-"	0	0	0x00	1	50:c7:bf:00:c7:03_28:b2:bd:c3:41:78_2	TPLinkTec,CN_IntelCorp,MY	0	unknown	2	0	220	0	99	121	110	7.778174	0	0.011491	0.0057455	0.004062682	174.0493	19145.42	1	1	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0	0	0	0
A	3	0x0400000000004000	1473325029.019363000	1473325029.019363000	0.000000000	1	3	eth:ipv4:icmp	00:b5:6d:06:08:ba	50:c7:bf:00:c7:03	0x0800		10.10.10.1	04	"Private network"	0	10.10.10.20	04	"Private network"	0	1	0x00	1	00:b5:6d:06:08:ba_50:c7:bf:00:c7:03_1	DavidElec,TW_TPLinkTec,CN	0	unknown	1	0	20	0	20	20	20	0	0	0	0	0	0	0	1	1	0x0001	65535	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x01	1	0x00000000_0x00000100_0x0001	0x00000000	0	0	1	1	1	1	1	1	6	1341
A	2	0x0400000000004000	1473325026.765939000	1473325029.028589000	2.262650000	1	3	eth:ipv4:udp	50:c7:bf:00:c7:03	ff:ff:ff:ff:ff:ff	0x0800		0.0.0.0	-	"-"	68	255.255.255.255	11	"Broadcast"	67	17	0x00	1	50:c7:bf:00:c7:03_ff:ff:ff:ff:ff:ff_3	TPLinkTec,CN_Broadcast	67	bootps	3	0	1644	0	548	548	548	0	0	2.208988	0.7542167	0.7551343	1.325879	726.5817	1	1	0x0001	0	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1	1	3	1644
A	4	0x0400000000004001	1473325029.019415000	1473325029.090326000	0.070911000	1	3	eth:ipv4:udp	00:b5:6d:06:08:ba	50:c7:bf:00:c7:03	0x0800		10.10.10.1	04	"Private network"	67	10.10.10.20	04	"Private network"	68	17	0x00	1	00:b5:6d:06:08:ba_50:c7:bf:00:c7:03_3	DavidElec,TW_TPLinkTec,CN	67	bootps	3	0	900	0	300	300	300	0	0	0.070847	0.023637	0.02725671	42.30655	12691.97	-1	1	0x0001	1	1	64	64	0	0xc0	0x0800	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	3	5	1	1	0.2	0	4198402
A	7	0x0400000000004000	1473325029.123884000	1473325029.123884000	0.000000000	1	3	eth:ipv4:udp	50:c7:bf:00:c7:03	00:b5:6d:06:08:ba	0x0800		10.10.10.20	04	"Private network"	53449	10.10.10.1	04	"Private network"	53	17	0x00	1	50:c7:bf:00:c7:03_00:b5:6d:06:08:ba_1	TPLinkTec,CN_DavidElec,TW	53	domain	1	1	33	49	33	33	33	0	0	0	0	0	0	0	0	-0.1951219	0x0001	65535	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.00011	0.00011	0.00011	0.00011	0	0.00011	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	3	1	4	4	1.333333	1	23	3392
B	7	0x0400000000004001	1473325029.123994000	1473325029.123994000	0.000000000	1	3	eth:ipv4:udp	00:b5:6d:06:08:ba	50:c7:bf:00:c7:03	0x0800		10.10.10.1	04	"Private network"	53	10.10.10.20	04	"Private network"	53449	17	0x00	1	00:b5:6d:06:08:ba_50:c7:bf:00:c7:03_1	DavidElec,TW_TPLinkTec,CN	53	domain	1	1	49	33	49	49	49	0	0	0	0	0	0	0	0	0.1951219	0x0001	65535	0	64	64	0	0x00	0x0840	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0.00011	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	3	3	3	3	1	0	4198402
A	8	0x0400000000004000	1473325029.255710000	1473325029.255710000	0.000000000	1	3	eth:ipv4:udp	50:c7:bf:00:c7:03	00:b5:6d:06:08:ba	0x0800		10.10.10.20	04	"Private network"	43212	129.6.15.28	us	"National Institute of Standard"	123	17	0x00	1	50:c7:bf:00:c7:03_00:b5:6d:06:08:ba_1	TPLinkTec,CN_DavidElec,TW	123	ntp	1	1	48	48	48	48	48	0	0	0	0	0	0	0	0	0	0x0001	65535	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.165901	0.165901	0.165901	0.165901	0	0.165901	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	3	1	2	2	0.6666667	1	23	3392
B	8	0x0400000000004001	1473325029.421611000	1473325029.421611000	0.000000000	1	3	eth:ipv4:udp	00:b5:6d:06:08:ba	50:c7:bf:00:c7:03	0x0800		129.6.15.28	us	"National Institute of Standard"	123	10.10.10.20	04	"Private network"	43212	17	0x00	1	00:b5:6d:06:08:ba_50:c7:bf:00:c7:03_1	DavidElec,TW_TPLinkTec,CN	123	ntp	1	1	48	48	48	48	48	0	0	0	0	0	0	0	0	0	0x0001	65535	0	48	48	0	0x10	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0.165901	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	3	1	1	1	1	1	48
A	9	0x0400000000004000	1473325029.375267000	1473325029.375267000	0.000000000	1	3	eth:ipv4:udp	50:c7:bf:00:c7:03	00:b5:6d:06:08:ba	0x0800		10.10.10.20	04	"Private network"	40683	10.10.10.1	04	"Private network"	53	17	0x00	1	50:c7:bf:00:c7:03_00:b5:6d:06:08:ba_1	TPLinkTec,CN_DavidElec,TW	53	domain	1	1	38	372	38	38	38	0	0	0	0	0	0	0	0	-0.8146341	0x0001	65535	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.02638	0.02638	0.02638	0.02638	0	0.02638	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	2	1	2	2	1	1	23	3392
B	9	0x0400000000004001	1473325029.401647000	1473325029.401647000	0.000000000	1	3	eth:ipv4:udp	00:b5:6d:06:08:ba	50:c7:bf:00:c7:03	0x0800		10.10.10.1	04	"Private network"	53	10.10.10.20	04	"Private network"	40683	17	0x00	1	00:b5:6d:06:08:ba_50:c7:bf:00:c7:03_1	DavidElec,TW_TPLinkTec,CN	53	domain	1	1	372	38	372	372	372	0	0	0	0	0	0	0	0	0.8146341	0x0001	65535	0	64	64	0	0x00	0x0840	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0.02638	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	2	1	1	1	1	0	4198402
