%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	15	0x0400000000004000	1461327246.374129000	1461327247.900310000	1.526181000	1	3	eth:ipv4:tcp	94:10:3e:41:c2:05	00:b5:6d:06:08:ba	0x0800		10.10.10.158	04	"Private network"	4863	23.21.138.13	us	"Amazoncom"	8443	6	0x00	1	94:10:3e:41:c2:05_00:b5:6d:06:08:ba_37	BelkinInt,US_DavidElec,TW	8443	pcsync-https	37	32	24938	7080	0	1368	674	611.9193	0	0.148146	0.04124813	0.04307908	24.24352	16340.13	0.07246377	0.5577488	0x0a13	0	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1887224506	33	24938	0	33	7043	0	4104	5840	5756.803	0	16784	1	4	2	0	0x011f	0x0000	34	104	0x0000011e	1460	2	0x0000	0x00	0	0x00	4294914096	1418046377	1	4294914096.000000	18446744070875964767.2992017536	0.09924202	0.000195008	0.146304	0.06577849	0.04433789	0.100932	0	0x52	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	5	1	2	2	0.4	1	51	25407
B	15	0x0400000000004001	1461327246.473371000	1461327247.892125000	1.418754000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	94:10:3e:41:c2:05	0x0800		23.21.138.13	us	"Amazoncom"	8443	10.10.10.158	04	"Private network"	4863	6	0x00	1	00:b5:6d:06:08:ba_94:10:3e:41:c2:05_32	DavidElec,TW_BelkinInt,US	8443	pcsync-https	32	37	7080	24938	0	1368	221.25	435.1973	0	0.233519	0.04433606	0.05458564	22.555	4990.294	-0.07246377	-0.5577488	0x0a13	1	35514	30	30	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	4276546915	32	7080	0	32	24938	0	4899	14480	42482.6	14480	42496	0	10	1	0	0x031b	0x0000	32	98	0x0000011e	1380	256	0x0000	0x00	0	0x00	1418046407	4294914096	1	1418046407.000000	43280840.3066769728	0.001689984	0.001044032	0.132191	0.01726117	0.02769933	0.08303966	0.05227907	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	5	1	1	1	1	32	7080
A	19	0x0400000000004000	1461327256.013488000	1461327256.853236000	0.839748000	1	3	eth:ipv4:tcp	94:10:3e:41:c2:05	00:b5:6d:06:08:ba	0x0800		10.10.10.158	04	"Private network"	4226	23.21.117.32	us	"Amazoncom"	8443	6	0x00	1	94:10:3e:41:c2:05_00:b5:6d:06:08:ba_21	BelkinInt,US_DavidElec,TW	8443	pcsync-https	21	16	8843	5496	0	1368	421.0952	562.1486	0	0.134244	0.039988	0.04346624	25.0075	10530.54	0.1351351	0.2334193	0x0a13	0	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1889710547	17	8843	0	17	5459	0	4104	5840	5724.01	0	16784	1	4	2	0	0x011f	0x0000	18	56	0x0000011e	1460	2	0x0000	0x00	0	0x00	4294916338	26655530	1	4294916338.000000	18446744070875962534.2574755904	0.093053	0.03610003	0.103916	0.08995274	0.01392277	0.096344	0	0x52	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	5	1	2	2	0.4	1	77	34473
B	19	0x0400000000004001	1461327256.106541000	1461327256.851561000	0.745020000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	94:10:3e:41:c2:05	0x0800		23.21.117.32	us	"Amazoncom"	8443	10.10.10.158	04	"Private network"	4226	6	0x00	1	00:b5:6d:06:08:ba_94:10:3e:41:c2:05_16	DavidElec,TW_BelkinInt,US	8443	pcsync-https	16	21	5496	8843	0	1368	343.5	481.2947	0	0.20714	0.04656376	0.05608066	21.47593	7376.983	-0.1351351	-0.2334193	0x0a13	1	27240	28	28	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3460188628	16	5496	0	16	8843	0	4899	14480	33496.47	14480	35072	0	7	1	0	0x031b	0x0000	16	50	0x0000011e	1380	256	0x0000	0x00	0	0x00	26655556	4294916338	1	26655556.000000	1434671700.1157475392	0.003291	0.001491968	0.112129	0.02023863	0.02613522	0.1101914	0.02961239	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	5	1	1	1	1	16	5496
A	21	0x0400000000004000	1461327264.596003000	1461327266.036539000	1.440536000	1	3	eth:ipv4:tcp	94:10:3e:41:c2:05	00:b5:6d:06:08:ba	0x0800		10.10.10.158	04	"Private network"	4866	23.21.138.13	us	"Amazoncom"	8443	6	0x00	1	94:10:3e:41:c2:05_00:b5:6d:06:08:ba_31	BelkinInt,US_DavidElec,TW	8443	pcsync-https	31	26	18093	5400	0	1368	583.6451	622.0697	0	0.292702	0.0464689	0.06155261	21.51977	12559.91	0.0877193	0.5402886	0x0a13	0	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1900102332	27	18093	0	27	5363	0	4104	5840	5755.982	0	16784	1	4	2	0	0x011f	0x0000	28	86	0x0000011e	1460	2	0x0000	0x00	0	0x00	4294918625	1418050827	1	4294918625.000000	18446744070875960256.3991900544	0.097432	0.001350976	0.124786	0.06352331	0.03680662	0.09920499	0	0x52	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	9	1	2	2	0.2222222	1	132	58079
B	21	0x0400000000004001	1461327264.693435000	1461327266.007343000	1.313908000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	94:10:3e:41:c2:05	0x0800		23.21.138.13	us	"Amazoncom"	8443	10.10.10.158	04	"Private network"	4866	6	0x00	1	00:b5:6d:06:08:ba_94:10:3e:41:c2:05_26	DavidElec,TW_BelkinInt,US	8443	pcsync-https	26	31	5400	18093	0	1368	207.6923	408.9799	0	0.433638	0.05053492	0.08709608	19.7883	4109.877	-0.0877193	-0.5402886	0x0a13	1	40778	30	30	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2965284169	26	5400	0	26	18093	0	4899	14480	42270.88	14480	42496	0	12	1	0	0x031b	0x0000	26	80	0x0000011e	1380	256	0x0000	0x00	0	0x00	1418050935	4294918625	0.001	1418051.002354	1459909215.3045679704	0.001772992	0.001185024	0.337214	0.04344959	0.08206432	0.1069729	0.08994042	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	9	1	1	1	1	58	12480
A	20	0x0400000000004000	1461327263.987961000	1461327264.286637000	0.298676000	1	3	eth:ipv4:tcp	94:10:3e:41:c2:05	00:b5:6d:06:08:ba	0x0800		10.10.10.158	04	"Private network"	3273	23.23.244.163	us	"Amazoncom"	3475	6	0x00	1	94:10:3e:41:c2:05_00:b5:6d:06:08:ba_6	BelkinInt,US_DavidElec,TW	3475	genisar-port	6	4	349	13	0	349	58.16667	108.0137	0	0.099617	0.04977933	0.04052387	20.08866	1168.49	0.2	0.9281768	0x0213	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1912435400	5	349	0	5	13	0	349	5840	5840	5840	5840	0	0	0	0	0x011b	0x0000	6	20	0x0000011e	1460	2	0x0000	0x00	0	0x00	4294918220	192662607	0.001	4294918.423998	1457032346.2745161464	0.096853	0.096259	0.09690501	0.0967185	0.0002020267	0.09830599	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	8	1	2	2	0.25	1	133	58087
B	20	0x0400000000004001	1461327264.084814000	1461327264.284815000	0.200001000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	94:10:3e:41:c2:05	0x0800		23.23.244.163	us	"Amazoncom"	3475	10.10.10.158	04	"Private network"	3273	6	0x00	1	00:b5:6d:06:08:ba_94:10:3e:41:c2:05_4	DavidElec,TW_BelkinInt,US	3475	genisar-port	4	6	13	349	0	13	3.25	4.628002	0	0.100331	0.05000025	0.03889541	19.9999	64.99967	-0.2	-0.9281768	0x0a13	1	64204	24	24	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2696755418	4	13	0	4	349	0	13	14480	15226.35	14480	15616	0	1	1	0	0x031b	0x0000	4	14	0x0000011e	1380	256	0x0000	0x00	0	0x00	192662607	4294918195	1	192662607.000000	1268664657.1347158464	0.001453	0.001453	0.003426	0.002287831	0.0006507692	0.09900633	0.0006814068	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	8	1	1	1	1	4	13
A	2	0x0000000000000004	1461327232.151177000	1461327232.151177000	0.000000000	1	2	eth:llc	94:10:3e:41:c2:05	ff:ff:ff:ff:ff:ff	0x0001		-	-	"-"	0	-	-	"-"	0	0	0x00	1	94:10:3e:41:c2:05_ff:ff:ff:ff:ff:ff_1	BelkinInt,US_Broadcast	0	unknown	1	0	3	0	3	3	3	0	0	0	0	0	0	0	1	1	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0	0	0	0
A	1	0x0000000000000004	1461327230.158299000	1461327232.163635000	2.005336000	1	2	eth:eapol	94:10:3e:41:c2:05	28:b2:bd:c3:41:78	0x888e		-	-	"-"	0	-	-	"-"	0	0	0x00	1	94:10:3e:41:c2:05_28:b2:bd:c3:41:78_4	BelkinInt,US_IntelCorp,MY	0	unknown	4	0	440	0	99	121	110	8.599094	0	1.994765	0.501334	0.7088466	1.994678	219.4146	1	1	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0	0	0	0
