%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	15	0x0400000000004000	1471452528.914797000	1471452530.740804000	1.826007000	1	3	eth:ipv4:tcp	94:10:3e:41:c2:05	00:b5:6d:06:08:ba	0x0800		10.10.10.158	04	"Private network"	3483	50.18.213.194	us	"Amazoncom"	443	6	0x00	1	94:10:3e:41:c2:05_00:b5:6d:06:08:ba_13	BelkinInt,US_DavidElec,TW	443	https	13	10	3261	1319	0	1368	250.8462	435.4366	0	0.845004	0.1404621	0.1975449	7.119359	1785.864	0.1304348	0.4240175	0x0a13	0	1	64	64	0	0x08	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3913095600	10	3224	0	10	1282	0	1597	5840	3796.187	0	7864	1	1	2	0	0x011f	0x0000	11	35	0x0000011e	1460	2	0x0000	0x00	0	0x00	4294913175	376015391	0.001	4294913.378997	1467157617.1226352632	0.166686	0.07298502	0.167139	0.1540273	0.02631183	0.167807	0	0x52	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	6	1	2	2	0.3333333	1	26	3697
B	15	0x0400000000004001	1471452529.081483000	1471452530.739327000	1.657844000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	94:10:3e:41:c2:05	0x0800		50.18.213.194	us	"Amazoncom"	443	10.10.10.158	04	"Private network"	3483	6	0x00	1	00:b5:6d:06:08:ba_94:10:3e:41:c2:05_10	DavidElec,TW_BelkinInt,US	443	https	10	13	1319	3261	0	1012	131.9	249.7958	0	1.018071	0.1657844	0.2659606	6.031931	795.6117	-0.1304348	-0.4240175	0x0a13	1	21375	42	42	0	0x08	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2070166538	10	1319	0	10	3262	0	1042	17898	17354.6	11520	18944	1	4	1	0	0x031b	0x0000	10	32	0x0000011e	1380	256	0x0000	0x00	0	0x00	376015434	4294913175	1	376015434.000000	1095437096.592625088	0.001121	0.001121	0.850932	0.08725726	0.2127981	0.2412845	0.2144186	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	6	1	1	1	1	10	1319
A	19	0x0400000000004000	1471452532.268191000	1471452533.584223000	1.316032000	1	3	eth:ipv4:tcp	94:10:3e:41:c2:05	00:b5:6d:06:08:ba	0x0800		10.10.10.158	04	"Private network"	4625	107.21.214.151	us	"Amazoncom"	8443	6	0x00	1	94:10:3e:41:c2:05_00:b5:6d:06:08:ba_38	BelkinInt,US_DavidElec,TW	8443	pcsync-https	38	32	24938	7080	0	1368	656.2632	627.3016	0	0.16524	0.03463243	0.03860253	28.87468	18949.39	0.08571429	0.5577488	0x0a13	0	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3927390295	34	24938	0	34	7043	0	4104	5840	5756.835	0	16784	1	4	2	0	0x011f	0x0000	35	107	0x0000011e	1460	2	0x0000	0x00	0	0x00	4294913904	44224669	1	4294913904.000000	18446744070886090245.2788695552	0.09552199	0.000188	0.151096	0.0599099	0.04510569	0.096592	0	0x52	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	6	1	2	2	0.3333333	1	65	28665
B	19	0x0400000000004001	1471452532.363713000	1471452533.583260000	1.219547000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	94:10:3e:41:c2:05	0x0800		107.21.214.151	us	"Amazoncom"	8443	10.10.10.158	04	"Private network"	4625	6	0x00	1	00:b5:6d:06:08:ba_94:10:3e:41:c2:05_32	DavidElec,TW_BelkinInt,US	8443	pcsync-https	32	38	7080	24938	0	1368	221.25	435.2666	0	0.174722	0.03811085	0.04344121	26.23925	5805.434	-0.08571429	-0.5577488	0x0a13	1	17500	28	28	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	227080702	32	7080	0	32	24938	0	4899	14480	42482.25	14480	42496	0	11	1	0	0x031b	0x0000	32	98	0x0000011e	1380	256	0x0000	0x00	0	0x00	44224701	4294913904	1	44224701.000000	1427227832.3439415040	0.001070016	0.000599936	0.07668199	0.01342206	0.0170796	0.07333196	0.04823107	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	6	1	1	1	1	32	7080
A	24	0x0400000000004000	1471452542.302457000	1471452546.812645000	4.510188000	1	3	eth:ipv4:tcp	94:10:3e:41:c2:05	00:b5:6d:06:08:ba	0x0800		10.10.10.158	04	"Private network"	4916	107.22.199.21	us	"Amazoncom"	8443	6	0x00	1	94:10:3e:41:c2:05_00:b5:6d:06:08:ba_26	BelkinInt,US_DavidElec,TW	8443	pcsync-https	26	23	8843	5496	0	1368	340.1154	495.2984	0	2.673064	0.1734688	0.4956508	5.764726	1960.672	0.06122449	0.2334193	0x0a13	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3930477282	25	8843	0	25	5497	0	1629	5840	16778.47	5840	16784	0	4	1	0	0x041e	0x0000	26	80	0x0000011e	1460	2	0x0000	0x00	0	0x00	4294917235	571565338	0.1	429491729.899925	1041960817.4291223352	0.101099	0.001308992	0.111219	0.07175978	0.03941109	0.104492	0	0x42	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	6	1	2	2	0.3333333	1	99	37838
B	24	0x0400000000004001	1471452542.403556000	1471452544.101619000	1.698063000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	94:10:3e:41:c2:05	0x0800		107.22.199.21	us	"Amazoncom"	8443	10.10.10.158	04	"Private network"	4916	6	0x00	1	00:b5:6d:06:08:ba_94:10:3e:41:c2:05_23	DavidElec,TW_BelkinInt,US	8443	pcsync-https	23	26	5496	8843	0	1368	238.9565	429.7717	0	0.533163	0.07382883	0.1049876	13.54484	3236.629	-0.06122449	-0.2334193	0x0a13	1	9262	32	32	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1519546203	23	5496	0	23	8843	0	4899	14480	39186.29	14480	40448	0	11	1	0	0x031b	0x0000	23	71	0x0000011e	1380	256	0x0000	0x00	0	0x00	571565338	4294916532	0.001	571565.365148	1470880979.2469605192	0.003392992	0.001060032	2.711026	0.1611791	0.5115392	0.2329389	0.5130552	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	6	1	1	1	1	23	5496
A	31	0x0400000000004000	1471452560.880822000	1471452561.541334000	0.660512000	1	3	eth:ipv4:tcp	94:10:3e:41:c2:05	00:b5:6d:06:08:ba	0x0800		10.10.10.158	04	"Private network"	3358	50.19.247.85	us	"Amazoncom"	3475	6	0x00	1	94:10:3e:41:c2:05_00:b5:6d:06:08:ba_6	BelkinInt,US_DavidElec,TW	3475	genisar-port	6	4	349	13	0	349	58.16667	108.0137	0	0.352711	0.1100853	0.09727662	9.083862	528.378	0.2	0.9281768	0x0213	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3943431035	5	349	0	5	13	0	349	5840	5840	5840	5840	0	0	0	0	0x011b	0x0000	6	20	0x0000011e	1460	2	0x0000	0x00	0	0x00	4294920917	1614042939	0.001	4294921.120998	1467157640.047123704	0.09988596	0.09968099	0.100261	0.1000182	0.000202548	0.102118	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	8	1	2	2	0.25	1	140	48424
B	31	0x0400000000004001	1471452560.980708000	1471452561.539568000	0.558860000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	94:10:3e:41:c2:05	0x0800		50.19.247.85	us	"Amazoncom"	3475	10.10.10.158	04	"Private network"	3358	6	0x00	1	00:b5:6d:06:08:ba_94:10:3e:41:c2:05_4	DavidElec,TW_BelkinInt,US	3475	genisar-port	4	6	13	349	0	13	3.25	4.628002	0	0.454624	0.139715	0.1376779	7.157428	23.26164	-0.2	-0.9281768	0x0a13	1	32741	28	28	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2531509651	4	13	0	4	349	0	13	14480	15226.35	14480	15616	0	1	1	0	0x031b	0x0000	4	14	0x0000011e	1380	256	0x0000	0x00	0	0x00	1614042939	4294920891	0.001	1614043.015663	1469838518.2681426000	0.002232064	0.001766016	0.354943	0.0612267	0.109079	0.1612449	0.1090792	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	8	1	1	1	1	4	13
A	37	0x0400000000004000	1471452582.593854000	1471452583.486955000	0.893101000	1	3	eth:ipv4:tcp	94:10:3e:41:c2:05	00:b5:6d:06:08:ba	0x0800		10.10.10.158	04	"Private network"	3814	23.23.97.224	us	"Amazoncom"	8443	6	0x00	1	94:10:3e:41:c2:05_00:b5:6d:06:08:ba_23	BelkinInt,US_DavidElec,TW	8443	pcsync-https	23	18	9863	6472	0	1368	428.8261	563.513	0	0.122759	0.03883048	0.04385893	25.75297	11043.54	0.1219512	0.2075911	0x0a13	0	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3980562587	19	9863	0	19	6435	0	4104	5840	5740.79	0	16784	1	4	2	0	0x011f	0x0000	20	62	0x0000011e	1460	2	0x0000	0x00	0	0x00	4294926378	729730175	0.001	4294926.581998	1467157657.2360912656	0.100653	0.04211802	0.118476	0.09903835	0.01467511	0.102508	0	0x52	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	9	1	2	2	0.2222222	1	170	58521
B	37	0x0400000000004001	1471452582.694507000	1471452583.485501000	0.790994000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	94:10:3e:41:c2:05	0x0800		23.23.97.224	us	"Amazoncom"	8443	10.10.10.158	04	"Private network"	3814	6	0x00	1	00:b5:6d:06:08:ba_94:10:3e:41:c2:05_18	DavidElec,TW_BelkinInt,US	8443	pcsync-https	18	23	6472	9863	0	1368	359.5555	517.3389	0	0.207408	0.04394411	0.05645364	22.75618	8182.11	-0.1219512	-0.2075911	0x0a13	1	44364	28	28	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2377720175	18	6472	0	18	9863	0	4899	14480	36784.69	14480	37888	0	8	1	0	0x031b	0x0000	18	56	0x0000011e	1380	256	0x0000	0x00	0	0x00	729730202	4294926378	0.001	729730.236660	1470722853.4228002848	0.001854976	0.001247008	0.10476	0.01588147	0.02280114	0.1149198	0.02711551	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	9	1	1	1	1	18	6472
