%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	14	0x0400000000004000	1471453713.693364000	1471453715.071435000	1.378071000	1	3	eth:ipv4:tcp	94:10:3e:42:80:69	00:b5:6d:06:08:ba	0x0800		10.10.10.124	04	"Private network"	3303	107.22.199.21	us	"Amazoncom"	8443	6	0x00	1	94:10:3e:42:80:69_00:b5:6d:06:08:ba_47	BelkinInt,US_DavidElec,TW	8443	pcsync-https	47	36	40316	6680	0	1380	857.7872	623.5698	0	0.148713	0.02932066	0.03642845	34.10564	29255.39	0.1325301	0.7157205	0x0a11	0	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2192119970	44	40316	0	44	6643	0	4178	5840	8271.197	0	16880	1	4	2	0	0x011f	0x0000	1	6	0x0000001e	1460	2	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.09991603	0.000404032	0.144086	0.05747542	0.04334263	0.1032051	0	0x52	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	7	1	2	2	0.2857143	1	85	52274
B	14	0x0400000000004001	1471453713.793280000	1471453715.069294000	1.276014000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	94:10:3e:42:80:69	0x0800		107.22.199.21	us	"Amazoncom"	8443	10.10.10.124	04	"Private network"	3303	6	0x00	1	00:b5:6d:06:08:ba_94:10:3e:42:80:69_36	DavidElec,TW_BelkinInt,US	8443	pcsync-https	36	47	6680	40316	0	1380	185.5556	408.5128	0	0.227663	0.03544483	0.04569684	28.21286	5235.052	-0.1325301	-0.7157205	0x0a11	1	1973	32	32	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	4230145506	36	6680	0	36	40316	0	4899	14600	42236.58	14600	42240	0	10	1	0	0x031b	0x0000	1	6	0x0000001e	1380	256	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.003289024	0.00044096	0.125709	0.01678357	0.02339266	0.07425898	0.04925241	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	7	1	1	1	1	36	6680
A	17	0x0400000000004000	1471453724.266068000	1471453724.267546000	0.001478000	1	3	eth:ipv4:tcp	94:10:3e:42:80:69	00:b5:6d:06:08:ba	0x0800		10.10.10.124	04	"Private network"	3693	23.21.60.181	us	"Amazoncom"	8443	6	0x00	1	94:10:3e:42:80:69_00:b5:6d:06:08:ba_2	BelkinInt,US_DavidElec,TW	8443	pcsync-https	2	1	0	0	0	0	0	0	0	0.001478	0.000739	0.0005225519	1353.18	0	0.3333333	0	0x0011	56387	0	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2207609544	0	0	0	0	0	0	0	5840	4088	0	5840	1	0	0	0	0x0006	0x3000	1	6	0x0000001e	1460	2	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.000618	0.000618	0.000618	0.000618	0	0.000618	0	0x47	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	9	1	2	2	0.2222222	1	103	53199
B	17	0x0400000000004001	1471453724.266686000	1471453724.266686000	0.000000000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	94:10:3e:42:80:69	0x0800		23.21.60.181	us	"Amazoncom"	8443	10.10.10.124	04	"Private network"	3693	6	0x00	1	00:b5:6d:06:08:ba_94:10:3e:42:80:69_1	DavidElec,TW_BelkinInt,US	8443	pcsync-https	1	2	0	0	0	0	0	0	0	0	0	0	0	0	-0.3333333	0	0x0011	65535	0	30	30	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1913670460	1	0	0	1	0	0	0	254	254	254	254	0	0	0	0	0x0018	0x2000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	0.00086	0.00086	0.00043	0.0003040559	0.001048	0.0003040559	0x07	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	9	1	1	1	1	1	0
A	15	0x0400000000004000	1471453717.023064000	1471453717.326922000	0.303858000	1	3	eth:ipv4:tcp	94:10:3e:42:80:69	00:b5:6d:06:08:ba	0x0800		10.10.10.124	04	"Private network"	4168	50.19.247.85	us	"Amazoncom"	3475	6	0x00	1	94:10:3e:42:80:69_00:b5:6d:06:08:ba_6	BelkinInt,US_DavidElec,TW	3475	genisar-port	6	4	349	12	0	349	58.16667	108.0137	0	0.100977	0.050643	0.04145043	19.74607	1148.563	0.2	0.933518	0x0211	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2201155825	5	349	0	5	12	0	349	5840	5840	5840	5840	0	0	0	0	0x011b	0x0000	1	6	0x0000001e	1460	2	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.099801	0.099621	0.100153	0.09991075	0.0001729559	0.100782	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	9	1	2	2	0.2222222	1	104	53199
B	15	0x0400000000004001	1471453717.122865000	1471453717.326084000	0.203219000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	94:10:3e:42:80:69	0x0800		50.19.247.85	us	"Amazoncom"	3475	10.10.10.124	04	"Private network"	4168	6	0x00	1	00:b5:6d:06:08:ba_94:10:3e:42:80:69_4	DavidElec,TW_BelkinInt,US	3475	genisar-port	4	6	12	349	0	12	3	4.272002	0	0.101449	0.05080475	0.03948471	19.6832	59.0496	-0.2	-0.933518	0x0a11	1	56150	28	28	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	57898988	4	12	0	4	349	0	12	14600	15435.7	14600	15872	0	1	1	0	0x031b	0x0000	1	6	0x0000001e	1380	256	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.000981	0.000824	0.001828	0.001103664	0.0002881489	0.1010144	0.0003360707	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	9	1	1	1	1	4	12
A	18	0x0400000000004000	1471453727.262520000	1471453728.305505000	1.042985000	1	3	eth:ipv4:tcp	94:10:3e:42:80:69	00:b5:6d:06:08:ba	0x0800		10.10.10.124	04	"Private network"	3693	23.21.60.181	us	"Amazoncom"	8443	6	0x00	1	94:10:3e:42:80:69_00:b5:6d:06:08:ba_28	BelkinInt,US_DavidElec,TW	8443	pcsync-https	28	25	18766	6472	0	1440	670.2143	643.173	0	0.120655	0.03724946	0.03826501	26.84603	17992.59	0.05660377	0.4871226	0x0a11	0	2	64	64	0	0x00	0x0844	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2207609544	25	18766	0	25	6435	0	4200	5840	8268.467	0	16880	1	4	2	0	0x011f	0x0000	1	6	0x0000001e	1460	2	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.09967002	0.011405	0.119348	0.07124256	0.03376484	0.100529	0	0x52	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	8	1	2	2	0.25	1	131	71965
B	18	0x0400000000004001	1471453727.362190000	1471453728.304272000	0.942082000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	94:10:3e:42:80:69	0x0800		23.21.60.181	us	"Amazoncom"	8443	10.10.10.124	04	"Private network"	3693	6	0x00	1	00:b5:6d:06:08:ba_94:10:3e:42:80:69_25	DavidElec,TW_BelkinInt,US	8443	pcsync-https	25	28	6472	18766	0	1380	258.88	468.5201	0	0.20473	0.03768328	0.05010138	26.53697	6869.891	-0.05660377	-0.4871226	0x0a11	1	42738	30	30	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1849335464	25	6472	0	25	18766	0	4899	14600	41974.21	14600	42240	0	11	1	0	0x031b	0x0000	1	6	0x0000001e	1380	256	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.000858976	0.000850048	0.103028	0.01442201	0.02261527	0.08566458	0.04063883	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	8	1	1	1	1	26	6472
A	21	0x0400000000004000	1471453731.576381000	1471453732.678190000	1.101809000	1	3	eth:ipv4:tcp	94:10:3e:42:80:69	00:b5:6d:06:08:ba	0x0800		10.10.10.124	04	"Private network"	4642	23.23.236.208	us	"Amazoncom"	8443	6	0x00	1	94:10:3e:42:80:69_00:b5:6d:06:08:ba_30	BelkinInt,US_DavidElec,TW	8443	pcsync-https	30	25	21356	5800	0	1380	711.8666	614.692	0	0.124964	0.03672697	0.03830906	27.22795	19382.67	0.09090909	0.5728384	0x0a11	0	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2209352503	27	21356	0	27	5763	0	4932	5840	8269.861	0	16880	1	4	2	0	0x011f	0x0000	1	6	0x0000001e	1460	2	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.09994899	0.000620992	0.115416	0.06719787	0.03643883	0.101491	0	0x52	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	10	1	2	4	0.4	2	319	262969
B	21	0x0400000000004001	1471453731.676330000	1471453732.677000000	1.000670000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	94:10:3e:42:80:69	0x0800		23.23.236.208	us	"Amazoncom"	8443	10.10.10.124	04	"Private network"	4642	6	0x00	1	00:b5:6d:06:08:ba_94:10:3e:42:80:69_25	DavidElec,TW_BelkinInt,US	8443	pcsync-https	25	30	5800	21356	0	1380	232	428.7119	0	0.161391	0.0400268	0.04351449	24.98326	5796.117	-0.09090909	-0.5728384	0x0a11	1	20746	27	27	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1463048359	25	5800	0	25	21356	0	4899	14600	42066.92	14600	42240	0	10	1	0	0x031b	0x0000	1	6	0x0000001e	1380	256	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.001542016	0.000852992	0.06094499	0.01210617	0.01685232	0.07930405	0.04014709	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	10	1	3	3	3	25	5800
