%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	10	0x0400000000004000	1461319516.992072000	1461319522.298813000	5.306741000	1	3	eth:ipv4:tcp	94:10:3e:35:01:c1	00:b5:6d:06:08:ba	0x0800		10.10.10.252	04	"Private network"	4026	204.236.228.222	us	"Amazoncom"	8443	6	0x00	1	94:10:3e:35:01:c1_00:b5:6d:06:08:ba_46	BelkinInt,US_DavidElec,TW	8443	pcsync-https	46	36	39708	6616	0	1380	863.2174	621.2164	0	3.994258	0.1153639	0.5726193	8.66822	7482.558	0.1219512	0.7143597	0x0a11	0	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2748516171	43	39708	0	43	6579	0	5520	5840	8271.196	0	16880	1	4	2	0	0x011f	0x0000	1	6	0x0000001e	1460	2	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.097816	0.00028704	0.14683	0.05671311	0.04330156	0.099599	0	0x52	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	5	1	2	2	0.4	1	67	46410
B	10	0x0400000000004001	1461319517.089888000	1461319522.296739000	5.206851000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	94:10:3e:35:01:c1	0x0800		204.236.228.222	us	"Amazoncom"	8443	10.10.10.252	04	"Private network"	4026	6	0x00	1	00:b5:6d:06:08:ba_94:10:3e:35:01:c1_36	DavidElec,TW_BelkinInt,US	8443	pcsync-https	36	46	6616	39708	0	1380	183.7778	408.1398	0	4.093821	0.1446347	0.6588116	6.913968	1270.634	-0.1219512	-0.7143597	0x0a11	1	42599	32	32	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3282828610	36	6616	0	36	39708	0	4899	14600	42235.52	14600	42240	1	11	2	0	0x031b	0x0000	1	6	0x0000001e	1380	256	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.001783	0.000590016	4.000966	0.1900467	0.8120188	0.2467598	0.8131725	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	5	1	1	1	1	36	6616
A	12	0x0400000000004000	1461319526.731090000	1461319527.038631000	0.307541000	1	3	eth:ipv4:tcp	94:10:3e:35:01:c1	00:b5:6d:06:08:ba	0x0800		10.10.10.252	04	"Private network"	4160	23.23.244.163	us	"Amazoncom"	3475	6	0x00	1	94:10:3e:35:01:c1_00:b5:6d:06:08:ba_6	BelkinInt,US_DavidElec,TW	3475	genisar-port	6	4	349	12	0	349	58.16667	108.0137	0	0.101498	0.05125684	0.04094586	19.50959	1134.808	0.2	0.933518	0x0211	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2761888758	5	349	0	5	12	0	349	5840	5840	5840	5840	0	0	0	0	0x011b	0x0000	1	6	0x0000001e	1460	2	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.100605	0.09933901	0.100605	0.09985824	0.0003311215	0.101498	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	7	1	2	2	0.2857143	1	110	65981
B	12	0x0400000000004001	1461319526.831695000	1461319527.037501000	0.205806000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	94:10:3e:35:01:c1	0x0800		23.23.244.163	us	"Amazoncom"	3475	10.10.10.252	04	"Private network"	4160	6	0x00	1	00:b5:6d:06:08:ba_94:10:3e:35:01:c1_4	DavidElec,TW_BelkinInt,US	3475	genisar-port	4	6	12	349	0	12	3	4.272002	0	0.102766	0.05145151	0.04006796	19.43578	58.30734	-0.2	-0.933518	0x0a11	1	36573	24	24	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1264793148	4	12	0	4	349	0	12	14600	15435.7	14600	15872	0	1	1	0	0x031b	0x0000	1	6	0x0000001e	1380	256	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.000893056	0.000852032	0.003427008	0.001680867	0.0008950091	0.1015391	0.000954297	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	7	1	1	1	1	4	12
A	14	0x0400000000004000	1461319530.368246000	1461319531.434324000	1.066078000	1	3	eth:ipv4:tcp	94:10:3e:35:01:c1	00:b5:6d:06:08:ba	0x0800		10.10.10.252	04	"Private network"	4230	184.73.254.250	us	"Amazoncom"	8443	6	0x00	1	94:10:3e:35:01:c1_00:b5:6d:06:08:ba_30	BelkinInt,US_DavidElec,TW	8443	pcsync-https	30	25	18988	6472	0	1380	632.9333	638.2713	0	0.131726	0.03553593	0.03948893	28.14053	17811.08	0.09090909	0.4915947	0x0a11	0	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2766135679	27	18988	0	27	6435	0	4140	5840	8269.861	0	16880	1	4	2	0	0x011f	0x0000	1	6	0x0000001e	1460	2	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.100139	5.7e-05	0.130086	0.07272998	0.03717473	0.100968	0	0x52	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	6	1	2	2	0.3333333	1	110	65981
B	14	0x0400000000004001	1461319530.468385000	1461319531.432209000	0.963824000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	94:10:3e:35:01:c1	0x0800		184.73.254.250	us	"Amazoncom"	8443	10.10.10.252	04	"Private network"	4230	6	0x00	1	00:b5:6d:06:08:ba_94:10:3e:35:01:c1_25	DavidElec,TW_BelkinInt,US	8443	pcsync-https	25	30	6472	18988	0	1380	258.88	468.5201	0	0.163647	0.03855296	0.04407597	25.93835	6714.919	-0.09090909	-0.4915947	0x0a11	1	59442	33	33	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3452202819	25	6472	0	25	18988	0	4899	14600	42066.92	14600	42240	0	10	1	0	0x031b	0x0000	1	6	0x0000001e	1380	256	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.000829024	0.000375	0.06095296	0.008200796	0.01188645	0.08093078	0.03902881	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	6	1	1	1	1	25	6472
A	1	0x0000000000000004	1461319505.796246000	1461319505.802730000	0.006484000	1	2	eth:eapol	94:10:3e:35:01:c1	28:b2:bd:c3:41:78	0x888e		-	-	"-"	0	-	-	"-"	0	0	0x00	1	94:10:3e:35:01:c1_28:b2:bd:c3:41:78_2	BelkinInt,US_IntelCorp,MY	0	unknown	2	0	220	0	99	121	110	7.778174	0	0.006484	0.003242	0.00229244	308.4516	33929.67	1	1	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0	0	0	0
A	2	0x0400000000004000	1461319507.568837000	1461319507.596794000	0.027957000	1	3	eth:ipv4:udp	94:10:3e:35:01:c1	ff:ff:ff:ff:ff:ff	0x0800		0.0.0.0	-	"-"	68	255.255.255.255	11	"Broadcast"	67	17	0x00	1	94:10:3e:35:01:c1_ff:ff:ff:ff:ff:ff_2	BelkinInt,US_Broadcast	67	bootps	2	0	600	0	300	300	300	0	0	0.027957	0.0139785	0.009884292	71.53844	21461.53	1	1	0x0001	0	0	64	64	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1	1	2	600
A	3	0x0400000000004001	1461319507.568996000	1461319507.666419000	0.097423000	1	3	eth:ipv4:udp	00:b5:6d:06:08:ba	94:10:3e:35:01:c1	0x0800		10.10.10.1	04	"Private network"	67	10.10.10.252	04	"Private network"	68	17	0x00	1	00:b5:6d:06:08:ba_94:10:3e:35:01:c1_2	DavidElec,TW_BelkinInt,US	67	bootps	2	0	600	0	300	300	300	0	0	0.097423	0.0487115	0.03444423	20.52903	6158.71	-1	1	0x0001	21	21	64	64	0	0xc0	0x0800	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	6	7	1	1	0.1428571	7	1525
A	4	0x0000000000000044	1461319508.290995000	1461319511.322095000	3.031100000	1	2	eth:arp	94:10:3e:35:01:c1	ff:ff:ff:ff:ff:ff	0x0806		-	-	"-"	0	-	-	"-"	0	0	0x00	1	94:10:3e:35:01:c1_ff:ff:ff:ff:ff:ff_2	BelkinInt,US_Broadcast	0	unknown	2	0	74	0	28	46	37	6.363961	0	3.0311	1.51555	1.071656	0.6598265	24.41358	1	1	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0	0	0	0
