%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	10	0x0400000000004000	1471523132.857884000	1471523138.260349000	5.402465000	1	3	eth:ipv4:tcp	94:10:3e:35:01:c1	00:b5:6d:06:08:ba	0x0800		10.10.10.252	04	"Private network"	3718	23.23.236.208	us	"Amazoncom"	8443	6	0x00	1	94:10:3e:35:01:c1_00:b5:6d:06:08:ba_46	BelkinInt,US_DavidElec,TW	8443	pcsync-https	46	36	39708	6616	0	1380	863.2174	624.5272	0	3.952735	0.1174449	0.5669259	8.514632	7349.979	0.1219512	0.7143597	0x0a11	0	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1503604876	43	39708	0	43	6579	0	4178	5840	8271.196	0	16880	1	4	2	0	0x011f	0x0000	1	6	0x0000001e	1460	2	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.09985095	6.9952e-05	0.253323	0.06570007	0.0579372	0.103189	0	0x52	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	5	1	2	2	0.4	1	66	46402
B	10	0x0400000000004001	1471523132.957735000	1471523138.258950000	5.301215000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	94:10:3e:35:01:c1	0x0800		23.23.236.208	us	"Amazoncom"	8443	10.10.10.252	04	"Private network"	3718	6	0x00	1	00:b5:6d:06:08:ba_94:10:3e:35:01:c1_36	DavidElec,TW_BelkinInt,US	8443	pcsync-https	36	46	6616	39708	0	1380	183.7778	408.1398	0	4.054993	0.147256	0.6523214	6.790896	1248.016	-0.1219512	-0.7143597	0x0a11	1	31762	27	27	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	275148336	36	6616	0	36	39708	0	4899	14600	42236.58	14600	42240	0	10	1	0	0x031b	0x0000	1	6	0x0000001e	1380	256	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.003338048	5.2992e-05	3.95978	0.1894482	0.8034243	0.2551483	0.8055106	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	5	1	1	1	1	36	6616
A	11	0x0400000000004000	1471523140.266042000	1471523140.266042000	0.000000000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	94:10:3e:35:01:c1	0x0800		54.147.165.8	us	"Amazon Data Services NoVa"	3478	10.10.10.252	04	"Private network"	3687	6	0x00	1	00:b5:6d:06:08:ba_94:10:3e:35:01:c1_1	DavidElec,TW_BelkinInt,US	3687	simple-push	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0011	65535	0	32	32	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3348827166	1	0	0	1	0	0	0	237	237	237	237	0	0	0	0	0x0111	0x3000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	0.001018992	0.001018992	0.001018992	0	0	0	0x83	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	2	2	2	1	1	0
B	11	0x0400000000004001	1471523140.267061000	1471523140.267061000	0.000000000	1	3	eth:ipv4:tcp	94:10:3e:35:01:c1	00:b5:6d:06:08:ba	0x0800		10.10.10.252	04	"Private network"	3687	54.147.165.8	us	"Amazon Data Services NoVa"	3478	6	0x00	1	94:10:3e:35:01:c1_00:b5:6d:06:08:ba_1	BelkinInt,US_DavidElec,TW	3687	simple-push	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0011	65535	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1185186169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0004	0x2000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0.001018992	0	0x43	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1	1	68	46410
A	15	0x0400000000004000	1471523146.217994000	1471523147.339255000	1.121261000	1	3	eth:ipv4:tcp	94:10:3e:35:01:c1	00:b5:6d:06:08:ba	0x0800		10.10.10.252	04	"Private network"	3516	23.23.97.224	us	"Amazoncom"	8443	6	0x00	1	94:10:3e:35:01:c1_00:b5:6d:06:08:ba_30	BelkinInt,US_DavidElec,TW	8443	pcsync-https	30	25	18988	6472	0	1380	632.9333	638.2713	0	0.120193	0.03737537	0.04076475	26.75559	16934.51	0.09090909	0.4915947	0x0a11	0	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1521964298	27	18988	0	27	6435	0	4140	5840	8269.861	0	16880	1	4	2	0	0x011f	0x0000	1	6	0x0000001e	1460	2	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.09782802	0.000218	0.118561	0.06759704	0.03888566	0.100076	0	0x52	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	8	1	2	4	0.5	2	125	72354
B	15	0x0400000000004001	1471523146.315822000	1471523147.336858000	1.021036000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	94:10:3e:35:01:c1	0x0800		23.23.97.224	us	"Amazoncom"	8443	10.10.10.252	04	"Private network"	3516	6	0x00	1	00:b5:6d:06:08:ba_94:10:3e:35:01:c1_25	DavidElec,TW_BelkinInt,US	8443	pcsync-https	25	30	6472	18988	0	1380	258.88	468.5201	0	0.239439	0.04084143	0.05271805	24.48493	6338.66	-0.09090909	-0.4915947	0x0a11	1	63524	28	28	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3334943499	25	6472	0	25	18988	0	4899	14600	42066.92	14600	42240	0	10	1	0	0x031b	0x0000	1	6	0x0000001e	1380	256	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.002248	0.000187	0.13954	0.01378499	0.02413392	0.08138203	0.04576615	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	8	1	3	3	3	25	6472
A	13	0x0400000000004000	1471523142.571379000	1471523142.878383000	0.307004000	1	3	eth:ipv4:tcp	94:10:3e:35:01:c1	00:b5:6d:06:08:ba	0x0800		10.10.10.252	04	"Private network"	4814	23.23.244.247	us	"Amazoncom"	3475	6	0x00	1	94:10:3e:35:01:c1_00:b5:6d:06:08:ba_6	BelkinInt,US_DavidElec,TW	3475	genisar-port	6	4	349	13	0	349	58.16667	108.0137	0	0.101051	0.05116734	0.04094837	19.54372	1136.793	0.2	0.9281768	0x0211	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1514897560	5	349	0	5	13	0	349	5840	5840	5840	5840	0	0	0	0	0x011b	0x0000	1	6	0x0000001e	1460	2	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.09946503	0.09927303	0.09999405	0.09962677	0.0002331048	0.100675	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	7	1	2	2	0.2857143	1	157	110420
B	13	0x0400000000004001	1471523142.670844000	1471523142.877326000	0.206482000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	94:10:3e:35:01:c1	0x0800		23.23.244.247	us	"Amazoncom"	3475	10.10.10.252	04	"Private network"	4814	6	0x00	1	00:b5:6d:06:08:ba_94:10:3e:35:01:c1_4	DavidElec,TW_BelkinInt,US	3475	genisar-port	4	6	13	349	0	13	3.25	4.628002	0	0.103087	0.0516205	0.04015292	19.37215	62.95948	-0.2	-0.9281768	0x0a11	1	13398	27	27	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	406475467	4	13	0	4	349	0	13	14600	15435.7	14600	15872	0	1	1	0	0x031b	0x0000	1	6	0x0000001e	1380	256	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.001209984	0.001051008	0.003619968	0.001873483	0.0009022668	0.1015003	0.0009318923	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	7	1	1	1	1	4	13
A	19	0x0400000000004000	1471523161.810405000	1471523163.379033000	1.568628000	1	3	eth:ipv4:tcp	94:10:3e:35:01:c1	00:b5:6d:06:08:ba	0x0800		10.10.10.252	04	"Private network"	4558	23.21.209.146	us	"Amazoncom"	8445	6	0x00	1	94:10:3e:35:01:c1_00:b5:6d:06:08:ba_26	BelkinInt,US_DavidElec,TW	8445	unknown	26	20	13571	6222	0	1380	521.9615	612.6446	0	0.346672	0.06033185	0.07647769	16.575	8651.51	0.1304348	0.3712929	0x0a11	0	1	64	64	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1542022487	23	13571	0	23	6185	0	4140	5840	8265.621	0	16880	1	4	2	0	0x011f	0x0000	1	6	0x0000001e	1460	2	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.109751	0.03670899	0.109751	0.0862882	0.02115715	0.111021	0	0x52	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	7	1	2	2	0.2857143	1	190	124176
B	19	0x0400000000004001	1471523161.920156000	1471523163.377384000	1.457228000	1	3	eth:ipv4:tcp	00:b5:6d:06:08:ba	94:10:3e:35:01:c1	0x0800		23.21.209.146	us	"Amazoncom"	8445	10.10.10.252	04	"Private network"	4558	6	0x00	1	00:b5:6d:06:08:ba_94:10:3e:35:01:c1_20	DavidElec,TW_BelkinInt,US	8445	unknown	20	26	6222	13571	0	1380	311.1	490.8088	0	0.449989	0.0728614	0.110885	13.72469	4269.75	-0.1304348	-0.3712929	0x0a11	1	1289	28	28	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	566566897	20	6222	0	20	13571	0	4096	14600	40728.41	14600	42240	0	10	1	0	0x031b	0x0000	1	6	0x0000001e	1380	256	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.001269952	0.000891008	0.3489	0.0401898	0.08643876	0.126478	0.08899036	0x02	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	7	1	1	1	1	20	6222
A	17	0x0400000000004000	1471523160.848535000	1471523165.118266000	4.269731000	1	3	eth:ipv4:tcp	94:10:3e:35:01:c1	00:b5:6d:06:08:ba	0x0800		10.10.10.252	04	"Private network"	3219	54.91.138.233	us	"Amazon Technologies Inc"	3478	6	0x00	1	94:10:3e:35:01:c1_00:b5:6d:06:08:ba_7	BelkinInt,US_DavidElec,TW	3478	stun	7	7	604	280	0	448	86.28571	142.1247	0	2.519018	0.6099616	0.8360637	1.639448	141.4609	0	0.3665158	0x0211	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1538470122	6	604	0	6	280	0	448	5840	5840	5840	5840	0	0	0	0	0x011b	0x0000	1	6	0x0000001e	1460	2	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.100795	0.100547	1.440291	0.2982489	0.425971	0.101798	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	6	1	4	4	0.6666667	1	192	124624
