%dir,flowInd,flowStat,timeFirst,timeLast,duration,numHdrDesc,numHdrs,hdrDesc,srcMac,dstMac,ethType,vlanID,srcIP,srcIPCC,srcIPOrg,srcPort,dstIP,dstIPCC,dstIPOrg,dstPort,l4Proto,macStat,macPairs,srcMac_dstMac_numP,srcMacLbl_dstMacLbl,dstPortClassN,dstPortClass,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,tcpFStat,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,ipToS,ipFlags,ipOptCnt,ipOptCpCl_Num,ip6OptCntHH_D,ip6OptHH_D,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpBFlgtMx,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpFlags,tcpAnomaly,tcpOptPktCnt,tcpOptCnt,tcpOptions,tcpMSS,tcpWS,tcpMPTBF,tcpMPF,tcpMPAID,tcpMPDSSF,tcpTmS,tcpTmER,tcpEcI,tcpUtm,tcpBtm,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,tcpStatesAFlags,icmpStat,icmpTCcnt,icmpBFTypH_TypL_Code,icmpTmGtw,icmpEchoSuccRatio,icmpPFindex,connSip,connDip,connSipDip,connSipDprt,connF,connG,connNumPCnt,connNumBCnt
A,1,0x0000000000000004,1465489053.367523,1465489053.381272,0.013749,1,2,eth:eapol,20:f8:5e:ca:91:52,28:b2:bd:c3:41:78,0x888e,,-,-,-,0,-,-,-,0,0,0x00,1,20:f8:5e:ca:91:52_28:b2:bd:c3:41:78_2,"DeltaElec,TW_IntelCorp,MY",0,unknown,2,0,220,0,99,121,110.0,7.778174,0,0.013749,0.0068745,0.004861006,145.4651,16001.16,1.0,1.0,0x0000,65535,0,0,0,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,0,0,0,0,0,0.0,0,0
A,6,0x0400000000004000,1465489054.728149,1465489054.728149,0.0,1,3,eth:ipv4:udp,20:f8:5e:ca:91:52,00:b5:6d:06:08:ba,0x0800,,10.10.10.123,04,Private network,59904,10.10.10.1,04,Private network,53,17,0x00,1,20:f8:5e:ca:91:52_00:b5:6d:06:08:ba_1,"DeltaElec,TW_DavidElec,TW",53,domain,1,1,32,111,32,32,32.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5524476,0x0001,65535,0,64,64,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,9.7024e-05,9.7024e-05,9.7024e-05,9.7024e-05,0.0,9.7024e-05,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,2,1,3,2,1,0.6666667,16,453
B,6,0x0400000000004001,1465489054.728246,1465489054.728246,0.0,1,3,eth:ipv4:udp,00:b5:6d:06:08:ba,20:f8:5e:ca:91:52,0x0800,,10.10.10.1,04,Private network,53,10.10.10.123,04,Private network,59904,17,0x00,1,00:b5:6d:06:08:ba_20:f8:5e:ca:91:52_1,"DavidElec,TW_DeltaElec,TW",53,domain,1,1,111,32,111,111,111.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5524476,0x0001,65535,0,64,64,0,0x00,0x0840,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,9.7024e-05,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,2,2,1,1,0.5,5,1311
A,7,0x0400000000004000,1465489054.754286,1465489055.284928,0.530642,1,3,eth:ipv4:tcp,20:f8:5e:ca:91:52,00:b5:6d:06:08:ba,0x0800,,10.10.10.123,04,Private network,62997,104.16.65.50,us,Cloudflare,80,6,0x00,1,20:f8:5e:ca:91:52_00:b5:6d:06:08:ba_8,"DeltaElec,TW_DavidElec,TW",80,http,8,9,227,1230,0,96,28.375,31.57902,0,0.342411,0.06633025,0.1056584,15.07608,427.7837,-0.05882353,-0.6884008,0x0a13,1,1,64,64,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3727181987,7,227,0,7,1230,0,107,8688,8801.162,8429,9660,3,1,4,0,0x011b,0x0000,1,6,0x0000010e,1460,1,0x0000,0x00,0,0x00,1100674894,0,0.004,4402699.785117,1461086355.1881607,0.001380992,0.000286,0.330741,0.07206788,0.09795985,0.004635008,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,2,1,4,4,2,1.0,16,453
B,7,0x0400000000004001,1465489054.755667,1465489055.28193,0.526263,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,20:f8:5e:ca:91:52,0x0800,,104.16.65.50,us,Cloudflare,80,10.10.10.123,04,Private network,62997,6,0x00,1,00:b5:6d:06:08:ba_20:f8:5e:ca:91:52_9,"DavidElec,TW_DeltaElec,TW",80,http,9,8,1230,227,0,620,136.6667,228.4067,0,0.329568,0.05847367,0.09360702,17.10172,2337.234,0.05882353,0.6884008,0x0a11,1,47320,53,53,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2512513740,9,1230,0,9,227,0,625,29200,29667.41,29200,29696,0,1,1,0,0x031b,0x0000,1,3,0x0000000e,1380,1024,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.003254016,0.002998016,0.012593,0.007315259,0.00378809,0.07938313,0.09803307,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,2,3,3,3,1.0,15,1955
A,8,0x0400000000004000,1465489055.301045,1465489055.60375,0.302705,1,3,eth:ipv4:tcp,20:f8:5e:ca:91:52,00:b5:6d:06:08:ba,0x0800,,10.10.10.123,04,Private network,34406,104.16.65.50,us,Cloudflare,80,6,0x00,1,20:f8:5e:ca:91:52_00:b5:6d:06:08:ba_7,"DeltaElec,TW_DavidElec,TW",80,http,7,6,194,725,0,117,27.71428,35.35977,0,0.287034,0.04324357,0.09090092,23.12482,640.888,0.07692308,-0.5778019,0x0a13,1,1,64,64,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3727431046,6,194,0,6,725,0,146,8688,9175.595,8688,9660,2,1,3,0,0x011b,0x0000,1,6,0x0000010e,1460,1,0x0000,0x00,0,0x00,1100675494,0,0.004,4402702.185117,1461086353.2121723,0.001384,0.000278016,0.276063,0.04691633,0.09173452,0.005767008,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,2,1,2,2,1,1.0,16,453
B,8,0x0400000000004001,1465489055.302429,1465489055.600941,0.298512,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,20:f8:5e:ca:91:52,0x0800,,104.16.65.50,us,Cloudflare,80,10.10.10.123,04,Private network,34406,6,0x00,1,00:b5:6d:06:08:ba_20:f8:5e:ca:91:52_6,"DavidElec,TW_DeltaElec,TW",80,http,6,7,725,194,0,725,120.8333,241.868,0,0.274814,0.049752,0.09014349,20.09969,2428.713,-0.07692308,0.5778019,0x0a11,1,30265,53,53,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1285177168,6,725,0,6,194,0,725,29200,29612.64,29200,29696,0,1,1,0,0x031b,0x0000,1,3,0x0000000e,1380,1024,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.004383008,0.002652992,0.01097101,0.005263433,0.002384035,0.05217976,0.09176549,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,2,1,1,1,1.0,15,1955
A,2,0x0400000000004000,1465489053.397813,1465489055.711031,2.313218,1,3,eth:ipv4:udp,20:f8:5e:ca:91:52,ff:ff:ff:ff:ff:ff,0x0800,,0.0.0.0,-,-,68,255.255.255.255,11,Broadcast,67,17,0x00,1,20:f8:5e:ca:91:52_ff:ff:ff:ff:ff:ff_4,"DeltaElec,TW_Broadcast",67,bootps,4,0,1200,0,300,300,300.0,0.0,0,2.297824,0.5783045,0.816128,1.729193,518.7578,1.0,1.0,0x0001,1,18,64,64,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,1,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,1,1,1,1.0,4,1200
A,3,0x0400000000004001,1465489053.397962,1465489056.062163,2.664201,1,3,eth:ipv4:udp,00:b5:6d:06:08:ba,20:f8:5e:ca:91:52,0x0800,,10.10.10.1,04,Private network,67,10.10.10.123,04,Private network,68,17,0x00,1,00:b5:6d:06:08:ba_20:f8:5e:ca:91:52_4,"DavidElec,TW_DeltaElec,TW",67,bootps,4,0,1200,0,300,300,300.0,0.0,0,1.948922,0.6660503,0.6163687,1.501388,450.4165,-1.0,1.0,0x0001,61,239,64,64,0,0xc0,0x0800,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,1,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,1,1,1,1.0,5,1311
A,4,0x0000000000000044,1465489053.759355,1465489057.002083,3.242728,1,2,eth:arp,20:f8:5e:ca:91:52,ff:ff:ff:ff:ff:ff,0x0806,,-,-,-,0,-,-,-,0,0,0x00,1,20:f8:5e:ca:91:52_ff:ff:ff:ff:ff:ff_4,"DeltaElec,TW_Broadcast",0,unknown,4,0,184,0,46,46,46.0,0.0,0,1.363241,0.8106821,0.384581,1.233529,56.74235,1.0,1.0,0x0000,65535,0,0,0,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,1,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,0,0,0,0,0,0.0,0,0
