%dir,flowInd,flowStat,timeFirst,timeLast,duration,numHdrDesc,numHdrs,hdrDesc,srcMac,dstMac,ethType,vlanID,srcIP,srcIPCC,srcIPOrg,srcPort,dstIP,dstIPCC,dstIPOrg,dstPort,l4Proto,macStat,macPairs,srcMac_dstMac_numP,srcMacLbl_dstMacLbl,dstPortClassN,dstPortClass,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,tcpFStat,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,ipToS,ipFlags,ipOptCnt,ipOptCpCl_Num,ip6OptCntHH_D,ip6OptHH_D,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpBFlgtMx,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpFlags,tcpAnomaly,tcpOptPktCnt,tcpOptCnt,tcpOptions,tcpMSS,tcpWS,tcpMPTBF,tcpMPF,tcpMPAID,tcpMPDSSF,tcpTmS,tcpTmER,tcpEcI,tcpUtm,tcpBtm,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,tcpStatesAFlags,icmpStat,icmpTCcnt,icmpBFTypH_TypL_Code,icmpTmGtw,icmpEchoSuccRatio,icmpPFindex,connSip,connDip,connSipDip,connSipDprt,connF,connG,connNumPCnt,connNumBCnt
A,1,0x0000000000000004,1473090099.787552,1473090099.793534,0.005982,1,2,eth:eapol,20:f8:5e:ca:91:52,28:b2:bd:c3:41:78,0x888e,,-,-,-,0,-,-,-,0,0,0x00,1,20:f8:5e:ca:91:52_28:b2:bd:c3:41:78_2,"DeltaElec,TW_IntelCorp,MY",0,unknown,2,0,220,0,99,121,110.0,7.778174,0,0.005982,0.002991,0.002114956,334.3363,36777.0,1.0,1.0,0x0000,65535,0,0,0,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,0,0,0,0,0,0.0,0,0
A,3,0x0400000000004000,1473090102.065064,1473090102.065064,0.0,1,3,eth:ipv4:icmp,00:b5:6d:06:08:ba,20:f8:5e:ca:91:52,0x0800,,10.10.10.1,04,Private network,0,10.10.10.123,04,Private network,0,1,0x00,1,00:b5:6d:06:08:ba_20:f8:5e:ca:91:52_1,"DavidElec,TW_DeltaElec,TW",0,unknown,1,0,20,0,20,20,20.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0x0001,65535,0,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x01,1,0x00000000_0x00000100_0x0001,0x00000000,0,0,1,1,1,1,1,1.0,6,1331
A,7,0x0400000000004000,1473090103.156613,1473090103.156613,0.0,1,3,eth:ipv4:udp,20:f8:5e:ca:91:52,00:b5:6d:06:08:ba,0x0800,,10.10.10.123,04,Private network,59904,10.10.10.1,04,Private network,53,17,0x00,1,20:f8:5e:ca:91:52_00:b5:6d:06:08:ba_1,"DeltaElec,TW_DavidElec,TW",53,domain,1,1,32,111,32,32,32.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5524476,0x0001,65535,0,64,64,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.000124,0.000124,0.000124,0.000124,0.0,0.000124,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,2,1,3,2,1,0.6666667,16,453
B,7,0x0400000000004001,1473090103.156737,1473090103.156737,0.0,1,3,eth:ipv4:udp,00:b5:6d:06:08:ba,20:f8:5e:ca:91:52,0x0800,,10.10.10.1,04,Private network,53,10.10.10.123,04,Private network,59904,17,0x00,1,00:b5:6d:06:08:ba_20:f8:5e:ca:91:52_1,"DavidElec,TW_DeltaElec,TW",53,domain,1,1,111,32,111,111,111.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5524476,0x0001,65535,0,64,64,0,0x00,0x0840,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.000124,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,2,2,1,1,0.5,0,4198402
A,8,0x0400000000004000,1473090103.176443,1473090103.691927,0.515484,1,3,eth:ipv4:tcp,20:f8:5e:ca:91:52,00:b5:6d:06:08:ba,0x0800,,10.10.10.123,04,Private network,62997,104.16.66.50,us,Cloudflare,80,6,0x00,1,20:f8:5e:ca:91:52_00:b5:6d:06:08:ba_8,"DeltaElec,TW_DavidElec,TW",80,http,8,9,227,1230,0,96,28.375,31.57902,0,0.286111,0.0644355,0.09716412,15.5194,440.3629,-0.05882353,-0.6884008,0x0a13,1,1,64,64,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3729237475,7,227,0,7,1230,0,120,8688,8801.162,8429,9660,3,1,4,0,0x011b,0x0000,1,6,0x0000010e,1460,1,0x0000,0x00,0,0x00,1100634056,0,0.004,4402536.433109,1468687567.42112,0.001396992,0.000149008,0.274404,0.07489455,0.09536623,0.006108992,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,2,1,4,4,2,1.0,16,453
B,8,0x0400000000004001,1473090103.17784,1473090103.687209,0.509369,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,20:f8:5e:ca:91:52,0x0800,,104.16.66.50,us,Cloudflare,80,10.10.10.123,04,Private network,62997,6,0x00,1,00:b5:6d:06:08:ba_20:f8:5e:ca:91:52_9,"DavidElec,TW_DeltaElec,TW",80,http,9,8,1230,227,0,620,136.6667,228.4067,0,0.27313,0.05659655,0.08599293,17.66892,2414.752,0.05882353,0.6884008,0x0a11,1,48986,53,53,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1090661995,9,1230,0,9,227,0,625,29200,29667.41,29200,29696,0,1,1,0,0x031b,0x0000,1,3,0x0000000e,1380,1024,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.004712,0.004712,0.01257402,0.009139744,0.003054323,0.0840343,0.09541514,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,2,3,3,3,1.0,15,1955
A,9,0x0400000000004000,1473090103.698729,1473090104.002346,0.303617,1,3,eth:ipv4:tcp,20:f8:5e:ca:91:52,00:b5:6d:06:08:ba,0x0800,,10.10.10.123,04,Private network,49944,104.16.66.50,us,Cloudflare,80,6,0x00,1,20:f8:5e:ca:91:52_00:b5:6d:06:08:ba_7,"DeltaElec,TW_DavidElec,TW",80,http,7,6,194,725,0,117,27.71428,35.35977,0,0.28446,0.04337386,0.08990568,23.05536,638.9629,0.07692308,-0.5778019,0x0a13,1,1,64,64,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3729491179,6,194,0,6,725,0,146,8688,9175.595,8688,9660,2,1,3,0,0x011b,0x0000,1,6,0x0000010e,1460,1,0x0000,0x00,0,0x00,1100634556,0,0.004,4402538.433109,1468687565.251119,0.001445952,0.000144,0.275336,0.04760383,0.09117053,0.00416,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,2,1,2,2,1,1.0,16,453
B,9,0x0400000000004001,1473090103.700175,1473090103.999613,0.299438,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,20:f8:5e:ca:91:52,0x0800,,104.16.66.50,us,Cloudflare,80,10.10.10.123,04,Private network,49944,6,0x00,1,00:b5:6d:06:08:ba_20:f8:5e:ca:91:52_6,"DavidElec,TW_DeltaElec,TW",80,http,6,7,725,194,0,725,120.8333,241.868,0,0.273915,0.04990634,0.08974881,20.03754,2421.202,-0.07692308,0.5778019,0x0a11,1,8944,53,53,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,87629144,6,725,0,6,194,0,725,29200,29612.64,29200,29696,0,1,1,0,0x031b,0x0000,1,3,0x0000000e,1380,1024,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.002714048,0.002714048,0.009123968,0.00409344,0.001967226,0.05169727,0.09119175,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,2,1,1,1,1.0,15,1955
A,2,0x0400000000004000,1473090099.811948,1473090104.020628,4.20868,1,3,eth:ipv4:udp,20:f8:5e:ca:91:52,ff:ff:ff:ff:ff:ff,0x0800,,0.0.0.0,-,-,68,255.255.255.255,11,Broadcast,67,17,0x00,1,20:f8:5e:ca:91:52_ff:ff:ff:ff:ff:ff_4,"DeltaElec,TW_Broadcast",67,bootps,4,0,1200,0,300,300,300.0,0.0,0,2.260645,1.05217,0.8171342,0.9504167,285.125,1.0,1.0,0x0001,1,18,64,64,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,1,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,1,1,1,1.0,4,1200
A,4,0x0400000000004001,1473090102.06511,1473090104.087119,2.022009,1,3,eth:ipv4:udp,00:b5:6d:06:08:ba,20:f8:5e:ca:91:52,0x0800,,10.10.10.1,04,Private network,67,10.10.10.123,04,Private network,68,17,0x00,1,00:b5:6d:06:08:ba_20:f8:5e:ca:91:52_4,"DavidElec,TW_DeltaElec,TW",67,bootps,4,0,1200,0,300,300,300.0,0.0,0,1.871845,0.5055023,0.6485587,1.978231,593.4692,-1.0,1.0,0x0001,2,385,64,64,0,0xc0,0x0800,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,1,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,1,1,1,1.0,0,4198402
