%dir,flowInd,flowStat,timeFirst,timeLast,duration,numHdrDesc,numHdrs,hdrDesc,srcMac,dstMac,ethType,vlanID,srcIP,srcIPCC,srcIPOrg,srcPort,dstIP,dstIPCC,dstIPOrg,dstPort,l4Proto,macStat,macPairs,srcMac_dstMac_numP,srcMacLbl_dstMacLbl,dstPortClassN,dstPortClass,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,tcpFStat,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,ipToS,ipFlags,ipOptCnt,ipOptCpCl_Num,ip6OptCntHH_D,ip6OptHH_D,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpBFlgtMx,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpFlags,tcpAnomaly,tcpOptPktCnt,tcpOptCnt,tcpOptions,tcpMSS,tcpWS,tcpMPTBF,tcpMPF,tcpMPAID,tcpMPDSSF,tcpTmS,tcpTmER,tcpEcI,tcpUtm,tcpBtm,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,tcpStatesAFlags,icmpStat,icmpTCcnt,icmpBFTypH_TypL_Code,icmpTmGtw,icmpEchoSuccRatio,icmpPFindex,connSip,connDip,connSipDip,connSipDprt,connF,connG,connNumPCnt,connNumBCnt
A,3,0x0400000000004000,1473087579.621156,1473087579.95317,0.332014,1,3,eth:ipv4:tcp,1c:5f:2b:aa:fd:4e,00:b5:6d:06:08:ba,0x0800,,10.10.10.87,04,Private network,49342,52.28.38.154,us,MAINT-APNIC-AP,443,6,0x00,1,1c:5f:2b:aa:fd:4e_00:b5:6d:06:08:ba_9,"DLinkInte,SG_DavidElec,TW",443,https,9,8,1694,767,0,1152,188.2222,336.7589,0,0.278903,0.03689044,0.08004013,27.10729,5102.194,0.05882353,0.3766761,0x0a13,0,1,64,64,0,0x00,0x4044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1569958442,6,1694,0,6,736,0,1152,5840,3037.706,0,7038,1,1,2,0,0x011f,0x0000,7,23,0x0000011e,1460,2,0x0000,0x00,0,0x00,87778,528645118,1,87778.0,1472999801.1337228,0.002548032,0.002284032,0.276835,0.04139713,0.08203478,0.00296,0.0,0x52,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,2,1,2,5,2.5,2.5,10,1694
B,3,0x0400000000004001,1473087579.623704,1473087579.952831,0.329127,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,1c:5f:2b:aa:fd:4e,0x0800,,52.28.38.154,us,MAINT-APNIC-AP,443,10.10.10.87,04,Private network,49342,6,0x00,1,00:b5:6d:06:08:ba_1c:5f:2b:aa:fd:4e_8,"DavidElec,TW_DLinkInte,SG",443,https,8,9,767,1694,0,599,95.875,177.667,0,0.274356,0.04114088,0.08144681,24.30673,2330.407,-0.05882353,-0.3766761,0x0a13,1,22834,50,50,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1450353217,8,767,0,8,1694,0,630,17898,20843.58,17898,21504,0,2,1,0,0x031b,0x0000,8,26,0x0000011e,1380,256,0x0000,0x00,0,0x00,528645119,87778,1,528645119.0,944442460.3643229,0.000411968,0.00025504,0.003524032,0.001124248,0.0009775938,0.04252138,0.0820406,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,2,1,4,4.0,4.0,8,767
A,5,0x0400000000004000,1473087623.110695,1473087623.406346,0.295651,1,3,eth:ipv4:tcp,1c:5f:2b:aa:fd:4e,00:b5:6d:06:08:ba,0x0800,,10.10.10.87,04,Private network,49354,52.28.38.154,us,MAINT-APNIC-AP,443,6,0x00,1,1c:5f:2b:aa:fd:4e_00:b5:6d:06:08:ba_13,"DLinkInte,SG_DavidElec,TW",443,https,13,11,1584,4659,0,491,121.8462,182.9499,0,0.175756,0.02274239,0.04534317,43.97076,5357.668,0.08333334,-0.4925517,0x0a13,0,1,64,64,0,0x00,0x4044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2253868451,10,1584,0,10,4628,0,491,5840,6940.294,0,16784,1,4,2,0,0x011f,0x0000,11,35,0x0000011e,1460,2,0x0000,0x00,0,0x00,98641,528655981,1,98641.0,1472988982.415004,0.002397,0.002316992,0.173593,0.022021,0.04620288,0.002783,0.0,0x52,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,2,1,2,6,3.0,3.0,54,9553
B,5,0x0400000000004001,1473087623.113092,1473087623.405921,0.292829,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,1c:5f:2b:aa:fd:4e,0x0800,,52.28.38.154,us,MAINT-APNIC-AP,443,10.10.10.87,04,Private network,49354,6,0x00,1,00:b5:6d:06:08:ba_1c:5f:2b:aa:fd:4e_11,"DavidElec,TW_DLinkInte,SG",443,https,11,13,4659,1584,0,1368,423.5454,482.9056,0,0.171213,0.02662082,0.04709872,37.56458,15910.31,-0.08333334,0.4925517,0x0a13,1,64695,50,50,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,136910418,11,4659,0,11,1584,0,3819,17898,20793.26,17898,21248,0,3,1,0,0x031b,0x0000,11,35,0x0000011e,1380,256,0x0000,0x00,0,0x00,528655982,98641,1,528655982.0,944431641.2194073,0.000386,0.000368,0.06191801,0.006035167,0.01564564,0.02805616,0.04878004,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,2,1,5,5.0,5.0,19,5426
A,6,0x0400000000004000,1473087641.34238,1473087641.812512,0.470132,1,3,eth:ipv4:tcp,1c:5f:2b:aa:fd:4e,00:b5:6d:06:08:ba,0x0800,,10.10.10.87,04,Private network,49359,52.28.38.154,us,MAINT-APNIC-AP,443,6,0x00,1,1c:5f:2b:aa:fd:4e_00:b5:6d:06:08:ba_10,"DLinkInte,SG_DavidElec,TW",443,https,10,8,3111,767,0,1368,311.1,465.5322,0,0.451854,0.0470132,0.1262764,21.27062,6617.291,0.1111111,0.6044353,0x0a13,0,1,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2538911097,7,3111,0,7,736,0,1419,5840,3037.706,0,7038,1,1,2,0,0x011f,0x0000,8,26,0x0000011e,1460,2,0x0000,0x00,0,0x00,103242,528660583,1,103242.0,1472984399.2352147,0.002376992,0.002257984,0.450003,0.06360386,0.1339505,0.002775008,0.0,0x52,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,2,1,2,6,3.0,3.0,75,14955
B,6,0x0400000000004001,1473087641.344757,1473087641.812084,0.467327,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,1c:5f:2b:aa:fd:4e,0x0800,,52.28.38.154,us,MAINT-APNIC-AP,443,10.10.10.87,04,Private network,49359,6,0x00,1,00:b5:6d:06:08:ba_1c:5f:2b:aa:fd:4e_8,"DavidElec,TW_DLinkInte,SG",443,https,8,10,767,3111,0,599,95.875,177.667,0,0.408449,0.05841587,0.1214811,17.11864,1641.249,-0.1111111,-0.6044353,0x0a13,1,22942,50,50,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2063136721,8,767,0,8,3111,0,630,17898,23362.39,17898,24576,0,3,1,0,0x031b,0x0000,8,26,0x0000011e,1380,256,0x0000,0x00,0,0x00,528660584,103242,1,528660584.0,944427057.335181,0.000398016,0.00022,0.004792,0.001480452,0.001376703,0.06508432,0.1339576,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,2,1,5,5.0,5.0,27,6193
A,4,0x0000000000000044,1473087594.495844,1473087644.575866,50.080022,1,2,eth:arp,00:b5:6d:06:08:ba,1c:5f:2b:aa:fd:4e,0x0806,,-,-,-,0,-,-,-,0,0,0x00,1,00:b5:6d:06:08:ba_1c:5f:2b:aa:fd:4e_2,"DavidElec,TW_DLinkInte,SG",0,unknown,2,2,56,92,28,28,28.0,0.0,0,50.08002,25.04001,17.70596,0.03993608,1.11821,0.0,-0.2432432,0x0000,65535,0,0,0,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,1,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,0,0,0,0,0.0,0.0,0,0
B,4,0x0000000000000045,1473087594.496086,1473087644.576104,50.080018,1,2,eth:arp,1c:5f:2b:aa:fd:4e,00:b5:6d:06:08:ba,0x0806,,-,-,-,0,-,-,-,0,0,0x00,1,1c:5f:2b:aa:fd:4e_00:b5:6d:06:08:ba_2,"DLinkInte,SG_DavidElec,TW",0,unknown,2,2,92,56,46,46,46.0,0.0,0,50.08002,25.04001,17.70596,0.03993609,1.83706,0.0,0.2432432,0x0000,65535,0,0,0,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,1,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,0,0,0,0,0.0,0.0,0,0
A,1,0x0400000000004000,1473087582.382251,1473087678.694134,96.311883,1,3,eth:ipv4:tcp,1c:5f:2b:aa:fd:4e,00:b5:6d:06:08:ba,0x0800,,10.10.10.87,04,Private network,52215,52.28.131.102,us,MAINT-APNIC-AP,443,6,0x00,1,1c:5f:2b:aa:fd:4e_00:b5:6d:06:08:ba_43,"DLinkInte,SG_DavidElec,TW",443,https,43,44,12464,16529,0,1380,289.8605,371.6149,0,5.012691,2.239811,2.263055,0.4464662,129.4129,-0.01149425,-0.1402063,0x0011,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,814731585,42,12465,0,43,16529,1,2279,17112,17112.0,17112,17112,0,0,0,0,0x0018,0x0320,0,0,0x00000000,0,1,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.0,0.002037984,5.012324,2.150493,2.298478,0.0,0.0,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,4,4,4.0,1.0,98,18853
B,1,0x0400000000004001,1473087577.477078,1473087678.693773,101.216695,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,1c:5f:2b:aa:fd:4e,0x0800,,52.28.131.102,us,MAINT-APNIC-AP,443,10.10.10.87,04,Private network,52215,6,0x00,1,00:b5:6d:06:08:ba_1c:5f:2b:aa:fd:4e_44,"DavidElec,TW_DLinkInte,SG",443,https,44,43,16529,12464,0,1096,375.6591,478.9221,0,5.010139,2.30038,2.242262,0.4347109,163.3031,0.01149425,0.1402063,0x0011,1,1,50,50,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,355476221,38,16532,0,44,12464,2,1096,2203,2203.0,2203,2203,0,0,0,0,0x0018,0x0330,0,0,0x00000000,0,1,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.0,0.000308,4.905173,0.1560982,0.5869668,2.306591,2.372242,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,3,3,3.0,1.0,67,16529
