%dir,flowInd,flowStat,timeFirst,timeLast,duration,numHdrDesc,numHdrs,hdrDesc,srcMac,dstMac,ethType,vlanID,srcIP,srcIPCC,srcIPOrg,srcPort,dstIP,dstIPCC,dstIPOrg,dstPort,l4Proto,macStat,macPairs,srcMac_dstMac_numP,srcMacLbl_dstMacLbl,dstPortClassN,dstPortClass,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,tcpFStat,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,ipToS,ipFlags,ipOptCnt,ipOptCpCl_Num,ip6OptCntHH_D,ip6OptHH_D,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpBFlgtMx,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpFlags,tcpAnomaly,tcpOptPktCnt,tcpOptCnt,tcpOptions,tcpMSS,tcpWS,tcpMPTBF,tcpMPF,tcpMPAID,tcpMPDSSF,tcpTmS,tcpTmER,tcpEcI,tcpUtm,tcpBtm,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,tcpStatesAFlags,icmpStat,icmpTCcnt,icmpBFTypH_TypL_Code,icmpTmGtw,icmpEchoSuccRatio,icmpPFindex,connSip,connDip,connSipDip,connSipDprt,connF,connG,connNumPCnt,connNumBCnt
A,13,0x0400000000004000,1461243994.528913,1461243995.928318,1.399405,1,3,eth:ipv4:tcp,90:8d:78:a8:e1:43,00:b5:6d:06:08:ba,0x0800,,10.10.10.72,04,Private network,56833,50.112.127.36,us,Amazoncom,80,6,0x00,1,90:8d:78:a8:e1:43_00:b5:6d:06:08:ba_6,"DLinkInte,SG_DavidElec,TW",80,http,6,4,137,659,0,137,22.83333,42.40079,0,0.844275,0.2332342,0.2494197,4.287537,97.89875,0.2,-0.6557789,0x0a13,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1572164166,5,137,0,5,659,0,137,5840,6705.926,5840,7158,0,1,1,0,0x011b,0x0000,6,20,0x0000011e,1460,2,0x0000,0x00,0,0x00,4294917689,3505296860,1.0,4294917689.0,1.844674407087588e+19,0.161906,0.16164,0.164288,0.1624008,0.0008983291,0.164869,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,5,1,2,2,0.4,1.0,43,9212
B,13,0x0400000000004001,1461243994.690819,1461243995.927192,1.236373,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,90:8d:78:a8:e1:43,0x0800,,50.112.127.36,us,Amazoncom,80,10.10.10.72,04,Private network,56833,6,0x00,1,00:b5:6d:06:08:ba_90:8d:78:a8:e1:43_4,"DavidElec,TW_DLinkInte,SG",80,http,4,6,659,137,0,659,164.75,234.6041,0,1.009838,0.3090932,0.3566804,3.23527,533.0107,-0.2,0.6557789,0x0a13,1,55975,30,30,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1744912583,4,659,0,4,137,0,659,14480,15226.35,14480,15616,0,1,1,0,0x031b,0x0000,4,14,0x0000011e,1380,256,0x0000,0x00,0,0x00,3505296860,4294917649,1.0,3505296860.0,1.8446744071665496e+19,0.002963008,0.001126016,0.848069,0.153527,0.2786778,0.3159277,0.2786792,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,5,1,1,1.0,1.0,4,659
A,17,0x0400000000004000,1461244031.345959,1461244032.090257,0.744298,1,3,eth:ipv4:tcp,90:8d:78:a8:e1:43,00:b5:6d:06:08:ba,0x0800,,10.10.10.72,04,Private network,54522,52.28.38.154,us,MAINT-APNIC-AP,443,6,0x00,1,90:8d:78:a8:e1:43_00:b5:6d:06:08:ba_12,"DLinkInte,SG_DavidElec,TW",443,https,12,9,863,4637,0,522,71.91666,139.661,0,0.297037,0.06202484,0.09867098,16.12258,1159.482,0.1428571,-0.6861818,0x0a13,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3380716678,11,863,0,11,4637,0,522,5840,13554.55,5840,14048,0,3,1,0,0x041e,0x0000,12,38,0x0000011e,1460,2,0x0000,0x00,0,0x00,4294926730,208870464,0.001,4294926.933998,1456949106.3423655,0.002968992,0.002590976,0.2869869,0.07092642,0.1089564,0.004961984,0.0,0x42,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,5,1,2,2,0.4,1.0,61,11227
B,17,0x0400000000004001,1461244031.348928,1461244032.072551,0.723623,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,90:8d:78:a8:e1:43,0x0800,,52.28.38.154,us,MAINT-APNIC-AP,443,10.10.10.72,04,Private network,54522,6,0x00,1,00:b5:6d:06:08:ba_90:8d:78:a8:e1:43_9,"DavidElec,TW_DLinkInte,SG",443,https,9,12,4637,863,0,1368,515.2222,489.8277,0,0.319721,0.08040255,0.1047502,12.43742,6408.033,-0.1428571,0.6861818,0x0a13,1,37020,50,50,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3337645135,9,4600,0,9,863,0,3817,17898,20575.85,17898,21248,0,3,1,0,0x021a,0x0000,9,29,0x0000011e,1380,256,0x0000,0x00,0,0x00,208870464,4294926654,0.001,208870.473921,1461035162.3357604,0.001992992,0.001992992,0.316552,0.04217759,0.07843351,0.113104,0.1342509,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,5,1,1,1.0,1.0,9,4637
A,18,0x0400000000004000,1461244032.207965,1461244032.937207,0.729242,1,3,eth:ipv4:tcp,90:8d:78:a8:e1:43,00:b5:6d:06:08:ba,0x0800,,10.10.10.72,04,Private network,54524,52.28.38.154,us,MAINT-APNIC-AP,443,6,0x00,1,90:8d:78:a8:e1:43_00:b5:6d:06:08:ba_14,"DLinkInte,SG_DavidElec,TW",443,https,14,11,1593,4685,0,730,113.7857,208.317,0,0.380137,0.05208872,0.09669025,19.19802,2184.46,0.12,-0.4925135,0x0a13,0,1,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3388617779,11,1593,0,11,4648,0,730,5840,6641.727,0,14048,1,3,2,0,0x011f,0x0000,12,38,0x0000011e,1460,2,0x0000,0x00,0,0x00,4294926940,208870678,1.0,4294926940.0,1.8446744070875867e+19,0.002838016,0.002588992,0.378828,0.04085964,0.101265,0.003863008,0.0,0x52,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,5,1,2,2,0.4,1.0,75,12820
B,18,0x0400000000004001,1461244032.210803,1461244032.935587,0.724784,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,90:8d:78:a8:e1:43,0x0800,,52.28.38.154,us,MAINT-APNIC-AP,443,10.10.10.72,04,Private network,54524,6,0x00,1,00:b5:6d:06:08:ba_90:8d:78:a8:e1:43_11,"DavidElec,TW_DLinkInte,SG",443,https,11,14,4685,1593,0,1368,425.9091,482.4656,0,0.376089,0.06588946,0.1060689,15.17694,6463.995,-0.12,0.4925135,0x0a13,1,2708,50,50,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2427212787,11,4685,0,11,1593,0,3817,17898,22085.85,17898,22784,0,4,1,0,0x031b,0x0000,11,35,0x0000011e,1380,256,0x0000,0x00,0,0x00,208870679,4294926940,1.0,208870679.0,1252373353.3579097,0.001024992,0.001024992,0.188553,0.0244553,0.04652797,0.06531494,0.1114426,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,5,1,1,1.0,1.0,20,9322
A,19,0x0400000000004000,1461244033.077693,1461244034.385211,1.307518,1,3,eth:ipv4:tcp,90:8d:78:a8:e1:43,00:b5:6d:06:08:ba,0x0800,,10.10.10.72,04,Private network,54525,52.28.38.154,us,MAINT-APNIC-AP,443,6,0x00,1,90:8d:78:a8:e1:43_00:b5:6d:06:08:ba_12,"DLinkInte,SG_DavidElec,TW",443,https,12,9,735,4493,0,394,61.25,109.8815,0,0.697044,0.1089598,0.1892298,9.177694,562.1337,0.1428571,-0.7188217,0x0a13,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3400651950,11,735,0,11,4493,0,394,5840,13554.55,5840,14048,0,3,1,0,0x041e,0x0000,12,38,0x0000011e,1460,2,0x0000,0x00,0,0x00,4294927304,208870964,1.0,4294927304.0,1.8446744070875867e+19,0.002567,0.002395,0.696114,0.161388,0.2684757,0.004975,0.0,0x42,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,6,1,2,4,0.6666667,2.0,103,15002
B,19,0x0400000000004001,1461244033.08026,1461244034.072587,0.992327,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,90:8d:78:a8:e1:43,0x0800,,52.28.38.154,us,MAINT-APNIC-AP,443,10.10.10.72,04,Private network,54525,6,0x00,1,00:b5:6d:06:08:ba_90:8d:78:a8:e1:43_9,"DavidElec,TW_DLinkInte,SG",443,https,9,12,4493,735,0,1368,499.2222,490.6641,0,0.657013,0.1102586,0.1890079,9.069592,4527.742,-0.1428571,0.7188217,0x0a13,1,36888,50,50,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,4103141350,9,4456,0,9,735,0,3817,17898,20575.85,17898,21248,0,3,1,0,0x021a,0x0000,9,29,0x0000011e,1380,256,0x0000,0x00,0,0x00,208870964,4294927051,0.001,208870.973921,1461035164.2893603,0.002408,0.000809984,0.312624,0.052007,0.0886848,0.213395,0.2827441,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,6,1,3,3.0,3.0,29,13815
A,28,0x0400000000004000,1461244036.071547,1461244043.870205,7.798658,1,3,eth:ipv4:tcp,90:8d:78:a8:e1:43,00:b5:6d:06:08:ba,0x0800,,10.10.10.72,04,Private network,59006,52.28.161.134,us,MAINT-APNIC-AP,443,6,0x00,1,90:8d:78:a8:e1:43_00:b5:6d:06:08:ba_18,"DLinkInte,SG_DavidElec,TW",443,https,18,15,543,4024,0,207,30.16667,62.43538,0,5.000229,0.4332588,1.198345,2.308089,69.62737,0.09090909,-0.7622072,0x0a13,0,1,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3457236453,15,543,0,15,3987,0,207,5840,5520.939,0,11360,1,2,2,0,0x011f,0x0020,1,5,0x0000011e,1460,2,0x0000,0x00,0,0x00,4294927725,0,0.004,17179711.715992,1444064325.2111533,0.002142,0.002058,4.999747,0.3386244,1.196954,0.002757,0.0,0x52,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,9,1,4,4,0.4444444,1.0,280,25094
B,28,0x0400000000004001,1461244036.073689,1461244043.869135,7.795446,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,90:8d:78:a8:e1:43,0x0800,,52.28.161.134,us,MAINT-APNIC-AP,443,10.10.10.72,04,Private network,59006,6,0x00,1,00:b5:6d:06:08:ba_90:8d:78:a8:e1:43_15,"DavidElec,TW_DLinkInte,SG",443,https,15,18,4024,543,0,1380,268.2667,421.1792,0,4.960016,0.5196964,1.28054,1.9242,516.1988,-0.09090909,0.7622072,0x0a11,1,53903,50,50,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3880218329,13,4025,0,15,543,0,3464,8192,8191.628,8064,8192,1,1,1,0,0x031b,0x0010,1,6,0x0000001e,1380,128,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.000615,0.000482016,2.449094,0.1646229,0.5552691,0.5032473,1.319478,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,9,3,3,3.0,1.0,34,9199
