%dir,flowInd,flowStat,timeFirst,timeLast,duration,numHdrDesc,numHdrs,hdrDesc,srcMac,dstMac,ethType,vlanID,srcIP,srcIPCC,srcIPOrg,srcPort,dstIP,dstIPCC,dstIPOrg,dstPort,l4Proto,macStat,macPairs,srcMac_dstMac_numP,srcMacLbl_dstMacLbl,dstPortClassN,dstPortClass,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,tcpFStat,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,ipToS,ipFlags,ipOptCnt,ipOptCpCl_Num,ip6OptCntHH_D,ip6OptHH_D,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpBFlgtMx,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpFlags,tcpAnomaly,tcpOptPktCnt,tcpOptCnt,tcpOptions,tcpMSS,tcpWS,tcpMPTBF,tcpMPF,tcpMPAID,tcpMPDSSF,tcpTmS,tcpTmER,tcpEcI,tcpUtm,tcpBtm,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,tcpStatesAFlags,icmpStat,icmpTCcnt,icmpBFTypH_TypL_Code,icmpTmGtw,icmpEchoSuccRatio,icmpPFindex,connSip,connDip,connSipDip,connSipDprt,connF,connG,connNumPCnt,connNumBCnt
A,15,0x0400000000004000,1469006012.770704,1469006014.125312,1.354608,1,3,eth:ipv4:tcp,90:8d:78:a8:e1:43,00:b5:6d:06:08:ba,0x0800,,10.10.10.72,04,Private network,52835,50.112.127.36,us,Amazoncom,80,6,0x00,1,90:8d:78:a8:e1:43_00:b5:6d:06:08:ba_6,"DLinkInte,SG_DavidElec,TW",80,http,6,4,137,659,0,137,22.83333,42.40079,0,0.845506,0.225768,0.2552811,4.429326,101.1363,0.2,-0.6557789,0x0a13,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,97754913,5,137,0,5,659,0,137,5840,6705.926,5840,7158,0,1,1,0,0x011b,0x0000,6,20,0x0000011e,1460,2,0x0000,0x00,0,0x00,4294962751,1150832537,0.001,4294962.955,1464711052.4097917,0.166287,0.1660379,0.168424,0.1667232,0.0008099588,0.168057,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,5,1,2,2,0.4,1.0,41,6607
B,15,0x0400000000004001,1469006012.936991,1469006014.124075,1.187084,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,90:8d:78:a8:e1:43,0x0800,,50.112.127.36,us,Amazoncom,80,10.10.10.72,04,Private network,52835,6,0x00,1,00:b5:6d:06:08:ba_90:8d:78:a8:e1:43_4,"DavidElec,TW_DLinkInte,SG",80,http,4,6,659,137,0,659,164.75,234.6041,0,1.01641,0.296771,0.3632944,3.369601,555.1418,-0.2,0.6557789,0x0a13,1,49146,28,28,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2868429924,4,659,0,4,137,0,659,14480,15226.35,14480,15616,0,1,1,0,0x031b,0x0000,4,14,0x0000011e,1380,256,0x0000,0x00,0,0x00,1150832537,4294962709,0.001,1150832.591662,1467855182.3224254,0.001770048,0.001237,0.850266,0.1436755,0.2828771,0.3103988,0.2828782,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,5,1,1,1.0,1.0,4,659
A,19,0x0400000000004000,1469006048.880368,1469006049.604632,0.724264,1,3,eth:ipv4:tcp,90:8d:78:a8:e1:43,00:b5:6d:06:08:ba,0x0800,,10.10.10.72,04,Private network,59209,52.58.227.57,us,Amazon Technologies Inc,443,6,0x00,1,90:8d:78:a8:e1:43_00:b5:6d:06:08:ba_13,"DLinkInte,SG_DavidElec,TW",443,https,13,10,847,5734,0,506,65.15385,132.4141,0,0.344747,0.05571261,0.09710523,17.94925,1169.463,0.1304348,-0.7425923,0x4a13,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3532035147,12,847,0,12,4653,1,506,5840,13702.58,5840,14048,0,3,1,0,0x041e,0x0008,13,44,0x0000013e,1460,2,0x0000,0x00,0,0x00,4325,272805325,0.001,4.325,1469006045.3011577,0.002766976,0.002570048,0.342472,0.07639071,0.1261972,0.004116992,0.0,0x42,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,5,1,2,2,0.4,1.0,61,8837
B,19,0x0400000000004001,1469006048.883135,1469006049.589967,0.706832,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,90:8d:78:a8:e1:43,0x0800,,52.58.227.57,us,Amazon Technologies Inc,443,10.10.10.72,04,Private network,59209,6,0x00,1,00:b5:6d:06:08:ba_90:8d:78:a8:e1:43_10,"DavidElec,TW_DLinkInte,SG",443,https,10,13,5734,847,0,1368,573.4,492.2939,0,0.301744,0.0706832,0.09926119,14.14763,8112.253,-0.1304348,0.7425923,0x0a13,1,63514,50,50,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1185058309,9,4616,0,10,847,0,4898,17898,20598.37,17898,21248,0,3,1,0,0x021a,0x0040,10,32,0x0000011e,1380,256,0x0000,0x00,0,0x00,272805325,4235,0.001,272805.337958,1468733244.1218524,0.001350016,0.001328992,0.2428719,0.03268577,0.05865205,0.1090765,0.139161,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,5,1,1,1.0,1.0,10,5734
A,22,0x0400000000004000,1469006050.577069,1469006051.80438,1.227311,1,3,eth:ipv4:tcp,90:8d:78:a8:e1:43,00:b5:6d:06:08:ba,0x0800,,10.10.10.72,04,Private network,59211,52.58.227.57,us,Amazon Technologies Inc,443,6,0x00,1,90:8d:78:a8:e1:43_00:b5:6d:06:08:ba_14,"DLinkInte,SG_DavidElec,TW",443,https,14,11,1593,4685,0,730,113.7857,208.317,0,0.483971,0.08766507,0.145603,11.40705,1297.959,0.12,-0.4925135,0x0a13,0,1,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3554400107,11,1593,0,11,4648,0,730,5840,6641.727,0,14048,1,3,2,0,0x011f,0x0000,12,38,0x0000011e,1460,2,0x0000,0x00,0,0x00,4874,272805867,1.0,4874.0,1469001177.1446083,0.002900032,0.00282496,0.482972,0.05060217,0.1293301,0.003868032,0.0,0x52,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,6,1,4,4,0.6666667,1.0,99,13722
B,22,0x0400000000004001,1469006050.579969,1469006051.80317,1.223201,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,90:8d:78:a8:e1:43,0x0800,,52.58.227.57,us,Amazon Technologies Inc,443,10.10.10.72,04,Private network,59211,6,0x00,1,00:b5:6d:06:08:ba_90:8d:78:a8:e1:43_11,"DavidElec,TW_DLinkInte,SG",443,https,11,14,4685,1593,0,1368,425.9091,482.4656,0,0.479901,0.1112001,0.1635064,8.992798,3830.115,-0.12,0.4925135,0x0a13,1,58408,50,50,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,4112382297,11,4685,0,11,1593,0,3817,17898,22085.85,17898,22784,0,4,1,0,0x031b,0x0000,11,35,0x0000011e,1380,256,0x0000,0x00,0,0x00,272805878,4874,1.0,272805878.0,1196200173.0111156,0.000968,0.000854016,0.4101461,0.05472002,0.1066531,0.1053222,0.167634,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,6,3,3,3.0,1.0,28,14470
A,23,0x0400000000004000,1469006050.874667,1469006052.743697,1.86903,1,3,eth:ipv4:tcp,90:8d:78:a8:e1:43,00:b5:6d:06:08:ba,0x0800,,10.10.10.72,04,Private network,59212,52.58.227.57,us,Amazon Technologies Inc,443,6,0x00,1,90:8d:78:a8:e1:43_00:b5:6d:06:08:ba_12,"DLinkInte,SG_DavidElec,TW",443,https,12,9,735,4493,0,394,61.25,109.8815,0,0.767667,0.1557525,0.2616575,6.420443,393.2521,0.1428571,-0.7188217,0x0a13,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3564478479,11,735,0,11,4493,0,394,5840,13554.55,5840,14048,0,3,1,0,0x041e,0x0000,12,38,0x0000011e,1460,2,0x0000,0x00,0,0x00,5109,272805928,0.001,5.109,1469006047.5586576,0.002692992,0.002558016,0.7668,0.1772919,0.2959524,0.003659008,0.0,0x42,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,8,1,2,4,0.5,2.0,127,15352
B,23,0x0400000000004001,1469006050.87736,1469006052.00298,1.12562,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,90:8d:78:a8:e1:43,0x0800,,52.58.227.57,us,Amazon Technologies Inc,443,10.10.10.72,04,Private network,59212,6,0x00,1,00:b5:6d:06:08:ba_90:8d:78:a8:e1:43_9,"DavidElec,TW_DLinkInte,SG",443,https,9,12,4493,735,0,1368,499.2222,490.6641,0,0.726707,0.1250689,0.211143,7.995594,3991.578,-0.1428571,0.7188217,0x0a13,1,27142,50,50,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3845839142,9,4456,0,9,735,0,3817,17898,20575.85,17898,21248,0,3,1,0,0x021a,0x0000,9,29,0x0000011e,1380,256,0x0000,0x00,0,0x00,272805928,4733,0.001,272805.940958,1468733247.2039044,0.000966016,0.000842016,0.7407171,0.09227293,0.1971806,0.2695648,0.3556234,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,8,1,3,3.0,3.0,30,14912
A,30,0x0400000000004000,1469006054.389862,1469006060.091656,5.701794,1,3,eth:ipv4:tcp,90:8d:78:a8:e1:43,00:b5:6d:06:08:ba,0x0800,,10.10.10.72,04,Private network,37637,52.28.161.134,us,MAINT-APNIC-AP,443,6,0x00,1,90:8d:78:a8:e1:43_00:b5:6d:06:08:ba_16,"DLinkInte,SG_DavidElec,TW",443,https,16,16,543,4077,0,207,33.9375,65.15464,0,5.000228,0.3563621,1.155715,2.806134,95.23318,0.0,-0.7649351,0x4a13,0,1,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3626974812,13,543,0,13,3987,0,207,5840,5473.624,0,11360,1,2,2,0,0x011f,0x0020,2,8,0x0000013e,1460,2,0x0000,0x00,0,0x00,5521,0,0.004,22.084001,1469006032.3230941,0.002549984,0.002268,4.999718,0.3186541,1.164753,0.003165984,0.0,0x52,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,9,1,4,4,0.4444444,1.0,261,22150
B,30,0x0400000000004001,1469006054.392412,1469006060.090461,5.698049,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,90:8d:78:a8:e1:43,0x0800,,52.28.161.134,us,MAINT-APNIC-AP,443,10.10.10.72,04,Private network,37637,6,0x00,1,00:b5:6d:06:08:ba_90:8d:78:a8:e1:43_16,"DavidElec,TW_DLinkInte,SG",443,https,16,16,4077,543,0,1380,254.8125,410.9536,0,4.960062,0.3561281,1.14932,2.807979,715.5081,0.0,0.7649351,0x0a11,1,37333,50,50,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,404642543,13,4025,0,16,543,0,3464,2048,3114.911,2048,3120,0,1,1,0,0x031b,0x0050,1,6,0x0000001e,1380,8,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.000616,0.000505984,0.365019,0.04554141,0.09531032,0.3641955,1.168646,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,9,3,3,3.0,1.0,34,9199
