%dir,flowInd,flowStat,timeFirst,timeLast,duration,numHdrDesc,numHdrs,hdrDesc,srcMac,dstMac,ethType,vlanID,srcIP,srcIPCC,srcIPOrg,srcPort,dstIP,dstIPCC,dstIPOrg,dstPort,l4Proto,macStat,macPairs,srcMac_dstMac_numP,srcMacLbl_dstMacLbl,dstPortClassN,dstPortClass,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,tcpFStat,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,ipToS,ipFlags,ipOptCnt,ipOptCpCl_Num,ip6OptCntHH_D,ip6OptHH_D,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpBFlgtMx,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpFlags,tcpAnomaly,tcpOptPktCnt,tcpOptCnt,tcpOptions,tcpMSS,tcpWS,tcpMPTBF,tcpMPF,tcpMPAID,tcpMPDSSF,tcpTmS,tcpTmER,tcpEcI,tcpUtm,tcpBtm,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,tcpStatesAFlags,icmpStat,icmpTCcnt,icmpBFTypH_TypL_Code,icmpTmGtw,icmpEchoSuccRatio,icmpPFindex,connSip,connDip,connSipDip,connSipDprt,connF,connG,connNumPCnt,connNumBCnt
A,12,0x0400000000004000,1472723974.194866,1472723975.582081,1.387215,1,3,eth:ipv4:tcp,90:8d:78:dd:0d:60,00:b5:6d:06:08:ba,0x0800,,10.10.10.39,04,Private network,43864,54.244.232.183,us,Amazon Technologies Inc,80,6,0x00,1,90:8d:78:dd:0d:60_00:b5:6d:06:08:ba_6,"DLinkInte,SG_DavidElec,TW",80,http,6,4,137,201,0,137,22.83333,42.40079,0,0.864539,0.2312025,0.2609489,4.325212,98.75903,0.2,-0.1893491,0x0213,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1585765385,5,137,0,5,201,0,137,5840,5840.0,5840,5840,0,0,0,0,0x011b,0x0000,6,20,0x0000011e,1460,2,0x0000,0x00,0,0x00,4294917749,1459222894,1.0,4294917749.0,1.844674407088736e+19,0.171259,0.171121,0.173701,0.171835,0.000888844,0.172978,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,5,1,2,2,0.4,1,42,9407
B,12,0x0400000000004001,1472723974.366125,1472723975.580965,1.21484,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,90:8d:78:dd:0d:60,0x0800,,54.244.232.183,us,Amazon Technologies Inc,80,10.10.10.39,04,Private network,43864,6,0x00,1,00:b5:6d:06:08:ba_90:8d:78:dd:0d:60_4,"DavidElec,TW_DLinkInte,SG",80,http,4,6,201,137,0,201,50.25,71.55603,0,1.039008,0.30371,0.3712594,3.292614,165.4539,-0.2,0.1893491,0x0a13,1,40753,39,39,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2790159663,4,201,0,4,137,0,201,14480,15226.35,14480,15616,0,1,1,0,0x031b,0x0000,4,14,0x0000011e,1380,256,0x0000,0x00,0,0x00,1459222894,4294917706,1.0,1459222894.0,13501081.114441505,0.001719008,0.001116032,0.867887,0.14632,0.2888708,0.318155,0.2888722,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,5,1,1,1.0,1,4,201
A,16,0x0400000000004000,1472724047.683473,1472724048.290272,0.606799,1,3,eth:ipv4:tcp,90:8d:78:dd:0d:60,00:b5:6d:06:08:ba,0x0800,,10.10.10.39,04,Private network,60982,52.28.38.154,us,MAINT-APNIC-AP,443,6,0x00,1,90:8d:78:dd:0d:60_00:b5:6d:06:08:ba_12,"DLinkInte,SG_DavidElec,TW",443,https,12,9,847,4653,0,506,70.58334,135.8474,0,0.309698,0.05056658,0.08281154,19.77591,1395.849,0.1428571,-0.692,0x0a13,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3654783489,11,847,0,11,4653,0,506,5840,13554.55,5840,14048,0,3,1,0,0x041e,0x0000,12,38,0x0000011e,1460,2,0x0000,0x00,0,0x00,4294935926,437763071,0.001,4294936.129999,1468429112.237919,0.002448,0.002281024,0.305717,0.07497145,0.1162872,0.003724992,0.0,0x42,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,5,1,2,2,0.4,1,60,11353
B,16,0x0400000000004001,1472724047.685921,1472724048.26902,0.583099,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,90:8d:78:dd:0d:60,0x0800,,52.28.38.154,us,MAINT-APNIC-AP,443,10.10.10.39,04,Private network,60982,6,0x00,1,00:b5:6d:06:08:ba_90:8d:78:dd:0d:60_9,"DavidElec,TW_DLinkInte,SG",443,https,9,12,4653,847,0,1368,517.0,489.9605,0,0.263731,0.06478878,0.08285245,15.43477,7979.777,-0.1428571,0.692,0x0a13,1,860,50,50,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,625182421,9,4616,0,9,847,0,3817,17898,20575.85,17898,21248,0,3,1,0,0x021a,0x0000,9,29,0x0000011e,1380,256,0x0000,0x00,0,0x00,437763071,4294935844,0.001,437763.091793,1472286285.2640235,0.001276992,0.001276992,0.165346,0.02998775,0.04080841,0.1049592,0.1232398,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,5,1,1,1.0,1,9,4653
A,17,0x0400000000004000,1472724048.684788,1472724049.69634,1.011552,1,3,eth:ipv4:tcp,90:8d:78:dd:0d:60,00:b5:6d:06:08:ba,0x0800,,10.10.10.39,04,Private network,60984,52.28.38.154,us,MAINT-APNIC-AP,443,6,0x00,1,90:8d:78:dd:0d:60_00:b5:6d:06:08:ba_14,"DLinkInte,SG_DavidElec,TW",443,https,14,12,1577,5282,0,714,112.6429,205.2846,0,0.676176,0.07225371,0.1644544,13.84012,1558.991,0.07692308,-0.5401662,0x0a13,0,1,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3668783816,11,1577,0,11,4648,0,714,5840,6641.727,0,14048,1,3,2,0,0x011f,0x0000,12,38,0x0000011e,1460,2,0x0000,0x00,0,0x00,4294936277,437763427,0.1,429493634.099954,1043230415.1417311,0.002201024,0.002168,0.675095,0.1004818,0.2016422,0.003177024,0.0,0x52,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,6,1,4,4,0.6666667,1,92,15265
B,17,0x0400000000004001,1472724048.686989,1472724049.695208,1.008219,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,90:8d:78:dd:0d:60,0x0800,,52.28.38.154,us,MAINT-APNIC-AP,443,10.10.10.39,04,Private network,60984,6,0x00,1,00:b5:6d:06:08:ba_90:8d:78:dd:0d:60_12,"DavidElec,TW_DLinkInte,SG",443,https,12,14,5282,1577,0,1368,440.1667,464.4285,0,0.451198,0.08401825,0.1242393,11.90218,5238.941,-0.07692308,0.5401662,0x0a13,1,949,50,50,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1270243913,11,4685,0,12,1577,0,3817,17898,22295.3,17898,22784,0,4,1,0,0x031b,0x0040,12,38,0x0000011e,1380,256,0x0000,0x00,0,0x00,437763428,4294936277,0.1,43776343.452318,1428947706.3265948,0.000976,0.000856,0.173666,0.02439863,0.04281412,0.1248805,0.2061374,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,6,3,3,3.0,1,28,13986
A,18,0x0400000000004000,1472724049.272429,1472724050.715302,1.442873,1,3,eth:ipv4:tcp,90:8d:78:dd:0d:60,00:b5:6d:06:08:ba,0x0800,,10.10.10.39,04,Private network,60985,52.28.38.154,us,MAINT-APNIC-AP,443,6,0x00,1,90:8d:78:dd:0d:60_00:b5:6d:06:08:ba_12,"DLinkInte,SG_DavidElec,TW",443,https,12,9,735,4493,0,394,61.25,109.8815,0,0.686987,0.1202394,0.1966115,8.31674,509.4003,0.1428571,-0.7188217,0x0a13,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3673599065,11,735,0,11,4493,0,394,5840,13554.55,5840,14048,0,3,1,0,0x041e,0x0000,12,38,0x0000011e,1460,2,0x0000,0x00,0,0x00,4294936532,437763585,1.0,4294936532.0,1.8446744070887336e+19,0.007195008,0.001809984,0.686155,0.1593618,0.2644943,0.008016,0.0,0x42,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,8,1,2,4,0.5,2,120,17292
B,18,0x0400000000004001,1472724049.279624,1472724050.32405,1.044426,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,90:8d:78:dd:0d:60,0x0800,,52.28.38.154,us,MAINT-APNIC-AP,443,10.10.10.39,04,Private network,60985,6,0x00,1,00:b5:6d:06:08:ba_90:8d:78:dd:0d:60_9,"DavidElec,TW_DLinkInte,SG",443,https,9,12,4493,735,0,1368,499.2222,490.6641,0,0.647179,0.1160473,0.189784,8.617174,4301.885,-0.1428571,0.7188217,0x0a13,1,49949,50,50,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,548989609,9,4456,0,9,735,0,3817,17898,20575.85,17898,21248,0,3,1,0,0x021a,0x0000,9,29,0x0000011e,1380,256,0x0000,0x00,0,0x00,437763585,4294936262,0.1,43776359.152319,1428947691.1775134,0.000820992,0.000820992,0.391252,0.06346893,0.1137119,0.2228307,0.2879021,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,8,1,3,3.0,3,30,14428
A,31,0x0400000000004000,1472724054.052263,1472724059.064985,5.012722,1,3,eth:ipv4:tcp,90:8d:78:dd:0d:60,00:b5:6d:06:08:ba,0x0800,,10.10.10.39,04,Private network,37346,52.28.131.102,us,MAINT-APNIC-AP,443,6,0x00,1,90:8d:78:dd:0d:60_00:b5:6d:06:08:ba_15,"DLinkInte,SG_DavidElec,TW",443,https,15,15,543,4077,0,207,36.2,66.71845,0,4.784812,0.3341815,1.143156,2.992386,108.3244,0.0,-0.7649351,0x4a13,0,1,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3742472829,12,543,0,12,3987,0,207,5840,5433.862,0,11360,1,2,2,0,0x011f,0x0000,2,8,0x0000013e,1460,2,0x0000,0x00,0,0x00,4294937367,0,0.004,17179750.283994,1455544304.4393983,0.00159,0.001463,0.04126499,0.005723597,0.00947499,0.002146,0.0,0x52,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,9,1,4,4,0.4444444,1,256,24198
B,31,0x0400000000004001,1472724054.053853,1472724059.063878,5.010025,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,90:8d:78:dd:0d:60,0x0800,,52.28.131.102,us,MAINT-APNIC-AP,443,10.10.10.39,04,Private network,37346,6,0x00,1,00:b5:6d:06:08:ba_90:8d:78:dd:0d:60_15,"DavidElec,TW_DLinkInte,SG",443,https,15,15,4077,543,0,1380,271.8,419.3083,0,4.74518,0.3340017,1.136498,2.993997,813.7684,0.0,0.7649351,0x0a11,1,60042,50,50,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1950894244,14,4024,0,15,543,0,3464,2048,3112.729,2048,3120,0,1,1,0,0x031b,0x0040,1,6,0x0000001e,1380,8,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.000556,2.9e-05,4.743547,0.354372,1.169907,0.3600956,1.169946,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,9,3,3,3.0,1,32,9199
