%dir,flowInd,flowStat,timeFirst,timeLast,duration,numHdrDesc,numHdrs,hdrDesc,srcMac,dstMac,ethType,vlanID,srcIP,srcIPCC,srcIPOrg,srcPort,dstIP,dstIPCC,dstIPOrg,dstPort,l4Proto,macStat,macPairs,srcMac_dstMac_numP,srcMacLbl_dstMacLbl,dstPortClassN,dstPortClass,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,tcpFStat,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,ipToS,ipFlags,ipOptCnt,ipOptCpCl_Num,ip6OptCntHH_D,ip6OptHH_D,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpBFlgtMx,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpFlags,tcpAnomaly,tcpOptPktCnt,tcpOptCnt,tcpOptions,tcpMSS,tcpWS,tcpMPTBF,tcpMPF,tcpMPAID,tcpMPDSSF,tcpTmS,tcpTmER,tcpEcI,tcpUtm,tcpBtm,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,tcpStatesAFlags,icmpStat,icmpTCcnt,icmpBFTypH_TypL_Code,icmpTmGtw,icmpEchoSuccRatio,icmpPFindex,connSip,connDip,connSipDip,connSipDprt,connF,connG,connNumPCnt,connNumBCnt
A,20,0x0400000000004000,1473163761.666971,1473163762.537562,0.870591,1,3,eth:ipv4:tcp,90:8d:78:a9:3d:6f,00:b5:6d:06:08:ba,0x0800,,10.10.10.176,04,Private network,51380,52.58.68.165,us,Amazon Technologies Inc,443,6,0x00,1,90:8d:78:a9:3d:6f_00:b5:6d:06:08:ba_12,"DLinkInte,SG_DavidElec,TW",443,https,12,9,847,4637,0,506,70.58334,135.8474,0,0.604584,0.07254925,0.1561029,13.78374,972.9023,0.1428571,-0.6911014,0x0a13,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2161657742,11,847,0,11,4637,0,506,5840,13554.55,5840,14048,0,3,1,0,0x041e,0x0000,12,38,0x0000011e,1460,2,0x0000,0x00,0,0x00,4294922237,547690095,0.001,4294922.440998,1468868840.250091,0.002438976,0.002291008,0.60339,0.1407003,0.2323673,0.003412992,0.0,0x42,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,7,1,2,2,0.2857143,1.0,35,2637
B,20,0x0400000000004001,1473163761.66941,1473163762.523528,0.854118,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,90:8d:78:a9:3d:6f,0x0800,,52.58.68.165,us,Amazon Technologies Inc,443,10.10.10.176,04,Private network,51380,6,0x00,1,00:b5:6d:06:08:ba_90:8d:78:a9:3d:6f_9,"DavidElec,TW_DLinkInte,SG",443,https,9,12,4637,847,0,1368,515.2222,489.8277,0,0.564293,0.09490199,0.161304,10.53719,5428.992,-0.1428571,0.6911014,0x0a13,1,23314,50,50,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2591113747,9,4600,0,9,847,0,3817,17898,20575.85,17898,21248,0,3,1,0,0x021a,0x0000,9,29,0x0000011e,1380,256,0x0000,0x00,0,0x00,547690095,4294922082,0.001,547690.121014,1472616072.3715944,0.000974016,0.000974016,0.139413,0.02314184,0.0362479,0.1638422,0.2351775,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,7,1,1,1.0,1.0,9,4637
A,21,0x0400000000004000,1473163763.529477,1473163764.9565,1.427023,1,3,eth:ipv4:tcp,90:8d:78:a9:3d:6f,00:b5:6d:06:08:ba,0x0800,,10.10.10.176,04,Private network,51381,52.58.68.165,us,Amazon Technologies Inc,443,6,0x00,1,90:8d:78:a9:3d:6f_00:b5:6d:06:08:ba_12,"DLinkInte,SG_DavidElec,TW",443,https,12,9,735,4493,0,394,61.25,109.8815,0,0.85053,0.1189186,0.226317,8.409114,515.0582,0.1428571,-0.7188217,0x0a13,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2191029642,11,735,0,11,4493,0,394,5840,13554.55,5840,14048,0,3,1,0,0x041e,0x0000,12,38,0x0000011e,1460,2,0x0000,0x00,0,0x00,4294922841,547690621,1.0,4294922841.0,1.8446744070887793e+19,0.002588,0.00243904,0.847997,0.1951956,0.3276836,0.003361024,0.0,0x42,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,9,1,4,6,0.6666667,1.5,88,8409
B,21,0x0400000000004001,1473163763.532065,1473163764.6281,1.096035,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,90:8d:78:a9:3d:6f,0x0800,,52.58.68.165,us,Amazon Technologies Inc,443,10.10.10.176,04,Private network,51381,6,0x00,1,00:b5:6d:06:08:ba_90:8d:78:a9:3d:6f_9,"DavidElec,TW_DLinkInte,SG",443,https,9,12,4493,735,0,1368,499.2222,490.6641,0,0.80864,0.1217817,0.2313461,8.211416,4099.322,-0.1428571,0.7188217,0x0a13,1,57823,50,50,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1069482659,9,4456,0,9,735,0,3817,17898,20575.85,17898,21248,0,3,1,0,0x021a,0x0000,9,29,0x0000011e,1380,256,0x0000,0x00,0,0x00,547690621,4294922547,0.1,54769062.916123,1418394702.1186528,0.000773024,0.000773024,0.3284,0.04899601,0.0882986,0.2441916,0.3393718,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,9,3,5,5.0,1.666667,28,13815
A,24,0x0400000000004000,1473163763.782428,1473163764.966317,1.183889,1,3,eth:ipv4:tcp,90:8d:78:a9:3d:6f,00:b5:6d:06:08:ba,0x0800,,10.10.10.176,04,Private network,51383,52.58.68.165,us,Amazon Technologies Inc,443,6,0x00,1,90:8d:78:a9:3d:6f_00:b5:6d:06:08:ba_14,"DLinkInte,SG_DavidElec,TW",443,https,14,10,1951,4685,0,1368,139.3571,329.9023,0,0.655974,0.0845635,0.1662082,11.82543,1647.958,0.1666667,-0.4119952,0x0a13,0,1,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2197956581,11,1951,0,11,4648,0,1610,5840,6641.727,0,14048,1,3,2,0,0x011f,0x0000,12,38,0x0000011e,1460,2,0x0000,0x00,0,0x00,4294922842,547690636,0.1,429492290.599934,1043671474.0523926,0.002852992,0.002401,0.65499,0.06845391,0.1829423,0.005076992,0.0,0x52,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,9,1,2,4,0.4444444,2.0,88,8409
B,24,0x0400000000004001,1473163763.785281,1473163764.965199,1.179918,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,90:8d:78:a9:3d:6f,0x0800,,52.58.68.165,us,Amazon Technologies Inc,443,10.10.10.176,04,Private network,51383,6,0x00,1,00:b5:6d:06:08:ba_90:8d:78:a9:3d:6f_10,"DavidElec,TW_DLinkInte,SG",443,https,10,14,4685,1951,0,1368,468.5,488.2195,0,0.652589,0.1179918,0.183984,8.475164,3970.615,-0.1666667,0.4119952,0x0a13,1,40264,50,50,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,4149079708,10,4685,0,10,1951,0,3817,17898,24084.58,17898,25600,0,3,1,0,0x031b,0x0000,10,32,0x0000011e,1380,256,0x0000,0x00,0,0x00,547690705,4294922842,0.1,54769071.316123,1418394693.2810204,0.002224,0.000706048,0.271138,0.04505369,0.07176335,0.1135076,0.1965143,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,9,1,3,3.0,3.0,28,13815
A,16,0x0400000000004000,1473163754.65182,1473163756.003648,1.351828,1,3,eth:ipv4:tcp,90:8d:78:a9:3d:6f,00:b5:6d:06:08:ba,0x0800,,10.10.10.176,04,Private network,43500,54.244.232.183,us,Amazon Technologies Inc,80,6,0x00,1,90:8d:78:a9:3d:6f_00:b5:6d:06:08:ba_6,"DLinkInte,SG_DavidElec,TW",80,http,6,4,137,660,0,137,22.83333,42.40079,0,0.829802,0.2253047,0.2498032,4.438435,101.3443,0.2,-0.6562108,0x0a13,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2045799354,5,137,0,5,660,0,137,5840,6707.24,5840,7160,0,1,1,0,0x011b,0x0000,6,20,0x0000011e,1460,2,0x0000,0x00,0,0x00,4294920603,23115782,0.001,4294920.806998,1468868836.2841003,0.1673629,0.166991,0.177898,0.1704492,0.003808272,0.168784,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,8,1,2,4,0.5,2.0,92,8745
B,16,0x0400000000004001,1473163754.819183,1473163756.002641,1.183458,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,90:8d:78:a9:3d:6f,0x0800,,54.244.232.183,us,Amazon Technologies Inc,80,10.10.10.176,04,Private network,43500,6,0x00,1,00:b5:6d:06:08:ba_90:8d:78:a9:3d:6f_4,"DavidElec,TW_DLinkInte,SG",80,http,4,6,660,137,0,660,165.0,234.9601,0,1.011869,0.2958645,0.3615216,3.379926,557.6877,-0.2,0.6562108,0x0a13,1,64220,40,40,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3226016072,4,660,0,4,137,0,660,14480,15226.35,14480,15616,0,1,1,0,0x031b,0x0000,4,14,0x0000011e,1380,256,0x0000,0x00,0,0x00,23115782,4294920559,0.001,23115.783098,1473140641.1857903,0.001421056,0.001007,0.833971,0.1406722,0.2775553,0.3111214,0.2775815,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,8,1,3,3.0,3.0,4,660
A,29,0x0400000000004000,1473163766.998733,1473163772.097964,5.099231,1,3,eth:ipv4:tcp,90:8d:78:a9:3d:6f,00:b5:6d:06:08:ba,0x0800,,10.10.10.176,04,Private network,44661,52.28.161.134,us,MAINT-APNIC-AP,443,6,0x00,1,90:8d:78:a9:3d:6f_00:b5:6d:06:08:ba_15,"DLinkInte,SG_DavidElec,TW",443,https,15,15,543,4077,0,207,36.2,66.71845,0,4.867151,0.3399487,1.162813,2.94162,106.4866,0.0,-0.7649351,0x4a13,0,1,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2242627939,12,543,0,12,3987,0,207,5840,5433.862,0,11360,1,2,2,0,0x011f,0x0000,2,8,0x0000013e,1460,2,0x0000,0x00,0,0x00,4294923352,0,0.004,17179694.223992,1455984072.2076595,0.002057984,0.001992,0.039212,0.0065438,0.008918701,0.002664984,0.0,0x52,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,9,1,4,4,0.4444444,1.0,223,16538
B,29,0x0400000000004001,1473163767.000791,1473163772.096329,5.095538,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,90:8d:78:a9:3d:6f,0x0800,,52.28.161.134,us,MAINT-APNIC-AP,443,10.10.10.176,04,Private network,44661,6,0x00,1,00:b5:6d:06:08:ba_90:8d:78:a9:3d:6f_15,"DavidElec,TW_DLinkInte,SG",443,https,15,15,4077,543,0,1380,271.8,419.3083,0,4.829998,0.3397026,1.156853,2.943752,800.1118,0.0,0.7649351,0x0a11,1,48577,50,50,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,876042903,14,4024,0,15,543,0,3464,2048,3112.729,2048,3120,0,1,1,0,0x031b,0x0040,1,6,0x0000001e,1380,8,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.000607,0.000537984,4.827939,0.3598501,1.190932,0.3663939,1.190966,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,9,3,3,3.0,1.0,40,11352
