%dir,flowInd,flowStat,timeFirst,timeLast,duration,numHdrDesc,numHdrs,hdrDesc,srcMac,dstMac,ethType,vlanID,srcIP,srcIPCC,srcIPOrg,srcPort,dstIP,dstIPCC,dstIPOrg,dstPort,l4Proto,macStat,macPairs,srcMac_dstMac_numP,srcMacLbl_dstMacLbl,dstPortClassN,dstPortClass,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,tcpFStat,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,ipToS,ipFlags,ipOptCnt,ipOptCpCl_Num,ip6OptCntHH_D,ip6OptHH_D,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpBFlgtMx,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpFlags,tcpAnomaly,tcpOptPktCnt,tcpOptCnt,tcpOptions,tcpMSS,tcpWS,tcpMPTBF,tcpMPF,tcpMPAID,tcpMPDSSF,tcpTmS,tcpTmER,tcpEcI,tcpUtm,tcpBtm,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,tcpStatesAFlags,icmpStat,icmpTCcnt,icmpBFTypH_TypL_Code,icmpTmGtw,icmpEchoSuccRatio,icmpPFindex,connSip,connDip,connSipDip,connSipDprt,connF,connG,connNumPCnt,connNumBCnt
A,16,0x0400000000004000,1473160735.36121,1473160736.690846,1.329636,1,3,eth:ipv4:tcp,6c:72:20:c5:17:5a,00:b5:6d:06:08:ba,0x0800,,10.10.10.11,04,Private network,43585,54.244.232.183,us,Amazon Technologies Inc,80,6,0x00,1,6c:72:20:c5:17:5a_00:b5:6d:06:08:ba_6,"DLinkInte,SG_DavidElec,TW",80,http,6,4,137,201,0,137,22.83333,42.40079,0,0.831305,0.221606,0.2510163,4.512513,103.0357,0.2,-0.1893491,0x0213,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2118216436,5,137,0,5,201,0,137,5840,5840.0,5840,5840,0,0,0,0,0x011b,0x0000,6,20,0x0000011e,1460,2,0x0000,0x00,0,0x00,4294918065,22360959,1.0,4294918065.0,1.8446744070887797e+19,0.161458,0.161229,0.163201,0.1618067,0.0006643475,0.167382,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,6,1,2,2,0.3333333,1.0,75,12787
B,16,0x0400000000004001,1473160735.522668,1473160736.689167,1.166499,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,6c:72:20:c5:17:5a,0x0800,,54.244.232.183,us,Amazon Technologies Inc,80,10.10.10.11,04,Private network,43585,6,0x00,1,00:b5:6d:06:08:ba_6c:72:20:c5:17:5a_4,"DavidElec,TW_DLinkInte,SG",80,http,4,6,201,137,0,201,50.25,71.55603,0,0.996756,0.2916248,0.3561001,3.429064,172.3105,-0.2,0.1893491,0x0a13,1,33020,40,40,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,854497551,4,201,0,4,137,0,201,14480,15226.35,14480,15616,0,1,1,0,0x031b,0x0000,4,14,0x0000011e,1380,256,0x0000,0x00,0,0x00,22360959,4294918025,0.1,2236095.93332,1470924641.1038911,0.005924,0.00167904,0.835417,0.1432663,0.2771052,0.3050731,0.277106,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,6,1,1,1.0,1.0,4,201
A,20,0x0400000000004000,1473160766.663005,1473160767.309484,0.646479,1,3,eth:ipv4:tcp,6c:72:20:c5:17:5a,00:b5:6d:06:08:ba,0x0800,,10.10.10.11,04,Private network,33019,52.58.68.165,us,Amazon Technologies Inc,443,6,0x00,1,6c:72:20:c5:17:5a_00:b5:6d:06:08:ba_12,"DLinkInte,SG_DavidElec,TW",443,https,12,9,847,4637,0,506,70.58334,135.8474,0,0.371062,0.05387326,0.09690343,18.56209,1310.174,0.1428571,-0.6911014,0x0a13,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2611574164,11,847,0,11,4637,0,506,5840,13554.55,5840,14048,0,3,1,0,0x041e,0x0000,12,38,0x0000011e,1460,2,0x0000,0x00,0,0x00,4294925720,546941292,0.001,4294925.923998,1468865842.3617325,0.002462016,0.002222016,0.368535,0.08876057,0.1407942,0.00416,0.0,0x42,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,6,1,2,2,0.3333333,1.0,95,15124
B,20,0x0400000000004001,1473160766.665467,1473160767.296027,0.63056,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,6c:72:20:c5:17:5a,0x0800,,52.58.68.165,us,Amazon Technologies Inc,443,10.10.10.11,04,Private network,33019,6,0x00,1,00:b5:6d:06:08:ba_6c:72:20:c5:17:5a_9,"DavidElec,TW_DLinkInte,SG",443,https,9,12,4637,847,0,1368,515.2222,489.8277,0,0.326737,0.07006223,0.0969472,14.27303,7353.781,-0.1428571,0.6911014,0x0a13,1,383,50,50,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2084154162,9,4600,0,9,847,0,3817,17898,20575.85,17898,21248,0,3,1,0,0x021a,0x0000,9,29,0x0000011e,1380,256,0x0000,0x00,0,0x00,546941292,4294925624,0.001,546941.317978,1472613826.3651245,0.001697984,0.001697984,0.151791,0.02788484,0.03783752,0.1166454,0.1457899,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,6,1,1,1.0,1.0,9,4637
A,21,0x0400000000004000,1473160767.857638,1473160768.705109,0.847471,1,3,eth:ipv4:tcp,6c:72:20:c5:17:5a,00:b5:6d:06:08:ba,0x0800,,10.10.10.11,04,Private network,33021,52.58.68.165,us,Amazon Technologies Inc,443,6,0x00,1,6c:72:20:c5:17:5a_00:b5:6d:06:08:ba_14,"DLinkInte,SG_DavidElec,TW",443,https,14,11,1593,4685,0,730,113.7857,208.317,0,0.511385,0.06053364,0.1249942,16.51974,1879.71,0.12,-0.4925135,0x0a13,0,1,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2630448617,11,1593,0,11,4648,0,730,5840,6641.727,0,14048,1,3,2,0,0x011f,0x0000,12,38,0x0000011e,1460,2,0x0000,0x00,0,0x00,4294926068,546941642,0.001,4294926.271998,1468865842.39493,0.002765952,0.002252032,0.51029,0.05277308,0.1368382,0.003648,0.0,0x52,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,6,1,4,4,0.6666667,1.0,128,19865
B,21,0x0400000000004001,1473160767.860404,1473160768.702447,0.842043,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,6c:72:20:c5:17:5a,0x0800,,52.58.68.165,us,Amazon Technologies Inc,443,10.10.10.11,04,Private network,33021,6,0x00,1,00:b5:6d:06:08:ba_6c:72:20:c5:17:5a_11,"DavidElec,TW_DLinkInte,SG",443,https,11,14,4685,1593,0,1368,425.9091,482.4656,0,0.507877,0.07654937,0.1366123,13.06347,5563.849,-0.12,0.4925135,0x0a13,1,52825,50,50,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3019646451,11,4685,0,11,1593,0,3817,17898,22085.85,17898,22784,0,4,1,0,0x031b,0x0000,11,35,0x0000011e,1380,256,0x0000,0x00,0,0x00,546941644,4294926068,0.001,546941.669978,1472613827.1697352,0.000882048,0.000882048,0.162503,0.02362702,0.04012707,0.0764001,0.1426004,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,6,3,3,3.0,1.0,27,13373
A,24,0x0400000000004000,1473160768.300344,1473160770.195603,1.895259,1,3,eth:ipv4:tcp,6c:72:20:c5:17:5a,00:b5:6d:06:08:ba,0x0800,,10.10.10.11,04,Private network,33022,52.58.68.165,us,Amazon Technologies Inc,443,6,0x00,1,6c:72:20:c5:17:5a_00:b5:6d:06:08:ba_12,"DLinkInte,SG_DavidElec,TW",443,https,12,9,735,4493,0,394,61.25,109.8815,0,0.862698,0.1579383,0.277737,6.331588,387.8098,0.1428571,-0.7188217,0x0a13,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2633915909,11,735,0,11,4493,0,394,5840,13554.55,5840,14048,0,3,1,0,0x041e,0x0000,12,38,0x0000011e,1460,2,0x0000,0x00,0,0x00,4294926441,546941801,0.001,4294926.644998,1468865844.1684473,0.002591008,0.002591008,0.732007,0.1706206,0.2818625,0.01109299,0.0,0x42,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,8,1,2,4,0.5,2.0,159,21487
B,24,0x0400000000004001,1473160768.302935,1473160769.331051,1.028116,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,6c:72:20:c5:17:5a,0x0800,,52.58.68.165,us,Amazon Technologies Inc,443,10.10.10.11,04,Private network,33022,6,0x00,1,00:b5:6d:06:08:ba_6c:72:20:c5:17:5a_9,"DavidElec,TW_DLinkInte,SG",443,https,9,12,4493,735,0,1368,499.2222,490.6641,0,0.689738,0.1142351,0.1981052,8.753876,4370.129,-0.1428571,0.7188217,0x0a13,1,39117,50,50,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1540438474,9,4456,0,9,735,0,3817,17898,20575.85,17898,21248,0,3,1,0,0x021a,0x0000,9,29,0x0000011e,1380,256,0x0000,0x00,0,0x00,546941801,4294926042,0.1,54694180.915007,1418466589.371848,0.008501984,0.00088704,0.864552,0.09892492,0.2258106,0.2695455,0.3611605,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,8,1,3,3.0,3.0,29,13815
A,30,0x0400000000004000,1473160769.351894,1473160778.171617,8.819723,1,3,eth:ipv4:tcp,6c:72:20:c5:17:5a,00:b5:6d:06:08:ba,0x0800,,10.10.10.11,04,Private network,56222,52.28.161.134,us,MAINT-APNIC-AP,443,6,0x00,1,6c:72:20:c5:17:5a_00:b5:6d:06:08:ba_21,"DLinkInte,SG_DavidElec,TW",443,https,21,18,1657,5122,0,1114,78.90476,232.0446,0,5.007026,0.4199868,1.11047,2.381027,187.8744,0.07692308,-0.5111373,0x0a13,0,1,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2659438666,18,1657,0,18,5085,0,1114,5840,6578.496,0,14120,1,3,2,0,0x011f,0x0020,1,5,0x0000011e,1460,2,0x0000,0x00,0,0x00,4294926230,0,0.004,17179705.735992,1455981064.3265655,0.005592992,0.001821024,5.006557,0.5411187,1.258952,0.006466976,0.0,0x52,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,9,1,4,4,0.4444444,1.0,297,28497
B,30,0x0400000000004001,1473160769.357487,1473160778.17042,8.812933,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,6c:72:20:c5:17:5a,0x0800,,52.28.161.134,us,MAINT-APNIC-AP,443,10.10.10.11,04,Private network,56222,6,0x00,1,00:b5:6d:06:08:ba_6c:72:20:c5:17:5a_18,"DavidElec,TW_DLinkInte,SG",443,https,18,21,5122,1657,0,1380,284.5555,432.0538,0,5.003294,0.4896074,1.176882,2.042453,581.1913,-0.07692308,0.5111373,0x0a11,1,47432,50,50,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,964871771,16,5123,0,18,1657,0,3809,2048,4813.603,2048,5352,0,2,1,0,0x031b,0x0010,1,6,0x0000001e,1380,8,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.000873984,0.000468992,0.724361,0.07626096,0.1712831,0.6173797,1.27055,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,9,3,3,3.0,1.0,34,9199
A,31,0x0400000000004000,1473160772.561807,1473160778.171787,5.60998,1,3,eth:ipv4:tcp,6c:72:20:c5:17:5a,00:b5:6d:06:08:ba,0x0800,,10.10.10.11,04,Private network,56223,52.28.161.134,us,MAINT-APNIC-AP,443,6,0x00,1,6c:72:20:c5:17:5a_00:b5:6d:06:08:ba_16,"DLinkInte,SG_DavidElec,TW",443,https,16,16,543,4077,0,207,33.9375,65.15464,0,4.999532,0.3506238,1.15654,2.85206,96.79179,0.0,-0.7649351,0x4a13,0,1,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2694002572,13,543,0,13,3987,0,207,5840,5473.624,0,11360,1,2,2,0,0x011f,0x0020,2,8,0x0000013e,1460,2,0x0000,0x00,0,0x00,4294927033,0,0.004,17179708.947992,1455981064.251326,0.002,0.00184,4.99902,0.3179571,1.164753,0.003481024,0.0,0x52,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,9,1,2,2,0.2222222,1.0,297,28497
B,31,0x0400000000004001,1473160772.563807,1473160778.170586,5.606779,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,6c:72:20:c5:17:5a,0x0800,,52.28.161.134,us,MAINT-APNIC-AP,443,10.10.10.11,04,Private network,56223,6,0x00,1,00:b5:6d:06:08:ba_6c:72:20:c5:17:5a_16,"DavidElec,TW_DLinkInte,SG",443,https,16,16,4077,543,0,1380,254.8125,410.9536,0,4.9597,0.3504237,1.150228,2.853688,727.1555,0.0,0.7649351,0x0a11,1,4050,50,50,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3900168177,13,4025,0,16,543,0,3464,2048,3114.911,2048,3120,0,1,1,0,0x031b,0x0050,1,6,0x0000001e,1380,8,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.001481024,0.000497984,0.372059,0.04074641,0.08926208,0.3587035,1.168168,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,9,1,1,1.0,1.0,34,9199
A,28,0x0400000000004000,1473160769.27501,1473160770.108639,0.833629,1,3,eth:ipv4:tcp,6c:72:20:c5:17:5a,00:b5:6d:06:08:ba,0x0800,,10.10.10.11,04,Private network,47669,52.26.98.232,us,MAINT-APNIC-AP,80,6,0x00,1,6c:72:20:c5:17:5a_00:b5:6d:06:08:ba_6,"DLinkInte,SG_DavidElec,TW",80,http,6,5,161,201,0,161,26.83333,49.82866,0,0.352529,0.1389382,0.1305571,7.197446,193.1315,0.09090909,-0.1104972,0x0213,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2641810440,5,161,0,5,201,0,161,5840,5840.0,5840,5840,0,0,0,0,0x011b,0x0000,6,20,0x0000011e,1460,2,0x0000,0x00,0,0x00,4294926420,529603427,0.001,4294926.623998,1468865844.6408195,0.166037,0.165676,0.176598,0.1701664,0.004429247,0.16691,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,9,1,2,6,0.6666667,3.0,302,29031
