%dir,flowInd,flowStat,timeFirst,timeLast,duration,numHdrDesc,numHdrs,hdrDesc,srcMac,dstMac,ethType,vlanID,srcIP,srcIPCC,srcIPOrg,srcPort,dstIP,dstIPCC,dstIPOrg,dstPort,l4Proto,macStat,macPairs,srcMac_dstMac_numP,srcMacLbl_dstMacLbl,dstPortClassN,dstPortClass,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,tcpFStat,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,ipToS,ipFlags,ipOptCnt,ipOptCpCl_Num,ip6OptCntHH_D,ip6OptHH_D,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpBFlgtMx,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpFlags,tcpAnomaly,tcpOptPktCnt,tcpOptCnt,tcpOptions,tcpMSS,tcpWS,tcpMPTBF,tcpMPF,tcpMPAID,tcpMPDSSF,tcpTmS,tcpTmER,tcpEcI,tcpUtm,tcpBtm,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,tcpStatesAFlags,icmpStat,icmpTCcnt,icmpBFTypH_TypL_Code,icmpTmGtw,icmpEchoSuccRatio,icmpPFindex,connSip,connDip,connSipDip,connSipDprt,connF,connG,connNumPCnt,connNumBCnt
A,1,0x0000000000000004,1465915232.163853,1465915232.178727,0.014874,1,2,eth:eapol,74:da:38:80:7a:08,28:b2:bd:c3:41:78,0x888e,,-,-,-,0,-,-,-,0,0,0x00,1,74:da:38:80:7a:08_28:b2:bd:c3:41:78_2,"EdimaxTec,TW_IntelCorp,MY",0,unknown,2,0,220,0,99,121,110.0,7.778174,0,0.014874,0.007437,0.005258753,134.4628,14790.91,1,1,0x0000,65535,0,0,0,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0,65535,0,0,0,0,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,0,0,0,0,0.0,0,0,0
A,4,0x0400000002004000,1465915232.654612,1465915233.681561,1.026949,1,4,eth:ipv4:udp:ssdp,74:da:38:80:7a:08,01:00:5e:7f:ff:fa,0x0800,,192.168.4.3,07,Private network,1900,239.255.255.250,10,Organization-Local Scope,1900,17,0x00,1,74:da:38:80:7a:08_01:00:5e:7f:ff:fa_6,"EdimaxTec,TW_IPv4Multi",1900,ssdp,6,0,1574,0,245,291,262.3333,16.87295,0,0.999981,0.1711582,0.3223728,5.842549,1532.695,1,1,0x0001,0,0,1,1,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0,65535,0,0,0,0,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,3,2,1,1,0.3333333,1,9,2020
A,5,0x0400000000004000,1465915233.91678,1465915233.91678,0.0,1,3,eth:ipv4:igmp,74:da:38:80:7a:08,01:00:5e:00:00:16,0x0800,,192.168.4.3,07,Private network,0,224.0.0.22,10,IGMP,0,2,0x00,1,74:da:38:80:7a:08_01:00:5e:00:00:16_1,"EdimaxTec,TW_IPv4Multi",0,unknown,1,0,8,0,8,8,8.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,0x0001,65535,0,1,1,0,0xc0,0x0040,1,0x80_0x00100000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0,65535,0,0,0,0,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,2,2,1,1,0.5,1,9,2020
A,3,0x0400000000004000,1465915232.517157,1465915234.521361,2.004204,1,3,eth:ipv4:udp,74:da:38:80:7a:08,01:00:5e:00:00:fb,0x0800,,192.168.4.3,07,Private network,5353,224.0.0.251,10,mDNS,5353,17,0x00,1,74:da:38:80:7a:08_01:00:5e:00:00:fb_2,"EdimaxTec,TW_IPv4Multi",5353,mdns,2,0,438,0,219,219,219.0,0.0,0,2.004204,1.002102,0.7085931,0.9979024,218.5406,1,1,0x0001,0,0,255,255,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0,65535,0,0,0,0,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,2,1,1,1.0,1,9,2020
A,6,0x0400000000004000,1465915235.40429,1465915235.42447,0.02018,1,3,eth:ipv4:udp,74:da:38:80:7a:08,ff:ff:ff:ff:ff:ff,0x0800,,0.0.0.0,-,-,68,255.255.255.255,11,Broadcast,67,17,0x00,1,74:da:38:80:7a:08_ff:ff:ff:ff:ff:ff_2,"EdimaxTec,TW_Broadcast",67,bootps,2,0,1096,0,548,548,548.0,0.0,0,0.02018,0.01009,0.007134708,99.10802,54311.2,1,1,0x0001,0,0,64,64,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0,65535,0,0,0,0,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,2,1,1,1.0,1,2,1096
A,2,0x0000000000000044,1465915232.340997,1465915238.900184,6.559187,1,2,eth:arp,74:da:38:80:7a:08,ff:ff:ff:ff:ff:ff,0x0806,,-,-,-,0,-,-,-,0,0,0x00,1,74:da:38:80:7a:08_ff:ff:ff:ff:ff:ff_4,"EdimaxTec,TW_Broadcast",0,unknown,4,0,112,0,28,28,28.0,0.0,0,3.078488,1.639797,0.7765057,0.6098317,17.07529,1,1,0x0000,65535,0,0,0,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0,65535,0,0,0,0,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,0,0,0,0,0.0,0,0,0
A,9,0x0400000002004000,1465915242.374199,1465915245.415363,3.041164,1,4,eth:ipv4:udp:ssdp,74:da:38:80:7a:08,01:00:5e:7f:ff:fa,0x0800,,10.10.10.51,04,Private network,1900,239.255.255.250,10,Organization-Local Scope,1900,17,0x00,1,74:da:38:80:7a:08_01:00:5e:7f:ff:fa_15,"EdimaxTec,TW_IPv4Multi",1900,ssdp,15,0,3329,0,144,291,221.9333,50.20224,0,1.007075,0.2027443,0.3791951,4.932322,1094.647,1,1,0x0001,0,0,1,1,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0,65535,0,0,0,0,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,4,1,3,3,0.75,1,38,6165
A,7,0x0400000002004000,1465915240.364217,1465915246.390894,6.026677,1,4,eth:ipv4:udp:ssdp,74:da:38:80:7a:08,01:00:5e:7f:ff:fa,0x0800,,10.10.10.51,04,Private network,34676,239.255.255.250,10,Organization-Local Scope,1900,17,0x00,1,74:da:38:80:7a:08_01:00:5e:7f:ff:fa_4,"EdimaxTec,TW_IPv4Multi",1900,ssdp,4,0,503,0,101,137,125.75,12.44802,0,2.01029,1.506669,0.6539153,0.6637157,83.46224,1,1,0x0001,0,0,1,1,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0,65535,0,0,0,0,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,4,1,2,2,0.5,1,38,6165
A,8,0x0400000000004000,1465915242.09222,1465915249.789489,7.697269,1,3,eth:ipv4:igmp,74:da:38:80:7a:08,01:00:5e:00:00:16,0x0800,,10.10.10.51,04,Private network,0,224.0.0.22,10,IGMP,0,2,0x00,1,74:da:38:80:7a:08_01:00:5e:00:00:16_3,"EdimaxTec,TW_IPv4Multi",0,unknown,3,0,24,0,8,8,8.0,0.0,0,7.61975,2.565756,2.91801,0.3897486,3.117989,1,1,0x0001,0,0,1,1,0,0xc0,0x0040,3,0x80_0x00100000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0,65535,0,0,0,0,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,4,1,1,1,0.25,1,38,6165
A,11,0x0400000002004000,1465915247.566919,1465915253.592111,6.025192,1,4,eth:ipv4:udp:ssdp,74:da:38:80:7a:08,01:00:5e:7f:ff:fa,0x0800,,10.10.10.51,04,Private network,58662,239.255.255.250,10,Organization-Local Scope,1900,17,0x00,1,74:da:38:80:7a:08_01:00:5e:7f:ff:fa_4,"EdimaxTec,TW_IPv4Multi",1900,ssdp,4,0,503,0,101,137,125.75,12.44802,0,2.012212,1.506298,0.6538821,0.6638793,83.48282,1,1,0x0001,0,0,1,1,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0,65535,0,0,0,0,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,3,1,1,1,0.3333333,1,38,6165
A,12,0x0400000000004000,1465915253.921384,1465915254.142676,0.221292,1,3,eth:ipv4:udp,74:da:38:80:7a:08,ff:ff:ff:ff:ff:ff,0x0800,,10.10.10.51,04,Private network,46416,255.255.255.255,11,Broadcast,46416,17,0x00,1,74:da:38:80:7a:08_ff:ff:ff:ff:ff:ff_3,"EdimaxTec,TW_Broadcast",46416,unknown,3,0,174,0,58,58,58.0,0.0,0,0.112002,0.073764,0.03850636,13.55675,786.2914,1,1,0x0001,0,0,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0,65535,0,0,0,0,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,2,1,1,1,0.5,1,38,6165
A,10,0x0400000000004000,1465915242.412223,1465915274.211468,31.799245,1,3,eth:ipv4:udp,74:da:38:80:7a:08,01:00:5e:00:00:fb,0x0800,,10.10.10.51,04,Private network,5353,224.0.0.251,10,mDNS,5353,17,0x00,1,74:da:38:80:7a:08_01:00:5e:00:00:fb_9,"EdimaxTec,TW_IPv4Multi",5353,mdns,9,0,1632,0,106,219,181.3333,47.76261,0,16.00817,3.53325,4.747591,0.2830256,51.32197,1,1,0x0001,0,0,255,255,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0,65535,0,0,0,0,0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,1,1,1.0,1,38,6165
