%dir,flowInd,flowStat,timeFirst,timeLast,duration,numHdrDesc,numHdrs,hdrDesc,srcMac,dstMac,ethType,vlanID,srcIP,srcIPCC,srcIPOrg,srcPort,dstIP,dstIPCC,dstIPOrg,dstPort,l4Proto,macStat,macPairs,srcMac_dstMac_numP,srcMacLbl_dstMacLbl,dstPortClassN,dstPortClass,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,tcpFStat,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,ipToS,ipFlags,ipOptCnt,ipOptCpCl_Num,ip6OptCntHH_D,ip6OptHH_D,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpBFlgtMx,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpFlags,tcpAnomaly,tcpOptPktCnt,tcpOptCnt,tcpOptions,tcpMSS,tcpWS,tcpMPTBF,tcpMPF,tcpMPAID,tcpMPDSSF,tcpTmS,tcpTmER,tcpEcI,tcpUtm,tcpBtm,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,tcpStatesAFlags,icmpStat,icmpTCcnt,icmpBFTypH_TypL_Code,icmpTmGtw,icmpEchoSuccRatio,icmpPFindex,connSip,connDip,connSipDip,connSipDprt,connF,connG,connNumPCnt,connNumBCnt
A,6,0x0400000000004000,1471431128.589479,1471431128.609646,0.020167,1,3,eth:ipv4:tcp,74:da:38:4a:76:49,28:b2:bd:c3:41:79,0x0800,,10.10.10.186,04,Private network,3848,172.217.19.100,us,Google LLC,80,6,0x00,1,74:da:38:4a:76:49_28:b2:bd:c3:41:79_4,"EdimaxTec,TW_IntelCorp,MY",80,http,4,2,0,0,0,0,0.0,0.0,0,0.010485,0.00504175,0.003830398,198.3438,0.0,0.3333333,0.0,0x0213,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1073658239,3,0,0,3,0,0,0,5840,5840.0,5840,5840,0,0,0,0,0x0113,0x0000,4,14,0x0000011e,1460,2,0x0000,0x00,0,0x00,4294909225,215587418,1.0,4294909225.0,1.8446744070886076e+19,0.008518016,0.007785984,0.008518016,0.008152,0.0002588123,0.01048506,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,2,1,2,2,1.0,1.0,5,32
B,6,0x0400000000004001,1471431128.597997,1471431128.607936,0.009939,1,3,eth:ipv4:tcp,28:b2:bd:c3:41:79,74:da:38:4a:76:49,0x0800,,172.217.19.100,us,Google LLC,80,10.10.10.186,04,Private network,3848,6,0x00,1,28:b2:bd:c3:41:79_74:da:38:4a:76:49_2,"IntelCorp,MY_EdimaxTec,TW",80,http,2,4,0,0,0,0,0.0,0.0,0,0.009939,0.0049695,0.003513967,201.2275,0.0,-0.3333333,0.0,0x0a13,7,7,48,48,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2821454651,2,0,0,2,0,0,0,42540,42565.2,42540,42624,0,1,1,0,0x0313,0x3000,2,8,0x0000011e,1380,128,0x0000,0x00,0,0x00,215587418,4294909223,1.0,215587418.0,1255843710.2345612,0.00196704,0.001710016,0.002153024,0.00194928,0.0001347411,0.01010128,0.0002917858,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,2,1,1,1.0,1.0,2,0
A,13,0x0400000000004000,1471431159.87085,1471431159.895447,0.024597,1,3,eth:ipv4:tcp,74:da:38:4a:76:49,28:b2:bd:c3:41:79,0x0800,,10.10.10.186,04,Private network,3849,172.217.19.100,us,Google LLC,80,6,0x00,1,74:da:38:4a:76:49_28:b2:bd:c3:41:79_4,"EdimaxTec,TW_IntelCorp,MY",80,http,4,3,0,0,0,0,0.0,0.0,0,0.012933,0.00614925,0.004340409,162.6215,0.0,0.1428571,0.0,0x0213,33919,1,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1098334437,3,0,0,3,0,0,0,5840,5840.0,5840,5840,0,0,0,0,0x0113,0x0000,4,14,0x0000011e,1460,2,0x0000,0x00,0,0x00,4294917024,215618210,1.0,4294917024.0,1.8446744070886064e+19,0.00816,0.00816,0.008308032,0.008251349,4.893137e-05,0.00993504,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,7,1,2,2,0.2857143,1.0,69,8566
B,13,0x0400000000004001,1471431159.87901,1471431159.890822,0.011812,1,3,eth:ipv4:tcp,28:b2:bd:c3:41:79,74:da:38:4a:76:49,0x0800,,172.217.19.100,us,Google LLC,80,10.10.10.186,04,Private network,3849,6,0x00,1,28:b2:bd:c3:41:79_74:da:38:4a:76:49_3,"IntelCorp,MY_EdimaxTec,TW",80,http,3,4,0,0,0,0,0.0,0.0,0,0.01179,0.003937333,0.004085782,253.979,0.0,-0.1428571,0.0,0x0a13,1,10,48,48,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1735311067,3,0,0,3,0,0,0,42540,42582.84,42540,42624,0,1,1,0,0x0313,0x3000,3,11,0x0000011e,1380,128,0x0000,0x00,0,0x00,215618210,4294917021,1.0,215618210.0,1255812949.1763768,0.00177504,0.00177504,0.00462496,0.00291976,0.001029112,0.01117111,0.001030275,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,7,1,1,1.0,1.0,5,0
A,19,0x0400000000004000,1471431165.983254,1471431166.030489,0.047235,1,3,eth:ipv4:tcp,38:0b:40:ef:85:41,74:da:38:4a:76:49,0x0800,,10.10.10.30,04,Private network,54141,10.10.10.186,04,Private network,10000,6,0x00,1,38:0b:40:ef:85:41_74:da:38:4a:76:49_5,"SamsungEl,KR_EdimaxTec,TW",10000,ndmp,5,5,398,427,0,398,79.6,131.6345,0,0.04142502,0.009447005,0.01389384,105.8537,8425.955,0.0,-0.03515152,0x0a13,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2637707472,4,398,0,4,427,0,398,65535,82885.23,65535,88704,0,2,1,0,0x011b,0x0000,5,17,0x0000011e,1460,128,0x0000,0x00,0,0x00,54223948,4294918558,0.001,54223.950575,1471376943.376862,0.001368,0.001002,0.04055405,0.01699841,0.01581602,0.003004992,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,4,4,4.0,1.0,10,796
B,19,0x0400000000004001,1471431165.984622,1471431166.031491,0.046869,1,3,eth:ipv4:tcp,74:da:38:4a:76:49,38:0b:40:ef:85:41,0x0800,,10.10.10.186,04,Private network,10000,10.10.10.30,04,Private network,54141,6,0x00,1,74:da:38:4a:76:49_38:0b:40:ef:85:41_5,"EdimaxTec,TW_SamsungEl,KR",10000,ndmp,5,5,427,398,0,427,85.4,141.226,0,0.03636,0.009373801,0.01126312,106.6803,9110.5,0.0,0.03515152,0x0a13,1,14490,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,4034230536,5,427,0,5,398,0,427,5792,6606.613,5792,6864,0,1,1,0,0x031b,0x0000,5,17,0x0000011e,1460,2,0x0000,0x00,0,0x00,4294918558,54223948,0.001,4294918.761998,1467136248.664232,0.001636992,0.000871,0.00320096,0.001891589,0.0006430947,0.01889,0.01582909,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,3,3,3.0,1.0,69,8566
A,21,0x0400000000004000,1471431166.419612,1471431166.465616,0.046004,1,3,eth:ipv4:tcp,38:0b:40:ef:85:41,74:da:38:4a:76:49,0x0800,,10.10.10.30,04,Private network,50378,10.10.10.186,04,Private network,10000,6,0x00,1,38:0b:40:ef:85:41_74:da:38:4a:76:49_5,"SamsungEl,KR_EdimaxTec,TW",10000,ndmp,5,5,398,427,0,398,79.6,131.6345,0,0.039333,0.0092008,0.01308815,108.6862,8651.422,0.0,-0.03515152,0x0a13,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,523612817,4,398,0,4,427,0,398,65535,82885.23,65535,88704,0,2,1,0,0x011b,0x0000,5,17,0x0000011e,1460,128,0x0000,0x00,0,0x00,54224035,4294918666,1.0,54224035.0,1417207131.1759531,0.001064,0.000934016,0.038432,0.015872,0.01520424,0.002628992,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,2,2,2.0,1.0,10,796
B,21,0x0400000000004001,1471431166.420676,1471431166.46655,0.045874,1,3,eth:ipv4:tcp,74:da:38:4a:76:49,38:0b:40:ef:85:41,0x0800,,10.10.10.186,04,Private network,10000,10.10.10.30,04,Private network,50378,6,0x00,1,74:da:38:4a:76:49_38:0b:40:ef:85:41_5,"EdimaxTec,TW_SamsungEl,KR",10000,ndmp,5,5,427,398,0,427,85.4,141.226,0,0.035826,0.0091748,0.01108583,108.9942,9308.104,0.0,0.03515152,0x0a13,1,16976,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,4040884303,5,427,0,5,398,0,427,5792,6606.613,5792,6864,0,1,1,0,0x031b,0x0000,5,17,0x0000011e,1460,2,0x0000,0x00,0,0x00,4294918667,54224035,1.0,4294918667.0,1.8446744070886064e+19,0.001564992,0.000900992,0.003464992,0.002107795,0.0008444464,0.0179798,0.01522767,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,1,1,1.0,1.0,69,8566
A,22,0x0400000000004000,1471431166.538497,1471431166.862304,0.323807,1,3,eth:ipv4:tcp,74:da:38:4a:76:49,28:b2:bd:c3:41:79,0x0800,,10.10.10.186,04,Private network,3800,54.217.230.12,us,Amazoncom,8767,6,0x00,1,74:da:38:4a:76:49_28:b2:bd:c3:41:79_6,"EdimaxTec,TW_IntelCorp,MY",8767,unknown,6,6,475,231,0,428,79.16666,140.4019,0,0.15844,0.05396783,0.04966383,18.52956,1466.923,0.0,0.3456091,0x0213,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,4041804286,5,475,0,5,231,0,428,5840,5840.0,5840,5840,0,0,0,0,0x011b,0x0000,6,20,0x0000011e,1460,2,0x0000,0x00,0,0x00,4294918766,3357070918,1.0,4294918766.0,1.8446744070886064e+19,0.02271501,0.02249498,0.157401,0.0574085,0.0436944,0.02370899,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,6,1,2,2,0.3333333,1.0,69,8566
B,22,0x0400000000004001,1471431166.561212,1471431166.884799,0.323587,1,3,eth:ipv4:tcp,28:b2:bd:c3:41:79,74:da:38:4a:76:49,0x0800,,54.217.230.12,us,Amazoncom,8767,10.10.10.186,04,Private network,3800,6,0x00,1,28:b2:bd:c3:41:79_74:da:38:4a:76:49_6,"IntelCorp,MY_EdimaxTec,TW",8767,unknown,6,6,231,475,0,231,38.5,71.4933,0,0.134825,0.05393117,0.03659233,18.54215,713.8729,0.0,-0.3456091,0x0a13,1,21607,37,37,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,183063816,6,231,0,6,475,0,231,28960,29712.63,28960,30080,0,2,1,0,0x031b,0x0000,6,20,0x0000011e,1380,128,0x0000,0x00,0,0x00,3357070924,4294918766,1.0,3357070924.0,1.8446744071823913e+19,0.0009939841,0.0009939841,0.043944,0.008361494,0.01424834,0.06576999,0.04595885,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,6,1,1,1.0,1.0,6,231
