%dir,flowInd,flowStat,timeFirst,timeLast,duration,numHdrDesc,numHdrs,hdrDesc,srcMac,dstMac,ethType,vlanID,srcIP,srcIPCC,srcIPOrg,srcPort,dstIP,dstIPCC,dstIPOrg,dstPort,l4Proto,macStat,macPairs,srcMac_dstMac_numP,srcMacLbl_dstMacLbl,dstPortClassN,dstPortClass,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,tcpFStat,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,ipToS,ipFlags,ipOptCnt,ipOptCpCl_Num,ip6OptCntHH_D,ip6OptHH_D,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpBFlgtMx,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpFlags,tcpAnomaly,tcpOptPktCnt,tcpOptCnt,tcpOptions,tcpMSS,tcpWS,tcpMPTBF,tcpMPF,tcpMPAID,tcpMPDSSF,tcpTmS,tcpTmER,tcpEcI,tcpUtm,tcpBtm,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,tcpStatesAFlags,icmpStat,icmpTCcnt,icmpBFTypH_TypL_Code,icmpTmGtw,icmpEchoSuccRatio,icmpPFindex,connSip,connDip,connSipDip,connSipDprt,connF,connG,connNumPCnt,connNumBCnt
A,11,0x0400000000004000,1473343613.631399,1473343614.772135,1.140736,1,3,eth:ipv4:tcp,ac:cf:23:62:3c:6e,00:b5:6d:06:08:ba,0x0800,,10.10.10.149,04,Private network,12786,52.10.39.38,us,MAINT-APNIC-AP,7531,6,0x00,1,ac:cf:23:62:3c:6e_00:b5:6d:06:08:ba_6,"Hiflyinge,CN_DavidElec,TW",7531,unknown,6,4,25,25,0,25,4.166667,7.73737,0,0.439309,0.1901227,0.1315526,5.259762,21.91568,0.2,0.0,0x0011,1,6,255,255,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,6509,5,25,0,5,25,0,25,1500,1483.275,1474,1500,2,0,0,0,0x011b,0x0000,1,1,0x00000004,1400,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.170783,0.170546,0.171226,0.1708018,0.0002101128,0.195585,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,6,1,2,2,0.3333333,1.0,25,578
B,11,0x0400000000004001,1473343613.802182,1473343614.746824,0.944642,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,ac:cf:23:62:3c:6e,0x0800,,52.10.39.38,us,MAINT-APNIC-AP,7531,10.10.10.149,04,Private network,12786,6,0x00,1,00:b5:6d:06:08:ba_ac:cf:23:62:3c:6e_4,"DavidElec,TW_Hiflyinge,CN",7531,unknown,4,6,25,25,0,25,6.25,8.900003,0,0.741273,0.2361605,0.2597658,4.234408,26.46505,-0.2,0.0,0x0011,1,26326,38,38,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1605993772,4,25,0,4,25,0,25,2048,2048.0,2048,2048,0,0,0,0,0x031b,0x0000,1,1,0x00000004,1380,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.02480198,0.02480198,0.5706211,0.157627,0.1823747,0.3284287,0.1823748,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,6,1,1,1.0,1.0,4,25
A,4,0x0400000000004000,1473343611.11856,1473343611.1342,0.01564,1,3,eth:ipv4:udp,ac:cf:23:62:3c:6e,ff:ff:ff:ff:ff:ff,0x0800,,0.0.0.0,-,-,68,255.255.255.255,11,Broadcast,67,17,0x00,1,ac:cf:23:62:3c:6e_ff:ff:ff:ff:ff:ff_2,"Hiflyinge,CN_Broadcast",67,bootps,2,0,616,0,308,308,308.0,0.0,0,0.01564,0.00782,0.005529575,127.8772,39386.19,1.0,1.0,0x0001,1,1,255,255,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,2,1,1,1.0,1.0,2,616
A,5,0x0400000000004001,1473343611.118739,1473343611.194628,0.075889,1,3,eth:ipv4:udp,00:b5:6d:06:08:ba,ac:cf:23:62:3c:6e,0x0800,,10.10.10.1,04,Private network,67,10.10.10.149,04,Private network,68,17,0x00,1,00:b5:6d:06:08:ba_ac:cf:23:62:3c:6e_2,"DavidElec,TW_Hiflyinge,CN",67,bootps,2,0,600,0,300,300,300.0,0.0,0,0.075889,0.0379445,0.02683081,26.35428,7906.284,-1.0,1.0,0x0001,11,11,64,64,0,0xc0,0x0800,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,5,4,1,1.0,0.25,11,1924
A,1,0x0400000000004000,1473343604.025349,1473343611.356482,7.331133,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,ac:cf:23:62:3c:6e,0x0800,,52.24.113.48,us,MAINT-APNIC-AP,7533,10.10.10.149,04,Private network,8410,6,0x00,1,00:b5:6d:06:08:ba_ac:cf:23:62:3c:6e_5,"DavidElec,TW_Hiflyinge,CN",8410,unknown,5,0,0,0,0,0,0.0,0.0,0,3.912014,1.466227,1.224122,0.6820228,0.0,1.0,0.0,0x0011,1,1,40,40,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,154795247,1,0,0,5,0,0,0,2048,2048.0,2048,2048,0,0,0,0,0x0111,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x83,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,1,1,1.0,1.0,16,191
A,3,0x0000000000000004,1473343610.784975,1473343612.853274,2.068299,1,2,eth:eapol,ac:cf:23:62:3c:6e,28:b2:bd:c3:41:78,0x888e,,-,-,-,0,-,-,-,0,0,0x00,1,ac:cf:23:62:3c:6e_28:b2:bd:c3:41:78_4,"Hiflyinge,CN_IntelCorp,MY",0,unknown,4,0,418,0,99,121,104.5,7.159396,0,1.719681,0.5170748,0.6039694,1.933956,202.0984,1.0,1.0,0x0000,65535,0,0,0,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,0,0,0,0,0.0,0.0,0,0
A,6,0x0000000000000044,1473343611.213576,1473343613.396699,2.183123,1,2,eth:arp,ac:cf:23:62:3c:6e,ff:ff:ff:ff:ff:ff,0x0806,,-,-,-,0,-,-,-,0,0,0x00,1,ac:cf:23:62:3c:6e_ff:ff:ff:ff:ff:ff_6,"Hiflyinge,CN_Broadcast",0,unknown,6,0,168,0,28,28,28.0,0.0,0,1.464796,0.3638538,0.4223329,2.748356,76.95397,1.0,1.0,0x0000,65535,0,0,0,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,0,0,0,0,0.0,0.0,0,0
A,7,0x0400000000004000,1473343611.962684,1473343613.435225,1.472541,1,3,eth:ipv4:udp,ac:cf:23:62:3c:6e,ff:ff:ff:ff:ff:ff,0x0800,,10.10.10.149,04,Private network,48899,255.255.255.255,11,Broadcast,49999,17,0x00,1,ac:cf:23:62:3c:6e_ff:ff:ff:ff:ff:ff_8,"Hiflyinge,CN_Broadcast",49999,unknown,8,0,200,0,25,25,25.0,0.0,0,0.580965,0.1840676,0.2100369,5.432786,135.8197,1.0,1.0,0x0001,1,7,255,255,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,5,1,1,1,0.2,1.0,31,724
A,8,0x0400800000004000,1473343613.405022,1473343613.436693,0.031671,1,3,eth:ipv4:udp,ac:cf:23:62:3c:6e,00:b5:6d:06:08:ba,0x0800,,10.10.10.149,04,Private network,49152,10.10.10.1,04,Private network,53,17,0x00,1,ac:cf:23:62:3c:6e_00:b5:6d:06:08:ba_4,"Hiflyinge,CN_DavidElec,TW",53,domain,4,3,100,868,0,35,25.0,10.76678,0,0.025732,0.00791775,0.009112213,126.2985,3157.463,0.1428571,-0.7933884,0x0001,0,3,255,255,0,0x00,0x3800,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.0,8.4992e-05,0.16836,0.05889,0.0632462,0.01750701,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,4,1,3,2,0.5,0.6666667,31,724
B,8,0x0400000000004001,1473343613.419186,1473343613.605053,0.185867,1,3,eth:ipv4:udp,00:b5:6d:06:08:ba,ac:cf:23:62:3c:6e,0x0800,,10.10.10.1,04,Private network,53,10.10.10.149,04,Private network,49152,17,0x00,1,00:b5:6d:06:08:ba_ac:cf:23:62:3c:6e_3,"DavidElec,TW_Hiflyinge,CN",53,domain,3,4,868,100,49,502,289.3333,131.7418,0,0.168275,0.06195567,0.06159322,16.14057,4670.006,-0.1428571,0.7933884,0x0001,3,8,64,64,0,0x00,0x0840,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.01750701,0.01750701,0.01750701,0.01750701,0.0,0.076397,0.0632462,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,4,2,1,1.0,0.5,11,1924
