%dir,flowInd,flowStat,timeFirst,timeLast,duration,numHdrDesc,numHdrs,hdrDesc,srcMac,dstMac,ethType,vlanID,srcIP,srcIPCC,srcIPOrg,srcPort,dstIP,dstIPCC,dstIPOrg,dstPort,l4Proto,macStat,macPairs,srcMac_dstMac_numP,srcMacLbl_dstMacLbl,dstPortClassN,dstPortClass,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,tcpFStat,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,ipToS,ipFlags,ipOptCnt,ipOptCpCl_Num,ip6OptCntHH_D,ip6OptHH_D,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpBFlgtMx,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpFlags,tcpAnomaly,tcpOptPktCnt,tcpOptCnt,tcpOptions,tcpMSS,tcpWS,tcpMPTBF,tcpMPF,tcpMPAID,tcpMPDSSF,tcpTmS,tcpTmER,tcpEcI,tcpUtm,tcpBtm,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,tcpStatesAFlags,icmpStat,icmpTCcnt,icmpBFTypH_TypL_Code,icmpTmGtw,icmpEchoSuccRatio,icmpPFindex,connSip,connDip,connSipDip,connSipDprt,connF,connG,connNumPCnt,connNumBCnt
A,12,0x0400000000004000,1473179191.141551,1473179191.141551,0.0,1,3,eth:ipv4:tcp,38:0b:40:ef:85:41,00:17:88:24:76:ff,0x0800,,10.10.10.30,04,Private network,45917,10.10.10.6,04,Private network,80,6,0x00,1,38:0b:40:ef:85:41_00:17:88:24:76:ff_1,"SamsungEl,KR_PhilipsLi,AE",80,http,1,1,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0x0013,65535,0,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2668390680,0,0,0,0,0,0,0,65535,65535.0,65535,65535,0,0,0,0,0x0002,0x3000,1,5,0x0000011e,1460,0,0x0000,0x00,0,0x00,10119432,0,0.004,40477.729923,1473138714.3382125,0.002128,0.002128,0.002128,0.002128,0.0,0.002128,0.0,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,3,3,3.0,1.0,5,0
B,12,0x0400000000004001,1473179191.143679,1473179191.143679,0.0,1,3,eth:ipv4:tcp,00:17:88:24:76:ff,38:0b:40:ef:85:41,0x0800,,10.10.10.6,04,Private network,80,10.10.10.30,04,Private network,45917,6,0x00,1,00:17:88:24:76:ff_38:0b:40:ef:85:41_1,"PhilipsLi,AE_SamsungEl,KR",80,http,1,1,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0x0011,65535,0,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,1,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0x0414,0x2000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.002128,0.0,0x43,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,2,2,2.0,1.0,1,0
A,15,0x0400000000004000,1473179192.503581,1473179192.81895,0.315369,1,3,eth:ipv4:tcp,00:17:88:24:76:ff,00:b5:6d:06:08:ba,0x0800,,10.10.10.6,04,Private network,56827,162.13.31.14,gb,RSPC-MNT,80,6,0x00,1,00:17:88:24:76:ff_00:b5:6d:06:08:ba_13,"PhilipsLi,AE_DavidElec,TW",80,http,13,14,2694,5559,0,1257,207.2308,408.5168,0,0.188274,0.02425916,0.04521634,41.22155,8542.374,-0.03703704,-0.3471465,0x0813,1,4971,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2255883898,12,2694,0,12,5559,0,1257,29200,39585.35,29200,42408,0,5,1,0,0x011b,0x0000,13,41,0x0000011e,1460,0,0x0000,0x00,0,0x00,4294940435,5389026,1.0,4294940435.0,1.8446744070887793e+19,0.019548,0.018912,0.03224199,0.0240855,0.004940274,0.01996903,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,12,1,6,14,1.166667,2.333333,137,24546
B,15,0x0400000000004001,1473179192.523129,1473179192.818616,0.295487,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,00:17:88:24:76:ff,0x0800,,162.13.31.14,gb,RSPC-MNT,80,10.10.10.6,04,Private network,56827,6,0x00,1,00:b5:6d:06:08:ba_00:17:88:24:76:ff_14,"DavidElec,TW_PhilipsLi,AE",80,http,14,13,5559,2694,0,1368,397.0714,503.4019,0,0.207982,0.02110622,0.04801103,47.37941,18813.01,0.03703704,0.3471465,0x0813,1,9755,237,237,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3115423190,14,5559,0,14,2694,0,2309,4140,6636.1,4140,6834,0,3,1,0,0x031b,0x0000,14,44,0x00000116,1380,0,0x0000,0x00,0,0x00,5389026,4294940433,1.0,5389026.0,1467790166.2572212,0.000421024,0.000334016,0.188745,0.01512886,0.04647622,0.03921436,0.04673805,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,12,5,13,13.0,2.6,24,7397
A,20,0x0400000000004000,1473179192.850802,1473179192.904766,0.053964,1,3,eth:ipv4:tcp,00:17:88:24:76:ff,00:b5:6d:06:08:ba,0x0800,,10.10.10.6,04,Private network,56828,162.13.31.14,gb,RSPC-MNT,80,6,0x00,1,00:17:88:24:76:ff_00:b5:6d:06:08:ba_5,"PhilipsLi,AE_DavidElec,TW",80,http,5,5,1194,855,0,1194,238.8,394.9034,0,0.037487,0.0107928,0.01245582,92.65437,22125.86,0.0,0.1654466,0x0813,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2584704401,4,1194,0,4,855,0,1194,29200,30005.8,29200,30780,0,1,1,0,0x011b,0x0000,5,17,0x0000011e,1460,0,0x0000,0x00,0,0x00,4294940443,5389115,1.0,4294940443.0,1.8446744070887793e+19,0.01534598,0.01487501,0.03709894,0.02398557,0.009038118,0.01574803,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,12,1,4,12,1.0,3.0,137,24546
B,20,0x0400000000004001,1473179192.866148,1473179192.919641,0.053493,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,00:17:88:24:76:ff,0x0800,,162.13.31.14,gb,RSPC-MNT,80,10.10.10.6,04,Private network,56828,6,0x00,1,00:b5:6d:06:08:ba_00:17:88:24:76:ff_5,"DavidElec,TW_PhilipsLi,AE",80,http,5,5,855,1194,0,855,171.0,282.7826,0,0.02154,0.0106986,0.007210735,93.47017,15983.4,0.0,-0.1654466,0x0813,2,1022,234,234,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3068880881,5,855,0,5,1194,0,855,4140,5047.321,4140,5334,0,1,1,0,0x031b,0x0000,5,17,0x00000116,1380,0,0x0000,0x00,0,0x00,5389131,4294940443,1.0,5389131.0,1467790061.5179987,0.000402048,0.000388032,0.000890048,0.0005422464,0.0001722752,0.02452782,0.00903976,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,12,3,11,11.0,3.666667,24,7397
A,22,0x0400000000004000,1473179192.906697,1473179192.96422,0.057523,1,3,eth:ipv4:tcp,00:17:88:24:76:ff,00:b5:6d:06:08:ba,0x0800,,10.10.10.6,04,Private network,56829,162.13.31.14,gb,RSPC-MNT,80,6,0x00,1,00:17:88:24:76:ff_00:b5:6d:06:08:ba_5,"PhilipsLi,AE_DavidElec,TW",80,http,5,5,1210,983,0,1210,242.0,400.1953,0,0.037,0.0115046,0.01244443,86.92175,21035.06,0.0,0.1035112,0x0813,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2027877277,4,1210,0,4,983,0,1210,29200,29849.23,29200,30473,0,1,1,0,0x011b,0x0000,5,17,0x0000011e,1460,0,0x0000,0x00,0,0x00,4294940449,5389170,1.0,4294940449.0,1.8446744070887793e+19,0.019304,0.01789594,0.036608,0.02566198,0.007555714,0.01964896,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,12,1,2,10,0.8333333,5.0,137,24546
B,22,0x0400000000004001,1473179192.926001,1473179192.982136,0.056135,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,00:17:88:24:76:ff,0x0800,,162.13.31.14,gb,RSPC-MNT,80,10.10.10.6,04,Private network,56829,6,0x00,1,00:b5:6d:06:08:ba_00:17:88:24:76:ff_5,"DavidElec,TW_PhilipsLi,AE",80,http,5,5,983,1210,0,983,196.6,325.1173,0,0.018956,0.011227,0.007358307,89.07099,17511.36,0.0,-0.1035112,0x0813,2,1140,236,236,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,483718807,5,983,0,5,1210,0,983,4140,5059.479,4140,5350,0,1,1,0,0x031b,0x0000,5,17,0x00000116,1380,0,0x0000,0x00,0,0x00,5389189,4294940449,1.0,5389189.0,1467790003.2883456,0.00034496,0.00034496,0.00104,0.0005385728,0.0002343468,0.02620055,0.007559347,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,12,1,9,9.0,9.0,24,7397
A,24,0x0400000000004000,1473179193.436044,1473179193.521018,0.084974,1,3,eth:ipv4:tcp,00:17:88:24:76:ff,00:b5:6d:06:08:ba,0x0800,,10.10.10.6,04,Private network,36554,5.79.62.93,gb,RSPC-MNT,80,6,0x00,1,00:17:88:24:76:ff_00:b5:6d:06:08:ba_6,"PhilipsLi,AE_DavidElec,TW",80,http,6,6,1718,871,0,1120,286.3333,373.2231,0,0.045561,0.01416233,0.01434185,70.60983,20217.95,0.0,0.3271534,0x0813,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3121009515,5,1718,0,5,871,0,1120,29200,29855.35,29200,30485,0,1,1,0,0x011b,0x0000,6,20,0x0000011e,1460,0,0x0000,0x00,0,0x00,4294940505,5389727,1.0,4294940505.0,1.8446744070887793e+19,0.01888598,0.01860403,0.04518598,0.02762317,0.01093389,0.01925101,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,11,1,6,8,0.7272727,1.333333,144,26269
B,24,0x0400000000004001,1473179193.45493,1473179193.539622,0.084692,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,00:17:88:24:76:ff,0x0800,,5.79.62.93,gb,RSPC-MNT,80,10.10.10.6,04,Private network,36554,6,0x00,1,00:b5:6d:06:08:ba_00:17:88:24:76:ff_6,"DavidElec,TW_PhilipsLi,AE",80,http,6,6,871,1718,0,871,145.1667,282.2985,0,0.02625,0.01411533,0.008510748,70.84494,10284.32,0.0,-0.3271534,0x0813,2,1644,235,235,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,790901697,6,871,0,6,1718,0,871,4140,5488.582,4140,5858,0,2,1,0,0x031b,0x0000,6,20,0x00000116,1380,0,0x0000,0x00,0,0x00,5389747,4294940505,1.0,5389747.0,1467789446.2751088,0.000365024,0.000365024,0.000936992,0.000507344,0.0001830774,0.02813051,0.01093542,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,11,5,7,7.0,1.4,18,2613
