%dir,flowInd,flowStat,timeFirst,timeLast,duration,numHdrDesc,numHdrs,hdrDesc,srcMac,dstMac,ethType,vlanID,srcIP,srcIPCC,srcIPOrg,srcPort,dstIP,dstIPCC,dstIPOrg,dstPort,l4Proto,macStat,macPairs,srcMac_dstMac_numP,srcMacLbl_dstMacLbl,dstPortClassN,dstPortClass,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,tcpFStat,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,ipToS,ipFlags,ipOptCnt,ipOptCpCl_Num,ip6OptCntHH_D,ip6OptHH_D,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpBFlgtMx,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpFlags,tcpAnomaly,tcpOptPktCnt,tcpOptCnt,tcpOptions,tcpMSS,tcpWS,tcpMPTBF,tcpMPF,tcpMPAID,tcpMPDSSF,tcpTmS,tcpTmER,tcpEcI,tcpUtm,tcpBtm,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,tcpStatesAFlags,icmpStat,icmpTCcnt,icmpBFTypH_TypL_Code,icmpTmGtw,icmpEchoSuccRatio,icmpPFindex,connSip,connDip,connSipDip,connSipDprt,connF,connG,connNumPCnt,connNumBCnt
A,32,0x0400000000004000,1473260229.806875,1473260229.826452,0.019577,1,3,eth:ipv4:tcp,38:0b:40:ef:85:41,00:17:88:24:76:ff,0x0800,,10.10.10.30,04,Private network,50804,10.10.10.6,04,Private network,80,6,0x00,1,38:0b:40:ef:85:41_00:17:88:24:76:ff_7,"SamsungEl,KR_PhilipsLi,AE",80,http,7,7,319,546,0,319,45.57143,93.01387,0.0,0.011616,0.002796714,0.003361452,357.5624,16294.63,0.0,-0.2624277,0x0a13,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,845656871,6,319,0,6,547,0,319,65535,85747.43,65535,88704,0,2,1,0,0x011b,0x0000,7,23,0x0000011e,1460,128,0x0000,0x00,0,0x00,14254095,42615,1.0,14254095.0,1459006134.181828,0.000380992,0.000230016,0.01012896,0.002171268,0.003255635,0.001729024,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,118,118,118.0,1.0,366,13577
B,32,0x0408000000004001,1473260229.807256,1473260229.826682,0.019426,1,3,eth:ipv4:tcp,00:17:88:24:76:ff,38:0b:40:ef:85:41,0x0800,,10.10.10.6,04,Private network,80,10.10.10.30,04,Private network,50804,6,0x00,1,00:17:88:24:76:ff_38:0b:40:ef:85:41_7,"PhilipsLi,AE_SamsungEl,KR",80,http,7,7,546,319,0,528,78.0,160.2059,-1.5e-05,0.011417,0.002775143,0.003283182,360.3418,28106.66,0.0,0.2624277,0x0a13,2,37913,64,64,0,0x00,0x8044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,4222104171,4,548,0,7,319,0,528,28960,29905.88,28960,30032,0,1,1,0,0x031b,0x0240,7,23,0x0000011e,1460,8,0x0000,0x00,0,0x00,42615,14254095,1.0,42615.0,1473217614.204828,0.001348032,0.00124896,0.003179968,0.001667712,0.0005293614,0.00383898,0.003298391,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,117,117,117.0,1.0,344,56374
A,35,0x0400000000004000,1473260230.014709,1473260230.038098,0.023389,1,3,eth:ipv4:tcp,38:0b:40:ef:85:41,00:17:88:24:76:ff,0x0800,,10.10.10.30,04,Private network,58718,10.10.10.6,04,Private network,80,6,0x00,1,38:0b:40:ef:85:41_00:17:88:24:76:ff_7,"SamsungEl,KR_PhilipsLi,AE",80,http,7,7,318,545,0,318,45.42857,92.7223,0.0,0.015263,0.003341286,0.004503422,299.286,13596.13,0.0,-0.2630359,0x0a13,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3825889012,6,318,0,6,544,0,318,65535,85747.43,65535,88704,0,2,1,0,0x011b,0x0000,7,23,0x0000011e,1460,128,0x0000,0x00,0,0x00,14254137,42636,1.0,14254137.0,1459006093.373826,0.000436,0.000198,0.013733,0.004287286,0.005387519,0.001874,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,116,116,116.0,1.0,366,13577
B,35,0x0400000000004001,1473260230.015145,1473260230.038296,0.023151,1,3,eth:ipv4:tcp,00:17:88:24:76:ff,38:0b:40:ef:85:41,0x0800,,10.10.10.6,04,Private network,80,10.10.10.30,04,Private network,58718,6,0x00,1,00:17:88:24:76:ff_38:0b:40:ef:85:41_7,"PhilipsLi,AE_SamsungEl,KR",80,http,7,7,545,318,0,527,77.85714,159.9044,0.0,0.015108,0.003307286,0.004394814,302.3628,23541.1,0.0,0.2630359,0x0a13,1,23743,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2267871796,7,545,0,7,318,0,527,28960,29905.88,28960,30032,0,1,1,0,0x031b,0x0000,7,23,0x0000011e,1460,8,0x0000,0x00,0,0x00,42636,14254137,1.0,42636.0,1473217594.393626,0.001438,0.001396,0.002903,0.001709571,0.0004194052,0.005996857,0.005403819,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,115,115,115.0,1.0,344,56374
A,37,0x0400000000004000,1473260230.11614,1473260230.140744,0.024604,1,3,eth:ipv4:tcp,38:0b:40:ef:85:41,00:17:88:24:76:ff,0x0800,,10.10.10.30,04,Private network,43449,10.10.10.6,04,Private network,80,6,0x00,1,38:0b:40:ef:85:41_00:17:88:24:76:ff_7,"SamsungEl,KR_PhilipsLi,AE",80,http,7,7,319,546,0,319,45.57143,93.01387,0.0,0.014608,0.003514857,0.004220874,284.5066,12965.37,0.0,-0.2624277,0x0a13,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,878258140,6,319,0,6,545,0,319,65535,85747.43,65535,88704,0,2,1,0,0x011b,0x0000,7,23,0x0000011e,1460,128,0x0000,0x00,0,0x00,14254158,42646,1.0,14254158.0,1459006072.3305047,0.00045,0.000202,0.01264599,0.003987855,0.004925835,0.001918,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,114,114,114.0,1.0,366,13577
B,37,0x0400000000004001,1473260230.11659,1473260230.140946,0.024356,1,3,eth:ipv4:tcp,00:17:88:24:76:ff,38:0b:40:ef:85:41,0x0800,,10.10.10.6,04,Private network,80,10.10.10.30,04,Private network,43449,6,0x00,1,00:17:88:24:76:ff_38:0b:40:ef:85:41_7,"PhilipsLi,AE_SamsungEl,KR",80,http,7,7,546,319,0,528,78.0,160.2091,0.0,0.014721,0.003479429,0.004235609,287.4035,22417.47,0.0,0.2624277,0x0a13,1,37336,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2877699915,7,546,0,7,319,0,528,28960,29905.88,28960,30032,0,1,1,0,0x031b,0x0000,7,23,0x0000011e,1460,8,0x0000,0x00,0,0x00,42646,14254158,1.0,42646.0,1473217584.3507047,0.001468,0.001468,0.003672,0.002092289,0.0006042866,0.006080144,0.004962763,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,113,113,113.0,1.0,344,56374
A,94,0x0400000000004000,1473260252.451734,1473260252.558087,0.106353,1,3,eth:ipv4:tcp,38:0b:40:ef:85:41,00:17:88:24:76:ff,0x0800,,10.10.10.30,04,Private network,41102,10.10.10.6,04,Private network,80,6,0x00,1,38:0b:40:ef:85:41_00:17:88:24:76:ff_7,"SamsungEl,KR_PhilipsLi,AE",80,http,7,7,319,546,0,319,45.57143,93.01387,0.0,0.098179,0.01519329,0.03095152,65.81855,2999.445,0.0,-0.2624277,0x0a13,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,4258268917,6,319,0,6,547,0,319,65535,85747.43,65535,88704,0,2,1,0,0x011b,0x0000,7,23,0x0000011e,1460,128,0x0000,0x00,0,0x00,14258641,44887,1.0,14258641.0,1459001611.403622,0.000432992,0.000288,0.09053501,0.01597937,0.030372,0.001731968,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,218,218,218.0,1.0,691,24717
B,94,0x0408000000004001,1473260252.452167,1473260252.558375,0.106208,1,3,eth:ipv4:tcp,00:17:88:24:76:ff,38:0b:40:ef:85:41,0x0800,,10.10.10.6,04,Private network,80,10.10.10.30,04,Private network,41102,6,0x00,1,00:17:88:24:76:ff_38:0b:40:ef:85:41_7,"PhilipsLi,AE_SamsungEl,KR",80,http,7,7,546,319,0,528,78.0,160.2059,-1.6e-05,0.092406,0.01517257,0.02832694,65.90841,5140.856,0.0,0.2624277,0x0a13,2,51527,64,64,0,0x00,0x8044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2350605833,4,548,0,7,319,0,528,28960,29905.88,28960,30032,0,1,1,0,0x031b,0x0240,7,23,0x0000011e,1460,8,0x0000,0x00,0,0x00,44888,14258641,1.0,44888.0,1473215364.0292516,0.001298976,0.001286016,0.007731968,0.003422556,0.002516255,0.01940193,0.03047606,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,217,217,217.0,1.0,635,111026
A,1,0x0400000000004000,1473260204.487105,1473260204.529153,0.042048,1,3,eth:ipv4:tcp,38:0b:40:ef:85:41,00:17:88:24:76:ff,0x0800,,10.10.10.30,04,Private network,60364,10.10.10.6,04,Private network,80,6,0x00,1,38:0b:40:ef:85:41_00:17:88:24:76:ff_8,"SamsungEl,KR_PhilipsLi,AE",80,http,8,7,192,2544,0,192,24.0,53.05055,0.0,0.027608,0.005256,0.007800312,190.2588,4566.21,0.06666667,-0.8596491,0x4813,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1733280657,7,192,0,7,2530,1,0,65535,6052.945,685,65535,1,2,1,0,0x011b,0x0008,8,29,0x0000013e,1460,128,0x0000,0x00,0,0x00,14249035,40084,1.0,14249035.0,1459011169.8720224,0.0,0.000194016,0.004052,0.001736001,0.001494484,0.0,0.0,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,394,394,394.0,1.0,1255,42485
B,1,0x0400000000004001,1473260204.494733,1473260204.529007,0.034274,1,3,eth:ipv4:tcp,00:17:88:24:76:ff,38:0b:40:ef:85:41,0x0800,,10.10.10.6,04,Private network,80,10.10.10.30,04,Private network,60364,6,0x00,1,00:17:88:24:76:ff_38:0b:40:ef:85:41_7,"PhilipsLi,AE_SamsungEl,KR",80,http,7,8,2544,192,0,1448,363.4286,491.8002,0.0,0.015468,0.004896286,0.004869257,204.2365,74225.36,-0.06666667,0.8596491,0x0013,1,1,64,64,0,0x00,0x4040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,4130480146,6,2530,1,7,0,0,2497,3754,3754.0,3754,3754,0,0,0,0,0x0119,0x0002,7,21,0x00000102,0,1,0x0000,0x00,0,0x00,40085,14249035,1.0,40085.0,1473220119.7260225,0.0,0.000145984,0.01527398,0.006032368,0.006132827,0.007768368,0.006312293,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,393,393,393.0,1.0,1124,213085
