%dir,flowInd,flowStat,timeFirst,timeLast,duration,numHdrDesc,numHdrs,hdrDesc,srcMac,dstMac,ethType,vlanID,srcIP,srcIPCC,srcIPOrg,srcPort,dstIP,dstIPCC,dstIPOrg,dstPort,l4Proto,macStat,macPairs,srcMac_dstMac_numP,srcMacLbl_dstMacLbl,dstPortClassN,dstPortClass,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,tcpFStat,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,ipToS,ipFlags,ipOptCnt,ipOptCpCl_Num,ip6OptCntHH_D,ip6OptHH_D,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpBFlgtMx,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpFlags,tcpAnomaly,tcpOptPktCnt,tcpOptCnt,tcpOptions,tcpMSS,tcpWS,tcpMPTBF,tcpMPF,tcpMPAID,tcpMPDSSF,tcpTmS,tcpTmER,tcpEcI,tcpUtm,tcpBtm,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,tcpStatesAFlags,icmpStat,icmpTCcnt,icmpBFTypH_TypL_Code,icmpTmGtw,icmpEchoSuccRatio,icmpPFindex,connSip,connDip,connSipDip,connSipDprt,connF,connG,connNumPCnt,connNumBCnt
A,9,0x0400000000004000,1472559712.845932,1472559712.845932,0.0,1,3,eth:ipv4:udp,84:18:26:7b:5f:6b,00:b5:6d:06:08:ba,0x0800,,10.10.10.114,04,Private network,49153,10.10.10.1,04,Private network,53,17,0x00,1,84:18:26:7b:5f:6b_00:b5:6d:06:08:ba_1,"OsramGmbH,DE_DavidElec,TW",53,domain,1,1,48,278,48,48,48.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7055215,0x0001,65535,0,255,255,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.0192,0.0192,0.0192,0.0192,0.0,0.0192,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,5,1,3,2,0.4,0.6666667,201,33526
B,9,0x0400000000004001,1472559712.865132,1472559712.865132,0.0,1,3,eth:ipv4:udp,00:b5:6d:06:08:ba,84:18:26:7b:5f:6b,0x0800,,10.10.10.1,04,Private network,53,10.10.10.114,04,Private network,49153,17,0x00,1,00:b5:6d:06:08:ba_84:18:26:7b:5f:6b_1,"DavidElec,TW_OsramGmbH,DE",53,domain,1,1,278,48,278,278,278.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.7055215,0x0001,65535,0,64,64,0,0x00,0x0840,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0192,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,5,2,1,1.0,0.5,5,1478
A,10,0x0400000000004000,1472559713.268605,1472559713.268605,0.0,1,3,eth:ipv4:udp,84:18:26:7b:5f:6b,00:b5:6d:06:08:ba,0x0800,,10.10.10.114,04,Private network,49157,195.65.87.104,ch,CH-UNISOURCE-MNT,80,17,0x00,1,84:18:26:7b:5f:6b_00:b5:6d:06:08:ba_1,"OsramGmbH,DE_DavidElec,TW",80,http,1,1,50,58,50,50,50.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07407407,0x0001,65535,0,255,255,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.009016,0.009016,0.009016,0.009016,0.0,0.009016,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,5,1,2,4,0.8,2.0,201,33526
B,10,0x0400000000004001,1472559713.277621,1472559713.277621,0.0,1,3,eth:ipv4:udp,00:b5:6d:06:08:ba,84:18:26:7b:5f:6b,0x0800,,195.65.87.104,ch,CH-UNISOURCE-MNT,80,10.10.10.114,04,Private network,49157,17,0x00,1,00:b5:6d:06:08:ba_84:18:26:7b:5f:6b_1,"DavidElec,TW_OsramGmbH,DE",80,http,1,1,58,50,58,58,58.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.07407407,0x0001,65535,0,48,48,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.009016,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,5,1,3,3.0,3.0,1,58
A,12,0x0000000000000004,1472559750.39979,1472559750.39979,0.0,1,2,eth:llc,84:18:26:7b:5f:6b,ff:ff:ff:ff:ff:ff,0x0001,,-,-,-,0,-,-,-,0,0,0x00,1,84:18:26:7b:5f:6b_ff:ff:ff:ff:ff:ff_1,"OsramGmbH,DE_Broadcast",0,unknown,1,0,3,0,3,3,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0x0000,65535,0,0,0,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,0,0,0,0,0.0,0.0,0,0
A,1,0x0000000000000004,1472559702.212522,1472559750.410455,48.197933,1,2,eth:eapol,84:18:26:7b:5f:6b,28:b2:bd:c3:41:78,0x888e,,-,-,-,0,-,-,-,0,0,0x00,1,84:18:26:7b:5f:6b_28:b2:bd:c3:41:78_5,"OsramGmbH,DE_IntelCorp,MY",0,unknown,5,0,539,0,99,121,107.8,8.639651,0,31.03173,9.639587,10.45815,0.1037389,11.18305,1.0,1.0,0x0000,65535,0,0,0,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,0,0,0,0,0.0,0.0,0,0
A,2,0x0400000000004000,1472559702.217671,1472559752.365806,50.148135,1,3,eth:ipv4:udp,84:18:26:7b:5f:6b,ff:ff:ff:ff:ff:ff,0x0800,,0.0.0.0,-,-,68,255.255.255.255,11,Broadcast,67,17,0x00,1,84:18:26:7b:5f:6b_ff:ff:ff:ff:ff:ff_4,"OsramGmbH,DE_Broadcast",67,bootps,4,0,1232,0,308,308,308.0,0.0,0,50.13515,12.53703,17.8465,0.07976368,24.56721,1.0,1.0,0x0001,1,97,255,255,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,1,1,1.0,1.0,4,1232
A,3,0x0400000000004001,1472559702.217805,1472559752.434775,50.21697,1,3,eth:ipv4:udp,00:b5:6d:06:08:ba,84:18:26:7b:5f:6b,0x0800,,10.10.10.1,04,Private network,67,10.10.10.114,04,Private network,68,17,0x00,1,00:b5:6d:06:08:ba_84:18:26:7b:5f:6b_4,"DavidElec,TW_OsramGmbH,DE",67,bootps,4,0,1200,0,300,300,300.0,0.0,0,50.08054,12.55424,17.81189,0.07965435,23.89631,-1.0,1.0,0x0001,1,10537,64,64,0,0xc0,0x0800,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,4,1,1,1.0,1.0,5,1478
A,5,0x0400000000004000,1472559703.351361,1472559753.558339,50.206978,1,3,eth:ipv4:igmp,84:18:26:7b:5f:6b,01:00:5e:00:00:01,0x0800,,10.10.10.114,04,Private network,0,224.0.0.1,10,All Systems on this Subnet,0,2,0x00,1,84:18:26:7b:5f:6b_01:00:5e:00:00:01_2,"OsramGmbH,DE_IPv4Multi",0,unknown,2,0,0,0,0,0,0.0,0.0,0,50.20698,25.10349,17.75085,0.0398351,0.0,1.0,0.0,0x0001,100,100,1,1,0,0x00,0x0000,2,0x80_0x00100000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,3,1,1,2,0.6666667,2.0,201,33526
A,7,0x0400000000004000,1472559703.451173,1472559753.758055,50.306882,1,3,eth:ipv4:igmp,84:18:26:7b:5f:6b,01:00:5e:00:00:fb,0x0800,,10.10.10.114,04,Private network,0,224.0.0.251,10,mDNS,0,2,0x00,1,84:18:26:7b:5f:6b_01:00:5e:00:00:fb_2,"OsramGmbH,DE_IPv4Multi",0,unknown,2,0,0,0,0,0,0.0,0.0,0,50.30688,25.15344,17.78617,0.03975599,0.0,1.0,0.0,0x0001,99,99,1,1,0,0x00,0x0000,2,0x80_0x00100000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,2,1,2,1,0.5,0.5,201,33526
