%dir,flowInd,flowStat,timeFirst,timeLast,duration,numHdrDesc,numHdrs,hdrDesc,srcMac,dstMac,ethType,vlanID,srcIP,srcIPCC,srcIPOrg,srcPort,dstIP,dstIPCC,dstIPOrg,dstPort,l4Proto,macStat,macPairs,srcMac_dstMac_numP,srcMacLbl_dstMacLbl,dstPortClassN,dstPortClass,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,tcpFStat,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,ipToS,ipFlags,ipOptCnt,ipOptCpCl_Num,ip6OptCntHH_D,ip6OptHH_D,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpBFlgtMx,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpFlags,tcpAnomaly,tcpOptPktCnt,tcpOptCnt,tcpOptions,tcpMSS,tcpWS,tcpMPTBF,tcpMPF,tcpMPAID,tcpMPDSSF,tcpTmS,tcpTmER,tcpEcI,tcpUtm,tcpBtm,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,tcpStatesAFlags,icmpStat,icmpTCcnt,icmpBFTypH_TypL_Code,icmpTmGtw,icmpEchoSuccRatio,icmpPFindex,connSip,connDip,connSipDip,connSipDprt,connF,connG,connNumPCnt,connNumBCnt
A,1,0x0400000000004000,1473264381.305048,1473264381.305048,0.0,1,3,eth:ipv4:udp,00:1a:22:03:cb:be,ff:ff:ff:ff:ff:ff,0x0800,,0.0.0.0,-,-,68,255.255.255.255,11,Broadcast,67,17,0x00,1,00:1a:22:03:cb:be_ff:ff:ff:ff:ff:ff_1,"eQ3Entwic,DE_Broadcast",67,bootps,1,0,300,0,300,300,300.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0x0001,65535,0,128,128,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,1,1,1.0,1,1,300
A,2,0x0000000000000044,1473264381.399971,1473264381.399971,0.0,1,2,eth:arp,00:1a:22:03:cb:be,ff:ff:ff:ff:ff:ff,0x0806,,-,-,-,0,-,-,-,0,0,0x00,1,00:1a:22:03:cb:be_ff:ff:ff:ff:ff:ff_1,"eQ3Entwic,DE_Broadcast",0,unknown,1,0,46,0,46,46,46.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0x0000,65535,0,0,0,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,0,0,0,0,0.0,0,0,0
A,5,0x0400000000004000,1473264381.403695,1473264381.403695,0.0,1,3,eth:ipv4:udp,00:1a:22:03:cb:be,00:b5:6d:06:08:ba,0x0800,,10.10.10.129,04,Private network,1025,10.10.10.1,04,Private network,53,17,0x00,1,00:1a:22:03:cb:be_00:b5:6d:06:08:ba_1,"eQ3Entwic,DE_DavidElec,TW",53,domain,1,1,35,78,35,35,35.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.380531,0x0001,65535,0,128,128,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,9.5008e-05,9.5008e-05,9.5008e-05,9.5008e-05,0.0,9.5008e-05,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,3,1,2,2,0.6666667,1,24,520
B,5,0x0400000000004001,1473264381.40379,1473264381.40379,0.0,1,3,eth:ipv4:udp,00:b5:6d:06:08:ba,00:1a:22:03:cb:be,0x0800,,10.10.10.1,04,Private network,53,10.10.10.129,04,Private network,1025,17,0x00,1,00:b5:6d:06:08:ba_00:1a:22:03:cb:be_1,"DavidElec,TW_eQ3Entwic,DE",53,domain,1,1,78,35,78,78,78.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.380531,0x0001,65535,0,64,64,0,0x00,0x0840,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,9.5008e-05,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,3,1,1,1.0,1,1,78
A,6,0x0400000000004000,1473264381.404291,1473264381.404291,0.0,1,3,eth:ipv4:udp,00:1a:22:03:cb:be,00:b5:6d:06:08:ba,0x0800,,10.10.10.129,04,Private network,1024,81.14.202.21,de,HTP-MNT,123,17,0x00,1,00:1a:22:03:cb:be_00:b5:6d:06:08:ba_1,"eQ3Entwic,DE_DavidElec,TW",123,ntp,1,1,48,48,48,48,48.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0x0001,65535,0,128,128,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.01872301,0.01872301,0.01872301,0.01872301,0.0,0.01872301,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,2,1,2,2,1.0,1,24,520
B,6,0x0400000000004001,1473264381.423014,1473264381.423014,0.0,1,3,eth:ipv4:udp,00:b5:6d:06:08:ba,00:1a:22:03:cb:be,0x0800,,81.14.202.21,de,HTP-MNT,123,10.10.10.129,04,Private network,1024,17,0x00,1,00:b5:6d:06:08:ba_00:1a:22:03:cb:be_1,"DavidElec,TW_eQ3Entwic,DE",123,ntp,1,1,48,48,48,48,48.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0x0001,65535,0,46,46,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.01872301,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,2,1,1,1.0,1,1,48
A,7,0x0000000000000044,1473264384.701298,1473264384.701298,0.0,1,2,eth:arp,00:1a:22:03:cb:be,24:77:03:7c:ea:dc,0x0806,,-,-,-,0,-,-,-,0,0,0x00,1,00:1a:22:03:cb:be_24:77:03:7c:ea:dc_1,"eQ3Entwic,DE_IntelCorp,MY",0,unknown,1,0,46,0,46,46,46.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0x0000,65535,0,0,0,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,0,0,0,0,0.0,0,0,0
A,3,0x0000000000000044,1473264381.400002,1473264386.413113,5.013111,1,2,eth:arp,00:b5:6d:06:08:ba,00:1a:22:03:cb:be,0x0806,,-,-,-,0,-,-,-,0,0,0x00,1,00:b5:6d:06:08:ba_00:1a:22:03:cb:be_2,"DavidElec,TW_eQ3Entwic,DE",0,unknown,2,1,56,46,28,28,28.0,0.0,0,5.013111,2.506556,1.772402,0.3989539,11.17071,0.3333333,0.09803922,0x0000,65535,0,0,0,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,0,0,0,0,0.0,0,0,0
B,3,0x0000000000000045,1473264386.413476,1473264386.413476,0.0,1,2,eth:arp,00:1a:22:03:cb:be,00:b5:6d:06:08:ba,0x0806,,-,-,-,0,-,-,-,0,0,0x00,1,00:1a:22:03:cb:be_00:b5:6d:06:08:ba_1,"eQ3Entwic,DE_DavidElec,TW",0,unknown,1,2,46,56,46,46,46.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.3333333,-0.09803922,0x0000,65535,0,0,0,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,0,0,0,0,0.0,0,0,0
A,4,0x0400000000004000,1473264381.400099,1473264387.203866,5.803767,1,3,eth:ipv4:igmp,00:1a:22:03:cb:be,01:00:5e:00:00:01,0x0800,,10.10.10.129,04,Private network,0,224.0.0.1,10,All Systems on this Subnet,0,2,0x00,1,00:1a:22:03:cb:be_01:00:5e:00:00:01_2,"eQ3Entwic,DE_IPv4Multi",0,unknown,2,0,0,0,0,0,0.0,0.0,0,5.803767,2.901884,2.051942,0.3446037,0.0,1.0,0.0,0x0001,12,12,1,1,0,0x00,0x0000,2,0x80_0x00100000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,1,1,1.0,1,24,520
A,8,0x0400000000004000,1473264384.701901,1473264425.362016,40.660115,1,3,eth:ipv4:tcp,24:77:03:7c:ea:dc,00:1a:22:03:cb:be,0x0800,,10.10.10.127,04,Private network,50138,10.10.10.129,04,Private network,62910,6,0x00,1,24:77:03:7c:ea:dc_00:1a:22:03:cb:be_20,"IntelCorp,MY_eQ3Entwic,DE",62910,unknown,20,20,100,437,0,36,5.0,9.975048,0,9.976574,2.033006,3.34242,0.4918825,2.459413,0.0,-0.6275605,0x0811,1,9,128,128,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,539036483,19,100,0,19,437,0,36,8192,16176.01,8192,16616,11,1,12,0,0x001a,0x0000,1,6,0x0000001e,1460,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.005126976,0.003623,0.234787,0.05202239,0.05163885,0.005740032,0.0,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,2,2,2.0,1,20,100
