%dir,flowInd,flowStat,timeFirst,timeLast,duration,numHdrDesc,numHdrs,hdrDesc,srcMac,dstMac,ethType,vlanID,srcIP,srcIPCC,srcIPOrg,srcPort,dstIP,dstIPCC,dstIPOrg,dstPort,l4Proto,macStat,macPairs,srcMac_dstMac_numP,srcMacLbl_dstMacLbl,dstPortClassN,dstPortClass,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,tcpFStat,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,ipToS,ipFlags,ipOptCnt,ipOptCpCl_Num,ip6OptCntHH_D,ip6OptHH_D,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpBFlgtMx,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpFlags,tcpAnomaly,tcpOptPktCnt,tcpOptCnt,tcpOptions,tcpMSS,tcpWS,tcpMPTBF,tcpMPF,tcpMPAID,tcpMPDSSF,tcpTmS,tcpTmER,tcpEcI,tcpUtm,tcpBtm,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,tcpStatesAFlags,icmpStat,icmpTCcnt,icmpBFTypH_TypL_Code,icmpTmGtw,icmpEchoSuccRatio,icmpPFindex,connSip,connDip,connSipDip,connSipDprt,connF,connG,connNumPCnt,connNumBCnt
A,1,0x0000000000000044,1472485591.773426,1472485591.773426,0.0,1,2,eth:arp,00:1a:22:03:cb:be,ff:ff:ff:ff:ff:ff,0x0806,,-,-,-,0,-,-,-,0,0,0x00,1,00:1a:22:03:cb:be_ff:ff:ff:ff:ff:ff_1,"eQ3Entwic,DE_Broadcast",0,unknown,1,0,46,0,46,46,46.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1.0,0x0000,65535,0,0,0,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,0,0,0,0,0.0,0,0,0
A,2,0x0400000000004000,1472485591.973825,1472485591.974885,0.00106,1,3,eth:ipv4:udp,00:1a:22:03:cb:be,ff:ff:ff:ff:ff:ff,0x0800,,0.0.0.0,-,-,68,255.255.255.255,11,Broadcast,67,17,0x00,1,00:1a:22:03:cb:be_ff:ff:ff:ff:ff:ff_2,"eQ3Entwic,DE_Broadcast",67,bootps,2,0,600,0,300,300,300.0,0.0,0,0.00106,0.00053,0.0003747666,1886.792,566037.7,1,1.0,0x0001,1,1,128,128,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,1,1,1.0,1,2,600
A,3,0x0400000000004000,1472485593.873761,1472485593.873761,0.0,1,3,eth:ipv4:udp,00:1a:22:03:cb:be,00:b5:6d:06:08:ba,0x0800,,10.10.10.129,04,Private network,1025,192.168.0.1,07,Private network,53,17,0x00,1,00:1a:22:03:cb:be_00:b5:6d:06:08:ba_1,"eQ3Entwic,DE_DavidElec,TW",53,domain,1,0,35,0,35,35,35.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1.0,0x0001,65535,0,128,128,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,4,1,1,3,0.75,3,23,555
A,4,0x0400000000004001,1472485593.875281,1472485593.875281,0.0,1,3,eth:ipv4:icmp,00:b5:6d:06:08:ba,00:1a:22:03:cb:be,0x0800,,130.83.253.186,de,TU Darmstadt,0,10.10.10.129,04,Private network,0,1,0x00,1,00:b5:6d:06:08:ba_00:1a:22:03:cb:be_1,"DavidElec,TW_eQ3Entwic,DE",0,unknown,1,0,28,0,28,28,28.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0x0001,65535,0,252,252,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x01,1,0x00000000_0x00000008_0x0002,0x00000000,0,4,1,3,1,1,1.0,1,1,28
A,5,0x0400000000004000,1472485595.874068,1472485595.874068,0.0,1,3,eth:ipv4:udp,00:1a:22:03:cb:be,00:b5:6d:06:08:ba,0x0800,,10.10.10.129,04,Private network,1026,10.10.10.1,04,Private network,53,17,0x00,1,00:1a:22:03:cb:be_00:b5:6d:06:08:ba_1,"eQ3Entwic,DE_DavidElec,TW",53,domain,1,1,35,78,35,35,35.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,-0.380531,0x0001,65535,0,128,128,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.000132032,0.000132032,0.000132032,0.000132032,0.0,0.000132032,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,2,1,2,2,1.0,1,23,555
B,5,0x0400000000004001,1472485595.8742,1472485595.8742,0.0,1,3,eth:ipv4:udp,00:b5:6d:06:08:ba,00:1a:22:03:cb:be,0x0800,,10.10.10.1,04,Private network,53,10.10.10.129,04,Private network,1026,17,0x00,1,00:b5:6d:06:08:ba_00:1a:22:03:cb:be_1,"DavidElec,TW_eQ3Entwic,DE",53,domain,1,1,78,35,78,78,78.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.380531,0x0001,65535,0,64,64,0,0x00,0x0840,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.000132032,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,2,1,1,1.0,1,1,78
A,6,0x0400000000004000,1472485595.874794,1472485595.874794,0.0,1,3,eth:ipv4:udp,00:1a:22:03:cb:be,00:b5:6d:06:08:ba,0x0800,,10.10.10.129,04,Private network,1024,81.14.202.21,de,HTP-MNT,123,17,0x00,1,00:1a:22:03:cb:be_00:b5:6d:06:08:ba_1,"eQ3Entwic,DE_DavidElec,TW",123,ntp,1,1,48,48,48,48,48.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0x0001,65535,0,128,128,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.02368,0.02368,0.02368,0.02368,0.0,0.02368,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,2,2,2.0,1,23,555
B,6,0x0400000000004001,1472485595.898474,1472485595.898474,0.0,1,3,eth:ipv4:udp,00:b5:6d:06:08:ba,00:1a:22:03:cb:be,0x0800,,81.14.202.21,de,HTP-MNT,123,10.10.10.129,04,Private network,1024,17,0x00,1,00:b5:6d:06:08:ba_00:1a:22:03:cb:be_1,"DavidElec,TW_eQ3Entwic,DE",123,ntp,1,1,48,48,48,48,48.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0x0001,65535,0,46,46,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.02368,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,1,1,1.0,1,1,48
A,7,0x0000000000000044,1472485598.876334,1472485598.876334,0.0,1,2,eth:arp,00:b5:6d:06:08:ba,00:1a:22:03:cb:be,0x0806,,-,-,-,0,-,-,-,0,0,0x00,1,00:b5:6d:06:08:ba_00:1a:22:03:cb:be_1,"DavidElec,TW_eQ3Entwic,DE",0,unknown,1,1,28,46,28,28,28.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,-0.2432432,0x0000,65535,0,0,0,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,0,0,0,0,0.0,0,0,0
B,7,0x0000000000000045,1472485598.876616,1472485598.876616,0.0,1,2,eth:arp,00:1a:22:03:cb:be,00:b5:6d:06:08:ba,0x0806,,-,-,-,0,-,-,-,0,0,0x00,1,00:1a:22:03:cb:be_00:b5:6d:06:08:ba_1,"eQ3Entwic,DE_DavidElec,TW",0,unknown,1,1,46,28,46,46,46.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.2432432,0x0000,65535,0,0,0,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,0,0x0000,0x00,0,0x00,0,0,0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,0,0,0,0,0.0,0,0,0
