%dir,flowInd,flowStat,timeFirst,timeLast,duration,numHdrDesc,numHdrs,hdrDesc,srcMac,dstMac,ethType,vlanID,srcIP,srcIPCC,srcIPOrg,srcPort,dstIP,dstIPCC,dstIPOrg,dstPort,l4Proto,macStat,macPairs,srcMac_dstMac_numP,srcMacLbl_dstMacLbl,dstPortClassN,dstPortClass,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,tcpFStat,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,ipToS,ipFlags,ipOptCnt,ipOptCpCl_Num,ip6OptCntHH_D,ip6OptHH_D,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpBFlgtMx,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpFlags,tcpAnomaly,tcpOptPktCnt,tcpOptCnt,tcpOptions,tcpMSS,tcpWS,tcpMPTBF,tcpMPF,tcpMPAID,tcpMPDSSF,tcpTmS,tcpTmER,tcpEcI,tcpUtm,tcpBtm,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,tcpStatesAFlags,icmpStat,icmpTCcnt,icmpBFTypH_TypL_Code,icmpTmGtw,icmpEchoSuccRatio,icmpPFindex,connSip,connDip,connSipDip,connSipDprt,connF,connG,connNumPCnt,connNumBCnt
A,13,0x0400000000004000,1461320327.590147,1461320329.058578,1.468431,1,3,eth:ipv4:tcp,94:10:3e:41:c2:05,00:b5:6d:06:08:ba,0x0800,,10.10.10.158,04,Private network,4382,50.17.221.66,us,Amazoncom,8443,6,0x00,1,94:10:3e:41:c2:05_00:b5:6d:06:08:ba_35,"BelkinInt,US_DavidElec,TW",8443,pcsync-https,35,30,24938,7080,0,1368,712.5143,612.9507,0,0.16553,0.04195517,0.04351906,23.83496,16982.75,0.07692308,0.5577488,0x0a13,0,1,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3556619563,31,24938,0,31,7043,0,4104,5840,5756.689,0,16784,1,4,2,0,0x011f,0x0000,32,98,0x0000011e,1460,2,0x0000,0x00,0,0x00,4294914474,1299973464,1.0,4294914474.0,1.844674407087596e+19,0.09958298,0.005709056,0.163009,0.06917907,0.04254491,0.10183,0.0,0x52,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,5,1,2,2,0.4,1.0,47,25328
B,13,0x0400000000004001,1461320327.68973,1461320329.057737,1.368007,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,94:10:3e:41:c2:05,0x0800,,50.17.221.66,us,Amazoncom,8443,10.10.10.158,04,Private network,4382,6,0x00,1,00:b5:6d:06:08:ba_94:10:3e:41:c2:05_30,"DavidElec,TW_BelkinInt,US",8443,pcsync-https,30,35,7080,24938,0,1368,236.0,445.5504,0,0.245716,0.04560022,0.05583971,21.92971,5175.412,-0.07692308,-0.5577488,0x0a13,1,49256,30,30,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3524515498,30,7080,0,30,24938,0,4899,14480,42468.66,14480,42496,0,10,1,0,0x031b,0x0000,30,92,0x0000011e,1380,256,0x0000,0x00,0,0x00,1299973494,4294914474,0.001,1299973.555745,1460020356.134668,0.00224704,4.2e-05,0.143958,0.01980142,0.02885401,0.0889805,0.05140645,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,5,1,1,1.0,1.0,30,7080
A,17,0x0400000000004000,1461320343.006302,1461320344.098691,1.092389,1,3,eth:ipv4:tcp,94:10:3e:41:c2:05,00:b5:6d:06:08:ba,0x0800,,10.10.10.158,04,Private network,4817,23.23.111.129,us,Amazoncom,8443,6,0x00,1,94:10:3e:41:c2:05_00:b5:6d:06:08:ba_23,"BelkinInt,US_DavidElec,TW",8443,pcsync-https,23,20,8843,5496,0,1368,384.4783,503.0544,0,0.139542,0.04749518,0.04151239,21.05477,8095.102,0.06976745,0.2334193,0x0a13,0,1,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3573323343,19,8843,0,19,5459,0,2220,5840,5740.79,0,16784,1,4,2,0,0x011f,0x0000,20,62,0x0000011e,1460,2,0x0000,0x00,0,0x00,4294918233,397503697,1.0,4294918233.0,1.8446744070875955e+19,0.099711,0.006792,0.110642,0.07897978,0.03108748,0.101367,0.0,0x52,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,6,1,2,2,0.3333333,1.0,89,35000
B,17,0x0400000000004001,1461320343.106013,1461320344.095613,0.9896,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,94:10:3e:41:c2:05,0x0800,,23.23.111.129,us,Amazoncom,8443,10.10.10.158,04,Private network,4817,6,0x00,1,00:b5:6d:06:08:ba_94:10:3e:41:c2:05_20,"DavidElec,TW_BelkinInt,US",8443,pcsync-https,20,23,5496,8843,0,1368,274.8,450.5975,0,0.203411,0.04948001,0.05286065,20.21019,5553.759,-0.06976745,-0.2334193,0x0a13,1,36029,23,23,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,890651298,20,5496,0,20,8843,0,4899,14480,38940.69,14480,40448,0,11,1,0,0x031b,0x0000,20,62,0x0000011e,1380,256,0x0000,0x00,0,0x00,397503723,4294918233,0.001,397503.74188,1460922841.3818395,0.001656,0.001184,0.101674,0.02267371,0.0267212,0.1016535,0.04099334,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,6,1,1,1.0,1.0,20,5496
A,16,0x0400000000004000,1461320343.005081,1461320344.838912,1.833831,1,3,eth:ipv4:tcp,94:10:3e:41:c2:05,00:b5:6d:06:08:ba,0x0800,,10.10.10.158,04,Private network,4594,54.193.117.148,us,Amazoncom,443,6,0x00,1,94:10:3e:41:c2:05_00:b5:6d:06:08:ba_13,"BelkinInt,US_DavidElec,TW",443,https,13,10,3261,1319,0,1368,250.8462,435.4366,0,0.96284,0.1410639,0.2273836,7.088985,1778.245,0.1304348,0.4240175,0x0a13,0,1,64,64,0,0x08,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3578397510,10,3224,0,10,1282,0,1597,5840,3796.187,0,7864,1,1,2,0,0x011f,0x0000,11,35,0x0000011e,1460,2,0x0000,0x00,0,0x00,4294918403,2314076543,1.0,4294918403.0,1.8446744070875955e+19,0.16518,0.07115603,0.165937,0.1525012,0.02645445,0.166703,0.0,0x52,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,5,1,2,2,0.4,1.0,97,38027
B,16,0x0400000000004001,1461320343.170261,1461320344.837251,1.66699,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,94:10:3e:41:c2:05,0x0800,,54.193.117.148,us,Amazoncom,443,10.10.10.158,04,Private network,4594,6,0x00,1,00:b5:6d:06:08:ba_94:10:3e:41:c2:05_10,"DavidElec,TW_BelkinInt,US",443,https,10,13,1319,3261,0,1012,131.9,249.7958,0,1.151387,0.166699,0.3002191,5.998836,791.2465,-0.1304348,-0.4240175,0x0a13,1,35752,43,43,0,0x08,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,393731125,10,1319,0,10,3262,0,1042,17898,17354.6,11520,18944,1,4,1,0,0x031b,0x0000,10,32,0x0000011e,1380,256,0x0000,0x00,0,0x00,2314076585,4294918403,1.0,2314076585.0,1.8446744072856795e+19,0.001523008,0.001016,0.98545,0.09127826,0.2470231,0.2437795,0.2484356,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,5,1,1,1.0,1.0,10,1319
A,20,0x0400000000004000,1461320355.172081,1461320355.486072,0.313991,1,3,eth:ipv4:tcp,94:10:3e:41:c2:05,00:b5:6d:06:08:ba,0x0800,,10.10.10.158,04,Private network,4699,54.235.195.29,us,Amazon Technologies Inc,3475,6,0x00,1,94:10:3e:41:c2:05_00:b5:6d:06:08:ba_6,"BelkinInt,US_DavidElec,TW",3475,genisar-port,6,4,349,14,0,349,58.16667,108.0137,0,0.104898,0.05233183,0.04269937,19.10883,1111.497,0.2,0.922865,0x0213,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3578234874,5,349,0,5,14,0,349,5840,5840.0,5840,5840,0,0,0,0,0x011b,0x0000,6,20,0x0000011e,1460,2,0x0000,0x00,0,0x00,4294921106,191461945,1.0,4294921106.0,1.8446744070875951e+19,0.101817,0.101566,0.102329,0.1019727,0.0002491435,0.102827,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,7,1,2,2,0.2857143,1.0,136,56727
B,20,0x0400000000004001,1461320355.273898,1461320355.484068,0.21017,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,94:10:3e:41:c2:05,0x0800,,54.235.195.29,us,Amazon Technologies Inc,3475,10.10.10.158,04,Private network,4699,6,0x00,1,00:b5:6d:06:08:ba_94:10:3e:41:c2:05_4,"DavidElec,TW_BelkinInt,US",3475,genisar-port,4,6,14,349,0,14,3.5,4.984002,0,0.105762,0.0525425,0.04091027,19.03221,66.61274,-0.2,-0.922865,0x0a13,1,35246,24,24,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3787484879,4,14,0,4,349,0,14,14480,15226.35,14480,15616,0,1,1,0,0x031b,0x0000,4,14,0x0000011e,1380,256,0x0000,0x00,0,0x00,191461945,4294921080,1.0,191461945.0,1269858410.3031662,0.001010016,0.001010016,0.003433024,0.002067514,0.0007581852,0.1040403,0.000798071,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,7,1,1,1.0,1.0,4,14
A,21,0x0400000000004000,1461320362.060028,1461320368.281957,6.221929,1,3,eth:ipv4:tcp,94:10:3e:41:c2:05,00:b5:6d:06:08:ba,0x0800,,10.10.10.158,04,Private network,4386,50.17.221.66,us,Amazoncom,8443,6,0x00,1,94:10:3e:41:c2:05_00:b5:6d:06:08:ba_28,"BelkinInt,US_DavidElec,TW",8443,pcsync-https,28,26,18093,5400,0,1368,646.1786,601.0264,0,4.986837,0.2222118,0.9014221,4.500212,2907.941,0.03703704,0.5402886,0x0a13,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3593018898,27,18093,0,27,5401,0,3515,5840,16781.29,5840,16784,0,4,1,0,0x041e,0x0000,28,86,0x0000011e,1460,2,0x0000,0x00,0,0x00,4294924305,1299982043,0.1,429492436.899936,1031827932.188419,0.09996,0.000468032,0.12901,0.05975797,0.04005172,0.102028,0.0,0x42,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,8,1,2,2,0.25,1.0,151,61717
B,21,0x0400000000004001,1461320362.159988,1461320363.254958,1.09497,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,94:10:3e:41:c2:05,0x0800,,50.17.221.66,us,Amazoncom,8443,10.10.10.158,04,Private network,4386,6,0x00,1,00:b5:6d:06:08:ba_94:10:3e:41:c2:05_26,"DavidElec,TW_BelkinInt,US",8443,pcsync-https,26,28,5400,18093,0,1368,207.6923,408.9772,0,0.250301,0.04211423,0.05293015,23.74494,4931.642,-0.03703704,-0.5402886,0x0a13,1,58313,30,30,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,4227991239,26,5400,0,26,18093,0,4899,14480,42185.06,14480,42496,0,12,1,0,0x031b,0x0000,26,80,0x0000011e,1380,256,0x0000,0x00,0,0x00,1299982043,4294923023,0.1,129998206.237124,1331322157.1317804,0.002068,0.000363968,5.026999,0.2090611,0.9112642,0.2688191,0.9121439,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,8,1,1,1.0,1.0,56,12480
