%dir,flowInd,flowStat,timeFirst,timeLast,duration,numHdrDesc,numHdrs,hdrDesc,srcMac,dstMac,ethType,vlanID,srcIP,srcIPCC,srcIPOrg,srcPort,dstIP,dstIPCC,dstIPOrg,dstPort,l4Proto,macStat,macPairs,srcMac_dstMac_numP,srcMacLbl_dstMacLbl,dstPortClassN,dstPortClass,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,tcpFStat,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,ipToS,ipFlags,ipOptCnt,ipOptCpCl_Num,ip6OptCntHH_D,ip6OptHH_D,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpBFlgtMx,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpFlags,tcpAnomaly,tcpOptPktCnt,tcpOptCnt,tcpOptions,tcpMSS,tcpWS,tcpMPTBF,tcpMPF,tcpMPAID,tcpMPDSSF,tcpTmS,tcpTmER,tcpEcI,tcpUtm,tcpBtm,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,tcpStatesAFlags,icmpStat,icmpTCcnt,icmpBFTypH_TypL_Code,icmpTmGtw,icmpEchoSuccRatio,icmpPFindex,connSip,connDip,connSipDip,connSipDprt,connF,connG,connNumPCnt,connNumBCnt
A,44,0x0400000000004000,1471451823.207015,1471451828.246473,5.039458,1,3,eth:ipv4:tcp,94:10:3e:41:c2:05,00:b5:6d:06:08:ba,0x0800,,10.10.10.158,04,Private network,3656,54.235.111.253,us,Amazon Technologies Inc,8443,6,0x00,1,94:10:3e:41:c2:05_00:b5:6d:06:08:ba_31,"BelkinInt,US_DavidElec,TW",8443,pcsync-https,31,26,19092,6616,0,1368,615.871,614.9902,0,3.689432,0.1625631,0.6336148,6.151455,3788.503,0.0877193,0.4852964,0x0a13,0,1,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3223191704,27,19092,0,27,6579,0,4104,5840,5755.982,0,16784,1,4,2,0,0x011f,0x0000,28,86,0x0000011e,1460,2,0x0000,0x00,0,0x00,4294924762,155190428,0.001,4294924.965998,1467156904.184708,0.09992199,0.001852,0.137517,0.0766048,0.0364931,0.101799,0.0,0x52,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,8,1,2,2,0.25,1.0,67,24881
B,44,0x0400000000004001,1471451823.306937,1471451828.244225,4.937288,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,94:10:3e:41:c2:05,0x0800,,54.235.111.253,us,Amazon Technologies Inc,8443,10.10.10.158,04,Private network,3656,6,0x00,1,00:b5:6d:06:08:ba_94:10:3e:41:c2:05_26,"DavidElec,TW_BelkinInt,US",8443,pcsync-https,26,31,6616,19092,0,1368,254.4615,460.0857,0,3.793235,0.1898957,0.7081922,5.266049,1340.007,-0.0877193,-0.4852964,0x0a13,1,46073,32,32,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1398053733,26,6616,0,26,19092,0,4899,14480,42382.12,14480,42496,0,10,1,0,0x031b,0x0000,26,80,0x0000011e,1380,256,0x0000,0x00,0,0x00,155191376,4294924762,0.001,155191.383371,1471296637.332346,0.001877024,0.000484,3.694872,0.2819216,0.9124718,0.3585264,0.9132013,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,8,1,1,1.0,1.0,26,6616
A,51,0x0400000000004000,1471451850.574268,1471451851.672603,1.098335,1,3,eth:ipv4:tcp,94:10:3e:41:c2:05,00:b5:6d:06:08:ba,0x0800,,10.10.10.158,04,Private network,4009,107.22.199.21,us,Amazoncom,8443,6,0x00,1,94:10:3e:41:c2:05_00:b5:6d:06:08:ba_29,"BelkinInt,US_DavidElec,TW",8443,pcsync-https,29,24,18093,5400,0,1368,623.8965,612.8148,0,0.133002,0.03787362,0.03907196,26.4036,16473.12,0.09433962,0.5402886,0x0a13,0,1,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3256516125,26,18093,0,26,5363,0,4104,5840,8222.263,0,16784,1,4,2,0,0x011f,0x0000,27,83,0x0000011e,1460,2,0x0000,0x00,0,0x00,4294930621,571392204,0.1,429493068.499945,1041958783.4094436,0.09995795,0.007755008,0.123251,0.07174854,0.03335256,0.101186,0.0,0x52,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,10,1,2,4,0.4,2.0,132,49335
B,51,0x0400000000004001,1471451850.674226,1471451851.671022,0.996796,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,94:10:3e:41:c2:05,0x0800,,107.22.199.21,us,Amazoncom,8443,10.10.10.158,04,Private network,4009,6,0x00,1,00:b5:6d:06:08:ba_94:10:3e:41:c2:05_24,"DavidElec,TW_BelkinInt,US",8443,pcsync-https,24,29,5400,18093,0,1368,225.0,421.2663,0,0.17317,0.04153317,0.04469627,24.07714,5417.357,-0.09433962,-0.5402886,0x0a13,1,37111,32,32,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1270958354,24,5400,0,24,18093,0,4899,14480,42263.58,14480,42496,0,10,1,0,0x031b,0x0000,24,74,0x0000011e,1380,256,0x0000,0x00,0,0x00,571392231,4294930618,0.001,571392.25814,1470880459.7489629,0.001228032,0.000296,0.07105901,0.009420723,0.01471682,0.08116926,0.03645515,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,10,1,3,3.0,3.0,24,5400
A,50,0x0400000000004000,1471451845.696656,1471451846.006834,0.310178,1,3,eth:ipv4:tcp,94:10:3e:41:c2:05,00:b5:6d:06:08:ba,0x0800,,10.10.10.158,04,Private network,3292,23.23.244.247,us,Amazoncom,3475,6,0x00,1,94:10:3e:41:c2:05_00:b5:6d:06:08:ba_6,"BelkinInt,US_DavidElec,TW",3475,genisar-port,6,4,349,12,0,349,58.16667,108.0137,0,0.102878,0.05169633,0.04205685,19.34373,1125.16,0.2,0.933518,0x0213,1,1,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3243281670,5,349,0,5,12,0,349,5840,5840.0,5840,5840,0,0,0,0,0x011b,0x0000,6,20,0x0000011e,1460,2,0x0000,0x00,0,0x00,4294929227,1955895155,0.001,4294929.430998,1467156917.2108035,0.101308,0.101197,0.102151,0.1016643,0.0003446972,0.10234,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,9,1,2,2,0.2222222,1.0,143,57364
B,50,0x0400000000004001,1471451845.797964,1471451846.006014,0.20805,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,94:10:3e:41:c2:05,0x0800,,23.23.244.247,us,Amazoncom,3475,10.10.10.158,04,Private network,3292,6,0x00,1,00:b5:6d:06:08:ba_94:10:3e:41:c2:05_4,"DavidElec,TW_BelkinInt,US",3475,genisar-port,4,6,12,349,0,12,3.0,4.272002,0,0.103764,0.05201249,0.04028204,19.22615,57.67844,-0.2,-0.933518,0x0a13,1,9588,27,27,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,192499299,4,12,0,4,349,0,12,14480,15226.35,14480,15616,0,1,1,0,0x031b,0x0000,4,14,0x0000011e,1380,256,0x0000,0x00,0,0x00,1955895155,4294929202,0.001,1955895.2479,1469495951.147113,0.001031936,0.00072704,0.002134976,0.001251483,0.0004401141,0.1029157,0.0005590318,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,9,1,1,1.0,1.0,4,12
A,52,0x0400000000004000,1471451851.267708,1471451852.321658,1.05395,1,3,eth:ipv4:tcp,94:10:3e:41:c2:05,00:b5:6d:06:08:ba,0x0800,,10.10.10.158,04,Private network,3408,23.21.60.181,us,Amazoncom,8443,6,0x00,1,94:10:3e:41:c2:05_00:b5:6d:06:08:ba_21,"BelkinInt,US_DavidElec,TW",8443,pcsync-https,21,16,8843,5496,0,1368,421.0952,562.1486,0,0.143213,0.0501881,0.05607199,19.92505,8390.342,0.1351351,0.2334193,0x0a13,0,1,64,64,0,0x00,0x0044,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3252850845,17,8843,0,17,5459,0,4104,5840,5724.01,0,16784,1,4,2,0,0x011f,0x0000,18,56,0x0000011e,1460,2,0x0000,0x00,0,0x00,4294930775,314228397,0.001,4294930.978998,1467156922.2196472,0.125755,0.034705,0.139391,0.1234992,0.02287022,0.126605,0.0,0x52,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,8,1,2,2,0.25,1.0,143,57364
B,52,0x0400000000004001,1471451851.393463,1471451852.319632,0.926169,1,3,eth:ipv4:tcp,00:b5:6d:06:08:ba,94:10:3e:41:c2:05,0x0800,,23.21.60.181,us,Amazoncom,8443,10.10.10.158,04,Private network,3408,6,0x00,1,00:b5:6d:06:08:ba_94:10:3e:41:c2:05_16,"DavidElec,TW_BelkinInt,US",8443,pcsync-https,16,21,5496,8843,0,1368,343.5,481.2947,0,0.213075,0.05788556,0.06623486,17.27547,5934.122,-0.1351351,-0.2334193,0x0a13,1,31045,30,30,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3795227500,16,5496,0,16,8843,0,4899,14480,33496.47,14480,35072,0,7,1,0,0x031b,0x0000,16,50,0x0000011e,1380,256,0x0000,0x00,0,0x00,314228429,4294930775,0.001,314228.443925,1471137624.1360495,0.000849984,0.000849984,0.078488,0.009108311,0.01730038,0.1326075,0.02867665,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,8,1,1,1.0,1.0,16,5496
A,2,0x0000000000000004,1471451788.23544,1471451788.23544,0.0,1,2,eth:llc,94:10:3e:41:c2:05,ff:ff:ff:ff:ff:ff,0x0001,,-,-,-,0,-,-,-,0,0,0x00,1,94:10:3e:41:c2:05_ff:ff:ff:ff:ff:ff_1,"BelkinInt,US_Broadcast",0,unknown,1,0,3,0,3,3,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0x0000,65535,0,0,0,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,1,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,0,0,0,0,0.0,0.0,0,0
A,1,0x0000000000000004,1471451786.241117,1471451788.253763,2.012646,1,2,eth:eapol,94:10:3e:41:c2:05,28:b2:bd:c3:41:78,0x888e,,-,-,-,0,-,-,-,0,0,0x00,1,94:10:3e:41:c2:05_28:b2:bd:c3:41:78_4,"BelkinInt,US_IntelCorp,MY",0,unknown,4,0,440,0,99,121,110.0,8.599094,0,1.998346,0.5031615,0.7096236,1.987434,218.6177,1.0,1.0,0x0000,65535,0,0,0,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0x0000,0x0000,0,0,0x00000000,0,1,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,0,0,0,0,0.0,0.0,0,0
